Date,Open,High,Low,Close,Volume
2001-12-03,47.85,48.28,47.57,48.22,0
2002-01-01,48.25,48.55,47.96,48.50,0
2002-02-01,48.47,48.81,48.47,48.63,0
2002-03-01,48.63,48.85,48.59,48.74,0
2002-04-01,48.72,49.06,48.69,48.91,0
2002-05-01,48.92,49.16,48.84,48.96,0
2002-06-03,48.93,49.11,48.73,48.79,0
2002-07-01,48.81,48.87,48.56,48.59,0
2002-08-01,48.59,48.96,48.27,48.39,0
2002-09-02,48.47,48.59,48.25,48.36,0
2002-10-01,48.34,48.60,48.02,48.35,0
2002-11-01,48.32,48.45,47.87,48.32,0
2002-12-02,48.27,48.43,47.62,47.95,0
2003-01-01,47.96,48.10,47.49,47.78,0
2003-02-03,47.78,48.36,47.36,47.67,0
2003-03-03,47.66,47.77,47.46,47.46,0
2003-04-01,47.45,47.49,47.20,47.34,0
2003-05-01,47.33,47.39,46.77,47.07,0
2003-06-02,47.00,47.39,46.13,46.13,0
2003-07-01,46.46,47.39,45.88,45.89,0
2003-08-01,46.08,46.20,45.56,45.84,0
2003-09-01,45.81,47.39,45.41,47.39,0
2003-10-01,45.68,45.75,45.00,45.31,0
2003-11-03,45.23,45.96,44.99,45.85,0
2003-12-01,45.78,45.78,45.25,45.59,0
2004-01-01,45.59,45.71,45.23,45.29,0
2004-02-02,45.22,45.33,45.14,45.24,0
2004-03-01,45.19,45.34,43.40,43.45,0
2004-04-01,43.40,44.50,43.36,44.50,0
2004-05-03,44.30,45.90,44.30,45.48,0
2004-06-01,45.48,46.26,44.90,45.98,0
2004-07-01,45.94,46.49,45.60,46.33,0
2004-08-02,46.34,46.48,46.13,46.28,0
2004-09-01,46.28,46.36,45.38,45.91,0
2004-10-01,45.91,45.93,45.30,45.30,0
2004-11-01,45.32,45.52,44.48,44.48,0
2004-12-01,44.55,44.69,43.39,43.45,0
2005-01-03,43.45,44.05,43.27,43.60,0
2005-02-01,43.62,43.85,43.29,43.67,0
2005-03-01,43.58,43.90,43.42,43.68,0
2005-04-01,43.67,43.84,43.38,43.38,0
2005-05-02,43.44,43.76,43.18,43.67,0
2005-06-01,43.67,43.81,43.40,43.46,0
2005-07-01,43.52,43.67,43.08,43.40,0
2005-08-01,43.40,44.16,43.36,44.00,0
2005-09-01,44.00,44.13,43.71,43.88,0
2005-10-03,43.95,45.39,43.93,45.05,0
