Date,Open,High,Low,Close,Volume
2004-01-01,1000.00,1000.00,1000.00,1000.00,38509770
2004-01-02,1007.13,1007.13,1007.13,1007.13,37103275
2004-01-05,998.13,998.13,998.13,998.13,41137641
2004-01-06,984.52,984.52,984.52,984.52,37428974
2004-01-07,974.54,974.54,974.54,974.54,44532563
2004-01-08,1002.71,1002.71,1002.71,1002.71,40831125
2004-01-09,1037.96,1037.96,1037.96,1037.96,58123960
2004-01-12,1021.31,1021.31,1021.31,1021.31,52652010
2004-01-13,1039.75,1039.75,1039.75,1039.75,78461338
2004-01-14,1060.89,1060.89,1060.89,1060.89,76386982
2004-01-15,1032.25,1032.25,1032.25,1032.25,60477087
2004-01-16,1007.22,1007.22,1007.22,1007.22,61474254
2004-01-19,1038.80,1038.80,1038.80,1038.80,58765102
2004-01-20,1018.06,1018.06,1018.06,1018.06,71732727
2004-01-21,959.67,959.67,959.67,959.67,76792450
2004-01-22,908.90,908.90,908.90,908.90,98636328
2004-01-23,970.11,970.11,970.11,970.11,103068803
2004-01-27,1011.74,1011.74,1011.74,1011.74,123815096
2004-01-28,999.54,999.54,999.54,999.54,153550557
2004-01-29,1008.33,1008.33,1008.33,1008.33,125362186
2004-01-30,995.49,995.49,995.49,995.49,106835044
2004-02-03,968.25,968.25,968.25,968.25,93473220
2004-02-04,1022.39,1022.39,1022.39,1022.39,91705437
2004-02-05,1006.47,1006.47,1006.47,1006.47,114240052
2004-02-06,1023.34,1023.34,1023.34,1023.34,87567872
2004-02-09,1049.44,1049.44,1049.44,1049.44,84805369
2004-02-10,1041.26,1041.26,1041.26,1041.26,80728809
2004-02-11,1052.25,1052.25,1052.25,1052.25,60270287
2004-02-12,1062.66,1062.66,1062.66,1062.66,60557033
2004-02-13,1075.35,1075.35,1075.35,1075.35,58156797
2004-02-16,1095.54,1095.54,1095.54,1095.54,69771150
2004-02-17,1087.87,1087.87,1087.87,1087.87,81759845
2004-02-18,1096.06,1096.06,1096.06,1096.06,73176765
2004-02-19,1064.58,1064.58,1064.58,1064.58,119374392
2004-02-20,1074.63,1074.63,1074.63,1074.63,108190579
2004-02-23,1035.47,1035.47,1035.47,1035.47,71369971
2004-02-24,1050.97,1050.97,1050.97,1050.97,96826525
2004-02-25,1023.67,1023.67,1023.67,1023.67,117156193
2004-02-26,1016.08,1016.08,1016.08,1016.08,91505020
2004-02-27,1031.13,1031.13,1031.13,1031.13,81126730
2004-03-01,1057.61,1057.61,1057.61,1057.61,47176323
2004-03-03,1088.54,1088.54,1088.54,1088.54,75946127
2004-03-04,1067.78,1067.78,1067.78,1067.78,52069549
2004-03-05,1081.35,1081.35,1081.35,1081.35,46482602
2004-03-08,1081.46,1081.46,1081.46,1081.46,36943984
2004-03-09,1064.78,1064.78,1064.78,1064.78,58697248
2004-03-10,1042.94,1042.94,1042.94,1042.94,65368196
2004-03-11,1009.76,1009.76,1009.76,1009.76,60211430
2004-03-12,1013.65,1013.65,1013.65,1013.65,67829829
2004-03-15,977.87,977.87,977.87,977.87,76569417
2004-03-16,967.68,967.68,967.68,967.68,87341964
2004-03-17,977.60,977.60,977.60,977.60,50944980
2004-03-18,956.58,956.58,956.58,956.58,56486511
2004-03-19,957.35,957.35,957.35,957.35,60349384
2004-03-22,920.76,920.76,920.76,920.76,49919673
2004-03-23,922.66,922.66,922.66,922.66,76324212
2004-03-24,934.07,934.07,934.07,934.07,56135970
2004-03-25,955.09,955.09,955.09,955.09,53996617
2004-03-26,976.74,976.74,976.74,976.74,43765467
