Date,Open,High,Low,Close,Volume
2001-12-03,1335.45,1415.85,1215.45,1298.30,0
2002-01-01,1298.60,1358.55,1273.80,1348.55,0
2002-02-01,1350.60,1617.05,1350.60,1495.55,0
2002-03-01,1496.40,1611.20,1489.25,1566.95,0
2002-04-01,1568.40,1658.50,1564.15,1607.75,0
2002-05-01,1608.25,1665.15,1448.35,1497.10,0
2002-06-03,1497.90,1682.00,1497.90,1617.40,0
2002-07-01,1617.40,1690.35,1429.05,1455.85,0
2002-08-01,1455.75,1517.35,1433.05,1452.60,0
2002-09-02,1453.45,1468.85,1255.20,1257.85,0
2002-10-01,1256.95,1321.00,1231.95,1255.30,0
2002-11-01,1255.60,1340.85,1243.15,1337.10,0
2002-12-02,1337.60,1435.20,1337.20,1413.05,0
2003-01-01,1413.25,1462.90,1353.75,1376.85,0
2003-02-03,1377.20,1415.65,1333.75,1387.10,0
2003-03-03,1401.00,1409.30,1255.35,1259.55,0
2003-04-01,1260.75,1370.80,1259.75,1339.75,0
2003-05-01,1342.75,1693.15,1340.25,1664.15,0
2003-06-02,1605.50,1804.60,1598.60,1783.70,0
2003-07-01,1787.25,2056.85,1778.20,2012.30,0
2003-08-01,2014.95,2287.60,1959.50,2275.25,0
2003-09-01,2279.30,2459.35,2188.45,2456.95,0
2003-10-01,2460.85,2679.80,2448.00,2656.15,0
2003-11-03,2671.60,2807.05,2603.95,2801.20,0
2003-12-01,2823.50,3451.40,2816.80,3405.70,0
2004-01-01,3421.40,3702.60,3234.00,3367.65,0
2004-02-03,3371.60,3632.10,3193.80,3330.60,0
2004-03-01,3340.00,3488.95,3064.10,3392.05,0
2004-04-01,3398.00,3875.55,3398.00,3639.80,0
2004-05-03,3643.80,3756.65,2493.70,2846.90,0
2004-06-01,2898.45,3018.40,2723.50,2903.35,0
2004-07-01,2921.30,3162.85,2804.75,3082.10,0
2004-08-02,3088.05,3206.15,3006.70,3199.00,0
2004-09-01,3204.55,3543.60,3204.55,3504.25,0
2004-10-01,3512.05,3653.40,3403.70,3481.55,0
2004-11-01,3480.40,3913.60,3466.65,3884.55,0
2004-12-01,3896.25,4468.35,3849.05,4453.30,0
2005-01-03,4483.65,4549.85,3999.75,4247.80,2055133498
2005-02-01,4249.70,4427.45,4213.95,4388.20,2078386287
2005-03-01,4381.00,4705.25,4113.40,4275.15,1917111200
2005-04-01,4275.35,4413.40,4016.85,4024.40,1049699847
2005-05-02,4039.85,4369.05,3998.80,4364.55,1314972415
2005-06-01,4374.50,4573.05,4351.25,4393.25,1123610087
2005-07-01,4398.35,4991.50,4396.15,4919.10,1130324524
2005-08-01,4904.45,5173.05,4786.45,5053.00,1016178926
2005-09-01,5068.90,5419.90,4955.75,5303.50,1534939110
2005-10-03,5338.00,5443.40,4609.15,4714.45,1246480273
2005-11-01,4787.50,5383.20,4690.90,5242.00,1129724778
2005-12-01,5269.40,5591.45,5222.90,5541.45,1285002204
