Date,Open,High,Low,Close,Volume
2011-01-03,4010.60,4076.53,3291.05,3367.67,8517222969
2012-01-02,3369.94,5204.60,3369.94,5117.40,23240114606
2013-01-01,5150.90,5473.10,3575.70,4742.90,23154825165
2014-01-01,4758.75,7561.65,4259.40,7462.70,18876063731
2015-01-01,7454.75,8390.55,6515.50,7059.15,15139298988
2016-01-01,7057.95,8413.85,5615.00,7407.05,16892104000
2017-01-02,7442.40,10587.55,7249.85,10475.15,16776522419
2018-01-01,10479.65,11855.20,9934.50,11585.90,20465062000
2019-01-01,11608.55,14737.45,11134.60,14557.40,22584758008
2020-01-01,14590.10,15273.70,7984.20,15208.00,55986637157
2021-01-01,15215.40,19778.95,14352.20,17330.85,29398905484
2022-01-03,17377.95,19515.90,14857.30,18981.20,20036565547
2023-01-02,18982.50,21627.35,17261.30,21487.45,29156117370
2024-01-01,21449.25,25201.95,19822.05,23512.80,31000846794
2025-01-01,23512.85,28065.50,22320.85,27613.30,29500954792
2026-01-01,27662.15,28562.50,23373.95,25510.00,27067317018
