Date,Open,High,Low,Close,Volume
2023-08-31,190.00,196.35,162.30,163.25,36098037
2023-09-01,164.90,171.45,158.50,165.00,9720028
2023-09-04,165.00,167.25,160.35,161.20,3010366
2023-09-05,160.50,162.50,153.50,154.15,3460816
2023-09-06,155.00,162.50,154.20,159.10,2759974
2023-09-07,160.50,161.45,156.25,156.70,1515649
2023-09-08,158.45,159.00,155.40,156.60,1008534
2023-09-11,158.50,158.90,154.50,154.95,1107364
2023-09-12,156.00,157.40,147.20,148.65,1383190
2023-09-13,149.30,158.60,145.45,155.75,2802134
2023-09-14,157.95,159.80,156.55,157.90,1490449
2023-09-15,159.80,159.80,155.50,156.45,925930
2023-09-18,156.90,157.50,153.00,153.55,417796
2023-09-20,152.10,157.35,151.50,154.15,834708
2023-09-21,153.95,156.45,150.50,151.55,610128
2023-09-22,151.70,154.25,151.00,151.80,730176
2023-09-25,152.25,152.80,146.50,149.05,514346
2023-09-26,149.10,151.40,148.25,149.20,337286
2023-09-27,149.00,150.00,147.00,148.35,266907
2023-09-28,148.60,156.70,148.55,150.85,1206610
2023-09-29,151.45,154.00,150.65,152.75,547688
2023-10-03,152.60,153.30,150.30,151.50,408303
2023-10-04,151.15,152.40,148.00,148.60,507025
2023-10-05,149.60,151.10,146.50,146.95,530731
2023-10-06,148.40,148.95,146.20,146.65,450908
2023-10-09,143.00,144.95,142.40,142.65,427070
2023-10-10,144.85,147.30,143.15,144.00,562526
2023-10-11,145.40,149.50,145.25,147.05,874168
2023-10-12,147.90,160.45,147.40,158.10,3641213
2023-10-13,158.00,162.45,156.10,157.00,2009389
2023-10-16,157.50,158.00,151.90,152.30,924543
2023-10-17,153.70,157.40,153.25,154.70,537721
2023-10-18,155.50,165.40,155.05,161.85,4641983
2023-10-19,160.75,171.50,160.15,170.95,6903576
2023-10-20,171.85,173.80,163.55,165.05,2254181
2023-10-23,165.10,165.60,152.90,153.65,2120790
2023-10-25,155.70,158.35,148.25,150.75,887683
2023-10-26,149.00,152.45,145.55,150.60,962754
2023-10-27,152.00,155.95,151.35,152.25,690947
2023-10-30,152.75,154.65,150.55,152.50,422854
2023-10-31,153.30,164.40,153.15,160.85,2669545
2023-11-01,162.00,167.70,160.00,160.95,1931300
2023-11-02,163.05,165.40,160.50,161.70,757572
2023-11-03,163.75,166.50,162.05,163.35,985509
2023-11-06,165.00,172.70,162.20,163.10,2646496
2023-11-07,164.00,165.45,162.30,162.85,661693
2023-11-08,163.85,165.45,159.20,159.85,621479
2023-11-09,160.00,162.45,158.05,159.60,644826
2023-11-10,159.20,160.05,155.50,156.80,626021
2023-11-12,158.50,161.85,158.00,160.50,308226
2023-11-13,160.00,163.80,158.30,162.15,659958
2023-11-15,163.80,164.40,160.45,161.00,490161
2023-11-16,161.30,163.20,159.50,160.20,428058
2023-11-17,160.25,161.95,157.25,157.85,479928
2023-11-20,158.45,159.50,156.35,156.90,405303
2023-11-21,157.95,161.40,156.90,157.85,643869
2023-11-22,158.40,159.40,155.95,156.85,317844
2023-11-23,157.25,159.25,155.90,156.40,278062
2023-11-24,156.40,164.45,156.40,162.45,1831074
2023-11-28,163.85,165.50,159.20,159.65,1101215
2023-11-29,160.40,164.00,158.60,158.95,508518
2023-11-30,159.70,159.70,156.60,158.05,538010
2023-12-01,159.00,159.90,156.80,157.35,456455
2023-12-04,159.90,160.25,157.15,158.05,450823
2023-12-05,158.70,159.00,155.05,155.95,553688
2023-12-06,156.90,157.95,154.80,155.40,487641
2023-12-07,155.05,157.55,154.40,155.80,446511
2023-12-08,156.40,157.40,154.35,154.80,363858
2023-12-11,155.65,156.40,153.60,153.90,466843
2023-12-12,153.60,155.00,151.00,151.65,633778
2023-12-13,152.10,153.85,151.30,152.15,349730
2023-12-14,153.00,155.90,151.60,151.80,702360
2023-12-15,152.40,153.45,150.30,150.85,487094
2023-12-18,150.05,152.45,150.05,150.85,510284
2023-12-19,151.50,152.40,150.20,150.45,413117
2023-12-20,151.40,151.50,142.20,143.35,1105524
2023-12-21,142.00,147.20,140.90,145.50,868271
2023-12-22,146.50,150.95,146.30,148.80,644618
2023-12-26,149.30,150.25,146.80,147.70,337734
2023-12-27,148.55,149.60,147.35,147.85,398969
2023-12-28,148.35,158.80,147.90,157.00,2724129
2023-12-29,157.90,157.90,154.05,155.00,802111
2024-01-01,155.30,159.70,154.95,156.75,969404
2024-01-02,157.35,158.45,154.90,156.20,717026
2024-01-03,155.75,158.90,154.85,156.80,539476
2024-01-04,156.35,158.20,156.25,156.95,476064
2024-01-05,158.05,162.85,157.00,158.75,1669373
2024-01-08,159.25,159.65,156.85,157.60,528689
2024-01-09,158.90,159.00,156.65,157.95,541782
2024-01-10,157.95,158.50,156.30,157.80,610196
2024-01-11,158.40,176.65,157.45,173.80,9184167
2024-01-12,176.00,179.90,169.30,170.20,2822818
2024-01-15,170.50,171.95,164.70,166.40,1101921
2024-01-16,166.70,170.80,161.00,162.50,1036297
2024-01-17,161.40,165.40,159.60,160.95,701320
2024-01-18,161.00,163.05,156.05,159.35,762065
2024-01-19,161.00,163.05,158.60,159.25,539385
2024-01-20,161.80,167.80,161.00,164.50,881539
2024-01-23,166.00,166.35,155.80,156.50,904126
2024-01-24,157.70,162.55,155.50,161.70,967396
2024-01-25,162.65,164.50,160.10,163.90,819691
2024-01-29,165.00,165.00,153.55,154.30,2181785
