Date,Open,High,Low,Close,Volume
2024-07-15,91.40,92.95,84.00,90.04,34340
2024-07-16,89.90,90.20,87.98,90.20,2630
2024-07-18,90.50,92.00,87.20,90.35,14570
2024-07-19,89.00,89.00,87.40,87.72,12740
2024-07-22,89.47,90.00,87.00,87.32,11290
2024-07-23,88.48,89.95,87.45,87.83,5560
2024-07-24,90.00,90.50,88.50,89.00,50900
2024-07-25,90.50,90.50,87.60,89.94,3440
2024-07-26,90.27,90.27,87.00,87.15,10240
2024-07-29,90.00,90.00,87.00,87.43,11270
2024-07-30,89.50,89.50,84.00,86.43,21470
2024-07-31,84.30,86.90,84.20,85.78,9130
2024-08-01,85.78,87.30,84.01,84.75,6940
2024-08-02,88.50,88.50,84.50,85.70,7560
2024-08-05,85.23,86.80,82.60,83.72,7420
2024-08-06,82.75,87.00,82.00,82.55,9290
2024-08-07,82.10,86.70,79.90,82.17,21390
2024-08-08,86.00,86.00,81.20,82.13,12490
2024-08-09,85.00,88.44,65.70,79.06,78700
2024-08-12,80.40,89.00,79.01,84.42,46020
2024-08-13,85.80,86.12,82.00,82.41,6670
2024-08-14,83.98,87.00,80.60,84.97,48830
2024-08-16,90.50,101.95,90.50,101.95,686990
2024-08-19,101.80,101.80,93.62,95.87,272870
2024-08-20,95.50,99.50,93.95,95.14,100230
2024-08-21,94.95,100.59,94.35,97.96,75080
2024-08-22,96.01,101.50,95.40,97.73,130330
2024-08-23,99.90,99.90,95.53,96.20,16710
2024-08-26,95.21,99.90,95.21,97.31,36220
2024-08-27,98.86,99.00,96.50,97.90,62020
2024-08-28,99.00,100.50,98.20,99.87,34990
2024-08-29,100.40,104.88,95.00,95.91,64100
2024-08-30,97.35,99.90,96.50,97.54,60570
2024-09-02,99.00,99.80,96.34,98.06,15850
2024-09-03,99.00,99.30,96.95,98.00,26050
2024-09-04,96.90,98.00,95.14,97.02,11770
2024-09-05,99.50,99.50,96.51,97.35,16430
2024-09-06,97.90,97.90,95.11,95.94,49160
2024-09-09,95.94,98.00,93.81,94.75,36970
2024-09-10,94.75,95.98,94.75,95.16,7620
2024-09-11,96.60,96.64,93.00,93.59,5380
2024-09-12,94.47,94.50,93.55,93.97,34330
2024-09-13,93.97,93.97,91.01,92.34,5800
2024-09-16,93.00,93.00,87.69,90.65,18860
2024-09-17,91.55,93.00,91.55,92.83,4550
2024-09-18,93.00,104.84,91.62,99.20,45400
2024-09-19,100.89,118.97,99.41,110.81,2058650
2024-09-20,108.60,109.42,103.51,104.26,136280
2024-09-23,104.00,104.00,100.20,101.30,64420
2024-09-24,100.80,100.94,99.26,99.91,23070
2024-09-25,99.80,109.30,99.80,103.20,86120
2024-09-26,102.41,103.28,100.81,101.66,20160
2024-09-27,100.00,102.85,98.00,98.28,68050
2024-09-30,101.99,103.19,98.28,101.12,170300
2024-10-01,103.50,103.97,98.30,99.32,47400
2024-10-03,98.80,99.87,95.00,96.23,28490
2024-10-04,96.92,100.05,96.20,98.59,57480
2024-10-07,100.06,100.06,92.00,92.77,176280
2024-10-08,94.58,98.74,93.61,97.94,211330
2024-10-09,96.97,100.49,90.94,93.51,67060
2024-10-10,93.51,96.99,93.51,95.64,15240
2024-10-11,97.00,97.00,92.20,96.03,11890
2024-10-14,96.99,97.68,94.00,97.22,11260
