Date,Open,High,Low,Close,Volume
2026-04-20,1600.05,1637.95,1530.10,1549.20,190
2026-04-21,1550.05,1631.00,1541.15,1542.65,378
2026-04-22,1699.00,1699.00,1510.00,1547.90,333
2026-04-23,1547.90,1607.30,1484.90,1536.10,1401
2026-04-24,1618.00,1618.00,1520.20,1532.25,160
2026-04-27,1501.65,1590.00,1501.65,1558.00,280
2026-04-28,1550.05,1550.10,1530.10,1540.70,463
2026-04-29,1540.05,1554.00,1530.00,1540.65,90
2026-04-30,1540.05,1688.00,1525.05,1572.75,353
2026-05-04,1572.00,1688.00,1551.10,1619.90,2257
2026-05-05,1619.90,1619.90,1575.10,1584.70,367
2026-05-06,1560.10,1620.00,1560.10,1575.10,17
2026-05-07,1553.10,1635.00,1553.10,1613.00,95
2026-05-08,1613.00,1613.00,1565.30,1603.80,227
2026-05-11,1603.00,1603.00,1550.00,1556.80,289
2026-05-12,1558.00,1558.00,1537.10,1540.00,43
2026-05-13,1540.00,1573.90,1515.10,1573.90,61
2026-05-14,1609.90,1609.90,1548.00,1590.10,96
2026-05-15,1561.20,1591.10,1561.20,1590.60,43
2026-05-18,1567.10,1590.00,1567.10,1571.20,251
2026-05-19,1560.00,1599.90,1555.00,1599.90,30
2026-05-20,1598.00,1598.90,1552.20,1589.30,13
2026-05-21,1636.00,1640.00,1590.10,1595.20,1061
2026-05-22,1620.00,1629.20,1580.00,1624.10,591
2026-05-25,1630.00,1670.00,1575.40,1651.20,1018
2026-05-26,1643.00,1672.00,1612.00,1662.50,1377
2026-05-27,1662.50,1710.00,1631.70,1707.70,1559
2026-05-29,1707.70,1720.00,1655.10,1708.60,1672
2026-06-01,1744.00,1744.00,1680.60,1727.50,442
2026-06-02,1748.00,1748.00,1700.00,1740.80,260
2026-06-03,1744.00,1799.00,1732.10,1756.10,550
2026-06-04,1756.10,1757.00,1700.00,1708.40,255
2026-06-05,1730.00,1747.90,1700.00,1712.00,248
2026-06-08,1780.00,1780.00,1666.90,1695.50,306
2026-06-09,1744.00,1744.00,1693.90,1730.90,58
2026-06-10,1731.90,1732.00,1683.00,1712.50,238
2026-06-11,1680.30,1761.90,1680.00,1703.00,375
2026-06-12,1655.30,1730.00,1655.30,1717.00,94
2026-06-15,1755.00,1755.00,1692.10,1745.80,301
2026-06-16,1745.80,1755.00,1710.00,1739.10,104
2026-06-17,1750.00,1750.00,1690.30,1709.00,280
2026-06-18,1710.00,1730.00,1680.00,1704.10,229
2026-06-19,1650.00,1750.00,1650.00,1736.30,699
2026-06-22,1753.00,1832.90,1753.00,1794.90,2202
2026-06-23,1828.00,1828.00,1740.00,1758.50,1178
2026-06-24,1758.50,1798.00,1748.00,1781.20,1669
2026-06-25,1799.90,1850.00,1741.10,1800.40,3516
2026-06-29,1800.40,1850.00,1751.00,1777.10,4315
2026-06-30,1776.00,1810.00,1742.00,1774.10,2960
2026-07-01,1800.10,1800.10,1745.60,1754.80,2636
2026-07-02,1754.80,1770.00,1744.40,1765.40,2213
2026-07-03,1765.40,1789.90,1746.00,1770.30,2094
2026-07-06,1800.00,1800.00,1758.00,1768.00,3329
2026-07-07,1736.30,1756.00,1711.40,1731.60,2627
2026-07-08,1701.30,1749.00,1700.00,1741.00,2470
2026-07-09,1727.00,1815.60,1715.30,1787.40,1426
2026-07-10,1754.50,1792.70,1754.00,1767.20,927
2026-07-13,1767.70,1805.10,1748.20,1763.30,5874
2026-07-14,1750.00,1875.00,1742.60,1767.90,5538
2026-07-15,1835.00,1850.00,1761.90,1770.80,5625
2026-07-16,1798.20,1864.10,1752.00,1771.70,11430
2026-07-17,1798.00,1798.00,1762.00,1781.60,4669
2026-07-20,1780.50,1847.90,1728.10,1829.70,5885
2026-07-21,1841.30,1841.30,1773.70,1790.40,4041
2026-07-22,1790.80,1800.00,1760.10,1785.50,3845
2026-07-23,1786.30,1786.30,1743.30,1756.00,1531
2026-07-24,1775.50,1814.00,1749.10,1759.50,4790
2026-07-27,1752.40,1769.60,1748.20,1749.60,607
2026-07-28,1750.00,1769.90,1640.00,1691.80,5983
2026-07-29,1717.20,1759.20,1699.90,1708.40,3203
2026-07-30,1702.20,1765.00,1679.70,1693.90,5779
2026-07-31,1749.00,1749.00,1621.40,1693.30,5762
2026-08-03,1712.00,1750.00,1693.20,1748.50,1972
2026-08-04,1748.40,1750.00,1704.10,1728.30,365
2026-08-05,1749.70,1762.80,1740.00,1749.10,1928
2026-08-06,1741.00,1763.90,1671.40,1690.30,1295
2026-08-07,1713.80,1739.90,1700.00,1720.70,1753
2026-08-10,1755.60,1770.00,1728.80,1758.20,3097
2026-08-11,1761.40,1801.00,1705.00,1717.40,3064
2026-08-12,1778.00,1778.00,1711.00,1728.60,1839
2026-08-13,1740.20,1795.00,1683.90,1697.80,2251
2026-08-14,1732.70,1772.50,1716.60,1737.00,1694
2026-08-17,1769.80,1790.00,1737.00,1747.90,2093
2026-08-18,1750.70,1800.00,1740.10,1762.70,1966
2026-08-19,1774.10,1780.00,1750.10,1754.20,1890
2026-08-20,1754.20,1780.00,1750.00,1765.20,3295
