Date,Open,High,Low,Close,Volume
2015-01-01,224.00,232.40,220.88,222.23,682784
2015-01-02,223.75,223.75,211.12,211.23,116612
2015-01-05,211.00,214.43,201.62,205.57,63108
2015-01-06,202.00,203.00,196.00,197.20,63122
2015-01-07,201.45,205.50,197.50,202.70,49400
2015-01-08,211.77,212.82,205.27,212.82,35166
2015-01-09,223.45,223.45,215.77,223.45,217440
2015-01-12,227.98,227.98,215.80,218.23,74740
2015-01-13,216.50,221.98,213.00,216.93,39334
2015-01-14,212.75,221.25,211.25,214.75,36682
2015-01-15,215.10,218.35,211.00,211.57,26016
2015-01-16,219.90,219.90,212.50,215.02,30722
2015-01-19,215.02,218.50,210.00,210.65,28194
2015-01-20,206.12,215.40,206.12,213.00,23616
2015-01-21,210.50,216.50,210.50,212.82,41116
2015-01-22,212.82,214.00,210.77,212.80,59924
2015-01-23,213.00,214.50,207.02,208.23,86682
2015-01-27,208.00,214.00,205.50,211.27,57628
2015-01-28,212.50,221.82,208.50,221.82,40396
2015-01-29,229.50,231.20,220.50,225.55,74506
2015-01-30,227.00,227.00,222.50,224.30,38464
2015-02-02,229.95,234.95,223.00,231.90,56828
2015-02-03,234.50,234.50,225.52,230.60,26520
2015-02-04,227.50,233.00,222.50,224.75,29114
2015-02-05,225.02,231.95,213.52,215.07,37402
2015-02-06,219.35,223.27,207.50,213.23,27244
2015-02-09,219.50,219.50,202.60,208.98,20600
2015-02-10,208.80,214.50,205.02,208.25,14446
2015-02-11,213.98,213.98,207.27,209.82,11552
2015-02-12,211.32,214.27,205.57,208.62,20670
2015-02-13,206.50,212.50,206.50,210.93,24290
2015-02-16,210.00,214.95,210.00,210.48,15602
2015-02-18,210.50,220.98,210.50,220.98,20524
2015-02-19,231.50,231.95,220.50,224.88,44876
2015-02-20,224.00,236.00,217.52,234.05,65260
2015-02-23,236.10,245.75,234.50,240.95,242700
2015-02-24,242.50,247.40,228.93,231.88,121980
2015-02-25,232.52,240.00,232.52,233.88,66652
2015-02-26,235.00,235.00,226.15,227.35,42064
2015-02-27,225.00,231.23,225.00,226.15,37914
2015-02-28,230.32,230.35,222.50,224.20,70928
2015-03-02,224.00,232.35,223.60,225.10,36388
2015-03-03,228.27,236.35,224.77,236.35,177650
2015-03-04,237.00,239.00,227.00,231.95,110302
2015-03-05,232.50,243.52,228.18,241.27,343554
2015-03-09,238.27,261.23,232.82,255.80,654720
2015-03-10,257.95,267.52,250.65,255.90,268676
2015-03-11,257.95,259.42,250.10,252.25,105230
