Date,Open,High,Low,Close,Volume
2026-09-02,72.00,75.60,70.00,75.60,6333016
2026-09-03,74.80,74.80,71.82,71.82,2067647
2026-09-04,68.23,69.00,68.23,68.23,412335
2026-09-07,64.82,64.82,64.82,64.82,124866
2026-09-08,61.58,61.58,61.58,61.58,166981
2026-09-09,58.51,58.51,58.51,58.51,188774
2026-09-10,57.00,61.43,56.50,61.42,2362524
2026-09-11,59.09,59.70,58.35,58.35,291772
2026-09-15,55.44,55.44,55.44,55.44,129616
2026-09-16,52.67,52.67,52.67,52.67,94002
2026-09-17,50.43,51.98,46.55,49.28,2867305
2026-09-18,49.05,52.40,49.05,50.46,1339155
