Date,Open,High,Low,Close,Volume
2026-08-17,72.80,72.80,72.80,72.80,41
2026-08-18,76.00,76.00,73.00,73.00,145
2026-08-20,73.00,73.00,73.00,73.00,1
2026-08-21,75.00,75.00,73.00,73.50,391
2026-08-24,72.50,75.00,70.64,74.98,839
2026-08-25,74.97,75.00,74.00,74.00,5001
2026-08-26,74.00,74.00,72.01,72.01,310
2026-08-27,73.50,85.69,72.01,85.69,263
2026-08-28,77.45,86.49,77.45,82.42,10639
2026-08-31,82.42,82.42,77.00,77.00,919
2026-09-01,85.00,92.40,76.50,78.57,46059
2026-09-02,82.00,82.00,76.10,78.91,1443
2026-09-03,78.91,81.40,75.01,76.35,925
2026-09-04,75.00,83.00,75.00,80.68,905
2026-09-07,84.90,84.90,76.34,79.24,1438
2026-09-08,89.99,89.99,80.00,82.50,1815
2026-09-09,82.50,82.50,75.00,77.15,667
2026-09-10,77.00,86.00,76.21,80.90,2021
2026-09-11,81.70,82.51,81.00,82.00,276
2026-09-15,82.00,87.00,79.00,84.00,10068
2026-09-16,86.99,86.99,78.00,80.11,2850
2026-09-17,83.25,83.25,81.99,83.00,138
2026-09-18,82.99,82.99,78.00,78.97,110
