Date,Open,High,Low,Close,Volume
2016-06-14,249.55,249.55,217.10,234.95,407
2016-06-15,239.95,249.00,220.10,229.30,1216
2016-06-16,244.95,244.95,231.05,231.05,14
2016-06-17,240.00,240.00,229.50,229.50,139
2016-06-20,249.95,249.95,230.15,238.95,714
2016-06-21,239.00,239.45,234.95,238.95,519
2016-06-22,242.85,242.85,235.00,235.00,140
2016-06-23,230.30,248.95,230.00,237.95,862
2016-06-24,221.15,234.00,198.30,228.00,4043
2016-06-27,230.00,241.00,230.00,235.05,3857
2016-06-28,238.00,244.75,238.00,241.10,5888
2016-06-29,243.00,244.80,240.00,243.00,4177
2016-06-30,244.00,291.00,224.00,260.80,365789
2016-07-01,278.40,289.50,256.35,267.60,324207
2016-07-04,268.00,270.00,256.90,260.35,76073
2016-07-05,260.35,268.00,252.10,261.80,39972
2016-07-07,259.90,265.50,255.05,256.40,27671
2016-07-08,256.00,263.80,250.55,251.90,17054
2016-07-11,255.05,264.70,255.00,263.00,38010
2016-07-12,265.00,270.00,265.00,266.80,35832
2016-07-13,269.50,270.00,264.15,266.50,30540
2016-07-14,265.10,266.40,255.40,262.65,13955
2016-07-15,262.50,264.95,257.75,258.30,7398
2016-07-18,259.10,262.45,255.10,256.00,12492
2016-07-19,255.05,259.90,252.55,255.95,5632
2016-07-20,259.85,262.00,256.00,258.45,12862
2016-07-21,258.05,262.00,257.00,257.90,6009
2016-07-22,262.45,286.30,261.95,277.70,136513
2016-07-25,279.90,300.00,275.00,293.55,128241
2016-07-26,292.15,297.00,276.00,285.15,62042
2016-07-27,285.30,300.00,272.05,294.95,89676
2016-07-28,303.50,325.00,284.35,289.65,358009
2016-07-29,290.00,298.95,287.00,289.65,50752
2016-08-01,294.50,298.00,273.60,279.55,50707
2016-08-02,282.00,294.50,271.10,276.20,39874
2016-08-03,277.00,277.00,256.50,261.60,71925
2016-08-04,262.10,268.90,253.00,259.80,18584
2016-08-05,263.25,274.00,261.00,269.40,27569
2016-08-08,278.00,286.00,262.10,282.10,61222
2016-08-09,286.00,286.00,272.00,277.85,15525
2016-08-10,278.00,281.85,258.00,261.50,31975
2016-08-11,284.00,284.00,256.20,257.90,30249
2016-08-12,258.25,269.30,255.30,261.40,13430
2016-08-16,267.95,269.00,255.30,256.65,11829
2016-08-17,264.40,264.40,251.00,253.65,17578
2016-08-18,250.00,265.00,250.00,263.10,29161
2016-08-19,257.00,265.75,257.00,260.05,22750
2016-08-22,258.00,259.80,250.05,253.70,13307
2016-08-23,255.00,258.45,250.00,254.50,24506
2016-08-24,258.00,262.80,254.00,258.40,14235
2016-08-25,259.95,266.00,258.00,260.25,25821
2016-08-26,267.00,267.00,260.00,261.10,12706
2016-08-29,262.95,262.95,260.00,260.20,7267
2016-08-30,258.00,272.40,252.10,269.95,17509
2016-08-31,267.00,272.00,255.50,264.10,21049
2016-09-01,267.40,270.00,260.00,261.15,14299
2016-09-02,260.00,267.60,259.60,264.15,13977
2016-09-06,272.00,272.00,260.10,260.55,8763
2016-09-07,260.15,261.95,253.50,256.45,4625
2016-09-08,252.10,264.00,250.10,255.15,42383
2016-09-09,251.50,260.00,251.50,257.50,11207
2016-09-12,255.00,259.50,245.05,257.05,32679
2016-09-14,251.90,261.50,250.00,257.35,7525
2016-09-15,254.55,266.00,254.55,257.95,7011
2016-09-16,258.00,263.20,257.95,260.15,12971
2016-09-19,266.45,266.45,259.95,260.45,12945
2016-09-20,260.00,260.05,257.10,259.50,20306
2016-09-21,260.00,267.20,258.00,260.25,35469
2016-09-22,261.05,281.05,260.50,273.05,29390
2016-09-23,276.00,276.20,265.10,270.00,19304
2016-09-26,270.00,270.00,260.00,260.30,9470
2016-09-27,263.00,271.00,260.05,260.70,12420
2016-09-28,267.05,267.05,260.00,260.20,3377
2016-09-29,260.10,269.00,231.55,244.00,21097
2016-09-30,253.00,260.00,245.35,257.45,22589
2016-10-03,264.00,269.00,260.10,266.55,9494
2016-10-04,274.00,274.00,266.00,268.55,16225
2016-10-05,270.00,275.00,262.25,265.95,9267
2016-10-06,266.50,274.00,254.00,262.65,16802
2016-10-07,262.65,265.00,261.00,264.50,6571
2016-10-10,273.75,273.75,261.95,265.15,26221
2016-10-13,274.00,274.00,255.15,259.65,22610
2016-10-14,265.00,274.95,264.10,272.35,80548
2016-10-17,276.00,279.00,262.35,274.40,40986
2016-10-18,275.00,279.00,270.05,275.35,16072
2016-10-19,275.00,297.00,274.00,288.45,87573
2016-10-20,294.50,295.00,282.15,285.10,36487
2016-10-21,286.00,289.00,276.45,280.15,19714
2016-10-24,280.00,290.00,280.00,285.90,37703
2016-10-25,289.00,289.00,279.45,282.10,14561
2016-10-26,282.50,284.00,276.00,279.10,21205
2016-10-27,278.80,284.90,276.00,280.90,23380
2016-10-28,282.00,286.00,280.90,284.10,15875
2016-11-01,291.85,291.85,280.00,282.45,8470
2016-11-02,278.00,281.90,275.00,277.25,6001
2016-11-03,284.95,284.95,267.00,269.50,7976
2016-11-04,272.00,272.00,252.10,256.00,11468
2016-11-07,268.00,271.80,260.00,263.45,10069
2016-11-08,267.00,268.80,260.00,263.00,9196
2016-11-09,244.50,258.60,212.30,245.15,40836
2016-11-10,255.50,259.00,240.00,241.05,25180
2016-11-11,238.00,238.05,209.70,223.85,62922
2016-11-15,224.00,229.00,179.10,181.50,56391
2016-11-16,182.50,192.00,163.35,179.85,43770
2016-11-17,180.00,193.80,173.00,190.35,23754
2016-11-18,188.45,197.50,180.00,189.50,8960
2016-11-21,189.50,192.00,180.00,187.90,23728
2016-11-22,190.00,194.80,175.00,183.50,9806
2016-11-23,189.90,190.30,180.00,189.45,14129
2016-11-24,190.00,194.00,190.00,191.75,9489
2016-11-25,195.90,206.00,192.20,204.00,17140
2016-11-28,206.00,208.00,201.15,206.25,9316
2016-11-29,208.90,213.70,200.10,205.25,10159
2016-11-30,210.00,210.00,205.00,206.50,4632
