Date,Open,High,Low,Close,Volume
2006-09-25,35.11,41.73,35.11,38.46,64336575
2006-09-26,38.76,39.40,36.88,37.79,14177040
2006-09-27,37.98,39.38,37.62,37.94,7237110
2006-09-28,38.20,38.71,37.24,37.66,7444235
2006-09-29,37.70,38.54,36.83,37.30,5396785
2006-10-03,37.40,38.96,37.01,38.43,7084885
2006-10-04,38.66,43.32,38.00,41.37,32360235
2006-10-05,41.82,45.10,41.64,43.87,23042750
2006-10-06,44.75,45.38,43.10,43.93,13353135
2006-10-09,44.00,52.72,43.04,52.37,31905630
2006-10-10,52.60,54.74,51.73,53.43,34332385
2006-10-11,53.94,58.44,53.90,56.77,30898300
2006-10-12,57.00,62.45,56.03,62.43,37671165
2006-10-13,62.80,67.38,62.73,64.61,39651985
2006-10-16,64.80,65.88,63.38,64.90,19234495
2006-10-17,65.36,71.39,63.40,65.62,34230920
2006-10-18,64.00,66.56,62.42,65.13,15773715
2006-10-19,65.60,68.20,65.60,66.46,9285300
2006-10-20,67.00,69.79,67.00,69.10,9612150
2006-10-23,70.60,72.38,69.91,70.31,5640715
2006-10-26,70.93,72.40,70.25,70.79,5171710
2006-10-27,71.57,74.33,71.06,74.21,6762725
2006-10-30,74.60,77.92,74.60,77.88,8024560
2006-10-31,78.98,80.97,74.40,76.73,7889755
2006-11-02,73.74,77.64,71.73,77.47,4576680
2006-11-03,78.00,79.60,76.53,77.64,5058975
2006-11-06,78.00,81.53,77.00,81.50,6457730
2006-11-07,83.40,85.00,81.01,81.58,5961235
2006-11-08,81.98,83.56,80.80,82.37,3012575
2006-11-09,82.60,86.49,81.85,86.49,3000375
2006-11-10,88.80,90.82,88.02,90.82,252985
2006-11-13,94.96,95.37,94.96,95.37,88150
2006-11-14,99.54,100.14,97.40,100.14,1067730
2006-11-15,105.15,105.15,103.96,105.15,347570
2006-11-16,110.41,110.41,110.41,110.41,1270285
2006-11-17,114.89,115.93,108.00,115.93,6649600
2006-11-20,118.60,121.73,117.22,121.73,4892390
2006-11-21,125.60,127.82,125.60,127.82,456645
2006-11-22,134.22,134.22,134.22,134.22,61455
2006-11-23,140.94,140.94,140.94,140.94,50155
2006-11-24,147.99,147.99,137.10,147.99,4041615
2006-11-27,155.20,155.39,148.26,155.39,3231850
2006-11-28,158.80,163.16,154.20,163.16,2747940
2006-11-29,170.73,171.32,168.00,171.32,74340
2006-11-30,179.89,179.89,175.00,179.89,1892905
2006-12-01,188.89,188.89,184.00,188.89,1450435
2006-12-04,194.00,198.34,194.00,198.34,67595
2006-12-05,208.26,208.26,206.00,208.26,427265
2006-12-06,218.68,218.68,218.68,218.68,10422690
2006-12-07,229.62,229.62,229.62,229.62,4106555
2006-12-08,239.40,241.11,234.00,241.11,2117205
2006-12-11,252.80,253.17,231.22,253.17,3900435
2006-12-12,261.00,265.83,240.52,240.53,5371430
2006-12-13,250.00,250.00,228.51,228.72,4169165
2006-12-14,228.00,240.16,227.00,239.87,3128730
2006-12-15,243.80,251.87,243.80,251.87,1486285
2006-12-18,262.93,264.47,250.66,264.20,4180315
2006-12-19,270.00,270.00,250.99,250.99,1885470
2006-12-20,242.02,254.00,238.44,238.44,578895
2006-12-21,226.52,226.52,226.52,226.52,15640
