Date,Open,High,Low,Close,Volume
2007-01-10,7.90,7.90,6.00,6.54,1125900
2007-01-11,6.65,7.00,6.55,6.71,152840
2007-01-12,6.83,7.13,6.66,6.81,109140
2007-01-15,6.68,6.95,6.68,6.79,9300
2007-01-16,6.56,6.60,6.56,6.60,9120
2007-01-17,6.31,7.00,6.30,6.50,271860
2007-01-18,6.50,6.74,6.50,6.53,20720
2007-01-19,6.30,6.53,6.06,6.13,137980
2007-01-22,6.30,6.90,5.56,6.18,392300
2007-01-23,6.25,6.30,6.00,6.16,94120
2007-01-24,6.06,6.27,6.00,6.07,87380
2007-01-25,5.80,6.13,5.80,5.93,156200
2007-01-29,5.80,6.10,5.80,5.86,9040
2007-01-31,6.15,6.20,5.90,5.94,20520
2007-02-01,6.20,7.12,6.15,7.08,306280
2007-02-02,7.35,7.39,6.57,6.73,446760
2007-02-05,6.52,7.15,6.52,6.87,226320
2007-02-06,7.20,7.20,6.65,6.71,31280
2007-02-07,7.00,7.00,6.40,6.50,38320
2007-02-08,6.50,6.65,6.45,6.56,23140
2007-02-09,6.45,6.70,6.25,6.51,24640
2007-02-12,6.74,6.74,6.26,6.31,13360
2007-02-13,6.25,6.50,6.19,6.39,15000
2007-02-14,6.25,6.36,6.06,6.10,9480
2007-02-19,6.35,6.50,6.35,6.41,19300
2007-02-20,6.25,6.35,6.25,6.27,17800
2007-02-21,6.35,6.50,6.10,6.22,12140
2007-02-22,6.40,6.40,5.91,6.03,12320
2007-02-23,5.90,5.90,5.75,5.76,4800
2007-02-26,5.60,5.60,5.50,5.50,14000
2007-02-27,5.55,5.80,5.32,5.32,13840
2007-02-28,5.60,5.75,5.36,5.52,32000
2007-03-01,5.52,5.63,5.52,5.60,10040
2007-03-02,5.60,5.60,5.36,5.40,7840
2007-03-05,5.36,5.50,5.00,5.15,28580
2007-03-06,5.45,5.45,5.00,5.00,12700
2007-03-07,5.45,5.45,4.76,4.95,5680
2007-03-08,5.05,5.50,4.90,5.30,24200
2007-03-09,5.35,5.35,5.05,5.30,12480
2007-03-12,5.11,5.20,5.10,5.20,4440
2007-03-13,5.40,5.48,5.28,5.41,5500
2007-03-14,4.71,5.50,4.66,5.21,23140
2007-03-15,5.50,5.50,5.33,5.33,10020
2007-03-16,5.23,5.66,5.23,5.28,97760
2007-03-19,5.11,5.45,5.11,5.45,2520
2007-03-20,5.33,5.53,5.15,5.18,31440
2007-03-21,4.75,5.24,4.75,5.12,14840
2007-03-22,5.25,5.30,5.10,5.25,27960
2007-03-23,5.09,5.24,5.09,5.10,9040
2007-03-26,5.10,5.31,5.01,5.05,11580
