Date,Open,High,Low,Close,Volume
2008-01-03,840.00,922.70,840.00,901.45,8229039
2008-01-04,905.00,989.00,880.05,903.55,3841192
2008-01-07,914.00,914.00,871.15,886.65,1428489
2008-01-08,945.55,945.55,820.00,838.50,534033
2008-01-09,750.00,869.00,750.00,819.85,801716
2008-01-10,840.00,840.00,770.00,779.90,309836
2008-01-11,793.00,803.00,745.20,785.05,397472
2008-01-14,774.80,787.00,757.00,775.80,208940
2008-01-15,780.00,842.70,769.00,779.55,484298
2008-01-16,768.60,770.00,720.00,737.95,334431
2008-01-17,753.00,764.00,738.00,752.00,182511
2008-01-18,779.00,779.00,712.25,728.00,173963
2008-01-21,723.00,723.00,635.30,661.45,161002
2008-01-22,550.00,630.00,529.20,546.95,76820
2008-01-23,570.00,620.00,520.00,601.35,170526
2008-01-24,616.00,625.00,570.60,599.35,121369
2008-01-25,616.25,655.00,600.00,648.90,96319
2008-01-28,650.00,650.00,581.00,619.60,86656
2008-01-29,622.00,642.90,615.00,617.20,31557
2008-01-30,619.50,620.00,603.00,610.50,44051
2008-01-31,611.00,634.90,586.10,625.70,52158
2008-02-01,616.50,623.00,595.00,612.45,59884
2008-02-04,650.00,711.00,617.00,699.95,255981
2008-02-05,680.00,703.85,654.00,680.60,114256
2008-02-06,650.00,699.00,601.00,683.00,112594
2008-02-07,688.00,717.45,671.00,682.55,169776
2008-02-08,679.90,689.95,620.00,628.35,76442
2008-02-11,640.00,677.90,560.00,614.10,87733
2008-02-12,628.00,628.00,565.00,571.55,52194
2008-02-13,577.05,592.00,560.00,563.25,45786
2008-02-14,618.00,618.00,569.00,573.75,47004
2008-02-15,602.30,602.30,560.00,580.75,38489
2008-02-18,550.00,595.00,550.00,587.25,29636
2008-02-19,597.00,603.00,580.00,583.30,27771
2008-02-20,566.10,588.00,560.15,579.10,25634
2008-02-21,580.10,602.80,575.00,586.60,81449
2008-02-22,580.00,582.95,565.00,569.35,15365
2008-02-25,571.00,599.00,556.50,585.20,54793
2008-02-26,590.70,596.95,568.00,572.20,31687
