Date,Open,High,Low,Close,Volume
2001-12-31,4.00,4.00,4.00,4.00,400
2002-01-01,4.32,4.32,4.32,4.32,400
2002-01-10,4.50,4.50,4.50,4.50,800
2002-01-14,4.50,4.50,4.50,4.50,400
2002-01-16,4.50,4.50,4.50,4.50,400
2002-01-17,4.35,4.35,4.35,4.35,40000
2002-01-18,4.44,4.44,4.44,4.44,1600
2002-01-21,4.32,4.34,4.31,4.31,100800
2002-01-25,4.39,4.39,4.39,4.39,80000
2002-02-07,4.50,4.50,4.50,4.50,400
2002-02-11,4.64,4.64,4.51,4.54,40400
2002-02-14,4.61,4.65,4.61,4.65,68000
2002-02-18,4.70,4.72,4.70,4.72,80000
2002-02-19,4.88,4.88,4.88,4.88,800
2002-02-21,4.88,4.94,4.79,4.94,41800
2002-02-22,4.82,4.89,4.82,4.89,60900
2002-02-25,5.07,5.07,5.06,5.06,800
2002-02-26,5.19,5.19,5.19,5.19,1600
2002-02-27,5.00,5.18,5.00,5.18,1200
2002-02-28,5.03,5.10,5.03,5.03,61200
2002-03-01,5.05,5.05,5.05,5.05,400
2002-03-04,5.19,5.25,5.19,5.25,1608
2002-03-05,5.25,5.38,5.25,5.38,2192
2002-03-06,5.56,5.56,5.28,5.56,800
2002-03-07,5.61,5.79,5.39,5.79,5800
2002-03-08,5.82,5.82,5.59,5.59,76
2002-03-11,5.50,5.50,5.50,5.50,280
2002-03-12,5.36,5.36,5.36,5.36,1200
2002-03-14,5.25,5.25,5.25,5.25,400
2002-03-19,5.31,5.38,5.31,5.38,2616
2002-03-21,5.18,5.18,5.18,5.18,60
2002-04-01,5.03,5.03,5.03,5.03,16
2002-04-04,5.06,5.06,5.00,5.03,1400
2002-04-05,4.94,4.94,4.94,4.94,20
2002-04-11,5.07,5.07,5.07,5.07,400
2002-04-16,5.10,5.10,5.10,5.10,400
2002-04-18,5.15,5.15,5.15,5.15,400
2002-04-22,5.07,5.07,5.07,5.07,16
2002-04-24,5.10,5.10,5.10,5.10,400
2002-04-26,5.14,5.31,5.12,5.31,408
2002-04-29,5.53,5.53,5.53,5.53,400
2002-05-02,5.76,5.76,5.76,5.76,200
2002-05-03,6.05,6.05,5.75,6.00,4000
2002-05-06,6.10,6.12,6.10,6.12,1800
2002-05-07,5.91,5.91,5.91,5.91,800
2002-05-08,5.91,6.19,5.91,6.00,2600
2002-05-09,6.29,6.29,5.96,5.96,800
2002-05-10,5.79,6.26,5.75,6.26,4200
2002-05-13,6.03,6.03,6.03,6.03,800
2002-05-14,6.32,6.32,6.32,6.32,100
2002-05-15,6.61,6.65,6.61,6.62,1100
