Date,Open,High,Low,Close,Volume
2008-07-28,163.00,166.00,160.20,165.25,55042
2008-07-29,160.50,164.90,160.50,162.10,11941
2008-07-30,163.90,165.00,161.60,164.05,170787
2008-07-31,165.00,165.10,152.30,157.00,143865
2008-08-01,157.50,165.50,156.00,164.95,57861
2008-08-04,163.25,171.50,163.25,169.25,66819
2008-08-05,171.95,180.80,170.00,175.00,158256
2008-08-06,178.25,181.30,174.20,175.70,78419
2008-08-07,175.15,185.90,173.20,184.25,101601
2008-08-08,183.00,189.50,180.10,182.90,74581
2008-08-11,186.50,188.80,183.30,184.80,49277
2008-08-12,183.55,184.40,172.60,176.55,44143
2008-08-13,176.00,176.95,172.00,173.40,29383
2008-08-14,173.00,178.50,170.50,175.50,49697
2008-08-18,175.00,175.85,172.25,172.55,10490
2008-08-19,172.55,174.85,169.20,171.55,31492
2008-08-20,173.40,174.65,171.65,172.55,8887
2008-08-21,173.90,173.90,166.55,167.55,9177
2008-08-22,172.90,172.90,165.40,168.55,14730
2008-08-25,173.90,173.90,165.20,165.95,35436
2008-08-26,166.00,166.60,163.20,163.95,21728
2008-08-27,164.05,165.75,161.50,163.20,65452
2008-08-28,164.00,165.20,156.90,160.80,254120
2008-08-29,167.90,167.90,162.00,163.45,29265
2008-09-01,155.00,164.00,155.00,162.95,12556
2008-09-02,163.00,164.95,162.65,163.90,48927
2008-09-04,163.00,166.00,161.20,163.35,46231
2008-09-05,161.20,163.00,159.10,160.05,12604
2008-09-08,167.00,167.00,161.00,161.10,24252
2008-09-09,164.00,164.00,159.75,161.00,26504
2008-09-10,157.50,170.00,157.50,166.90,239088
2008-09-11,171.95,171.95,160.10,161.20,313756
2008-09-15,151.60,151.60,140.55,142.20,125137
2008-09-16,140.20,141.40,132.60,139.05,61659
2008-09-17,145.50,145.50,135.00,136.15,33313
2008-09-18,132.85,132.85,122.15,129.95,94232
2008-09-19,134.00,138.00,130.00,136.85,70804
2008-09-22,136.85,138.00,133.15,134.65,23708
2008-09-23,131.95,134.75,130.05,132.55,29162
2008-09-24,132.40,134.80,132.00,133.95,30899
2008-09-25,131.60,135.95,125.65,129.80,157132
2008-09-26,127.20,129.80,123.00,124.95,111028
2008-09-29,122.00,127.95,114.25,122.80,158038
2008-09-30,120.00,127.90,114.00,125.40,60209
2008-10-01,122.00,127.05,122.00,125.60,16281
2008-10-03,125.10,125.35,123.00,123.05,13455
2008-10-06,120.00,122.00,112.10,114.20,26481
2008-10-07,112.50,118.90,108.20,115.05,22456
2008-10-08,111.00,113.30,99.00,102.85,45082
2008-10-10,96.60,109.90,83.00,101.40,66393
2008-10-13,106.00,106.00,97.20,102.45,18485
2008-10-14,106.00,109.50,102.40,103.25,31575
2008-10-15,99.00,103.00,92.25,100.75,15714
2008-10-16,97.90,99.90,92.15,97.95,12212
2008-10-17,98.05,102.90,94.75,95.15,29553
2008-10-20,95.10,99.90,92.10,93.95,13483
2008-10-21,100.00,100.00,91.30,95.05,25051
2008-10-22,95.05,102.85,90.90,92.15,155064
2008-10-23,80.00,93.95,80.00,90.35,23516
2008-10-24,88.50,91.00,80.10,82.05,22717
2008-10-27,79.00,81.95,70.00,78.65,72558
2008-10-28,87.75,87.75,75.10,81.80,8899
2008-10-29,82.50,86.00,70.00,75.10,426060
2008-10-31,79.90,81.95,75.15,80.10,82790
2008-11-03,81.40,94.00,81.40,92.25,79854
2008-11-04,94.00,101.95,88.30,100.60,97441
2008-11-05,104.10,104.10,95.25,95.70,41528
2008-11-06,91.50,94.45,88.10,88.30,22049
2008-11-07,90.00,92.90,87.00,88.10,18382
2008-11-10,90.00,93.80,89.50,92.55,32304
2008-11-11,97.00,97.00,89.35,89.70,21385
2008-11-12,89.75,99.00,88.00,91.30,74514
2008-11-14,93.00,99.75,93.00,98.70,92027
2008-11-17,95.00,100.90,95.00,96.30,304951
2008-11-18,95.10,99.45,95.10,96.90,40468
2008-11-19,96.55,104.00,96.50,100.40,55445
2008-11-20,98.10,102.60,94.10,100.90,65213
2008-11-21,100.00,106.80,100.00,105.70,52394
2008-11-24,107.95,111.00,103.10,107.80,35191
2008-11-25,109.10,110.00,105.25,107.10,39327
2008-11-26,112.00,112.00,106.00,108.00,34803
2008-11-28,106.00,107.65,101.10,102.65,86123
2008-12-01,103.00,105.85,101.05,101.90,8529
2008-12-02,101.10,101.95,98.50,100.50,19033
2008-12-03,106.50,106.50,100.00,101.35,11609
2008-12-04,104.70,104.70,101.15,103.05,10782
2008-12-05,102.05,103.95,102.05,102.60,9158
2008-12-08,103.00,109.00,102.90,105.00,42558
2008-12-10,104.00,111.50,104.00,110.35,123646
2008-12-11,112.50,116.65,112.00,116.05,133205
2008-12-12,110.00,116.90,107.00,113.90,44110
2008-12-15,119.95,119.95,114.15,116.10,18749
2008-12-16,110.55,123.00,107.30,120.20,885646
2008-12-17,128.00,128.00,118.00,120.05,27133
2008-12-18,120.00,122.00,115.00,121.00,15006
2008-12-19,125.00,125.00,119.00,120.85,30957
2008-12-22,121.00,124.75,120.25,122.70,13751
2008-12-23,122.80,125.95,118.00,123.80,39048
2008-12-24,120.05,124.65,120.05,121.45,16209
