Date,Open,High,Low,Close,Volume
2024-02-06,305.00,366.00,303.10,366.00,49965562
2024-02-07,397.95,423.70,357.05,363.95,15744091
2024-02-08,350.00,359.00,322.45,339.40,6307054
2024-02-09,342.50,355.45,335.25,344.35,1948328
2024-02-12,350.95,351.00,325.15,336.00,3931970
2024-02-13,330.95,330.95,302.00,309.30,2004515
2024-02-14,302.05,342.70,300.00,326.00,2674558
2024-02-15,327.80,333.90,316.80,319.85,1818042
2024-02-16,322.80,379.45,318.05,364.25,9069121
2024-02-19,359.05,399.60,356.40,389.95,4905999
2024-02-20,389.95,418.35,386.55,399.45,5680784
2024-02-21,400.95,407.00,378.00,387.30,2467308
2024-02-22,391.90,397.00,374.20,390.85,1129674
2024-02-23,392.10,403.65,385.00,388.65,933565
2024-02-26,388.50,406.90,377.55,388.70,2363686
2024-02-27,390.00,404.45,386.00,387.40,2274839
2024-02-28,390.35,399.55,356.10,372.10,2731822
2024-02-29,373.20,380.95,366.05,369.55,442802
2024-03-01,374.80,388.60,373.25,379.95,2105364
2024-03-02,382.95,387.40,378.65,380.15,125188
2024-03-04,383.30,388.35,362.25,365.80,695383
2024-03-05,366.95,367.40,343.55,345.05,1924966
2024-03-06,345.10,348.95,320.00,328.10,6024863
2024-03-07,334.95,336.70,318.15,321.35,999250
2024-03-11,323.80,324.50,306.05,309.25,2222881
2024-03-12,309.80,313.50,290.20,295.35,1857550
2024-03-13,296.30,313.40,266.70,280.20,1752178
2024-03-14,274.95,336.20,272.00,317.20,3605159
2024-03-15,319.70,333.80,312.75,325.50,1729852
2024-03-18,327.80,332.95,313.00,316.65,1830692
2024-03-19,317.30,321.90,303.45,310.15,2159117
2024-03-20,312.10,318.65,305.05,313.45,2166925
2024-03-21,318.60,324.25,314.40,317.90,544139
2024-03-22,318.40,326.70,310.30,315.30,2803891
2024-03-26,317.00,324.70,309.05,312.75,806155
2024-03-27,315.00,321.90,306.50,308.05,2718895
2024-03-28,311.00,323.55,306.70,310.00,2455581
2024-04-01,316.50,332.00,314.35,320.80,1473020
2024-04-02,321.80,327.00,316.50,324.60,712464
2024-04-03,324.00,330.85,321.60,326.90,1140009
2024-04-04,332.00,337.00,323.10,326.65,968516
2024-04-05,327.20,332.40,324.15,327.20,682936
2024-04-08,329.75,343.30,326.60,333.10,1321025
2024-04-09,337.70,337.70,321.55,326.10,455995
2024-04-10,328.40,329.50,322.60,325.35,486089
2024-04-12,325.15,326.05,316.85,319.85,443711
2024-04-15,306.60,320.35,304.00,308.35,659780
2024-04-16,305.65,314.40,304.80,308.30,667474
2024-04-18,310.00,313.75,301.00,302.30,508484
2024-04-19,301.00,301.00,291.00,298.60,276822
2024-04-22,302.70,308.00,299.95,302.85,303895
2024-04-23,306.00,306.00,301.50,302.15,195694
2024-04-24,306.00,306.95,297.85,298.65,363459
2024-04-25,301.30,305.85,297.10,299.50,289995
2024-04-26,302.55,304.00,297.00,299.00,224301
2024-04-29,301.50,308.60,298.05,306.00,408032
2024-04-30,307.65,307.65,301.00,302.55,227827
2024-05-02,303.00,312.00,299.30,305.60,764619
2024-05-03,306.90,307.80,298.05,299.90,380308
2024-05-06,301.90,303.10,291.35,293.75,362991
2024-05-07,294.30,295.45,279.00,283.35,922911
2024-05-08,283.35,286.75,280.10,281.70,190272
2024-05-09,282.50,283.75,267.50,268.60,572318
2024-05-10,270.00,274.80,262.55,271.30,332612
2024-05-13,272.50,275.95,260.25,265.85,493162
2024-05-14,260.10,273.40,259.10,267.45,770240
2024-05-15,267.55,289.45,267.00,280.80,752573
2024-05-16,285.20,288.45,280.05,281.45,381060
2024-05-17,282.80,282.80,277.20,278.15,203799
2024-05-18,279.90,281.00,274.00,277.55,66718
2024-05-21,277.00,280.20,268.00,274.95,194754
2024-05-22,275.95,279.00,274.15,274.95,141434
2024-05-23,274.95,278.00,273.00,275.00,158885
2024-05-24,276.30,276.45,268.10,269.70,168398
2024-05-27,270.30,273.85,262.15,262.85,323176
2024-05-28,262.85,265.25,255.00,255.55,291656
2024-05-29,255.80,258.85,252.00,253.00,330126
2024-05-30,255.40,256.65,244.80,245.75,346296
2024-05-31,248.65,258.95,243.95,246.00,346323
2024-06-03,280.00,280.00,251.10,253.20,402334
2024-06-04,253.20,253.70,221.25,234.05,682821
2024-06-05,240.00,244.95,223.55,242.20,369541
2024-06-06,244.80,251.70,243.85,250.70,189590
2024-06-07,252.65,258.50,249.45,256.70,219106
2024-06-10,256.95,260.00,254.06,256.32,235804
2024-06-11,254.25,270.00,254.00,262.70,390577
2024-06-12,265.65,267.77,260.15,265.28,290968
2024-06-13,268.59,271.00,263.56,268.81,327744
2024-06-14,270.00,272.00,263.30,264.54,189165
2024-06-18,273.50,291.00,272.00,283.02,2112555
2024-06-19,285.20,290.80,276.10,278.94,1045828
2024-06-20,276.05,281.55,271.00,271.97,296722
2024-06-21,272.05,276.80,265.82,269.51,384740
2024-06-24,269.45,269.45,263.10,267.03,162362
2024-06-25,267.50,270.37,256.80,259.07,216398
2024-06-26,261.00,265.52,254.25,255.99,1519737
2024-06-27,257.20,259.92,249.00,253.15,354598
2024-06-28,255.15,255.85,249.00,251.59,315429
2024-07-01,251.50,259.10,251.40,253.65,534249
2024-07-02,259.10,259.10,250.10,251.45,560688
2024-07-03,252.55,254.00,250.00,252.15,346226
2024-07-04,255.25,256.90,249.60,250.50,327893
2024-07-05,250.00,251.45,244.75,245.55,597085
2024-07-08,248.95,248.95,240.00,241.10,268078
2024-07-09,241.25,249.45,235.30,238.80,430791
2024-07-10,244.65,245.75,236.60,237.40,405482
2024-07-11,240.00,242.00,237.00,238.00,198036
2024-07-12,240.00,245.00,229.10,241.55,681147
2024-07-15,243.20,243.40,233.60,236.40,594491
2024-07-16,235.50,238.65,233.05,234.70,670427
2024-07-18,237.95,237.95,230.00,232.90,252175
2024-07-19,233.00,233.75,223.00,223.95,420529
2024-07-22,222.90,228.00,221.70,223.10,181508
2024-07-23,224.20,225.95,216.00,223.70,302441
2024-07-24,225.70,232.60,221.65,229.45,367613
2024-07-25,227.50,229.20,222.35,224.20,272845
2024-07-26,225.90,237.80,225.15,228.30,898207
2024-07-29,231.00,232.05,221.50,225.70,602710
2024-07-30,224.55,231.00,223.10,229.50,258036
2024-07-31,231.40,234.75,226.80,227.50,202719
