Date,Open,High,Low,Close,Volume
2025-05-27,243.00,255.15,243.00,255.15,2004551
2025-05-28,267.00,267.00,242.39,244.53,1624383
2025-05-29,232.30,232.30,232.30,232.30,85603
2025-05-30,220.68,229.90,220.68,224.01,849305
2025-06-02,221.70,227.00,216.51,220.03,411760
2025-06-03,222.90,224.00,216.26,218.79,207736
2025-06-04,219.00,225.00,216.46,223.88,183642
2025-06-05,225.05,232.50,219.00,227.99,215775
2025-06-06,229.70,232.00,225.05,231.04,83187
2025-06-09,232.75,242.59,231.00,242.59,264844
2025-06-10,249.00,251.50,236.20,247.71,467809
2025-06-11,247.71,252.00,235.00,236.77,472240
2025-06-12,237.00,238.39,227.01,229.31,274649
2025-06-13,222.00,235.00,218.25,233.08,401796
2025-06-16,239.01,239.44,228.50,233.74,190574
2025-06-17,234.50,235.03,225.65,226.53,166120
2025-06-18,227.00,229.00,221.79,223.57,104102
2025-06-19,224.68,226.90,217.39,221.40,209493
2025-06-20,219.70,222.53,217.50,218.11,273027
2025-06-23,217.00,226.70,217.00,223.93,527036
2025-06-24,226.05,227.04,219.36,220.23,171896
2025-06-25,220.05,224.90,219.00,219.93,305750
2025-06-26,220.00,223.55,218.81,219.79,166110
2025-06-27,221.00,221.98,218.51,219.09,126006
2025-06-30,219.99,221.00,218.50,219.13,75963
2025-07-01,221.00,222.00,217.30,218.00,221823
2025-07-02,219.59,230.20,218.73,221.12,732386
2025-07-03,222.00,225.50,221.21,222.86,125837
2025-07-04,222.10,224.00,220.25,221.34,71061
2025-07-07,223.40,226.50,220.00,220.84,178101
2025-07-08,221.50,229.90,221.50,226.92,384133
2025-07-09,225.00,236.99,224.90,233.82,657181
2025-07-10,235.00,235.00,225.00,225.95,277200
2025-07-11,225.50,229.88,222.00,227.62,224556
2025-07-14,227.00,231.65,225.00,227.05,164250
2025-07-15,227.10,230.01,225.22,228.64,106650
2025-07-16,230.95,244.79,229.11,236.31,831616
2025-07-17,241.09,245.00,235.00,236.60,360990
2025-07-18,238.60,240.17,233.28,237.91,310946
2025-07-21,238.08,239.71,226.50,227.82,208569
2025-07-22,227.82,235.18,227.10,227.67,198637
2025-07-23,228.04,229.32,224.00,225.61,127637
2025-07-24,225.70,227.99,222.22,223.38,93091
2025-07-25,223.38,223.51,219.61,222.35,126247
2025-07-28,222.90,224.90,217.06,217.84,97481
2025-07-29,219.90,227.90,218.64,225.44,161256
2025-07-30,223.21,226.73,221.00,221.88,60503
2025-07-31,220.00,222.76,217.00,219.96,47596
2025-08-01,221.90,222.98,217.50,219.50,86360
2025-08-04,220.00,222.00,218.00,220.41,53847
2025-08-05,223.80,226.00,220.10,222.45,174495
2025-08-06,223.33,223.33,218.11,220.23,121881
2025-08-07,219.60,222.00,218.54,221.26,71238
2025-08-08,222.00,223.38,219.35,220.18,111420
2025-08-11,221.50,222.59,217.08,219.62,104840
2025-08-12,220.99,222.30,218.18,218.89,57024
2025-08-13,220.95,220.97,218.00,218.38,23805
2025-08-14,220.00,222.97,218.00,222.09,72363
2025-08-18,224.90,224.90,221.05,222.81,69950
2025-08-19,224.81,224.81,220.00,220.48,81100
2025-08-20,221.99,221.99,218.60,219.46,43222
2025-08-21,218.95,220.99,217.00,217.75,244774
2025-08-22,217.08,219.00,216.00,216.80,96515
2025-08-25,217.99,218.00,216.00,216.23,45196
2025-08-26,216.00,216.23,213.00,215.39,216663
2025-08-28,213.54,215.27,213.00,214.55,46190
2025-08-29,216.03,216.04,213.01,214.41,39495
2025-09-01,215.00,215.90,213.00,214.76,57738
2025-09-02,214.76,217.00,214.50,216.36,100475
2025-09-03,216.00,216.00,213.49,214.47,24707
2025-09-04,215.90,215.90,211.00,212.64,22532
2025-09-05,214.45,216.00,212.00,214.82,42176
2025-09-08,215.80,222.00,213.50,220.93,197544
2025-09-09,222.00,223.59,217.60,218.09,24278
2025-09-10,217.00,221.80,217.00,219.56,245091
2025-09-11,220.90,221.00,218.59,219.89,80294
2025-09-12,220.00,221.00,218.50,220.56,44770
2025-09-15,221.90,221.90,219.00,219.20,25424
2025-09-16,219.70,224.00,219.00,220.94,149367
2025-09-17,222.90,222.90,218.40,219.91,49684
2025-09-18,219.80,220.80,217.00,217.50,50207
2025-09-19,217.00,220.40,217.00,218.42,72337
2025-09-22,218.85,218.85,217.01,217.90,20724
2025-09-23,218.90,218.99,216.75,218.42,51236
2025-09-24,219.00,219.00,216.50,216.74,83298
2025-09-25,216.51,217.76,216.50,216.71,189906
2025-09-26,217.90,218.50,216.50,216.51,91206
2025-09-29,216.50,217.90,216.00,216.15,75826
2025-09-30,217.85,228.00,215.35,224.67,198708
2025-10-01,225.70,230.50,220.31,222.53,96960
2025-10-03,224.90,226.00,220.00,220.97,100991
2025-10-06,222.00,235.00,219.49,229.99,160583
2025-10-07,229.00,240.00,227.44,230.31,115583
2025-10-08,228.00,230.08,223.11,225.11,31836
2025-10-09,227.00,227.00,223.00,225.11,26934
2025-10-10,224.80,232.00,224.00,228.77,259786
2025-10-13,228.50,229.75,226.19,227.66,29678
2025-10-14,226.01,228.00,219.81,221.11,52782
2025-10-15,220.00,222.00,220.00,220.30,27433
2025-10-16,222.80,232.50,220.41,223.79,142894
2025-10-17,221.20,225.22,216.61,219.44,78076
2025-10-20,220.00,223.50,220.00,221.31,10539
2025-10-21,224.70,235.01,220.99,230.24,53945
2025-10-23,234.00,234.00,227.00,228.58,37402
2025-10-24,228.50,231.59,225.18,226.93,32714
2025-10-27,229.00,232.40,226.95,229.18,53391
2025-10-28,231.00,231.00,226.51,227.73,21671
2025-10-29,228.50,234.70,225.00,232.73,75286
2025-10-30,234.90,235.01,227.25,227.86,41587
2025-10-31,227.50,228.99,225.00,226.25,38057
