Date,Open,High,Low,Close,Volume
2008-02-28,4000.00,4140.00,3880.00,3954.60,13356
2008-02-29,3954.90,3999.00,3925.00,3967.80,956
2008-03-03,3920.00,3979.90,3360.00,3950.00,1958
2008-03-04,3946.00,3950.00,3815.10,3922.55,2821
2008-03-05,3890.00,4000.00,3890.00,3962.50,2100
2008-03-07,3905.00,3937.00,3730.00,3745.40,2077
2008-03-10,3700.00,3845.00,3450.05,3763.65,1704
2008-03-11,3800.00,3939.00,3652.00,3896.25,1926
2008-03-12,3989.00,3989.00,3875.00,3932.70,3950
2008-03-13,3910.00,3917.00,3762.30,3863.75,2625
2008-03-14,3900.00,3900.00,3750.00,3826.75,991
2008-03-17,3800.00,3800.00,3675.00,3715.00,1233
2008-03-18,3685.00,3700.00,3610.00,3650.50,2647
2008-03-19,3815.00,3815.00,3525.20,3596.95,11030
2008-03-24,3525.00,3650.00,3450.00,3626.70,4391
2008-03-25,3549.95,3665.00,3549.95,3628.10,3491
2008-03-26,3690.00,3716.50,3625.00,3685.65,3071
2008-03-27,3615.00,3734.90,3530.00,3637.45,12993
2008-03-28,3700.00,3798.00,3610.00,3772.35,1964
2008-03-31,3850.00,3850.00,3661.60,3728.90,11711
2008-04-01,3625.00,3786.00,3610.20,3639.95,941
2008-04-02,3749.80,3749.80,3650.00,3650.30,986
2008-04-03,3660.00,3735.00,3653.00,3700.10,1398
2008-04-04,3700.20,3750.00,3700.20,3719.15,1180
2008-04-07,3792.00,3798.00,3700.00,3741.00,670
2008-04-08,3701.05,3810.00,3701.05,3779.75,45771
2008-04-09,3799.80,3799.80,3715.60,3760.10,547
2008-04-10,3728.00,3775.00,3728.00,3750.55,6817
2008-04-11,3751.00,3768.50,3690.00,3715.60,466
2008-04-15,3695.00,3780.00,3600.00,3757.30,2664
2008-04-16,3750.00,3794.90,3750.00,3776.50,747
2008-04-17,3800.00,3835.00,3779.00,3817.70,3450
2008-04-21,3855.00,3869.00,3822.00,3849.30,1081
2008-04-22,3844.95,3894.95,3816.00,3866.95,5897
2008-04-23,3865.00,3920.00,3855.00,3911.15,7354
2008-04-24,3950.00,3950.00,3875.00,3925.90,1860
2008-04-25,3965.00,3998.00,3890.00,3983.95,1369
2008-04-28,4040.00,4040.00,3890.00,3968.35,1460
2008-04-29,3990.00,4029.50,3990.00,4012.30,981
2008-04-30,4029.95,4168.00,4000.05,4142.80,3173
2008-05-02,4204.00,4204.00,4001.00,4088.85,998
2008-05-05,4085.00,4134.00,4085.00,4117.30,505
2008-05-06,4100.00,4133.00,4100.00,4124.40,933
2008-05-07,4100.00,4210.00,4100.00,4186.50,1194
2008-05-08,4125.00,4300.00,4125.00,4259.05,1481
2008-05-09,4249.95,4265.20,4120.00,4179.35,1344
2008-05-12,4151.00,4151.00,4120.00,4120.65,1400
2008-05-13,4132.00,4199.00,3801.10,4080.80,6231
2008-05-14,4109.50,4170.00,4109.50,4127.20,1943
2008-05-15,4100.00,4200.00,4100.00,4143.25,441
2008-05-16,4285.00,4344.95,4190.00,4325.85,5062
2008-05-20,4300.00,4325.00,4201.05,4308.00,925
2008-05-21,4225.00,4287.00,4210.00,4221.60,322
2008-05-22,4200.05,4269.95,4200.00,4200.15,382
2008-05-23,4217.00,4249.00,4200.00,4207.55,557
2008-05-26,4200.05,4215.00,4200.00,4203.00,2922
2008-05-27,4200.55,4225.00,4200.00,4200.40,420
2008-05-28,4201.00,4230.00,4200.00,4208.75,1762
2008-05-29,4202.00,4215.00,4157.50,4180.25,3665
2008-05-30,4125.00,4200.00,4076.00,4111.95,683
2008-06-02,4081.10,4124.95,3963.20,4007.25,212
2008-06-03,4070.00,4070.00,3882.50,3994.95,1492
2008-06-04,3954.95,4041.95,3911.10,4012.30,752
2008-06-05,4030.20,4090.00,4030.00,4055.20,41585
2008-06-06,4099.00,4120.00,4020.00,4060.30,508
2008-06-09,4005.05,4079.90,4000.00,4061.65,9060
2008-06-10,4055.00,4090.00,3925.00,4054.80,2553
2008-06-11,4065.50,4067.50,3965.00,3989.80,1852
2008-06-12,3800.00,4025.00,3800.00,3907.55,355
2008-06-13,3920.00,3950.00,3871.00,3880.20,499
2008-06-16,4000.00,4000.00,3867.10,3897.15,289
2008-06-17,3878.30,3932.30,3875.00,3879.55,186
2008-06-18,3880.00,4025.00,3845.00,3963.90,1805
2008-06-19,3950.00,3980.00,3950.00,3971.45,1050
2008-06-20,3970.00,3984.00,3850.00,3909.95,1992
2008-06-23,3875.00,3910.00,3801.00,3840.10,956
2008-06-24,3755.05,3842.00,3702.10,3754.95,317
2008-06-25,3700.00,3753.00,3640.00,3661.65,408
2008-06-26,3700.00,3799.95,3690.00,3774.75,7397
2008-06-27,3749.80,3800.00,3725.05,3786.40,3331
2008-06-30,3800.00,3949.00,3800.00,3835.85,2065
2008-07-01,3751.00,3847.95,3711.00,3740.80,1355
2008-07-02,3710.00,3800.00,3700.00,3756.40,1010
2008-07-03,3700.00,3744.00,3651.00,3706.10,245
2008-07-04,3650.00,3788.90,3650.00,3749.20,1105
2008-07-07,3800.00,3899.95,3676.00,3765.30,1974
2008-07-08,3700.00,3805.00,3700.00,3794.10,3406
2008-07-09,3800.00,3851.95,3756.25,3774.85,482
2008-07-10,3800.00,3815.00,3751.00,3769.50,77
2008-07-11,3740.00,3810.00,3735.00,3795.70,735
2008-07-14,3750.00,3810.00,3750.00,3799.90,5649
2008-07-15,3740.00,3800.00,3740.00,3785.60,2215
2008-07-16,3750.00,3750.05,3640.00,3717.75,1291
2008-07-17,3680.00,3739.00,3655.20,3698.60,910
2008-07-18,3665.10,3725.50,3665.00,3695.25,367
2008-07-21,3710.00,3735.50,3671.00,3681.05,1145
2008-07-22,3720.00,3727.50,3672.00,3724.55,2415
2008-07-23,3800.00,3800.00,3685.00,3718.65,2812
2008-07-24,3790.00,3790.00,3700.00,3724.55,1065
2008-07-25,3700.00,3740.00,3700.00,3710.75,249
2008-07-28,3800.00,3800.00,3690.05,3704.50,330
2008-07-29,3711.00,3761.90,3700.05,3726.00,1265
2008-07-30,3770.00,3799.85,3716.05,3727.80,2946
2008-07-31,3702.00,3749.00,3702.00,3725.20,3936
2008-08-01,3725.00,3745.00,3701.00,3726.20,963
2008-08-04,3725.00,3782.00,3720.00,3748.30,11449
2008-08-05,3789.75,3829.90,3740.20,3816.00,929
2008-08-06,3880.00,3880.00,3750.00,3805.05,1018
2008-08-07,3756.00,3825.00,3512.05,3802.10,1505
2008-08-08,3800.00,3824.95,3760.00,3792.25,167
2008-08-11,3800.00,3825.00,3753.00,3812.00,808
2008-08-12,3780.00,3825.00,3780.00,3820.15,1062
2008-08-13,3825.00,3825.00,3613.00,3799.95,2670
2008-08-14,3661.00,3850.00,3661.00,3783.35,1064
2008-08-18,3750.00,3760.00,3735.00,3750.00,1176
2008-08-19,3750.00,3750.05,3711.00,3735.25,81
2008-08-20,3749.00,3749.00,3712.00,3725.85,196
2008-08-21,3749.95,3750.20,3680.00,3687.90,83
2008-08-22,3675.00,3719.50,3675.00,3678.30,168
2008-08-25,3701.00,3701.00,3347.00,3635.80,1011
2008-08-26,4173.90,4300.00,4110.05,4145.50,38762
2008-08-27,4175.00,4199.45,4050.00,4176.35,20292
2008-08-28,4169.95,4169.95,4125.10,4135.90,2514
2008-08-29,4124.60,4173.45,4107.00,4122.60,2026
2008-09-01,4130.00,4174.45,4130.00,4173.65,2078
2008-09-02,4174.45,4350.00,4020.00,4071.90,18642
2008-09-04,4090.00,4090.00,3900.00,3908.80,7022
2008-09-05,3900.00,3949.00,3830.00,3865.80,7611
2008-09-08,4000.00,4000.00,3850.00,3891.05,6181
2008-09-09,3835.00,3899.00,3715.05,3853.80,305
2008-09-10,3888.25,3900.00,3810.00,3848.00,1579
2008-09-11,3718.00,3880.00,3718.00,3806.30,468
2008-09-15,3770.00,3874.95,3730.00,3854.05,2159
2008-09-16,3740.00,3875.00,3740.00,3864.95,1176
2008-09-17,3875.00,3890.00,3855.10,3881.05,1506
2008-09-18,3750.00,3950.00,3750.00,3904.95,12141
2008-09-19,3948.00,3950.00,3875.50,3918.85,3119
2008-09-22,3900.00,4011.00,3900.00,3993.25,29201
2008-09-23,3951.00,3980.00,3913.35,3951.10,236
2008-09-24,3950.05,3979.80,3926.00,3926.00,587
2008-09-25,3960.00,3969.90,3851.10,3922.60,1382
2008-09-26,3955.00,3955.00,3900.00,3912.45,5412
2008-09-29,3950.00,3950.00,3851.10,3887.90,8468
2008-09-30,3801.10,3959.90,3801.10,3933.05,5498
2008-10-01,3870.50,3950.00,3870.50,3948.55,3813
2008-10-03,3900.00,3924.00,3851.10,3898.35,6156
2008-10-06,3899.95,3920.00,3759.05,3778.15,19839
2008-10-07,3785.00,3785.00,3640.10,3750.90,1570
2008-10-08,3700.00,3700.00,3291.50,3570.85,3299
2008-10-10,3333.00,3498.80,2875.55,3450.05,4839
2008-10-13,3350.00,3429.85,3280.00,3312.10,944
2008-10-14,3450.00,3600.00,3400.00,3411.90,566
2008-10-15,3301.00,3400.00,3275.00,3325.00,252
