Date,Open,High,Low,Close,Volume
2006-11-02,86.80,87.65,81.15,81.95,204593
2006-11-03,82.80,85.00,81.25,81.55,81480
2006-11-06,83.45,88.80,81.00,86.85,277742
2006-11-07,87.40,92.60,86.05,90.55,504602
2006-11-08,91.90,94.00,87.50,89.15,227954
2006-11-09,90.00,93.40,88.00,91.10,161842
2006-11-10,89.10,92.00,86.60,88.90,51436
2006-11-13,88.10,92.50,88.00,90.45,112265
2006-11-14,92.00,105.50,90.90,100.40,795433
2006-11-15,101.80,104.80,98.55,100.15,447422
2006-11-16,97.20,97.20,97.20,97.20,94991
2006-11-17,97.50,107.70,96.05,99.85,732178
2006-11-20,100.45,101.70,91.80,97.80,269642
2006-11-21,99.00,110.80,97.60,106.25,644446
2006-11-22,108.45,111.50,105.00,109.40,397617
2006-11-23,110.35,110.40,101.90,102.50,161427
2006-11-24,103.40,106.85,101.00,102.45,97960
2006-11-27,103.50,104.45,99.00,99.45,68966
2006-11-28,99.00,102.45,96.35,99.50,100504
2006-11-29,100.50,104.95,99.50,100.05,93121
2006-11-30,101.00,102.45,98.10,99.15,47048
2006-12-01,101.25,102.70,98.75,99.55,28478
2006-12-04,102.00,102.35,98.50,99.60,41864
2006-12-05,100.45,101.35,98.25,99.25,28539
2006-12-06,97.55,97.55,97.55,97.55,38136
2006-12-07,96.35,96.35,96.35,96.35,14731
2006-12-08,96.30,97.05,93.50,94.45,17803
2006-12-11,92.75,95.40,89.55,90.90,24315
2006-12-12,90.00,93.75,84.10,85.90,29674
2006-12-13,82.55,90.00,82.55,89.10,15475
2006-12-14,90.00,93.00,90.00,91.20,24371
2006-12-15,92.70,94.00,90.10,90.95,17565
2006-12-18,95.00,95.00,88.00,88.75,20593
2006-12-19,90.00,90.05,85.50,87.25,18580
2006-12-20,88.00,88.70,86.35,86.45,9758
2006-12-21,87.00,93.00,86.50,90.25,21583
2006-12-22,90.00,105.00,90.00,100.30,158629
2006-12-26,91.55,101.80,91.55,96.60,34750
2006-12-27,96.00,98.00,94.30,95.00,20131
2006-12-28,94.00,97.00,93.30,94.15,13753
2006-12-29,94.35,95.85,93.50,94.15,5659
2007-01-02,99.80,104.80,99.80,100.85,87501
2007-01-03,103.45,104.00,100.20,101.40,39103
2007-01-04,102.90,102.90,100.00,100.30,23330
2007-01-05,99.10,105.00,99.10,101.35,71430
2007-01-08,102.00,111.20,101.40,108.15,201595
2007-01-09,109.80,114.00,106.60,110.30,346607
2007-01-10,111.00,113.00,107.20,107.85,111190
2007-01-11,109.00,111.35,106.90,109.75,59251
2007-01-12,111.10,116.30,109.50,112.00,143210
2007-01-15,113.00,119.00,112.00,117.10,151426
2007-01-16,119.00,119.90,113.90,114.30,63881
