Date,Open,High,Low,Close,Volume
2012-12-26,940.00,985.00,895.00,922.55,10188260
2012-12-27,924.80,948.00,915.55,934.55,1617271
2012-12-28,932.55,944.70,923.35,927.00,418253
2012-12-31,935.00,935.00,912.55,914.80,257787
2013-01-01,916.25,930.90,910.00,918.95,369659
2013-01-02,920.10,935.50,915.00,923.95,346897
2013-01-03,925.20,957.10,924.80,934.85,678465
2013-01-04,932.30,940.00,926.75,934.75,184140
2013-01-07,936.95,948.00,926.60,929.25,177039
2013-01-08,933.80,934.00,917.55,920.85,102999
2013-01-09,923.80,931.40,919.00,923.70,192278
2013-01-10,926.00,948.90,925.00,936.70,627088
2013-01-11,939.50,955.80,935.75,938.65,306517
2013-01-14,940.00,944.35,921.50,923.45,138506
2013-01-15,926.00,936.00,920.00,931.05,100382
2013-01-16,932.95,934.60,916.00,919.35,47590
2013-01-17,920.00,932.00,920.00,925.65,58228
2013-01-18,927.65,928.45,922.15,924.85,58792
2013-01-21,925.00,932.00,923.00,925.05,59569
2013-01-22,927.00,930.70,925.00,926.00,63555
2013-01-23,928.10,941.95,920.80,929.60,252828
2013-01-24,928.00,932.90,918.00,920.85,115624
2013-01-25,921.45,928.70,919.55,924.85,28665
2013-01-28,926.95,930.00,913.00,917.10,208678
2013-01-29,920.10,920.10,867.35,877.80,237919
2013-01-30,877.90,891.50,861.00,865.10,48716
2013-01-31,856.10,865.25,836.55,842.25,125937
2013-02-01,845.00,872.00,844.95,852.15,56772
2013-02-04,853.00,859.75,825.70,831.15,35064
2013-02-05,829.70,836.00,820.10,823.25,27745
2013-02-06,822.50,829.90,821.80,822.20,26572
2013-02-07,823.50,848.00,821.70,829.40,32365
2013-02-08,831.90,832.30,823.25,826.90,20565
2013-02-11,832.70,833.00,822.00,825.10,22984
2013-02-12,825.15,830.25,824.65,825.40,16377
2013-02-13,827.75,837.70,824.25,826.35,63180
2013-02-14,832.45,845.00,824.00,827.05,50532
2013-02-15,825.10,833.00,824.00,833.00,26377
2013-02-18,833.00,837.10,830.40,835.80,20502
2013-02-19,837.25,837.70,821.00,824.30,18777
2013-02-20,828.85,828.85,821.00,822.95,10606
2013-02-21,821.00,822.95,810.00,813.00,8477
2013-02-22,813.00,822.00,804.80,812.55,113467
2013-02-25,848.40,848.40,792.00,796.40,16218
2013-02-26,797.80,799.80,763.00,766.95,30208
2013-02-27,770.00,814.00,765.95,807.70,119917
2013-02-28,812.05,820.00,804.00,813.45,58004
2013-03-01,814.95,815.00,780.00,788.25,13447
2013-03-04,794.00,797.65,778.00,781.95,11639
2013-03-05,782.00,800.00,780.00,797.65,35988
2013-03-06,804.35,804.35,792.15,794.35,36974
2013-03-07,787.45,788.40,766.50,771.40,25345
2013-03-08,776.00,805.00,775.00,795.05,74408
2013-03-11,792.30,802.75,785.20,798.00,14398
2013-03-12,797.00,800.95,791.00,798.95,79022
2013-03-13,799.90,805.00,792.35,798.65,14708
