Date,Open,High,Low,Close,Volume
2018-08-23,390.00,426.90,385.00,422.05,11600387
2018-08-24,418.00,420.00,401.75,406.80,785983
2018-08-27,406.00,406.00,395.00,400.25,411202
2018-08-28,397.10,408.00,395.00,395.80,370390
2018-08-29,395.80,400.00,389.00,392.75,212493
2018-08-30,388.00,392.00,373.10,380.35,296385
2018-08-31,380.10,389.00,375.95,384.95,256303
2018-09-03,386.50,387.85,380.30,381.10,80770
2018-09-04,378.05,382.00,375.05,380.30,162888
2018-09-05,378.00,380.00,373.40,376.10,183808
2018-09-06,375.00,395.00,375.00,382.65,106322
2018-09-07,385.00,388.65,384.00,385.25,144584
2018-09-10,383.00,383.00,375.30,376.10,83141
2018-09-11,376.15,380.90,376.00,378.10,79912
2018-09-12,378.00,378.20,360.45,371.65,135269
2018-09-14,369.10,373.55,366.00,367.65,53753
2018-09-17,367.65,367.65,358.45,360.15,293017
2018-09-18,359.15,362.00,356.00,357.45,64000
2018-09-19,358.00,359.75,342.00,351.45,152301
2018-09-21,348.00,355.95,294.85,332.70,159380
2018-09-24,325.00,331.00,271.05,292.45,615181
2018-09-25,281.75,297.60,258.65,276.55,254102
2018-09-26,279.60,331.85,279.60,326.10,447494
2018-09-27,324.70,327.90,295.00,301.20,204139
2018-09-28,302.10,307.95,285.65,293.40,289156
2018-10-01,286.00,300.00,275.00,295.35,72722
2018-10-03,293.00,295.95,285.00,289.95,156998
2018-10-04,285.00,292.00,280.10,287.15,54270
2018-10-05,287.00,289.85,276.05,280.85,310535
2018-10-08,276.00,278.85,263.75,269.15,110920
2018-10-09,265.50,271.05,262.40,265.65,61062
2018-10-10,265.05,283.00,263.40,279.95,48015
2018-10-11,270.00,295.00,264.30,277.30,51990
2018-10-12,277.50,286.90,277.00,281.75,138597
2018-10-15,286.50,288.35,279.50,283.40,57091
2018-10-16,285.00,289.00,280.35,281.20,36611
2018-10-17,282.55,286.40,276.00,280.35,64947
2018-10-19,280.00,282.00,274.90,277.30,64508
2018-10-22,275.00,279.95,265.10,270.60,41446
2018-10-23,270.00,271.10,261.15,268.85,31084
2018-10-24,269.90,269.95,255.95,257.60,56209
2018-10-25,258.20,259.95,248.20,249.90,42751
2018-10-26,248.00,252.65,242.05,247.70,33349
2018-10-29,252.90,285.40,249.20,275.90,166599
2018-10-30,270.10,293.40,270.10,290.15,64264
2018-10-31,291.80,320.40,290.10,314.35,113608
2018-11-01,314.00,319.00,306.55,316.50,38544
2018-11-02,311.10,325.95,311.10,317.10,121795
2018-11-05,318.00,329.50,318.00,326.00,51931
2018-11-06,328.90,343.20,321.00,335.00,101895
2018-11-07,340.00,344.95,333.65,338.90,17463
2018-11-09,339.00,373.95,336.30,365.85,224986
2018-11-12,371.00,373.00,358.20,360.00,46418
2018-11-13,359.50,359.95,340.00,349.00,47641
2018-11-14,349.40,365.00,349.40,355.30,37246
2018-11-15,352.20,363.60,351.00,358.90,39809
2018-11-16,355.00,364.95,355.00,362.30,102341
2018-11-19,358.50,364.40,356.15,359.50,26420
2018-11-20,357.00,365.00,350.30,359.10,52775
2018-11-21,354.00,387.60,354.00,369.60,85387
2018-11-22,370.00,375.00,366.00,370.65,38986
2018-11-26,370.00,375.00,354.00,358.00,21592
2018-11-27,361.55,370.00,355.05,367.35,61163
2018-11-28,362.50,379.80,362.50,377.00,63906
2018-11-29,380.00,387.50,375.05,386.40,73796
2018-11-30,389.00,392.45,380.00,389.10,205036
2018-12-03,390.00,398.70,385.65,394.00,72784
2018-12-04,394.00,399.80,386.00,388.85,55745
2018-12-05,385.00,394.00,385.00,389.85,53611
2018-12-06,386.00,392.00,380.05,385.60,51439
2018-12-07,381.00,391.90,380.55,382.65,31615
2018-12-10,380.00,386.50,372.50,383.65,73625
2018-12-11,374.00,389.50,373.40,386.20,33545
2018-12-12,387.00,395.00,381.40,391.90,143035
2018-12-13,385.60,398.10,385.60,395.45,56527
2018-12-14,396.00,399.00,385.15,389.20,59964
2018-12-17,384.20,394.95,382.30,384.70,49798
2018-12-18,384.70,385.00,373.25,379.65,206921
2018-12-19,375.55,386.45,375.55,384.35,31598
2018-12-20,383.00,384.20,378.05,379.75,96654
2018-12-21,384.00,384.00,372.50,373.70,38431
2018-12-24,373.70,378.80,366.35,369.05,211898
2018-12-26,369.05,369.05,356.05,365.55,29680
2018-12-27,367.80,374.80,363.10,369.45,22675
2018-12-28,366.95,380.50,366.95,378.90,46102
2018-12-31,380.00,389.60,379.95,383.25,41441
2019-01-01,387.20,389.60,379.65,386.80,36817
2019-01-02,382.00,393.85,381.10,384.20,56469
2019-01-03,382.10,388.25,379.00,381.05,23396
2019-01-04,383.45,386.50,381.30,385.50,18909
2019-01-07,381.70,388.00,380.10,382.55,24835
2019-01-08,381.50,388.95,381.50,387.70,32830
2019-01-09,385.60,394.00,384.25,391.90,56923
2019-01-10,386.75,416.80,386.05,414.20,145295
2019-01-11,415.00,419.45,409.55,413.60,98462
2019-01-14,408.00,414.90,400.55,402.75,46457
2019-01-15,402.00,408.85,400.10,404.75,48655
2019-01-16,406.85,406.85,391.50,395.30,27574
2019-01-17,399.00,400.00,392.00,397.45,27853
2019-01-18,395.00,406.80,391.20,402.15,39662
2019-01-21,401.00,403.00,393.60,398.40,21948
2019-01-22,399.95,407.30,393.00,402.20,42155
2019-01-23,399.30,404.90,386.60,392.30,30192
2019-01-24,387.95,396.90,387.95,389.80,22416
2019-01-25,388.00,394.55,382.10,383.05,32111
2019-01-28,386.00,387.00,370.05,373.30,17895
2019-01-29,373.00,376.30,370.00,373.30,22024
2019-01-30,381.00,388.40,370.40,384.25,21578
2019-01-31,390.00,398.40,382.55,394.55,45829
2019-02-01,398.00,410.00,395.50,407.30,96991
2019-02-04,395.65,410.00,329.90,403.70,121090
2019-02-05,395.00,407.80,395.00,402.50,56718
2019-02-06,401.00,404.80,394.40,403.05,38297
2019-02-07,397.00,407.95,396.65,400.55,34574
2019-02-08,397.00,403.60,341.05,368.50,69223
2019-02-11,361.20,380.00,356.65,375.80,58308
2019-02-12,366.00,387.30,362.10,384.65,22478
2019-02-13,383.00,390.00,383.00,388.55,22078
2019-02-14,388.50,398.55,383.50,395.50,44674
2019-02-15,393.95,404.00,393.95,398.95,41075
2019-02-18,398.50,403.95,395.00,397.90,39532
2019-02-19,394.40,402.55,390.00,391.70,23587
2019-02-20,393.95,404.95,393.95,401.00,40967
2019-02-21,401.50,409.50,401.00,405.00,77722
2019-02-22,399.95,407.85,398.05,401.20,29277
2019-02-25,401.20,407.80,401.20,402.50,18503
2019-02-26,397.00,417.45,385.00,410.70,94733
2019-02-27,411.00,420.00,402.05,409.25,80608
2019-02-28,409.25,418.30,403.20,416.55,54081
2019-03-01,412.00,444.95,412.00,440.10,602760
2019-03-05,435.00,471.80,435.00,466.20,547039
2019-03-06,468.00,487.40,462.50,475.60,283975
2019-03-07,474.00,480.00,460.85,474.15,107099
2019-03-08,464.00,481.15,464.00,475.15,156069
2019-03-11,471.70,498.00,471.70,493.75,225620
2019-03-12,498.70,498.85,479.00,480.85,126788
2019-03-13,482.00,486.90,470.55,474.30,55251
2019-03-14,470.00,481.35,462.05,471.00,419781
2019-03-15,462.80,480.00,455.10,461.65,57094
2019-03-18,456.90,465.00,450.65,454.15,47856
2019-03-19,452.65,477.00,452.65,471.80,89684
2019-03-20,474.00,476.50,465.20,469.95,40423
2019-03-22,469.95,487.00,469.95,473.00,48903
2019-03-25,470.00,477.95,461.65,474.30,31834
2019-03-26,474.30,484.25,472.55,477.60,56056
2019-03-27,481.60,484.90,472.90,478.90,44460
2019-03-28,474.10,525.00,471.90,500.70,406762
2019-03-29,505.00,508.00,496.15,504.00,81962
2019-04-01,505.00,521.80,505.00,518.05,145853
2019-04-02,518.50,547.60,508.00,537.80,430466
2019-04-03,535.00,560.00,527.45,555.75,418660
2019-04-04,557.75,567.90,544.30,547.30,637409
2019-04-05,551.00,554.95,543.40,546.60,131209
2019-04-08,542.50,548.95,535.00,536.70,154701
2019-04-09,536.00,547.60,528.00,543.35,618364
2019-04-10,540.05,547.80,533.25,542.90,126513
2019-04-11,546.00,546.00,532.00,535.55,94114
2019-04-12,532.05,547.00,532.05,544.50,568505
2019-04-15,545.00,547.00,526.15,529.35,34805
2019-04-16,526.60,532.85,513.05,516.75,46304
2019-04-18,506.45,520.00,506.45,515.55,43141
2019-04-22,515.50,515.50,476.20,490.15,61159
2019-04-23,492.10,508.40,490.00,494.75,53184
2019-04-24,495.00,500.00,481.10,487.65,43684
2019-04-25,490.00,514.30,483.50,502.60,69689
2019-04-26,503.00,514.50,500.10,505.90,31788
2019-04-30,501.00,527.80,496.50,522.15,44344
2019-05-02,513.50,530.00,513.50,527.00,58470
2019-05-03,527.00,546.05,527.00,544.00,73467
2019-05-06,543.00,545.00,530.05,541.40,51584
2019-05-07,535.25,545.95,500.05,517.20,68504
2019-05-08,516.00,520.85,495.00,498.05,74028
2019-05-09,478.00,514.00,446.00,501.40,376102
2019-05-10,497.00,522.80,478.00,483.75,89898
2019-05-13,486.00,499.95,444.10,452.55,59507
2019-05-14,451.00,463.90,396.20,459.85,251847
2019-05-15,465.00,465.00,442.00,444.05,42035
2019-05-16,417.40,465.00,417.40,460.30,51412
2019-05-17,458.20,478.95,458.00,469.60,62047
2019-05-20,475.00,514.35,475.00,509.15,126742
2019-05-21,510.00,526.60,502.65,507.80,41821
2019-05-22,508.70,518.95,505.25,511.65,48483
2019-05-23,524.70,537.65,506.80,515.05,58186
2019-05-24,516.00,531.00,510.00,525.40,56376
2019-05-27,518.00,559.00,518.00,550.05,102572
2019-05-28,549.90,559.00,531.00,547.50,31977
2019-05-29,548.00,548.00,522.55,529.80,26937
2019-05-30,526.00,549.95,526.00,544.15,48366
2019-05-31,545.00,552.95,517.80,523.25,67664
2019-06-03,527.70,542.00,521.55,533.00,27490
2019-06-04,529.05,543.00,529.05,539.45,37908
2019-06-06,530.20,549.75,530.20,544.55,54818
2019-06-07,547.20,558.00,540.00,549.60,57096
2019-06-10,554.90,556.40,545.55,550.10,66096
2019-06-11,545.00,596.50,542.00,580.05,189115
2019-06-12,582.00,592.65,581.00,585.60,122324
2019-06-13,585.60,588.85,578.50,580.15,88795
2019-06-14,581.00,585.95,560.00,574.85,67681
2019-06-17,576.00,579.00,526.70,540.10,88531
2019-06-18,538.00,560.00,538.00,555.45,56499
2019-06-19,552.80,573.00,545.05,554.10,64699
2019-06-20,553.30,561.00,541.00,552.55,46232
2019-06-21,550.00,560.80,532.65,535.00,61524
2019-06-24,536.10,547.40,505.05,523.65,106227
2019-06-25,516.20,532.00,516.20,520.05,27216
2019-06-26,516.00,538.85,516.00,519.85,29672
2019-06-27,524.90,599.00,512.25,524.10,108591
2019-06-28,528.65,529.80,516.40,519.15,31568
2019-07-01,512.00,539.30,512.00,516.75,88640
2019-07-02,519.95,523.45,513.20,515.80,57576
2019-07-03,519.40,527.95,510.60,516.30,51319
2019-07-04,518.65,528.00,513.60,516.75,68167
2019-07-05,518.00,529.60,513.15,515.85,83862
2019-07-08,514.50,518.80,490.50,493.85,111340
2019-07-09,482.25,500.00,481.10,496.90,61252
2019-07-10,495.00,500.45,487.35,495.25,80750
2019-07-11,500.00,500.00,488.00,491.15,46028
2019-07-12,491.00,495.50,487.35,489.60,36354
2019-07-15,489.60,524.00,489.60,519.10,430074
2019-07-16,521.30,534.70,519.85,530.80,569143
2019-07-17,532.00,534.90,521.00,526.30,543951
2019-07-18,526.00,532.00,521.20,527.45,306243
2019-07-19,527.45,530.35,503.00,506.65,41910
2019-07-22,500.55,511.80,485.00,501.65,32755
2019-07-23,502.30,522.00,495.60,515.00,101200
2019-07-24,519.00,530.00,510.00,527.25,621134
2019-07-25,527.25,536.00,525.55,534.95,104838
2019-07-26,534.95,539.00,528.80,535.20,50263
2019-07-29,538.00,547.75,537.85,540.45,82940
2019-07-30,540.45,546.50,530.00,539.70,454932
2019-07-31,530.00,537.70,515.00,524.75,194783
2019-08-01,527.00,531.75,481.85,501.05,259447
2019-08-02,503.05,532.90,495.00,528.45,196654
2019-08-05,521.20,521.20,493.20,500.10,53433
2019-08-06,497.00,513.65,497.00,507.45,60154
2019-08-07,502.00,515.00,495.60,500.90,67463
2019-08-08,501.00,512.00,487.90,498.65,39068
2019-08-09,503.70,527.50,499.05,519.55,187692
2019-08-13,520.00,524.65,504.40,509.80,31194
2019-08-14,505.25,526.00,505.00,512.05,135604
2019-08-16,506.00,525.00,505.10,515.45,79805
2019-08-19,513.10,532.00,505.05,508.15,256143
2019-08-20,508.30,515.85,506.05,509.50,75359
2019-08-21,505.40,515.45,505.40,509.60,29200
2019-08-22,507.40,516.45,500.00,508.15,46555
2019-08-23,501.50,519.00,498.00,516.60,26592
2019-08-26,517.00,526.95,511.35,525.05,67778
2019-08-27,527.50,530.05,520.15,524.35,49400
2019-08-28,525.00,533.00,519.25,524.05,48167
2019-08-29,520.00,526.50,520.00,525.05,43110
2019-08-30,524.10,586.70,522.60,559.95,377049
2019-09-03,559.50,584.00,554.15,555.45,58857
2019-09-04,554.90,570.00,554.90,567.90,37037
2019-09-05,565.00,595.00,563.20,584.80,89590
2019-09-06,590.00,608.90,582.20,599.65,123508
2019-09-09,605.65,628.80,595.15,607.50,131392
2019-09-11,610.00,616.60,603.00,609.80,191239
2019-09-12,613.90,613.90,591.10,597.30,75607
2019-09-13,594.50,608.70,590.65,598.45,92342
2019-09-16,590.10,603.00,589.10,597.15,23943
2019-09-17,602.95,609.65,592.50,596.15,50271
2019-09-18,592.50,620.00,588.00,617.25,141738
2019-09-19,620.00,620.00,576.70,599.35,116515
2019-09-20,606.55,654.95,595.25,641.20,171586
2019-09-23,654.00,689.90,653.95,680.20,234604
2019-09-24,680.00,686.35,654.45,662.65,52311
2019-09-25,662.70,682.80,651.10,670.05,143621
2019-09-26,670.95,670.95,653.20,661.50,160169
2019-09-27,664.90,664.90,633.00,639.95,34875
2019-09-30,648.00,662.00,635.30,657.10,62083
2019-10-01,657.10,675.00,653.00,670.15,133413
2019-10-03,675.00,675.00,655.00,669.75,178498
2019-10-04,674.00,684.75,667.40,675.25,61203
2019-10-07,668.50,680.05,651.75,675.70,34467
2019-10-09,676.90,676.90,648.05,670.65,433705
2019-10-10,672.00,672.00,635.25,637.75,51908
2019-10-11,637.75,650.60,621.55,629.95,770083
2019-10-14,638.00,638.00,608.25,621.75,55769
2019-10-15,623.00,630.50,616.30,618.80,27747
2019-10-16,617.80,628.80,610.00,612.85,24196
2019-10-17,618.00,638.00,602.25,629.80,107376
2019-10-18,639.45,641.50,626.60,638.30,64382
2019-10-22,633.25,653.95,626.25,635.00,726136
2019-10-23,645.00,648.00,628.10,634.55,40029
2019-10-24,630.10,635.50,622.30,626.40,43795
2019-10-25,626.00,685.00,626.00,670.85,183719
2019-10-29,675.00,675.00,651.55,663.80,77577
2019-10-30,663.00,666.00,642.35,644.15,45478
2019-10-31,674.80,674.80,635.00,638.15,194562
2019-11-01,642.95,646.90,635.15,638.75,53016
2019-11-04,648.60,678.00,635.00,669.20,104117
2019-11-05,679.35,714.00,676.05,700.55,297296
2019-11-06,706.20,721.70,685.00,694.50,165180
2019-11-07,694.00,700.05,685.65,693.80,46307
2019-11-08,696.90,709.00,671.20,682.05,48532
2019-11-11,677.00,727.90,677.00,710.10,175739
2019-11-13,710.00,745.00,705.05,735.00,165794
2019-11-14,739.00,752.00,709.25,732.40,106485
2019-11-15,740.00,786.80,729.05,773.15,258666
2019-11-18,780.75,799.00,761.25,793.00,152965
2019-11-19,798.00,837.80,793.55,809.25,358471
2019-11-20,814.00,815.00,772.20,788.35,133894
2019-11-21,794.90,794.90,766.55,776.30,60767
2019-11-22,777.00,780.70,745.00,750.45,123605
2019-11-25,758.00,769.55,731.10,741.55,116055
2019-11-26,745.00,763.55,727.30,749.80,208127
2019-11-27,756.50,787.90,751.00,779.50,286730
2019-11-28,780.00,824.45,778.70,805.45,254011
2019-11-29,805.00,849.00,792.00,802.00,291371
2019-12-02,800.00,825.00,785.05,816.35,101698
2019-12-03,823.00,834.40,799.10,809.30,176878
2019-12-04,800.80,829.00,800.50,821.60,68700
2019-12-05,827.50,837.80,796.55,805.20,99418
2019-12-06,811.60,829.50,798.65,804.80,89086
2019-12-09,804.90,826.00,790.80,799.15,141673
2019-12-10,798.70,814.00,791.05,792.70,44659
2019-12-11,795.00,810.00,794.00,802.80,140240
2019-12-12,809.60,822.00,805.05,809.95,77055
2019-12-13,814.65,814.65,805.55,810.10,29365
2019-12-16,810.00,812.45,792.35,799.90,57293
2019-12-17,803.00,804.75,792.70,796.65,69116
2019-12-18,796.00,799.75,767.65,790.30,109218
2019-12-19,784.50,797.85,778.85,784.45,60084
2019-12-20,786.10,790.10,775.00,783.85,79823
2019-12-23,775.55,783.90,765.05,768.30,59231
2019-12-24,768.50,773.85,765.05,768.50,50586
2019-12-26,768.50,778.80,765.00,769.20,92185
2019-12-27,771.00,796.35,770.35,774.20,160731
2019-12-30,778.00,778.40,764.65,766.45,60317
2019-12-31,752.00,770.00,752.00,767.95,126179
2020-01-01,775.90,781.00,756.65,764.40,55920
2020-01-02,764.40,773.20,747.30,752.25,67181
2020-01-03,752.25,765.20,743.15,761.90,104764
2020-01-06,747.70,762.70,737.00,751.20,82112
2020-01-07,758.60,777.95,749.50,761.50,147196
2020-01-08,760.00,760.00,740.50,745.35,109588
2020-01-09,755.00,757.95,742.00,745.30,150780
2020-01-10,746.90,777.80,744.50,771.90,224007
2020-01-13,780.00,782.00,752.35,758.35,67729
2020-01-14,758.35,776.35,752.85,758.65,95252
2020-01-15,763.00,768.85,756.75,764.90,44489
2020-01-16,768.55,793.95,765.00,779.35,573285
2020-01-17,779.50,781.50,767.50,772.70,143108
2020-01-20,784.70,784.70,772.00,774.90,49939
2020-01-21,770.10,778.40,755.10,774.00,69352
2020-01-22,783.00,802.90,775.00,797.65,121408
2020-01-23,783.00,819.85,765.00,811.00,384222
2020-01-24,811.05,849.00,800.00,837.25,169408
2020-01-27,835.90,864.70,822.30,848.45,168824
2020-01-28,847.10,871.50,847.10,855.10,80773
2020-01-29,858.00,882.40,851.00,857.85,182387
2020-01-30,859.50,863.50,808.35,813.25,103509
2020-01-31,805.35,824.55,791.10,800.75,96749
2020-02-01,794.50,808.90,755.55,764.80,73872
2020-02-03,748.55,879.50,746.00,760.55,137632
2020-02-04,763.55,778.15,760.00,767.90,121631
2020-02-05,773.80,829.00,767.95,811.55,226955
2020-02-06,818.70,843.90,814.70,820.55,130597
2020-02-07,831.00,835.00,789.00,797.30,136685
2020-02-10,803.00,809.20,780.00,782.35,90638
2020-02-11,792.35,827.00,791.90,815.50,91965
2020-02-12,822.00,862.10,820.00,850.75,289865
2020-02-13,859.00,859.00,832.35,847.80,115839
2020-02-14,847.80,878.00,841.55,848.10,111039
2020-02-17,848.25,848.30,816.10,831.65,47808
2020-02-18,831.65,901.00,829.75,887.00,305238
2020-02-19,911.00,966.70,911.00,948.40,862149
2020-02-20,963.00,1000.00,958.70,991.60,253604
2020-02-24,983.90,991.60,948.00,960.70,174466
2020-02-25,962.20,978.80,936.10,947.60,82275
2020-02-26,938.00,959.90,932.00,935.85,97678
2020-02-27,935.85,938.00,874.80,885.55,184002
2020-02-28,879.90,879.90,832.20,841.90,154305
2020-03-02,874.00,875.30,847.85,859.75,147583
2020-03-03,860.05,883.05,825.05,864.25,68090
2020-03-04,853.35,887.00,797.20,843.75,169709
2020-03-05,857.00,903.60,843.00,879.10,129042
2020-03-06,818.50,898.00,813.90,883.40,111475
2020-03-09,861.40,861.40,831.55,845.75,161450
2020-03-11,848.00,867.95,819.45,832.85,130942
2020-03-12,782.25,813.95,691.55,781.25,262867
2020-03-13,700.00,838.45,625.00,818.30,235876
2020-03-16,770.00,795.95,685.65,694.40,403309
2020-03-17,690.00,703.95,625.30,638.50,117290
2020-03-18,631.10,673.90,510.80,549.30,550792
2020-03-19,496.00,580.00,494.40,570.20,222306
2020-03-20,570.20,600.00,513.20,520.25,224238
2020-03-23,468.25,479.85,468.25,468.25,12763
2020-03-24,421.45,435.90,421.45,421.45,32598
2020-03-25,380.00,441.00,379.35,412.85,269035
2020-03-26,420.00,433.45,392.25,392.40,398716
2020-03-27,410.00,412.00,372.80,373.70,370460
2020-03-30,358.05,367.50,355.05,355.10,152148
2020-03-31,364.80,368.70,337.35,337.35,66266
2020-04-01,326.00,354.20,320.50,338.15,244657
2020-04-03,338.15,353.95,321.25,321.25,122775
2020-04-07,337.30,337.30,305.20,314.10,390545
2020-04-08,314.20,329.80,312.00,329.70,315964
2020-04-09,341.40,346.15,330.00,344.85,218870
2020-04-13,350.00,353.60,327.65,346.60,134086
2020-04-15,359.70,361.90,332.15,344.90,116568
2020-04-16,347.25,355.90,330.05,348.15,152999
2020-04-17,356.90,365.55,356.90,365.55,181656
2020-04-20,383.80,383.80,383.80,383.80,19765
2020-04-21,402.95,402.95,402.95,402.95,35256
2020-04-22,423.05,423.05,391.10,423.05,171162
2020-04-23,444.20,444.20,444.20,444.20,13259
2020-04-24,466.40,466.40,422.00,422.00,344864
2020-04-27,400.90,434.70,400.90,425.05,222783
2020-04-28,421.40,446.30,421.40,446.30,108455
2020-04-29,466.00,468.60,455.00,468.60,83486
2020-04-30,490.00,492.00,490.00,492.00,77903
2020-05-04,467.40,512.80,467.40,467.40,185391
2020-05-05,470.10,488.95,445.20,449.80,129271
2020-05-06,452.00,464.95,432.00,451.95,87380
2020-05-07,449.70,461.95,440.05,447.15,44740
2020-05-08,448.00,458.65,424.80,424.80,66720
2020-05-11,430.00,434.00,403.60,403.60,90323
2020-05-12,394.05,400.00,383.45,383.45,48279
2020-05-13,402.60,402.60,390.60,402.60,175493
2020-05-14,409.40,422.70,396.35,422.70,132822
2020-05-15,431.40,443.80,419.90,440.00,249672
2020-05-18,449.95,453.00,418.00,418.00,138612
2020-05-19,408.00,410.00,397.10,397.80,177481
2020-05-20,398.05,414.00,392.30,407.95,127360
2020-05-21,408.00,425.00,404.95,417.35,114955
2020-05-22,417.00,427.65,396.50,396.50,115295
2020-05-26,396.00,396.00,376.70,376.70,88352
2020-05-27,370.00,394.90,357.90,369.60,332059
2020-05-28,378.05,388.05,377.25,387.35,160181
2020-05-29,394.00,401.95,378.30,389.15,437434
2020-06-01,399.95,408.60,398.75,408.60,174843
2020-06-02,421.95,429.00,412.00,429.00,69099
2020-06-03,450.45,450.45,450.45,450.45,17235
2020-06-04,472.95,472.95,472.95,472.95,151868
2020-06-05,496.55,496.55,486.10,496.55,42780
2020-06-08,521.35,521.35,476.15,494.50,131329
2020-06-09,501.00,519.20,501.00,514.15,203439
2020-06-10,528.40,528.40,506.00,514.25,64159
2020-06-11,514.00,517.95,488.55,506.60,92026
2020-06-12,481.30,525.00,481.30,521.20,104910
2020-06-15,535.00,535.00,503.35,506.25,126253
2020-06-16,520.00,520.00,480.95,497.00,284957
2020-06-17,505.00,508.00,489.95,502.75,46674
2020-06-18,512.00,512.00,477.70,503.30,44784
2020-06-19,510.95,528.45,505.00,528.45,245484
2020-06-22,537.95,554.85,530.00,554.85,59888
2020-06-23,578.80,582.55,530.25,559.60,354328
2020-06-24,570.90,574.00,532.25,535.90,72371
2020-06-25,520.00,540.00,511.90,530.95,76380
2020-06-26,535.00,546.80,513.20,517.70,268705
2020-06-29,510.00,528.00,503.75,517.50,128285
2020-06-30,522.00,535.00,505.00,522.25,287112
2020-07-01,529.50,532.00,520.00,526.80,32062
2020-07-02,533.80,533.85,524.00,529.50,42255
2020-07-03,534.00,537.00,529.50,535.05,36642
2020-07-06,540.00,561.80,538.45,561.80,57534
2020-07-07,589.85,589.85,589.85,589.85,21896
