Date,Open,High,Low,Close,Volume
2026-02-17,49.50,52.21,49.50,52.21,77108
2026-02-18,54.82,54.82,54.82,54.82,9111
2026-02-19,57.56,57.56,57.56,57.56,12336
2026-02-20,60.43,60.43,60.43,60.43,17178
2026-02-23,63.45,63.45,57.41,63.45,291987
2026-02-24,63.45,66.45,60.28,60.28,123755
2026-02-25,58.15,59.90,57.27,57.76,135934
2026-02-26,56.59,60.64,55.21,60.64,115502
2026-02-27,63.67,63.67,63.67,63.67,56646
2026-03-02,66.70,66.85,61.99,66.85,126094
2026-03-04,65.00,77.84,65.00,67.88,443113
2026-03-05,68.69,68.69,63.24,64.52,100654
2026-03-06,64.52,66.08,60.50,61.27,139127
2026-03-09,56.00,59.99,52.00,52.98,186016
2026-03-10,53.01,62.60,53.01,61.02,157565
2026-03-11,61.94,64.80,60.87,63.31,144763
2026-03-12,63.46,75.97,60.42,68.83,753191
2026-03-13,67.71,71.39,60.00,62.90,198334
2026-03-16,63.84,72.81,62.02,70.20,643576
2026-03-17,71.25,84.24,71.01,84.24,1761352
2026-03-18,89.00,101.08,82.20,100.40,2779303
2026-03-19,95.11,105.27,90.50,92.92,1011605
2026-03-20,91.00,93.60,88.28,88.30,89150
2026-03-23,83.89,83.89,83.89,83.89,7381
2026-03-24,80.10,82.45,79.70,79.70,44185
2026-03-25,75.72,77.00,75.72,75.72,42575
2026-03-27,71.94,71.94,71.94,71.94,22121
2026-03-30,68.35,68.35,68.35,68.35,21161
2026-04-01,68.90,71.76,65.99,66.43,117652
2026-04-02,64.00,64.99,63.11,64.16,59556
2026-04-06,63.83,63.85,60.96,63.53,69212
2026-04-07,62.98,63.53,61.41,62.39,14789
2026-04-08,63.98,65.50,63.05,65.50,25953
2026-04-09,68.75,68.77,65.60,68.77,59858
2026-04-10,71.80,72.20,69.21,71.22,80581
2026-04-13,68.05,70.00,67.66,69.20,31033
2026-04-15,69.75,70.70,67.00,67.75,70522
2026-04-16,69.00,70.95,67.50,68.49,45018
2026-04-17,69.45,70.98,67.70,68.84,38673
2026-04-20,69.14,70.00,67.10,69.64,102702
2026-04-21,69.89,69.89,66.21,66.51,101075
2026-04-22,65.60,66.10,64.00,65.19,56509
2026-04-23,64.57,64.57,62.10,63.38,53888
2026-04-24,62.99,63.98,61.20,62.41,38733
2026-04-27,62.96,63.50,61.52,62.54,39518
2026-04-28,62.84,62.84,61.00,62.16,32603
2026-04-29,62.16,64.00,61.11,62.43,64012
2026-04-30,62.25,65.55,62.25,65.55,43865
2026-05-04,68.30,68.82,68.00,68.81,58141
2026-05-05,68.50,72.25,68.49,72.01,190131
2026-05-06,73.89,75.61,72.90,74.19,141380
2026-05-07,74.75,77.89,73.00,73.80,112365
2026-05-08,73.01,74.50,70.16,71.26,63620
2026-05-11,71.26,71.26,68.00,69.12,51286
2026-05-12,67.10,68.78,65.67,66.06,56483
2026-05-13,64.60,66.48,63.50,64.61,40271
2026-05-14,64.65,65.67,62.00,62.63,58062
2026-05-15,62.63,63.49,61.10,62.33,30497
2026-05-18,62.33,62.33,59.82,59.97,54785
2026-05-19,59.70,62.96,58.02,62.83,70244
2026-05-20,62.50,62.50,59.72,60.45,85644
2026-05-21,60.47,63.47,59.00,62.28,81092
2026-05-22,60.00,62.64,59.17,61.69,80711
2026-05-25,61.28,61.90,59.30,60.08,65650
2026-05-26,60.33,60.85,59.00,60.01,66797
2026-05-27,59.71,61.20,59.01,60.37,212937
2026-05-29,60.49,60.50,58.02,60.21,98649
2026-06-01,59.00,61.60,59.00,60.10,54723
2026-06-02,59.87,60.57,58.00,59.49,68011
2026-06-03,59.40,60.90,59.15,59.27,34994
2026-06-04,59.90,62.23,59.90,62.23,94412
2026-06-05,63.79,65.34,62.60,65.34,50404
2026-06-08,68.60,68.60,65.91,68.60,131360
2026-06-09,67.90,69.39,66.26,68.83,88902
2026-06-10,67.46,67.46,67.46,67.46,8691
2026-06-11,66.12,66.12,66.12,66.12,1295
2026-06-12,65.00,65.00,64.80,64.80,8316
2026-06-15,63.51,65.90,63.51,65.90,39495
2026-06-16,65.00,65.05,64.60,64.60,21867
2026-06-17,64.60,64.60,63.61,63.61,12606
2026-06-18,64.88,64.88,64.88,64.88,9227
2026-06-19,66.17,66.17,66.17,66.17,2747
2026-06-22,67.49,67.49,67.49,67.49,5677
2026-06-23,68.70,68.83,68.70,68.83,9462
2026-06-24,70.20,70.20,70.20,70.20,43613
2026-06-25,71.60,71.60,71.60,71.60,9026
2026-06-29,73.03,73.03,73.03,73.03,18157
2026-06-30,71.57,74.48,71.57,73.98,52469
2026-07-01,73.12,73.12,72.51,72.51,17867
2026-07-02,71.06,71.06,71.06,71.06,5547
2026-07-03,69.90,70.00,69.90,70.00,8947
2026-07-06,70.99,70.99,70.99,70.99,60891
2026-07-07,72.40,72.40,72.40,72.40,26477
2026-07-08,73.84,73.84,73.84,73.84,17519
2026-07-09,75.31,75.31,75.31,75.31,15906
2026-07-10,76.81,76.81,76.81,76.81,32099
2026-07-13,78.34,78.34,78.34,78.34,10873
2026-07-14,79.90,79.90,79.90,79.90,6829
2026-07-15,81.49,81.49,81.49,81.49,35802
2026-07-16,83.11,83.11,83.11,83.11,21977
2026-07-17,84.77,84.77,84.77,84.77,30304
2026-07-20,86.46,86.46,86.46,86.46,5585
2026-07-21,84.74,84.74,84.74,84.74,136875
2026-07-22,83.05,83.05,83.05,83.05,25250
2026-07-23,81.39,81.39,81.39,81.39,27019
2026-07-24,79.77,79.77,79.77,79.77,13232
2026-07-27,78.60,78.60,78.60,78.60,60190
2026-07-28,77.03,77.03,77.03,77.03,15666
2026-07-29,76.00,76.99,75.50,76.38,17028
2026-07-30,76.50,76.50,74.86,74.86,28102
2026-07-31,73.37,73.37,73.37,73.37,31757
2026-08-03,70.74,76.49,70.74,75.68,108852
2026-08-04,74.01,78.80,73.15,78.16,41823
2026-08-05,77.40,82.06,77.40,81.83,72730
2026-08-06,83.87,85.92,83.87,85.92,85831
2026-08-07,86.00,87.50,81.63,82.93,102271
2026-08-10,83.39,85.00,79.23,82.95,40334
2026-08-11,81.50,83.00,80.12,82.06,35063
2026-08-12,82.06,82.06,79.00,81.38,31656
2026-08-13,83.49,85.25,77.71,83.17,86930
2026-08-14,84.00,84.49,80.01,82.36,37414
2026-08-17,81.85,82.00,74.13,74.26,202685
2026-08-18,74.00,75.49,67.16,68.94,208275
2026-08-19,70.00,75.11,68.02,74.58,144562
2026-08-20,76.90,78.49,75.10,76.10,84590
2026-08-21,76.10,79.50,72.99,77.79,118286
2026-08-24,82.00,82.00,76.70,77.38,41660
2026-08-25,76.70,79.79,75.01,77.80,67148
2026-08-26,79.75,79.85,74.51,75.25,36610
2026-08-27,76.70,76.70,71.00,73.26,60094
2026-08-28,73.35,75.67,72.81,73.49,50800
2026-08-31,73.68,74.08,69.00,70.60,79938
2026-09-01,72.05,73.79,69.00,70.98,85626
2026-09-02,69.48,72.83,69.48,71.65,55181
2026-09-03,71.65,71.79,69.00,70.29,74767
2026-09-04,71.30,71.30,68.06,68.76,99773
2026-09-07,68.57,69.79,67.00,67.42,65873
2026-09-08,68.00,71.98,67.89,69.09,61329
2026-09-09,69.44,71.40,68.70,69.78,48268
2026-09-10,69.10,75.40,69.10,72.36,139970
2026-09-11,73.99,73.99,69.72,71.04,188725
2026-09-15,72.00,73.79,68.03,69.25,117329
2026-09-16,68.15,70.87,67.52,69.28,65734
2026-09-17,69.28,71.48,68.70,70.29,59054
2026-09-18,70.64,72.00,67.99,70.26,110121
