Date,Open,High,Low,Close,Volume
2003-05-29,84.90,87.40,83.61,86.42,1720170
2003-05-30,85.17,89.55,85.17,89.12,2451740
2003-06-02,87.00,89.84,85.00,89.34,1329280
2003-06-03,88.50,91.50,88.50,90.61,1982570
2003-06-04,91.00,93.50,90.90,92.93,1316480
2003-06-05,93.00,97.79,93.00,95.94,2487310
2003-06-06,96.48,97.89,95.30,97.06,1406400
2003-06-09,97.00,97.89,95.60,96.50,1122080
2003-06-10,96.11,96.59,94.70,94.98,810140
2003-06-11,95.90,96.70,94.52,95.42,1129170
2003-06-12,95.00,96.19,94.31,95.81,484930
2003-06-13,96.50,97.00,95.70,96.11,1456450
2003-06-16,104.84,104.84,97.30,99.89,2028920
2003-06-17,101.50,106.80,101.30,106.05,3110830
2003-06-18,109.90,109.90,103.01,104.00,1301860
2003-06-19,101.85,104.30,101.85,103.75,1559760
2003-06-20,103.00,106.45,102.20,105.80,884550
2003-06-23,102.20,105.00,102.20,103.80,1427180
2003-06-24,102.50,103.47,100.65,101.92,1533790
2003-06-25,103.50,105.00,102.10,104.19,1179260
2003-06-26,103.10,104.00,102.31,103.33,1098010
2003-06-27,104.50,107.61,104.50,106.05,2128710
2003-06-30,105.99,110.99,105.50,109.35,2578510
2003-07-01,109.97,111.40,108.60,109.63,1351520
2003-07-02,111.60,112.44,107.81,109.15,1266850
2003-07-03,109.30,120.69,109.30,119.36,5037250
2003-07-04,118.00,118.90,115.98,117.01,1932460
2003-07-07,116.60,118.35,110.80,112.95,1418720
2003-07-08,113.70,115.90,112.20,113.52,1698270
2003-07-09,113.00,118.30,112.00,114.53,3248960
2003-07-10,114.88,116.00,110.00,111.56,2240130
2003-07-11,110.50,114.24,110.50,111.70,2055700
2003-07-14,119.50,124.90,117.00,118.32,5729150
2003-07-15,118.25,119.90,115.30,118.27,1549460
2003-07-16,117.52,118.50,116.20,117.25,1352970
2003-07-17,118.00,118.98,117.30,118.27,1717190
2003-07-18,116.00,117.60,115.31,116.38,894920
2003-07-21,118.00,118.00,114.70,115.36,850350
2003-07-22,106.00,116.50,106.00,114.02,1318380
2003-07-23,114.80,114.80,109.91,110.78,2344640
2003-07-24,111.00,114.99,111.00,113.68,1466190
2003-07-25,113.80,114.39,112.60,113.33,983770
2003-07-28,106.10,115.60,104.02,114.30,825020
2003-07-29,113.81,114.38,110.80,112.94,1227700
2003-07-30,113.90,116.19,113.00,114.83,943520
2003-07-31,116.00,116.00,113.31,114.84,2166920
2003-08-01,110.50,111.00,105.02,108.86,5001460
2003-08-04,105.00,105.50,101.80,102.31,4176390
2003-08-05,106.00,106.00,99.33,100.00,5442590
2003-08-06,101.00,104.70,100.50,102.86,3528360
2003-08-07,104.50,104.50,103.11,103.65,1711710
2003-08-08,104.00,106.89,103.50,105.71,4538620
2003-08-11,106.70,107.00,105.21,106.00,1210820
2003-08-12,106.00,107.20,104.16,104.91,1424790
2003-08-13,106.19,106.19,103.81,104.97,1269130
2003-08-14,105.70,107.20,104.81,106.36,2478090
2003-08-18,107.17,108.40,105.80,106.33,1929700
2003-08-19,106.80,107.00,105.00,105.67,864690
2003-08-20,106.04,108.20,105.51,106.90,1896490
2003-08-21,107.49,110.60,107.10,109.82,4674830
2003-08-22,110.10,111.40,109.12,110.00,2334090
2003-08-25,101.24,112.60,101.24,108.71,2754150
2003-08-26,100.50,111.30,100.50,110.54,1454720
2003-08-27,111.30,113.40,110.80,112.32,2772560
2003-08-28,112.90,113.47,108.55,109.43,4529300
2003-08-29,110.90,116.55,110.90,115.19,2816370
2003-09-01,117.44,117.97,112.60,114.56,2633490
2003-09-02,115.20,115.80,111.80,113.53,1954550
2003-09-03,114.00,114.70,109.25,110.42,2579830
2003-09-04,111.80,114.40,111.00,113.48,2404690
2003-09-05,113.01,115.68,111.64,113.22,2606340
2003-09-08,115.00,116.50,112.70,115.28,2352020
2003-09-09,116.01,119.50,114.90,116.90,3632860
2003-09-10,117.45,119.40,114.60,118.97,3514460
2003-09-11,118.00,122.54,116.50,119.28,4446160
2003-09-12,121.44,121.44,114.60,115.06,2741250
2003-09-15,115.50,115.50,111.40,114.66,2717210
2003-09-16,113.60,116.00,111.51,113.88,4322320
2003-09-17,114.00,116.00,112.32,114.32,4662050
2003-09-18,115.00,115.00,110.51,111.12,1550480
2003-09-19,113.98,113.98,105.40,109.45,1874270
2003-09-22,111.00,111.00,105.00,105.49,2046450
2003-09-23,104.80,105.49,100.11,104.75,2173390
2003-09-24,94.99,106.40,94.99,105.93,1815050
2003-09-25,105.40,107.80,104.20,104.89,2256190
2003-09-26,106.00,107.20,104.90,106.69,649850
2003-09-29,99.50,107.30,99.50,104.44,3495730
2003-09-30,105.80,107.19,105.10,105.79,1015720
2003-10-01,105.80,108.10,104.50,107.21,1554450
2003-10-03,107.35,111.90,107.21,110.92,2091910
2003-10-06,111.40,112.44,110.23,110.88,720710
2003-10-07,111.90,112.50,110.00,110.59,1293190
2003-10-08,110.65,115.30,110.65,114.12,2891510
2003-10-09,114.49,120.00,114.49,119.17,4132050
2003-10-10,121.80,121.80,117.50,118.00,1180930
2003-10-13,118.30,119.90,114.70,116.83,1286640
2003-10-14,119.90,128.30,115.00,126.42,8216510
2003-10-15,129.90,130.00,123.01,125.67,3346540
2003-10-16,127.00,127.00,120.60,123.57,3747370
2003-10-17,124.40,126.50,120.81,121.53,2338540
2003-10-20,120.50,122.99,117.51,118.66,2015330
2003-10-21,119.11,120.80,110.60,113.01,3138310
2003-10-22,112.50,115.90,111.49,114.19,2585740
2003-10-23,104.50,115.59,104.50,110.25,2423740
2003-10-24,112.00,113.80,108.81,112.67,2406500
2003-10-27,110.00,115.39,110.00,113.58,1650660
2003-10-28,114.01,115.77,110.10,113.31,2665520
2003-10-29,110.00,117.60,110.00,116.52,2721160
2003-10-30,117.12,119.59,116.30,118.36,2572260
2003-10-31,118.20,120.50,116.62,119.53,2095200
2003-11-03,130.00,136.00,128.60,131.19,9255250
2003-11-04,129.50,146.47,127.00,141.84,15190600
2003-11-05,138.30,142.30,135.50,137.76,10238200
2003-11-06,137.50,137.50,129.20,130.19,4711630
2003-11-07,130.00,134.00,125.80,127.99,3303420
2003-11-10,127.90,131.50,125.50,128.81,1922190
2003-11-11,129.10,134.80,126.10,131.95,4056350
2003-11-12,131.48,131.48,127.10,128.09,2221470
2003-11-13,129.70,131.90,127.00,127.64,3046890
2003-11-14,127.70,130.00,125.61,126.68,2559320
2003-11-17,128.94,129.50,126.84,127.56,1258690
2003-11-18,127.80,128.80,122.41,123.69,2908590
2003-11-19,124.69,124.69,119.62,121.70,4631960
2003-11-20,123.60,124.84,123.03,123.81,3074790
2003-11-21,123.20,123.47,120.10,122.78,1600730
2003-11-24,124.50,125.90,122.00,124.17,1320430
2003-11-25,123.50,125.40,123.30,124.26,1752290
2003-11-27,125.00,126.99,124.50,125.87,2611600
2003-11-28,126.99,127.70,125.05,127.07,1622300
2003-12-01,119.69,132.29,119.69,131.22,2629170
2003-12-02,133.84,135.56,129.99,133.03,1881830
2003-12-03,132.48,135.60,129.55,134.59,2386890
2003-12-04,135.79,135.79,131.52,132.97,1201980
2003-12-05,132.97,133.80,129.40,130.32,1360400
2003-12-08,130.00,133.50,128.30,132.69,1705950
2003-12-09,133.50,137.80,132.10,137.19,2636090
2003-12-10,140.50,141.50,134.50,138.16,2441470
2003-12-11,137.90,138.50,135.00,137.38,1007790
2003-12-12,137.89,137.89,134.55,135.21,1362870
2003-12-15,135.78,136.67,134.04,135.47,676870
2003-12-16,135.70,137.60,135.00,136.13,1929520
2003-12-17,136.50,137.48,134.50,134.99,915920
2003-12-18,136.00,136.49,134.50,136.09,1034870
2003-12-19,136.80,137.99,136.00,136.80,901280
2003-12-22,137.66,138.50,136.40,137.99,631730
2003-12-23,138.32,140.90,137.60,139.23,1027540
2003-12-24,138.50,143.99,138.20,142.09,1844190
2003-12-26,143.88,145.00,141.50,142.57,584560
2003-12-29,143.00,146.80,142.82,146.08,1720040
2003-12-30,146.20,146.50,136.90,144.63,830900
2003-12-31,145.30,146.47,138.71,142.91,715310
2004-01-01,146.90,146.90,142.61,143.39,711090
2004-01-02,144.00,146.30,144.00,144.97,1226100
2004-01-05,147.11,147.11,142.57,144.62,1265870
2004-01-06,145.11,145.99,143.12,144.21,1260540
2004-01-07,144.60,145.00,139.50,141.36,1075730
2004-01-08,140.50,142.50,139.50,140.97,1078130
2004-01-09,141.40,144.88,139.90,141.05,2628680
2004-01-12,140.60,141.30,134.60,136.91,1698430
2004-01-13,137.80,141.00,136.31,140.10,1566000
2004-01-14,141.50,142.40,137.20,138.01,1571140
2004-01-15,139.10,140.20,134.00,135.00,1646170
2004-01-16,136.10,136.90,132.12,134.87,1415770
2004-01-19,135.00,139.20,134.65,137.87,1614020
2004-01-20,138.90,138.90,133.50,134.27,1011330
2004-01-21,134.70,138.60,133.00,134.13,2209750
2004-01-22,135.25,137.99,129.30,134.26,2716920
2004-01-23,136.10,137.90,134.50,136.78,1566000
2004-01-27,138.50,145.48,138.50,142.55,3191110
2004-01-28,144.01,146.20,142.56,143.22,2911620
2004-01-29,143.50,145.30,139.50,143.20,2056320
2004-01-30,144.50,144.98,137.15,139.82,1859980
2004-02-03,133.22,134.00,125.22,128.96,5330960
2004-02-04,129.55,134.90,128.00,132.32,1416020
2004-02-05,134.00,134.00,130.12,130.94,709790
2004-02-06,132.10,134.20,130.85,133.28,1513090
2004-02-09,125.00,126.50,121.02,125.03,3831600
2004-02-10,129.90,129.90,121.10,123.72,4554130
2004-02-11,126.00,126.50,124.20,126.08,1736290
2004-02-12,126.72,127.60,122.00,124.19,4080180
2004-02-13,124.53,127.50,124.00,125.52,5186460
2004-02-16,127.00,127.40,123.00,123.59,4599900
2004-02-17,125.00,125.09,122.00,124.08,3560140
2004-02-18,124.62,125.45,123.45,124.18,2102730
2004-02-19,125.00,125.00,121.50,122.25,2549290
2004-02-20,122.01,122.50,119.12,119.74,1995080
2004-02-23,121.11,123.30,120.14,120.94,2683850
2004-02-24,120.00,123.98,119.53,122.78,2248760
2004-02-25,124.97,126.50,123.00,125.91,2450380
2004-02-26,126.00,127.88,123.00,125.38,2334220
2004-02-27,125.50,125.50,123.20,124.08,1307180
2004-03-01,115.02,115.02,99.50,101.52,13505680
2004-03-03,102.71,104.77,100.00,102.25,7550890
2004-03-04,103.90,103.90,100.90,101.46,3713010
2004-03-05,101.70,102.40,100.89,102.05,1857120
2004-03-08,101.80,103.78,101.52,102.92,1921920
2004-03-09,103.09,105.50,102.30,104.89,2532090
2004-03-10,105.01,106.68,104.00,104.86,3405370
2004-03-11,104.80,107.89,104.50,106.55,4416260
2004-03-12,106.00,106.00,101.52,102.99,2052290
2004-03-15,103.70,104.49,100.50,101.97,990430
2004-03-16,100.00,102.30,98.60,99.59,1609590
2004-03-17,101.00,101.00,96.00,99.27,4600330
2004-03-18,99.20,100.89,98.72,100.11,2431710
2004-03-19,99.90,102.50,99.83,101.08,822940
2004-03-22,100.55,102.70,100.48,100.92,726620
2004-03-23,100.90,107.76,99.90,100.67,1244140
2004-03-24,100.90,101.48,97.76,98.42,961780
2004-03-25,98.50,101.40,95.50,96.58,2817980
2004-03-26,98.96,98.96,97.22,97.61,1859100
2004-03-29,98.00,98.00,97.30,97.69,962300
2004-03-30,98.00,98.96,96.60,97.11,970200
2004-03-31,97.80,98.05,97.00,97.44,1325380
2004-04-01,97.80,98.21,97.00,97.97,1848610
