Date,Open,High,Low,Close,Volume
2019-05-30,172.95,172.95,140.00,152.00,799
2019-05-31,164.95,164.95,151.90,151.90,250
2019-06-03,151.90,157.45,151.90,152.15,237
2019-06-04,152.00,156.00,150.00,156.00,166
2019-06-06,156.00,156.00,144.05,144.25,389
2019-06-07,144.45,145.15,138.00,143.50,600
2019-06-10,149.95,149.95,139.00,149.80,49
2019-06-11,135.00,148.95,135.00,139.40,608
2019-06-12,139.05,141.60,139.00,140.20,666
2019-06-13,133.15,140.00,133.15,135.40,670
2019-06-14,135.50,135.50,130.00,130.35,1487
2019-06-17,130.35,130.35,115.00,125.95,390
2019-06-18,104.00,126.00,104.00,123.05,55
2019-06-19,118.00,122.50,110.00,111.40,887
2019-06-20,93.00,110.00,93.00,104.00,2576
2019-06-21,94.20,103.50,94.20,96.45,1990
2019-06-24,98.00,98.35,87.50,91.55,5173
2019-06-25,90.00,100.70,86.65,99.15,19480
2019-06-26,101.00,109.05,95.00,109.05,42227
2019-06-27,116.95,117.50,108.80,110.60,29740
2019-06-28,107.05,114.80,100.00,110.00,7976
2019-07-01,102.10,108.00,101.55,102.35,3737
2019-07-02,102.00,103.85,96.20,98.60,2003
2019-07-03,98.10,101.95,89.00,94.25,10418
2019-07-04,95.00,97.50,90.05,92.40,6403
2019-07-05,93.40,93.40,86.25,91.55,2457
2019-07-08,87.15,92.75,84.25,86.05,7146
2019-07-09,86.75,90.00,80.10,83.50,1107
2019-07-10,83.00,83.00,80.55,82.00,3676
2019-07-11,80.05,82.00,78.35,80.15,1281
2019-07-12,80.25,81.95,76.30,80.05,1947
2019-07-15,76.50,83.95,76.50,76.80,3006
2019-07-16,73.00,84.40,73.00,77.25,7136
2019-07-17,79.75,79.85,74.15,74.60,1280
2019-07-18,75.05,76.75,70.90,71.45,3138
2019-07-19,71.00,71.20,67.90,67.90,4779
2019-07-22,65.05,69.00,64.55,64.55,3142
2019-07-23,64.55,66.95,61.35,62.70,3585
2019-07-24,64.95,65.80,64.95,65.80,1650
2019-07-25,69.00,69.05,69.00,69.05,2405
2019-07-26,70.50,72.50,70.50,72.50,870
2019-07-29,71.00,76.00,71.00,72.60,2071
2019-07-30,74.80,74.80,69.00,71.25,937
2019-07-31,68.00,72.60,67.70,67.70,1260
2019-08-01,67.60,69.80,66.10,67.25,3457
2019-08-02,69.90,70.00,66.20,68.00,601
2019-08-05,66.20,70.05,64.65,69.80,177
2019-08-06,66.70,73.25,66.70,71.80,2303
2019-08-07,77.65,77.80,72.50,72.55,1168
2019-08-08,72.50,77.65,67.10,76.60,3052
2019-08-09,70.00,83.70,70.00,81.95,3153
2019-08-13,82.00,90.10,82.00,88.95,8655
2019-08-14,92.00,95.00,87.00,94.85,4460
2019-08-16,94.85,95.00,90.15,92.30,6403
2019-08-19,92.00,92.00,87.70,90.00,2733
2019-08-20,88.00,89.25,85.50,87.70,2732
2019-08-21,87.90,87.90,83.50,84.60,337
2019-08-22,82.05,82.05,80.40,80.40,429
2019-08-23,81.95,82.00,76.40,81.90,1499
2019-08-26,81.90,85.95,78.50,80.30,4659
2019-08-27,76.30,84.30,76.30,81.75,4623
2019-08-28,82.50,84.80,78.00,78.30,445
2019-08-29,79.50,79.50,74.80,74.95,493
2019-08-30,75.50,76.00,71.50,74.10,501
2019-09-03,70.60,76.00,70.45,70.45,332
2019-09-04,70.45,70.50,67.25,69.90,539
2019-09-05,67.10,71.95,67.10,70.00,139
2019-09-06,73.50,73.50,73.50,73.50,1015
2019-09-09,77.00,77.15,75.00,77.15,513
2019-09-11,81.00,81.00,81.00,81.00,581
2019-09-12,84.00,85.05,84.00,85.05,6281
2019-09-13,88.00,88.00,80.80,85.95,7890
2019-09-16,85.05,86.50,81.70,86.00,2668
2019-09-17,87.90,90.30,86.95,88.55,3836
2019-09-18,88.55,92.95,85.60,91.80,2330
2019-09-19,96.35,96.35,92.10,96.35,6993
2019-09-20,101.10,101.10,93.15,97.55,10975
2019-09-23,97.55,97.60,93.00,97.15,4178
2019-09-24,92.55,102.00,92.55,97.00,3523
2019-09-25,97.00,100.00,92.15,92.30,5542
2019-09-26,94.50,96.90,93.10,96.15,7957
2019-09-27,100.95,100.95,96.00,97.55,5981
2019-09-30,100.00,102.40,97.60,100.70,5194
2019-10-01,100.70,100.70,96.05,97.00,3279
2019-10-03,93.10,98.00,92.15,92.15,3038
2019-10-04,92.15,92.15,87.55,90.55,5097
2019-10-07,87.60,88.95,86.05,88.25,3490
2019-10-09,84.20,89.00,83.85,88.55,926
2019-10-10,84.20,87.85,84.15,84.30,3913
2019-10-11,80.65,85.00,80.10,80.85,886
2019-10-14,77.50,83.95,76.85,77.50,2675
2019-10-15,80.70,80.70,74.15,76.75,7567
2019-10-16,79.65,80.00,73.55,77.50,10235
2019-10-17,78.85,81.00,75.50,78.70,6182
2019-10-18,78.70,80.00,76.00,76.75,5708
2019-10-22,80.55,80.55,74.00,76.00,1578
2019-10-23,77.00,79.00,74.05,78.05,1532
2019-10-24,77.50,79.95,75.00,75.60,2388
2019-10-25,75.60,78.50,73.05,76.55,1227
2019-10-29,74.95,79.90,74.15,78.70,3982
2019-10-30,79.10,79.15,76.35,79.10,1018
2019-10-31,78.50,79.50,75.15,76.15,7586
2019-11-01,75.00,77.75,73.10,76.00,2866
2019-11-04,77.50,77.50,73.00,74.05,2262
2019-11-05,77.00,77.00,74.10,74.95,600
2019-11-06,76.00,76.00,73.05,75.25,2074
2019-11-07,77.00,77.00,72.55,76.00,3389
2019-11-08,76.90,76.90,74.55,75.05,866
2019-11-11,78.00,78.00,71.60,73.50,1674
2019-11-13,75.50,75.50,70.70,71.35,4202
2019-11-14,72.50,73.75,70.35,73.75,398
2019-11-15,74.95,74.95,70.50,70.70,1775
2019-11-18,72.45,72.45,71.10,71.10,279
2019-11-19,72.00,72.95,69.50,70.95,849
2019-11-20,72.15,72.15,70.20,71.35,147
2019-11-21,68.05,72.90,67.80,68.60,3694
2019-11-22,68.00,71.80,66.00,69.50,1350
2019-11-25,67.60,71.95,67.60,70.00,3419
2019-11-26,72.40,72.40,70.05,70.15,378
2019-11-27,72.00,72.00,68.90,70.95,840
2019-11-28,70.95,70.95,67.45,70.15,1381
2019-11-29,68.90,70.85,67.30,69.95,412
2019-12-02,72.00,72.00,68.05,69.35,3832
2019-12-03,69.00,69.00,67.55,68.85,1754
2019-12-04,68.85,68.85,68.00,68.05,1289
2019-12-05,68.95,70.90,66.35,70.50,4826
2019-12-06,72.90,72.90,67.60,68.60,6901
2019-12-09,74.90,74.90,69.70,70.20,24083
2019-12-10,69.00,70.50,67.35,69.20,1154
2019-12-11,68.00,70.80,65.20,67.00,2836
2019-12-12,70.00,70.00,66.35,67.55,1188
2019-12-13,70.00,72.00,66.15,69.70,2840
2019-12-16,67.05,71.75,67.00,70.40,1534
2019-12-17,76.50,77.40,74.15,77.40,81639
2019-12-18,77.40,77.45,71.50,72.35,22421
2019-12-19,77.40,77.40,72.00,73.70,9512
2019-12-20,75.95,75.95,73.20,74.00,2061
2019-12-23,74.00,75.45,71.15,74.50,2193
2019-12-24,76.00,76.00,72.60,74.70,1939
2019-12-26,76.50,77.55,74.90,76.40,22472
2019-12-27,76.85,76.85,74.65,75.80,2473
2019-12-30,76.05,76.05,74.80,75.55,1332
2019-12-31,74.80,75.85,73.30,73.90,1937
2020-01-01,73.75,75.75,73.10,73.55,540
2020-01-02,74.00,75.45,71.50,73.85,3890
2020-01-03,74.35,76.00,73.55,73.70,4025
2020-01-06,76.50,76.50,70.50,71.15,1773
2020-01-07,72.00,75.00,72.00,74.45,4901
2020-01-08,74.00,75.00,72.20,74.15,1823
2020-01-09,81.55,81.55,80.05,81.55,40178
2020-01-10,89.70,89.70,89.70,89.70,14084
2020-01-13,97.85,98.65,95.60,98.65,31994
2020-01-14,103.55,103.55,103.55,103.55,3971
2020-01-15,108.70,108.70,108.70,108.70,6763
2020-01-16,114.10,114.10,103.50,114.10,100322
2020-01-17,119.50,119.80,116.20,119.80,11105
2020-01-20,125.75,125.75,120.00,125.75,48323
2020-01-21,132.00,132.00,127.00,132.00,21494
2020-01-22,138.60,138.60,138.60,138.60,16416
2020-01-23,145.50,145.50,135.00,145.50,149965
2020-01-24,150.00,152.75,145.50,152.75,143741
2020-01-27,152.50,154.60,145.15,145.15,28677
2020-01-28,137.90,137.90,137.90,137.90,2608
2020-01-29,131.05,131.05,131.05,131.05,4386
2020-01-30,124.50,124.50,124.50,124.50,1567
2020-01-31,118.30,118.30,118.30,118.30,3748
2020-02-01,112.40,123.70,112.40,112.40,79278
2020-02-03,106.80,106.80,106.80,106.80,898
2020-02-04,101.50,101.50,101.50,101.50,2503
2020-02-05,96.45,102.85,96.45,96.45,80543
2020-02-06,94.05,101.25,92.50,101.25,45976
2020-02-07,106.30,106.30,106.30,106.30,1788
2020-02-10,111.55,111.60,111.55,111.60,6157
2020-02-11,117.15,117.15,106.05,106.05,75031
2020-02-12,100.75,100.75,100.75,100.75,4236
2020-02-13,95.75,104.95,95.75,103.60,74814
2020-02-14,101.35,104.35,98.45,98.45,30495
2020-02-17,98.35,98.35,93.55,93.55,20176
2020-02-18,89.50,92.45,88.90,89.35,19297
2020-02-19,93.00,93.80,92.10,93.80,7054
2020-02-20,98.45,98.45,96.05,98.45,38907
2020-02-24,99.90,99.90,93.55,93.95,20565
2020-02-25,95.00,95.00,89.50,91.80,16606
2020-02-26,90.20,94.20,89.30,90.35,9400
2020-02-27,90.35,90.35,86.40,87.60,6709
2020-02-28,87.50,87.50,83.25,83.95,10966
2020-03-02,84.40,88.00,80.10,81.85,12564
2020-03-03,81.85,82.45,78.00,79.40,10473
