Date,Open,High,Low,Close,Volume
2014-09-30,599.65,614.00,563.00,600.50,25263
2014-10-01,599.90,637.90,593.95,598.70,83107
2014-10-07,598.00,606.00,574.00,589.10,18140
2014-10-08,597.60,601.00,577.00,595.85,12990
2014-10-09,590.60,604.00,589.60,591.05,10778
2014-10-10,585.05,597.65,581.00,590.15,20477
2014-10-13,582.20,605.00,582.15,597.40,18118
2014-10-14,597.45,609.00,590.20,595.15,16075
2014-10-16,585.00,606.90,580.00,595.25,84165
2014-10-17,565.00,620.00,565.00,604.85,26782
2014-10-20,603.95,607.95,591.10,594.90,8906
2014-10-21,595.05,596.00,565.10,589.25,5724
2014-10-22,602.95,604.95,587.00,591.75,9052
2014-10-23,593.30,599.80,590.00,592.40,6781
2014-10-27,586.45,607.00,586.45,602.10,21519
2014-10-28,596.10,666.05,592.00,653.30,61993
2014-10-29,650.00,681.75,631.00,659.80,71375
2014-10-30,658.00,674.50,591.00,602.95,70667
2014-10-31,603.00,624.95,575.00,615.00,31648
2014-11-03,615.00,615.00,587.85,610.00,40588
2014-11-05,605.05,625.00,600.00,612.10,9708
2014-11-07,608.95,620.00,600.00,602.80,31292
2014-11-10,637.95,637.95,593.00,595.95,8579
2014-11-11,607.70,612.00,590.00,592.10,21320
2014-11-12,586.20,604.00,561.15,590.85,8756
2014-11-13,584.20,595.00,584.05,589.35,10171
2014-11-14,589.35,605.00,583.50,599.60,33905
2014-11-17,605.85,610.00,595.10,601.20,9209
2014-11-18,602.35,608.40,597.00,600.65,5874
2014-11-19,603.90,610.00,595.00,601.80,15560
2014-11-20,605.05,633.30,605.05,620.70,40247
2014-11-21,628.80,644.40,601.00,612.50,29035
2014-11-24,615.10,639.10,606.00,618.65,23839
2014-11-25,615.00,625.00,592.30,612.00,13204
2014-11-26,627.80,627.80,605.25,612.65,4800
2014-11-27,611.00,629.00,611.00,617.80,11775
2014-11-28,639.95,639.95,612.10,618.15,9210
2014-12-01,606.05,631.00,599.95,615.45,16706
2014-12-02,617.30,669.00,617.30,662.70,49716
2014-12-03,660.00,678.85,640.80,647.55,13838
2014-12-04,641.15,663.00,606.25,652.55,244264
2014-12-05,692.05,744.90,686.10,719.50,129604
2014-12-08,726.50,766.95,717.95,760.40,71861
2014-12-09,768.95,791.90,738.00,745.95,62967
2014-12-10,745.00,753.95,683.50,708.00,47147
2014-12-11,707.05,725.00,688.00,692.65,16659
2014-12-12,697.00,723.30,680.10,683.20,14559
2014-12-15,679.05,687.75,664.05,679.40,26984
2014-12-16,676.05,698.00,651.00,674.35,23907
2014-12-17,670.00,691.55,645.10,655.15,18277
2014-12-18,675.00,686.05,662.00,678.30,10756
2014-12-19,674.00,691.95,669.95,670.45,6474
2014-12-22,666.00,676.50,642.40,669.15,16876
2014-12-23,665.00,674.00,652.25,656.00,28530
2014-12-24,653.00,689.10,652.50,658.20,37809
2014-12-26,654.20,673.00,650.60,653.55,6252
2014-12-29,650.55,668.00,650.00,665.30,11179
2014-12-30,650.10,667.00,650.10,656.00,5481
2014-12-31,660.00,660.05,645.00,653.15,23270
2015-01-01,655.00,665.00,650.00,660.20,11315
2015-01-02,664.95,667.80,650.15,652.10,19881
2015-01-05,656.00,662.00,646.10,647.60,11959
2015-01-06,618.00,661.00,618.00,631.40,19368
2015-01-07,576.00,648.80,576.00,632.55,20075
2015-01-08,640.05,649.80,611.15,621.10,19662
2015-01-09,634.95,644.50,610.00,619.20,22851
2015-01-12,618.05,648.80,618.05,640.95,35042
2015-01-13,648.00,662.95,628.00,633.45,18963
2015-01-14,635.05,659.00,630.00,649.65,11171
2015-01-15,649.00,677.00,643.00,651.20,33741
2015-01-16,653.25,665.00,645.50,659.50,16701
2015-01-19,660.00,674.00,645.00,652.15,6448
2015-01-20,647.00,657.90,606.60,613.40,27282
2015-01-21,614.00,659.90,600.00,650.20,36701
2015-01-22,646.00,680.00,586.10,599.10,134488
2015-01-23,582.45,610.65,582.45,597.65,42202
2015-01-27,609.70,609.75,580.25,587.10,11917
2015-01-28,593.80,597.05,536.05,544.40,71070
