Date,Open,High,Low,Close,Volume
2022-11-18,318.80,319.80,303.15,306.50,26949
2022-11-21,306.55,306.55,290.00,292.25,16125
2022-11-22,290.00,295.75,284.10,287.25,7829
2022-11-23,299.00,299.00,284.00,286.45,5677
2022-11-24,293.15,293.15,276.10,282.15,10232
2022-11-25,292.00,292.00,273.15,276.40,7344
2022-11-28,281.50,282.35,270.35,273.05,7779
2022-11-29,277.45,280.45,268.05,273.05,10680
2022-11-30,279.30,282.95,274.00,281.35,5335
2022-12-01,287.00,311.10,285.00,304.05,18162
2022-12-02,312.00,312.00,304.95,309.50,9704
2022-12-05,314.75,314.75,296.50,302.20,10828
2022-12-06,300.95,308.90,247.80,287.25,29227
2022-12-07,289.15,291.75,287.00,290.25,4644
2022-12-08,298.95,298.95,252.70,278.45,35274
2022-12-09,285.85,288.00,276.60,279.45,7457
2022-12-12,287.00,287.00,271.05,280.25,4469
2022-12-13,280.50,288.00,275.00,279.25,14956
2022-12-14,280.00,288.00,278.05,281.85,6199
2022-12-15,288.45,288.45,282.10,285.20,5813
2022-12-16,284.15,289.00,270.00,282.60,15114
2022-12-19,287.90,287.90,274.20,277.00,6488
2022-12-20,274.65,279.70,274.65,277.55,2561
2022-12-21,278.60,280.00,256.00,264.50,9940
2022-12-22,264.00,269.00,251.10,267.95,19268
2022-12-23,260.15,268.60,259.10,262.30,24338
2022-12-26,263.05,269.95,262.25,265.45,8093
2022-12-27,269.90,286.85,267.85,281.60,8638
2022-12-28,281.60,285.15,274.20,282.10,2749
2022-12-29,282.10,298.00,270.00,279.35,5263
2022-12-30,277.85,289.00,276.55,285.00,6887
2023-01-02,281.80,287.40,280.60,282.25,2746
2023-01-03,283.45,283.45,277.50,278.35,3478
2023-01-04,275.40,285.00,270.55,279.05,2767
2023-01-05,285.05,285.15,265.40,274.55,8410
2023-01-06,279.75,279.75,271.05,273.30,2001
2023-01-09,270.10,285.30,270.10,280.25,9220
2023-01-10,274.00,285.00,274.00,280.10,3077
2023-01-11,280.40,287.95,280.10,283.10,4908
2023-01-12,280.95,286.00,280.00,285.40,4861
2023-01-13,292.90,292.90,280.00,284.40,3509
2023-01-16,284.85,285.85,280.10,282.60,3996
2023-01-17,284.15,286.95,280.10,283.05,3981
2023-01-18,285.85,285.95,280.00,282.25,5065
2023-01-19,289.95,289.95,280.00,280.75,2171
2023-01-20,274.70,291.25,273.15,284.80,2502
2023-01-23,291.25,291.25,277.00,280.95,9549
2023-01-24,280.65,288.90,280.00,284.90,6135
2023-01-25,282.35,286.75,280.00,284.35,5985
2023-01-27,289.50,289.50,272.00,282.40,6024
2023-01-30,275.05,290.40,275.05,288.80,9028
2023-01-31,289.75,290.35,279.10,287.30,4324
2023-02-01,290.00,294.95,281.00,283.35,2159
2023-02-02,280.15,285.00,270.90,275.25,6815
2023-02-03,275.60,288.95,275.60,286.35,5882
2023-02-06,287.00,288.45,284.40,286.50,1831
2023-02-07,285.10,287.40,282.40,283.20,4151
2023-02-08,285.10,286.95,280.25,281.10,2044
2023-02-09,275.35,288.25,275.35,281.00,2054
2023-02-10,281.60,284.35,280.40,284.00,2160
2023-02-13,286.60,287.00,279.00,280.45,4082
2023-02-14,280.60,284.95,278.00,278.90,2072
2023-02-15,279.00,282.10,274.55,275.05,4367
2023-02-16,281.10,281.10,272.50,273.80,3362
2023-02-17,272.80,273.95,271.95,272.40,3331
2023-02-20,275.00,283.90,274.95,277.15,1682
2023-02-21,278.00,278.00,272.00,272.85,3443
2023-02-22,278.10,278.20,260.10,264.30,2354
2023-02-23,260.15,270.40,251.00,254.05,6288
2023-02-24,256.10,286.00,255.90,280.45,15052
2023-02-27,280.45,285.00,268.40,271.05,6417
2023-02-28,273.10,285.00,261.70,269.80,8079
2023-03-01,279.85,282.40,270.10,273.55,5119
2023-03-02,274.10,282.00,271.05,278.00,3748
2023-03-03,272.10,280.00,272.10,277.20,2141
2023-03-06,279.00,290.00,272.00,275.10,6218
2023-03-08,277.90,298.90,275.10,290.15,6882
