Date,Open,High,Low,Close,Volume
2023-07-03,486.67,486.67,450.00,452.48,262824
2023-07-04,456.32,473.33,436.75,461.82,126972
2023-07-05,470.00,473.57,457.33,468.82,105720
2023-07-06,470.35,476.67,458.33,461.73,69816
2023-07-07,466.33,470.00,462.68,464.98,85509
2023-07-10,466.60,488.22,465.33,478.68,461496
2023-07-11,478.22,484.37,458.02,459.30,171513
2023-07-12,466.33,474.52,455.00,458.40,175038
2023-07-13,458.40,471.67,455.00,460.08,116883
2023-07-14,466.62,467.67,456.10,458.00,66300
2023-07-17,458.33,466.63,451.33,459.88,127251
2023-07-18,458.33,466.63,452.02,459.68,123162
2023-07-19,462.98,473.23,461.33,466.88,137757
2023-07-20,466.88,480.67,466.70,469.67,117534
2023-07-21,469.67,487.10,463.23,463.98,81114
2023-07-24,473.32,473.35,460.18,461.88,268407
2023-07-25,474.97,484.97,468.35,484.97,224415
2023-07-26,503.33,509.20,494.95,509.20,126000
2023-07-27,513.33,534.65,488.37,528.23,457080
2023-07-28,538.33,554.63,507.10,526.37,352500
2023-07-31,533.33,552.68,530.02,552.68,97197
2023-08-01,560.05,580.00,553.33,564.32,703579
2023-08-02,573.00,581.00,538.00,559.23,191526
2023-08-03,567.13,574.15,549.07,555.02,61077
2023-08-04,573.23,573.23,554.98,562.75,50526
2023-08-07,564.65,566.32,554.17,560.50,66360
2023-08-08,554.05,575.90,554.05,566.07,78237
2023-08-09,568.68,594.37,563.68,581.18,505951
2023-08-10,586.00,588.27,573.02,578.50,159693
2023-08-11,586.00,591.60,571.78,580.72,249918
2023-08-14,581.65,609.75,569.00,609.75,341070
2023-08-16,616.67,633.00,579.27,597.30,281013
2023-08-17,600.00,600.00,572.33,581.90,141258
2023-08-18,584.80,599.98,561.67,569.78,265482
2023-08-21,570.67,598.27,570.67,583.80,287253
2023-08-22,588.67,592.17,575.02,579.63,87363
2023-08-23,585.65,591.33,576.80,582.88,536512
2023-08-24,587.33,599.67,579.00,580.73,89649
2023-08-25,583.30,592.32,570.00,572.93,51564
2023-08-28,572.93,584.42,553.35,559.30,119724
2023-08-29,560.38,587.25,555.68,587.02,391557
2023-08-30,596.65,598.47,576.00,580.52,98505
2023-08-31,580.32,609.53,576.35,609.53,143790
2023-09-01,640.00,640.00,640.00,640.00,63003
2023-09-04,672.00,672.00,633.33,645.67,478767
2023-09-05,658.33,677.95,646.07,673.55,190128
2023-09-06,707.22,707.22,658.42,673.97,424293
2023-09-07,671.02,679.32,653.48,661.25,72801
2023-09-08,666.67,674.67,644.52,652.15,75099
2023-09-11,653.35,659.10,626.00,627.82,83253
2023-09-12,628.32,644.00,596.43,613.67,101067
2023-09-13,617.00,629.67,596.67,606.13,94704
2023-09-14,610.67,626.00,609.65,616.05,39771
2023-09-15,620.30,628.00,617.20,625.15,45726
2023-09-18,642.67,642.67,616.67,623.00,69147
2023-09-20,622.68,628.33,613.60,622.90,46302
2023-09-21,622.67,640.00,618.33,630.85,64527
2023-09-22,630.02,662.38,629.02,662.38,303411
2023-09-25,673.33,685.00,653.33,662.10,92454
2023-09-26,666.33,666.82,650.03,658.23,45201
2023-09-27,659.33,669.58,652.73,662.13,46191
2023-09-28,666.10,695.23,663.03,668.58,251169
2023-09-29,689.43,689.45,666.67,671.07,48336
2023-10-03,670.97,671.07,640.33,660.62,78369
2023-10-04,660.00,664.43,645.62,649.72,65202
2023-10-05,649.72,663.78,645.33,651.33,64914
2023-10-06,662.67,683.90,653.68,676.27,190212
2023-10-09,670.00,729.00,663.33,705.73,416652
2023-10-10,733.33,755.63,723.47,734.40,255681
2023-10-11,759.33,807.83,747.58,807.83,603058
2023-10-12,829.10,842.35,783.33,805.33,443064
2023-10-13,799.23,829.00,776.67,797.35,185037
2023-10-16,816.00,816.00,783.33,801.98,231693
2023-10-17,844.80,882.20,832.05,882.20,154034
2023-10-18,909.90,944.40,898.05,916.90,366935
