Date,Open,High,Low,Close,Volume
2001-12-31,1.05,1.05,1.05,1.05,375
2002-01-01,1.05,1.05,1.05,1.05,125
2002-01-03,1.15,1.30,1.15,1.20,456
2002-01-04,1.10,1.10,1.10,1.10,100
2002-01-07,1.10,1.15,1.10,1.15,300
2002-01-14,1.20,1.20,1.20,1.20,25
2002-01-21,1.15,1.25,1.15,1.15,251
2002-01-23,1.20,1.20,1.20,1.20,472
2002-01-24,1.20,1.20,1.20,1.20,30
2002-01-31,1.20,1.20,1.20,1.20,100
2002-02-04,1.25,1.25,1.25,1.25,525
2002-02-07,1.25,1.25,1.25,1.25,128
2002-02-08,1.25,1.25,1.25,1.25,1262
2002-02-14,1.30,1.30,1.20,1.20,420
2002-02-15,1.20,1.25,1.20,1.25,2187
2002-02-18,1.20,1.20,1.20,1.20,250
2002-02-20,1.20,1.25,1.20,1.25,975
2002-02-22,1.25,1.25,1.25,1.25,200
2002-02-26,1.25,1.25,1.25,1.25,350
2002-02-27,1.30,1.30,1.30,1.30,450
2002-02-28,1.35,1.35,1.25,1.30,1125
2002-03-01,1.25,1.25,1.25,1.25,500
2002-03-04,1.30,1.30,1.25,1.30,1229
2002-03-05,1.35,1.35,1.35,1.35,200
2002-03-06,1.30,1.40,1.30,1.40,1032
2002-03-07,1.35,1.50,1.35,1.50,475
2002-03-08,1.60,1.60,1.50,1.50,328
2002-03-11,1.50,1.50,1.50,1.50,159
2002-03-12,1.45,1.45,1.45,1.45,325
2002-03-15,1.45,1.55,1.45,1.55,3545
2002-03-18,1.55,1.65,1.55,1.65,934
2002-03-19,1.75,1.75,1.65,1.75,1399
2002-03-20,1.70,1.70,1.70,1.70,501
2002-03-21,1.80,1.80,1.70,1.70,1100
2002-03-22,1.70,1.70,1.70,1.70,990
2002-04-05,1.75,1.75,1.75,1.75,1
2002-04-15,1.75,1.75,1.75,1.75,1000
2002-04-16,1.85,2.10,1.85,2.10,374
2002-04-17,2.55,2.55,2.55,2.55,2162
2002-04-18,3.10,3.10,3.10,3.10,4162
2002-04-19,3.75,3.75,3.75,3.75,6248
2002-04-22,4.50,4.50,4.25,4.50,7267
2002-04-23,5.25,5.40,5.25,5.40,5206
2002-04-24,6.45,6.50,6.20,6.50,8271
2002-04-25,7.80,7.80,6.65,6.85,24443
2002-04-26,8.20,8.20,6.00,6.45,9598
2002-04-29,7.15,7.15,5.60,6.00,3000
2002-04-30,6.40,6.40,5.55,5.65,4708
2002-05-02,6.20,6.20,4.55,4.75,3200
2002-05-03,4.50,4.55,4.50,4.50,1287
2002-05-06,4.50,4.85,4.00,4.20,4525
2002-05-07,4.65,4.65,4.30,4.55,918
2002-05-08,5.00,5.00,4.60,4.90,1649
2002-05-09,5.00,5.00,4.00,4.25,392
2002-05-10,3.50,4.35,3.50,4.10,840
2002-05-13,4.70,4.75,4.30,4.30,1800
2002-05-14,4.00,4.75,4.00,4.00,1574
2002-05-15,4.00,4.00,3.75,3.95,2161
2002-05-16,3.70,3.70,3.60,3.70,449
2002-05-17,4.40,4.40,3.60,3.60,162
2002-05-20,3.25,3.25,3.10,3.15,699
2002-05-21,2.90,3.20,2.60,3.10,1125
2002-05-22,3.10,3.50,3.10,3.45,975
2002-05-23,3.75,3.95,3.75,3.90,970
2002-05-24,4.25,4.70,4.25,4.55,2074
2002-05-28,4.10,4.50,4.00,4.45,600
2002-05-29,4.00,4.90,4.00,4.85,699
2002-05-30,3.90,4.50,3.90,4.15,1150
2002-06-04,4.85,4.85,4.35,4.55,1500
2002-06-05,5.20,5.20,4.70,4.70,1400
2002-06-06,4.70,4.70,4.25,4.55,1650
2002-06-07,3.75,4.05,3.75,3.90,1598
2002-06-10,4.10,4.10,3.75,3.75,850
2002-06-11,3.75,4.20,3.70,4.20,3012
2002-06-12,3.85,3.85,3.85,3.85,187
2002-06-13,4.40,4.65,3.75,4.65,4486
2002-06-14,5.40,5.60,5.40,5.60,12169
2002-06-17,6.00,6.75,6.00,6.70,20004
2002-06-18,7.85,7.85,7.00,7.10,20285
2002-06-19,7.15,7.15,6.25,6.35,12154
2002-06-20,6.10,7.65,6.10,7.10,8899
2002-06-21,7.00,7.65,6.60,7.05,12361
2002-06-24,7.00,7.10,6.75,6.90,5706
2002-06-25,6.65,6.95,6.50,6.70,4099
2002-06-26,6.25,6.75,6.25,6.45,2575
2002-06-27,6.25,6.30,5.85,6.00,2061
2002-06-28,5.90,5.95,5.25,5.70,5600
2002-07-01,6.00,6.05,6.00,6.05,413
2002-07-02,6.00,6.95,6.00,6.20,2753
2002-07-03,6.55,7.45,6.55,7.05,11558
2002-07-04,5.80,7.60,5.80,6.25,6414
2002-07-05,6.00,6.40,6.00,6.35,1625
2002-07-08,6.50,7.65,6.00,7.45,23517
2002-07-09,7.20,7.25,6.60,6.65,9212
2002-07-10,7.10,7.10,6.30,6.35,2718
2002-07-11,5.50,6.45,5.50,6.15,3128
2002-07-12,5.90,5.90,5.90,5.90,286
2002-07-15,5.55,5.55,5.20,5.30,1763
2002-07-16,5.00,5.00,4.75,4.80,8732
2002-07-17,4.55,4.65,4.55,4.65,753
2002-07-18,4.50,5.30,4.50,5.00,7112
2002-07-19,4.95,4.95,4.90,4.95,314
2002-07-22,4.45,4.45,4.15,4.20,403
2002-07-23,4.00,4.45,4.00,4.25,1137
2002-07-24,4.20,4.50,4.20,4.50,262
2002-07-25,4.60,4.60,4.20,4.30,302
2002-07-26,3.85,4.45,3.85,4.40,2362
2002-07-29,3.65,4.60,3.55,3.60,3324
2002-07-30,3.75,3.75,3.75,3.75,1200
2002-07-31,3.70,3.70,3.70,3.70,176
2002-08-01,3.10,3.40,3.10,3.20,3872
2002-08-02,3.20,3.65,3.20,3.65,187
2002-08-05,3.90,3.95,3.80,3.80,1468
2002-08-06,3.40,3.50,3.40,3.50,1500
2002-08-07,3.50,3.50,3.50,3.50,5000
2002-08-08,3.25,3.25,3.25,3.25,25
2002-08-09,3.05,3.05,3.05,3.05,250
2002-08-12,2.80,2.95,2.55,2.95,2700
2002-08-13,3.00,3.00,2.50,2.50,5175
2002-08-14,2.65,3.00,2.65,3.00,5275
2002-08-16,3.00,3.20,2.90,3.20,700
2002-08-19,2.65,3.00,2.65,3.00,5047
2002-08-21,3.00,3.00,3.00,3.00,500
2002-08-22,2.80,2.95,2.80,2.95,1000
2002-08-23,3.00,3.00,2.90,2.90,6925
2002-08-26,3.00,3.00,3.00,3.00,1100
2002-08-27,3.00,3.00,3.00,3.00,5800
2002-08-28,3.00,3.00,3.00,3.00,1150
2002-08-29,2.75,2.75,2.75,2.75,125
2002-09-02,2.70,2.70,2.70,2.70,712
2002-09-05,3.25,3.25,2.60,2.60,901
2002-09-06,2.40,2.40,2.40,2.40,187
2002-09-09,2.30,2.65,2.00,2.65,1562
2002-09-11,2.50,2.50,2.50,2.50,49
2002-09-12,2.40,2.40,2.40,2.40,1
2002-09-13,2.50,2.50,2.50,2.50,187
2002-09-16,2.20,2.30,2.20,2.30,887
2002-09-17,2.30,2.70,2.30,2.70,1205
2002-09-18,2.50,2.50,2.50,2.50,562
2002-09-20,2.35,2.60,2.35,2.35,1836
2002-09-24,2.40,2.40,2.35,2.40,300
2002-09-25,2.15,2.15,2.15,2.15,25
2002-09-27,1.90,1.90,1.90,1.90,187
2002-10-01,1.95,2.00,1.95,2.00,900
2002-10-03,1.95,1.95,1.95,1.95,312
2002-10-08,2.00,2.35,2.00,2.05,525
2002-10-09,1.80,2.15,1.80,2.05,905
2002-10-10,2.10,2.10,2.10,2.10,400
2002-10-11,2.10,2.10,2.10,2.10,2049
2002-10-14,2.10,2.10,2.10,2.10,500
2002-10-16,2.10,2.10,2.10,2.10,400
2002-10-18,2.10,2.10,2.05,2.05,1187
2002-10-21,2.00,2.00,2.00,2.00,187
2002-10-22,2.15,2.40,2.10,2.35,800
2002-10-28,2.15,2.15,2.15,2.15,687
2002-10-30,2.60,2.60,2.60,2.60,200
2002-11-04,2.55,2.60,2.55,2.60,625
2002-11-11,2.25,2.25,2.25,2.25,562
2002-11-13,1.95,1.95,1.95,1.95,25
2002-11-14,2.05,2.05,2.05,2.05,300
2002-11-15,1.85,2.25,1.85,2.25,475
2002-11-18,1.85,2.25,1.85,2.05,187
2002-11-20,2.00,2.00,1.95,1.95,375
2002-11-21,1.75,1.75,1.75,1.75,187
2002-11-22,2.10,2.10,2.10,2.10,275
2002-11-25,2.00,2.00,2.00,2.00,300
2002-11-26,2.05,2.40,2.05,2.40,1312
2002-11-28,2.40,2.55,2.40,2.55,650
2002-11-29,2.95,2.95,2.60,2.65,1525
2003-01-02,2.30,2.30,2.30,2.30,375
2003-01-06,2.25,2.25,2.05,2.05,750
2003-01-07,2.00,2.10,2.00,2.10,1887
2003-01-08,2.00,2.00,2.00,2.00,187
2003-01-09,2.10,2.10,2.10,2.10,75
2003-01-10,2.25,2.25,2.25,2.25,1500
2003-01-16,2.00,2.00,2.00,2.00,249
2003-01-17,2.40,2.40,2.20,2.20,1314
2003-01-20,2.05,2.50,2.05,2.50,2000
2003-01-21,2.15,2.15,2.10,2.10,649
2003-01-22,2.15,2.15,2.15,2.15,37
2003-01-23,2.25,2.25,2.25,2.25,100
2003-01-24,2.05,2.05,2.05,2.05,2500
2003-01-28,1.80,1.80,1.80,1.80,61
2003-01-30,1.80,1.80,1.80,1.80,375
2003-01-31,1.75,2.00,1.75,2.00,312
2003-02-03,2.00,2.00,2.00,2.00,350
2003-02-04,1.90,1.90,1.90,1.90,200
2003-02-05,2.20,2.30,2.20,2.30,1000
2003-02-06,1.85,2.20,1.85,2.20,1754
2003-02-07,2.00,2.00,2.00,2.00,187
2003-02-11,2.10,2.35,2.10,2.35,750
2003-02-12,2.20,2.20,1.90,2.10,1217
2003-02-14,1.75,1.90,1.75,1.90,450
2003-02-18,1.90,1.90,1.90,1.90,500
2003-02-19,1.80,1.80,1.80,1.80,312
2003-02-21,1.65,1.65,1.65,1.65,125
2003-02-24,1.75,1.75,1.75,1.75,374
2003-02-26,1.75,1.75,1.75,1.75,500
2003-02-28,1.60,1.60,1.60,1.60,87
2003-03-06,1.60,1.60,1.60,1.60,500
2003-03-07,1.95,1.95,1.60,1.60,1000
2003-03-10,1.40,1.40,1.40,1.40,87
2003-03-11,1.30,1.30,1.30,1.30,125
2003-03-12,1.60,1.60,1.60,1.60,100
2003-03-13,1.35,1.35,1.35,1.35,187
2003-03-20,1.25,1.25,1.20,1.25,1500
2003-03-24,1.35,1.40,1.20,1.25,442699
2003-03-25,1.30,1.50,1.25,1.35,1500
2003-03-26,1.25,1.50,1.10,1.50,2650
2003-03-28,1.20,1.20,1.20,1.20,187
2003-03-31,1.15,1.15,1.15,1.15,250
2003-04-02,1.25,1.30,1.25,1.30,600
2003-04-03,1.25,1.60,1.25,1.60,412
2003-04-04,1.90,1.95,1.45,1.55,3300
2003-04-07,1.85,1.90,1.60,1.80,3500
2003-04-08,1.80,1.95,1.80,1.95,500
2003-04-09,2.05,2.05,1.70,1.70,1500
2003-04-11,1.60,1.60,1.60,1.60,50
2003-04-15,1.40,1.40,1.35,1.35,1006
2003-04-21,1.30,1.30,1.30,1.30,875
2003-04-22,1.30,1.30,1.30,1.30,187
2003-04-23,1.30,1.30,1.30,1.30,125
2003-04-28,1.20,1.20,1.20,1.20,100
2003-04-29,1.30,1.30,1.30,1.30,338
2003-04-30,1.25,1.25,1.25,1.25,150
2003-05-02,1.30,1.50,1.30,1.50,4800
2003-05-06,1.25,1.25,1.25,1.25,500
2003-05-07,1.35,1.35,1.30,1.30,2000
2003-05-08,1.30,1.30,1.30,1.30,124
2003-05-09,1.25,1.30,1.25,1.30,874
2003-05-12,1.45,1.45,1.45,1.45,500
2003-05-13,1.35,1.45,1.35,1.45,462
2003-05-14,1.75,1.75,1.75,1.75,557
2003-05-15,1.65,1.80,1.65,1.75,4000
2003-05-16,2.10,2.10,2.00,2.10,7109
2003-05-19,2.00,2.40,1.90,1.90,1250
2003-05-20,2.00,2.00,1.60,1.60,1087
2003-05-22,1.65,1.95,1.65,1.95,100
2003-05-23,2.25,2.25,2.20,2.20,100
2003-05-26,2.00,2.10,1.90,1.90,1412
2003-05-27,2.00,2.20,1.90,2.20,2725
2003-05-28,2.20,2.20,1.80,1.80,786
2003-05-29,1.80,1.85,1.80,1.85,1025
2003-05-30,1.80,1.90,1.80,1.90,424
2003-06-02,1.70,1.70,1.70,1.70,100
2003-06-03,1.70,2.05,1.70,2.00,2200
2003-06-04,2.00,2.40,2.00,2.30,4176
2003-06-05,2.75,2.80,2.75,2.80,6942
2003-06-06,3.35,3.40,2.85,3.40,12869
2003-06-09,3.40,4.10,3.05,4.05,20548
2003-06-10,4.20,4.30,3.50,3.55,12088
2003-06-11,3.40,3.45,3.20,3.25,4259
2003-06-12,3.10,3.70,3.10,3.45,3862
2003-06-13,3.35,3.35,2.80,2.85,2812
2003-06-16,2.85,3.00,2.85,3.00,200
2003-06-17,2.50,3.35,2.50,3.15,3873
2003-06-18,3.00,3.25,2.80,2.80,2252
2003-06-19,2.70,2.90,2.70,2.85,1850
2003-06-20,2.55,2.75,2.50,2.50,3287
2003-06-23,2.55,3.00,2.55,3.00,4767
2003-06-24,3.00,3.20,2.90,3.00,6300
2003-06-25,3.05,3.20,2.75,2.80,5750
2003-06-26,2.75,2.80,2.70,2.75,4249
2003-06-27,2.40,3.20,2.35,2.75,4962
2003-06-30,2.70,3.20,2.70,2.80,5663
2003-07-01,2.60,2.80,2.60,2.75,1750
2003-07-02,2.80,3.20,2.75,2.80,5625
2003-07-03,2.90,3.20,2.85,2.95,3825
2003-07-04,3.00,3.15,2.85,3.10,3500
2003-07-07,2.75,3.10,2.75,3.10,4099
