Date,Open,High,Low,Close,Volume
2015-05-06,33.10,37.95,33.00,36.05,11784
2015-05-07,35.80,36.95,34.30,34.85,16432
2015-05-08,36.30,36.35,31.70,34.40,17513
2015-05-11,34.15,35.65,33.00,35.45,13252
2015-05-12,34.50,35.60,33.60,34.90,19424
2015-05-13,34.00,35.60,34.00,34.55,7002
2015-05-14,34.60,35.00,33.20,34.25,3697
2015-05-15,34.60,36.60,34.55,34.65,4482
2015-05-18,33.20,36.80,33.20,36.00,21265
2015-05-19,36.25,36.25,34.60,35.25,10049
2015-05-20,35.25,36.35,34.60,35.05,18061
2015-05-21,34.75,37.15,34.55,36.75,25516
2015-05-22,35.65,37.30,35.30,35.70,5587
2015-05-25,35.00,36.00,34.50,34.75,8710
2015-05-26,35.70,35.70,34.00,34.95,5408
2015-05-27,34.95,37.80,33.40,37.40,40917
2015-05-28,37.90,38.05,36.60,37.15,17595
2015-05-29,36.70,37.90,35.00,35.40,42967
2015-06-01,34.00,35.70,34.00,34.60,10397
2015-06-02,34.50,35.40,33.60,34.20,22813
2015-06-03,34.05,34.10,32.20,33.15,15898
2015-06-04,34.20,34.95,33.55,34.85,9975
2015-06-05,34.30,34.70,33.95,34.30,4694
2015-06-08,35.20,35.35,33.00,33.65,19892
2015-06-09,33.90,33.90,32.00,32.70,21170
2015-06-10,33.00,34.65,33.00,33.90,23259
2015-06-11,34.70,34.70,31.10,32.85,14871
2015-06-12,34.00,34.00,32.20,32.75,12562
2015-06-15,33.40,33.40,31.05,32.60,14410
2015-06-16,33.00,35.40,30.55,34.75,21044
2015-06-17,34.60,37.00,34.15,35.10,153795
2015-06-18,35.80,36.25,35.00,35.55,43498
2015-06-19,34.30,35.90,34.30,35.65,13857
2015-06-22,35.80,36.00,34.80,35.95,7689
2015-06-23,36.00,36.25,35.40,36.00,3993
2015-06-24,35.40,36.40,33.95,34.40,65434
2015-06-25,35.45,35.45,34.05,34.25,7104
2015-06-26,35.00,35.25,34.00,34.40,9389
2015-06-29,34.00,34.00,30.80,32.85,4828
2015-06-30,33.75,35.80,33.00,35.00,22443
2015-07-01,34.60,35.90,33.65,34.95,114326
2015-07-02,35.40,35.50,34.00,34.10,14506
2015-07-03,33.75,35.40,33.75,34.30,4504
2015-07-06,34.45,35.00,33.50,34.95,14758
2015-07-07,35.60,36.00,35.00,35.30,8484
2015-07-08,35.10,35.50,34.25,34.55,5209
2015-07-09,34.75,36.00,34.75,34.90,11198
2015-07-10,35.50,35.70,34.20,34.30,1321
2015-07-13,35.80,36.80,35.50,36.20,15977
2015-07-14,36.60,36.60,34.50,36.00,8113
