Date,Open,High,Low,Close,Volume
2008-06-30,235.99,241.27,225.11,227.11,25955
2008-07-01,235.10,235.46,216.94,219.65,18945
2008-07-02,214.76,239.45,214.76,238.34,19180
2008-07-03,237.82,238.73,225.11,232.92,16655
2008-07-04,235.99,267.75,235.99,256.34,104145
2008-07-07,269.59,280.46,266.14,270.50,119975
2008-07-08,269.59,294.64,261.42,284.48,276240
2008-07-09,294.10,306.44,287.02,289.56,245675
2008-07-10,290.28,295.00,277.40,281.38,86300
2008-07-11,283.20,289.54,268.69,269.59,63350
2008-07-14,271.22,275.04,255.08,259.60,45315
2008-07-15,257.79,261.20,245.10,248.71,48365
2008-07-16,250.53,256.88,242.75,247.80,83110
2008-07-17,253.79,272.31,248.89,261.42,151875
2008-07-18,263.05,273.17,263.05,266.87,100200
2008-07-21,268.68,281.03,261.06,276.85,77865
2008-07-22,279.57,299.36,279.57,292.46,510255
2008-07-23,306.80,326.77,302.27,307.49,682885
2008-07-24,308.44,312.61,295.55,299.91,196105
2008-07-25,296.82,307.17,291.39,299.72,188560
2008-07-28,295.00,314.10,295.00,304.81,281445
2008-07-29,303.17,307.89,295.00,295.91,127085
2008-07-30,299.72,309.53,299.72,299.94,162820
2008-07-31,305.90,305.90,297.73,299.54,84475
2008-08-01,296.28,301.36,291.57,296.46,159515
2008-08-04,302.08,308.44,299.92,302.63,171420
2008-08-05,303.17,306.62,298.83,300.27,65485
2008-08-06,304.99,305.90,297.36,297.75,128980
2008-08-07,285.93,299.00,284.40,292.28,39560
2008-08-08,292.28,303.36,287.04,301.36,55275
2008-08-11,301.54,303.54,297.91,299.91,49880
2008-08-12,299.54,304.08,295.94,302.27,48890
2008-08-13,301.36,304.05,298.11,299.54,38250
2008-08-14,297.55,304.81,296.28,299.18,72035
2008-08-18,301.36,308.26,296.82,300.45,36420
2008-08-19,298.64,298.64,292.01,294.55,52610
2008-08-20,298.64,299.35,291.83,294.82,38315
2008-08-21,296.78,296.78,281.39,286.84,54685
2008-08-22,285.02,290.28,280.30,288.64,65825
2008-08-25,286.84,290.47,280.48,281.03,32040
2008-08-26,277.76,281.33,275.58,279.57,20160
2008-08-27,278.32,280.48,266.87,269.50,43380
2008-08-28,269.77,272.31,266.87,268.68,34950
2008-08-29,274.85,279.57,264.32,278.67,26555
2008-09-01,275.10,292.10,275.04,291.17,57175
2008-09-02,292.28,300.38,291.39,297.91,81710
2008-09-04,294.82,294.82,283.49,290.47,56275
2008-09-05,282.31,301.36,282.31,293.19,71370
2008-09-08,314.07,347.47,303.17,303.17,581850
2008-09-09,308.26,308.26,286.67,287.02,177620
2008-09-10,286.65,297.73,284.11,288.20,186190
2008-09-11,283.20,288.65,282.32,285.93,103560
2008-09-12,290.47,299.54,285.75,289.56,178520
2008-09-15,288.65,288.65,268.68,272.31,93380
2008-09-16,265.05,269.47,255.08,268.50,84575
2008-09-17,268.68,272.13,264.91,269.59,53505
2008-09-18,254.16,270.32,252.34,270.32,118155
2008-09-19,280.48,280.48,269.59,277.76,103275
2008-09-22,284.09,284.83,278.68,280.48,98750
2008-09-23,275.94,281.03,270.50,270.50,59825
2008-09-24,277.76,282.30,270.51,275.05,59815
2008-09-25,277.76,281.20,272.31,278.11,73325
2008-09-26,278.67,278.67,267.77,271.40,61190
2008-09-29,281.21,281.21,249.17,255.61,116785
2008-09-30,236.00,261.33,236.00,258.70,120020
2008-10-01,263.24,266.47,254.16,256.54,106060
2008-10-03,266.67,266.67,240.54,240.91,331200
2008-10-06,239.63,239.63,219.76,232.94,204385
2008-10-07,228.74,237.80,219.67,221.48,456455
2008-10-08,213.95,219.65,181.54,215.13,246955
2008-10-10,194.25,210.59,172.83,176.10,217695
2008-10-13,188.77,189.51,172.83,185.15,213335
2008-10-14,197.88,203.27,189.71,192.43,130020
2008-10-15,189.71,189.71,159.03,159.76,121015
2008-10-16,157.41,168.56,146.50,162.03,192955
2008-10-17,168.12,174.28,157.03,158.85,85735
2008-10-20,160.66,166.66,152.49,160.66,143855
2008-10-21,160.67,173.19,157.94,172.46,124255
2008-10-22,172.46,175.60,163.43,166.02,105047
2008-10-23,163.30,165.20,155.49,161.39,76908
2008-10-24,158.39,162.48,137.15,140.69,101159
2008-10-27,142.51,147.96,128.08,147.09,103038
2008-10-28,154.31,158.85,150.77,157.53,31319
2008-10-29,162.03,162.03,147.28,153.40,81061
2008-10-31,155.22,166.11,151.68,165.57,56679
2008-11-03,167.52,179.73,164.29,179.18,200722
2008-11-04,175.51,180.18,169.47,175.19,82445
2008-11-06,152.49,161.57,149.77,156.22,84808
2008-11-07,154.31,163.84,152.95,159.85,140619
2008-11-10,162.48,167.93,161.66,164.75,81536
2008-11-11,165.57,165.57,158.17,160.44,53017
2008-11-12,155.22,159.76,152.72,153.31,30681
2008-11-14,156.13,158.85,147.14,149.59,38447
2008-11-17,154.31,154.31,138.88,140.69,58753
2008-11-18,140.69,140.69,134.79,136.75,37234
2008-11-19,139.79,139.79,127.31,128.12,59095
2008-11-20,127.08,133.16,120.95,129.80,47812
2008-11-21,128.71,133.07,125.26,126.17,42850
2008-11-24,127.08,130.89,126.72,127.08,28054
2008-11-25,129.94,138.33,128.17,128.17,88989
2008-11-26,135.66,135.66,122.54,125.81,36555
2008-11-28,124.36,129.35,122.54,127.08,30377
2008-12-01,128.80,128.80,122.54,123.90,13491
2008-12-02,120.73,131.62,118.68,130.76,47806
2008-12-03,138.43,138.43,127.08,131.66,60636
2008-12-04,131.62,135.97,127.35,127.99,31223
2008-12-05,129.89,132.53,126.26,126.63,36254
2008-12-08,131.44,131.53,126.31,127.99,28754
2008-12-10,127.17,129.80,122.22,129.80,94675
2008-12-11,128.89,136.70,128.12,132.66,97991
2008-12-12,130.85,135.70,127.99,132.53,55480
2008-12-15,133.43,145.23,131.62,145.14,107727
2008-12-16,145.23,160.89,145.23,157.03,258240
2008-12-17,160.66,166.11,148.14,148.23,126467
2008-12-18,148.86,157.94,142.51,156.13,93375
2008-12-19,154.31,162.48,153.40,158.08,96377
2008-12-22,158.85,167.02,157.49,164.29,93532
2008-12-23,165.20,166.75,157.94,164.20,85740
2008-12-24,163.39,171.92,157.03,169.74,126706
2008-12-26,168.83,177.32,167.93,171.78,109175
2008-12-29,172.24,184.26,164.39,182.72,81366
2008-12-30,183.36,192.34,183.36,189.62,120351
2008-12-31,190.62,196.88,184.26,185.99,189123
2009-01-01,190.53,198.02,187.03,195.75,104253
2009-01-02,197.83,200.92,193.43,196.97,230403
2009-01-05,187.53,203.33,177.00,191.98,59336
2009-01-06,191.53,196.79,186.08,188.62,103235
2009-01-07,190.26,190.62,170.65,174.23,102941
2009-01-09,168.83,183.22,168.02,181.41,74272
2009-01-12,179.73,183.36,172.60,174.37,31529
2009-01-13,168.83,179.91,167.93,168.83,30326
2009-01-14,168.47,175.05,168.47,172.46,14169
2009-01-15,167.93,169.74,163.89,167.93,35696
2009-01-16,169.65,175.01,167.47,170.65,32576
2009-01-19,172.46,176.10,172.28,174.23,19507
2009-01-20,170.65,178.64,169.29,174.28,45920
2009-01-21,169.74,176.10,165.47,166.29,25094
2009-01-22,168.38,174.28,159.94,163.39,25717
2009-01-23,163.48,166.06,158.89,161.12,23730
2009-01-27,158.85,164.75,156.58,158.85,20951
2009-01-28,160.21,167.02,152.49,163.43,101517
2009-01-29,165.20,168.83,159.98,159.98,38236
2009-01-30,161.57,171.56,156.13,169.20,78534
2009-02-02,167.02,175.64,165.20,168.65,53677
2009-02-03,172.01,175.10,166.56,167.02,38598
2009-02-04,172.37,172.46,163.84,166.06,33664
2009-02-05,171.56,196.97,166.11,167.02,182325
2009-02-06,172.46,174.01,168.83,171.69,62188
2009-02-09,173.74,175.19,171.10,172.46,53068
2009-02-10,174.01,185.49,172.78,177.77,120254
2009-02-11,173.37,180.59,173.37,178.46,47652
2009-02-12,178.82,185.44,174.82,175.37,79596
2009-02-13,179.27,181.22,176.23,177.82,23217
2009-02-16,178.77,180.13,173.87,175.01,48334
2009-02-17,171.28,173.28,162.30,164.29,51929
2009-02-18,161.57,169.29,160.71,168.38,134622
2009-02-19,170.10,174.28,167.52,170.38,69328
2009-02-20,168.38,175.19,163.39,163.52,220958
2009-02-24,160.66,160.66,145.41,152.09,75467
2009-02-25,157.12,159.03,154.31,156.13,39075
2009-02-26,156.13,167.38,152.99,166.11,78399
2009-02-27,163.39,165.20,153.86,162.93,88693
2009-03-02,157.94,159.76,152.59,154.13,24785
2009-03-03,154.31,155.90,150.95,153.36,24729
2009-03-04,157.85,162.48,154.63,160.85,86532
2009-03-05,162.48,162.89,154.31,156.76,43566
2009-03-06,155.22,158.12,151.68,156.13,53137
2009-03-09,152.49,156.99,151.36,151.45,42710
2009-03-12,155.94,157.80,152.77,154.54,73023
2009-03-13,158.80,158.85,155.35,157.03,26426
2009-03-16,157.03,160.66,156.26,160.21,38540
2009-03-17,157.12,168.74,157.12,167.93,103011
2009-03-18,167.93,175.10,158.89,159.76,378157
2009-03-19,162.62,169.29,158.94,162.03,105414
2009-03-20,159.08,165.66,145.32,162.89,78208
2009-03-23,166.11,166.11,161.57,162.07,36545
2009-03-24,164.75,165.93,159.89,161.39,38846
2009-03-25,161.57,164.61,158.85,162.12,47231
2009-03-26,163.39,168.74,160.89,161.57,53153
2009-03-27,165.20,168.83,164.29,167.02,75450
2009-03-30,166.02,181.45,163.57,181.45,225757
2009-03-31,177.50,186.99,177.00,185.08,220698
2009-04-01,187.90,198.79,185.90,186.08,190699
2009-04-02,190.62,199.60,190.62,196.06,228028
2009-04-06,198.24,202.15,194.70,195.61,134457
2009-04-08,193.61,199.70,183.40,198.79,94993
2009-04-09,203.05,209.45,192.89,197.43,221681
2009-04-13,201.33,211.86,201.33,211.31,162617
2009-04-15,206.96,230.56,206.96,216.94,278632
2009-04-16,220.30,224.11,186.99,192.30,255029
2009-04-17,197.88,208.32,195.25,197.88,204855
2009-04-20,200.06,221.48,200.06,206.96,497912
2009-04-21,204.14,208.77,198.97,206.96,102413
2009-04-22,215.13,215.44,192.52,196.52,137432
2009-04-23,196.97,202.24,191.98,196.06,97814
2009-04-24,199.15,203.96,192.52,195.61,155416
2009-04-27,199.15,203.24,194.25,196.06,157223
2009-04-28,197.88,204.23,180.68,184.08,515843
2009-04-29,185.17,204.14,184.26,198.02,161129
2009-05-04,204.19,213.95,198.97,210.72,297296
2009-05-05,206.96,213.99,203.51,205.14,171073
2009-05-06,206.41,214.22,200.60,209.68,242795
2009-05-07,213.04,215.76,207.46,210.04,182170
2009-05-08,212.22,217.85,207.41,210.59,178279
2009-05-11,211.50,213.17,207.00,208.77,111412
2009-05-12,207.82,221.48,201.51,217.85,228623
2009-05-13,217.17,221.48,206.23,207.32,115149
2009-05-14,206.05,219.67,201.51,216.53,123333
2009-05-15,219.67,225.11,213.76,220.57,203486
2009-05-18,258.42,281.39,249.62,269.59,3632
2009-05-19,281.39,297.55,246.90,263.24,607541
2009-05-20,270.22,326.59,263.24,298.73,977034
2009-05-21,299.54,312.25,274.13,287.74,1115504
2009-05-22,285.84,297.73,277.76,285.79,275128
2009-05-25,294.82,309.44,290.01,293.19,487417
2009-05-26,295.00,301.13,267.91,271.45,294610
2009-05-27,279.57,290.47,279.57,284.11,330795
2009-05-28,281.48,292.28,281.48,285.02,203099
2009-05-29,294.10,312.25,288.65,302.27,695925
2009-06-01,304.99,316.61,303.67,307.44,540710
2009-06-02,308.80,313.07,291.56,297.73,256103
2009-06-03,305.35,309.53,296.18,304.99,327288
2009-06-04,307.62,338.57,301.36,330.86,1069260
2009-06-05,334.49,344.93,322.28,327.23,547776
2009-06-08,331.27,343.11,301.90,305.26,393454
2009-06-09,309.98,322.24,308.17,314.97,493997
2009-06-10,319.15,333.13,316.34,323.14,404991
2009-06-11,325.78,344.02,314.07,332.67,696036
2009-06-12,336.76,350.28,319.79,322.24,888665
2009-06-15,319.51,328.32,307.17,311.34,311184
2009-06-16,308.08,322.42,298.64,318.61,307697
2009-06-17,320.78,321.33,295.82,299.23,266539
2009-06-18,299.54,304.90,280.75,284.29,272504
2009-06-19,285.02,297.73,282.43,291.83,219684
2009-06-22,296.09,296.09,283.30,285.20,123114
2009-06-23,275.94,290.47,274.94,286.70,257314
2009-06-24,291.19,301.22,287.83,297.82,298958
2009-06-25,300.36,312.25,296.91,302.90,350707
2009-06-26,306.80,319.01,304.58,308.62,459324
2009-06-29,309.62,326.50,309.62,322.69,812369
2009-06-30,328.59,332.58,302.31,304.44,1098145
2009-07-01,307.26,339.48,282.34,329.68,2744506
2009-07-02,333.13,333.31,315.93,319.51,813727
2009-07-03,315.70,322.69,311.34,313.02,355747
2009-07-06,308.85,316.97,275.94,277.35,888251
2009-07-07,281.39,287.29,273.67,283.25,357342
2009-07-08,277.08,291.37,267.32,285.02,534991
2009-07-09,289.20,300.63,280.62,294.10,435713
2009-07-10,299.54,299.54,272.58,273.45,243870
2009-07-13,272.31,277.62,267.14,276.40,316221
2009-07-14,278.67,290.38,278.67,289.47,324827
2009-07-15,292.28,296.82,287.79,292.83,221845
2009-07-16,298.09,300.41,285.29,295.41,263740
2009-07-17,297.64,299.27,288.24,296.00,237680
2009-07-20,298.64,307.03,294.10,300.36,335186
2009-07-21,302.54,304.08,295.28,295.96,169946
2009-07-22,299.54,302.27,285.93,288.61,188958
2009-07-23,290.56,300.41,288.88,299.54,215407
2009-07-24,302.27,308.17,299.32,303.95,268940
2009-07-27,306.80,312.16,301.63,306.85,252507
2009-07-28,304.17,304.17,287.97,288.74,288011
2009-07-29,291.37,294.96,283.20,289.56,250273
2009-07-30,291.69,293.19,282.39,283.57,94723
2009-07-31,289.92,292.24,283.30,285.02,157343
2009-08-03,286.84,286.84,276.85,282.21,185060
2009-08-04,281.93,292.46,281.93,286.74,240687
2009-08-05,289.56,290.42,283.30,285.47,109731
2009-08-06,284.11,287.70,275.04,276.85,191874
2009-08-07,273.22,277.76,266.05,267.05,451541
2009-08-10,269.14,274.49,255.38,256.20,327000
2009-08-11,258.70,261.33,254.16,256.29,103184
2009-08-12,253.25,266.87,251.57,266.87,199383
2009-08-13,269.95,282.30,268.77,276.22,313443
2009-08-14,277.67,283.02,268.68,272.77,159823
2009-08-17,265.19,276.67,263.69,265.73,156021
2009-08-18,258.70,269.59,258.70,267.09,197573
2009-08-19,268.05,275.04,264.14,265.96,113484
2009-08-20,271.40,276.85,267.77,270.86,144344
2009-08-21,265.55,274.13,265.55,267.86,63173
2009-08-24,272.45,277.30,270.95,272.95,169242
2009-08-25,269.59,272.27,266.87,268.36,120532
2009-08-26,268.77,272.90,266.32,266.32,310518
2009-08-27,268.68,278.67,268.32,269.59,386395
2009-08-28,270.50,277.76,267.91,269.36,401136
2009-08-31,267.68,271.13,265.14,269.59,427293
2009-09-01,271.40,282.93,267.00,270.04,696081
2009-09-02,268.68,271.59,263.24,265.50,437213
2009-09-03,267.77,276.31,263.69,264.51,373273
2009-09-04,266.50,268.18,263.24,265.05,174485
2009-09-07,267.82,274.13,267.32,269.59,451660
2009-09-08,273.22,277.76,266.87,268.32,633049
2009-09-09,268.95,270.50,265.50,265.64,167249
2009-09-10,269.59,270.04,262.37,262.55,366308
2009-09-11,267.77,267.77,260.19,261.42,286022
2009-09-14,263.05,267.55,258.83,262.33,281630
2009-09-15,266.55,289.01,264.42,287.24,1921925
2009-09-16,289.92,294.10,283.34,286.56,1864744
2009-09-17,288.38,291.83,282.75,282.75,441418
2009-09-18,285.93,299.36,285.93,290.97,1333253
2009-09-22,292.92,300.81,288.47,296.82,929243
2009-09-23,302.27,304.81,295.05,295.91,776181
2009-09-24,295.00,296.55,288.42,292.19,610569
2009-09-25,290.38,295.55,285.02,287.74,391350
2009-09-29,294.41,294.55,289.56,291.37,225777
2009-09-30,290.56,293.10,285.16,286.02,703110
2009-10-01,288.47,295.00,286.29,288.65,432173
2009-10-05,284.11,294.51,284.11,287.29,1343191
2009-10-06,291.37,291.37,277.76,286.84,932517
2009-10-07,291.19,294.91,284.57,285.75,499803
2009-10-08,287.29,290.92,280.80,283.75,455909
2009-10-09,288.65,289.97,284.57,288.20,518856
2009-10-12,294.01,294.01,286.97,288.83,493853
2009-10-14,292.28,293.64,283.57,289.56,422495
2009-10-15,290.47,292.19,288.20,290.47,456770
2009-10-16,286.97,308.62,286.97,302.72,1415752
2009-10-20,304.90,307.71,295.91,300.00,620160
2009-10-21,302.27,305.81,293.23,294.32,975619
2009-10-22,297.18,297.36,284.20,286.93,356065
2009-10-23,292.05,292.05,284.20,286.74,222364
2009-10-26,290.47,290.47,277.76,284.70,366869
2009-10-27,279.66,280.07,258.70,260.06,1132541
2009-10-28,257.79,258.61,244.22,251.43,396785
2009-10-29,238.32,252.25,230.74,246.40,421509
2009-10-30,252.34,256.88,251.43,253.84,439781
2009-11-03,250.53,252.34,240.81,246.17,255305
2009-11-04,254.16,254.16,245.22,250.53,131225
2009-11-05,249.62,253.98,247.26,252.30,125626
2009-11-06,254.25,258.70,251.89,255.97,228691
2009-11-09,258.70,275.94,256.34,265.55,777065
2009-11-10,267.77,267.77,255.29,257.79,285084
2009-11-11,258.38,259.38,254.16,257.79,260305
2009-11-12,258.92,263.19,252.52,254.70,350421
2009-11-13,252.52,255.97,252.52,254.25,106311
2009-11-16,256.88,262.33,253.30,254.11,186660
2009-11-17,254.29,259.97,254.25,254.66,222500
2009-11-18,254.38,256.88,250.62,252.07,379044
2009-11-19,252.16,253.70,249.62,252.80,358798
2009-11-20,249.62,255.97,246.94,249.62,137722
2009-11-23,249.44,251.89,245.17,249.62,190600
2009-11-24,251.43,257.24,248.35,253.89,215537
2009-11-25,255.97,277.99,255.97,268.68,1652182
2009-11-26,269.68,276.67,264.60,266.78,774446
2009-11-27,263.14,263.24,250.53,258.02,302903
2009-11-30,263.24,267.23,259.60,264.19,239525
