Date,Open,High,Low,Close,Volume
2025-08-28,80.50,80.50,74.07,74.27,68523
2025-08-29,70.75,73.00,70.55,70.90,16746
2025-09-01,68.02,74.44,67.36,73.88,23729
2025-09-02,73.85,77.57,73.00,77.57,22569
2025-09-03,79.50,80.98,76.12,78.49,25532
2025-09-04,81.00,81.00,77.70,78.10,9822
2025-09-05,79.40,79.40,75.00,76.80,7083
2025-09-08,74.01,79.00,74.01,78.69,10493
2025-09-09,79.00,81.00,78.29,79.34,6805
2025-09-10,79.33,81.95,77.19,78.41,6032
2025-09-11,77.00,80.88,76.00,80.40,15901
2025-09-12,81.59,82.00,78.20,81.55,16907
2025-09-15,81.95,82.40,78.00,78.98,8907
2025-09-16,77.47,81.70,76.15,79.12,6309
2025-09-17,81.00,81.88,78.00,79.18,14099
2025-09-18,79.18,81.48,77.00,77.83,14635
2025-09-19,79.99,81.00,78.00,79.29,6026
2025-09-22,77.15,80.30,77.15,78.23,12005
2025-09-23,78.00,79.80,76.02,79.52,7038
2025-09-24,78.01,82.00,78.01,79.22,6049
2025-09-25,81.63,81.63,78.06,79.48,3531
2025-09-26,77.03,79.46,76.00,76.48,7263
2025-09-29,76.86,78.69,75.00,75.61,5128
2025-09-30,78.25,78.25,74.00,75.00,1637
2025-10-01,74.30,74.30,73.60,73.63,1926
2025-10-03,73.70,74.99,71.35,74.16,4384
2025-10-06,72.60,75.00,71.50,74.84,5399
2025-10-07,74.84,75.00,72.51,73.82,5998
2025-10-08,74.20,75.00,70.61,73.12,5184
2025-10-09,73.12,74.00,71.35,73.11,3155
2025-10-10,75.94,75.94,71.00,73.46,3820
2025-10-13,73.46,75.00,71.11,73.00,14469
2025-10-14,71.10,74.00,71.10,73.37,5461
2025-10-15,73.37,75.00,71.53,72.20,4599
2025-10-16,73.95,74.00,71.68,71.89,4198
2025-10-17,74.99,74.99,71.89,73.68,5169
2025-10-20,76.99,76.99,72.72,75.79,7062
2025-10-21,73.02,77.00,73.02,75.00,3161
2025-10-23,77.94,78.70,76.00,77.86,10951
2025-10-24,78.50,78.50,76.15,77.99,7796
2025-10-27,77.99,80.00,77.00,78.89,5016
2025-10-28,75.16,79.99,75.16,77.23,4291
2025-10-29,74.20,79.00,74.20,78.91,10152
2025-10-30,78.70,79.00,76.10,78.29,1469
2025-10-31,78.00,81.00,76.04,76.49,3197
2025-11-03,76.49,79.85,74.25,74.55,5253
2025-11-04,74.10,76.99,71.50,72.57,4704
2025-11-06,70.20,72.15,69.70,69.87,9125
2025-11-07,72.40,72.40,69.25,69.63,4916
2025-11-10,69.63,72.00,68.85,68.99,8091
2025-11-11,68.99,69.50,67.00,68.22,12811
2025-11-12,68.00,70.00,66.75,68.01,3940
2025-11-13,68.01,70.00,68.01,69.77,4011
2025-11-14,69.40,73.25,69.00,73.25,7688
2025-11-17,76.80,76.91,75.02,75.94,5712
2025-11-18,76.00,78.90,73.26,73.32,3043
2025-11-19,71.21,75.00,71.21,74.74,1053
2025-11-20,71.30,77.65,71.30,72.61,2811
2025-11-21,75.74,75.74,70.55,71.63,3698
2025-11-24,69.02,72.90,69.02,70.52,2363
2025-11-25,69.00,72.73,67.31,69.23,4836
2025-11-26,70.01,71.90,70.00,70.25,2585
2025-11-27,70.25,71.80,69.30,69.39,2588
2025-11-28,72.70,72.70,68.36,69.21,2750
2025-12-01,72.40,72.40,66.22,66.40,3882
2025-12-02,67.24,69.72,66.51,69.72,6667
2025-12-03,71.50,71.50,67.25,67.76,6247
2025-12-04,67.80,68.50,66.75,66.77,4526
2025-12-05,66.77,66.77,62.76,66.07,11913
2025-12-08,66.07,69.00,63.10,65.02,1187
2025-12-09,64.67,67.99,60.10,64.93,4781
2025-12-10,64.93,66.00,64.10,64.10,1849
2025-12-11,68.94,68.95,63.15,64.41,2060
2025-12-12,66.60,67.00,63.10,65.59,1533
2025-12-15,68.99,72.14,65.63,72.14,11749
2025-12-16,72.97,77.00,70.40,71.90,7023
2025-12-17,71.50,74.85,68.00,70.35,6454
2025-12-18,69.88,72.00,67.51,70.73,2153
2025-12-19,74.00,74.00,68.00,69.51,4515
2025-12-22,70.49,73.99,68.45,71.44,5852
2025-12-23,71.44,74.00,69.61,71.95,6079
2025-12-24,71.80,72.99,70.00,70.70,5540
2025-12-26,70.69,73.40,68.75,69.09,2825
2025-12-29,69.09,72.00,64.61,68.27,6162
2025-12-30,66.31,68.23,66.28,66.44,2478
2025-12-31,68.99,68.99,66.06,67.83,3672
2026-01-01,67.80,69.30,67.00,69.26,974
2026-01-02,69.29,69.90,67.50,68.28,3702
2026-01-05,68.01,72.80,66.50,66.77,3952
2026-01-06,67.01,69.69,61.25,65.68,6989
2026-01-07,66.99,67.78,65.00,65.73,3108
2026-01-08,65.75,67.80,59.16,61.07,16327
2026-01-09,61.01,64.87,58.00,59.39,35346
2026-01-12,59.00,63.00,58.00,61.93,4996
2026-01-13,61.93,62.80,60.60,61.70,1863
2026-01-14,63.98,63.98,61.51,62.12,2367
2026-01-16,58.07,64.90,58.07,64.38,8941
2026-01-19,65.30,66.61,60.85,65.11,3301
2026-01-20,66.00,66.00,61.62,62.88,1505
2026-01-21,62.10,65.70,58.01,61.26,4254
2026-01-22,63.40,63.40,55.14,55.26,49187
2026-01-23,56.77,57.15,53.27,55.61,11089
2026-01-27,53.10,58.02,53.10,55.86,9940
2026-01-28,59.72,59.73,55.20,57.38,8116
2026-01-29,56.50,60.00,55.13,58.52,10639
2026-01-30,61.00,61.00,56.10,58.81,15678
2026-02-01,59.99,60.00,55.36,59.72,2534
2026-02-02,61.19,61.20,59.00,60.03,1073
2026-02-03,62.00,62.00,58.63,60.57,8715
2026-02-04,60.58,60.94,59.01,60.42,6816
2026-02-05,61.79,61.99,60.00,61.11,4122
2026-02-06,61.39,62.90,58.61,62.70,1312
2026-02-09,63.00,63.10,60.31,62.96,5358
2026-02-10,64.00,64.00,60.00,61.75,4668
2026-02-11,63.49,63.80,62.00,62.30,3822
2026-02-12,64.44,64.44,59.28,61.84,20451
2026-02-13,61.40,62.80,59.61,61.12,2446
2026-02-16,58.60,62.30,55.44,56.98,29396
2026-02-17,57.04,60.00,56.16,57.60,26230
2026-02-18,59.04,59.50,57.29,57.71,4414
2026-02-19,59.05,62.66,55.99,56.00,9903
2026-02-20,57.99,57.99,56.00,57.22,3071
2026-02-23,56.93,57.89,56.31,56.45,751
2026-02-24,57.98,57.99,55.00,56.84,233
2026-02-25,57.99,57.99,54.90,56.54,4530
2026-02-26,56.98,57.19,54.00,54.17,2817
2026-02-27,53.83,56.99,53.50,55.58,5619
2026-03-02,55.99,56.00,53.40,54.42,31068
2026-03-04,54.15,55.00,52.10,52.15,1849
2026-03-05,54.84,54.99,52.30,52.31,49750
2026-03-06,53.82,54.30,51.35,52.80,59638
2026-03-09,54.29,54.29,50.41,51.48,2245
2026-03-10,54.80,54.80,51.52,52.01,2781
2026-03-11,53.99,53.99,52.14,53.40,446
2026-03-12,54.94,55.89,52.00,52.12,2688
2026-03-13,52.12,53.60,50.99,51.30,2547
2026-03-16,52.10,52.70,43.60,45.66,7139
2026-03-17,46.30,50.99,45.24,47.74,31359
2026-03-18,48.90,49.90,47.25,48.43,2362
2026-03-19,47.11,48.00,43.91,46.08,4057
2026-03-20,44.26,47.11,44.26,44.88,13519
2026-03-23,49.90,53.85,46.11,53.85,49065
2026-03-24,59.99,60.80,52.31,53.27,227284
2026-03-25,53.00,53.00,50.10,51.84,27745
2026-03-27,51.01,51.80,47.36,48.50,11089
2026-03-30,49.48,51.40,45.60,46.04,6792
2026-04-01,49.95,49.95,46.61,47.78,2543
2026-04-02,48.99,49.50,47.02,48.66,4045
2026-04-06,47.00,50.99,47.00,47.94,9888
2026-04-07,47.94,48.95,46.99,47.99,12531
2026-04-08,51.99,53.47,49.10,52.00,9803
2026-04-09,52.00,55.95,52.00,54.00,6808
2026-04-10,55.94,55.95,49.15,51.65,4632
