Date,Open,High,Low,Close,Volume
2015-11-06,70.50,73.40,67.00,70.40,22781520
2015-11-09,67.75,68.00,66.90,66.95,10010230
2015-11-10,66.50,66.50,64.10,64.55,10736960
2015-11-11,65.00,66.50,65.00,66.30,832405
2015-11-13,65.85,65.85,63.00,63.50,6771668
2015-11-16,63.45,65.50,62.00,65.00,5640610
2015-11-17,65.00,65.90,64.10,64.70,4900495
2015-11-18,65.00,66.05,64.10,65.20,2689568
2015-11-19,65.95,66.00,63.55,63.85,1688327
2015-11-20,63.55,66.00,63.50,65.20,2689835
2015-11-23,66.40,66.90,63.50,63.80,5389969
2015-11-24,63.50,64.40,62.50,62.95,3965947
2015-11-26,62.90,63.40,61.50,61.65,3270314
2015-11-27,62.25,62.50,60.60,61.00,11891850
2015-11-30,61.00,61.30,58.80,59.10,14279740
2015-12-01,59.50,61.00,59.25,60.00,8080475
2015-12-02,60.20,61.75,59.90,60.30,3469139
2015-12-03,60.25,61.00,60.00,60.55,1759788
2015-12-04,60.40,60.95,60.10,60.50,2315577
2015-12-07,60.15,60.90,59.20,59.45,2506784
2015-12-08,59.50,59.70,57.50,57.70,5021161
2015-12-09,57.50,57.75,54.90,56.85,3845559
2015-12-10,56.85,57.45,54.90,56.85,4065888
2015-12-11,57.50,57.90,55.10,55.30,2150514
2015-12-14,55.10,56.00,54.05,55.75,2469970
2015-12-15,56.40,56.40,55.05,55.50,1200925
2015-12-16,56.30,56.70,55.50,56.05,2565897
2015-12-17,56.75,59.80,56.35,58.05,4120544
2015-12-18,57.90,58.80,56.80,58.40,1948073
2015-12-21,58.10,58.50,57.05,57.45,2030444
2015-12-22,58.35,59.50,57.30,59.30,3471327
2015-12-23,59.95,61.45,59.00,59.30,3113367
2015-12-24,59.90,61.20,59.00,60.90,1203837
2015-12-28,61.00,61.35,59.75,59.95,1371121
2015-12-29,59.50,62.25,59.50,61.85,3266454
2015-12-30,62.00,62.40,61.25,61.50,1081847
2015-12-31,62.40,62.40,60.25,60.85,1207626
2016-01-01,61.40,61.40,60.40,60.70,559738
2016-01-04,61.20,61.20,58.75,58.95,1386464
2016-01-05,58.90,59.90,58.60,59.00,719306
2016-01-06,59.00,59.35,57.45,57.75,6064793
2016-01-07,57.45,57.45,55.40,55.90,1830148
2016-01-08,56.30,56.70,54.90,55.10,1605370
2016-01-11,54.45,54.95,53.75,53.90,2036154
2016-01-12,54.45,54.45,52.00,52.35,2404371
2016-01-13,53.35,53.35,48.60,51.30,3746052
2016-01-14,50.20,50.95,48.40,48.70,3748307
2016-01-15,50.00,50.00,46.00,46.85,3724209
2016-01-18,46.00,47.20,44.65,45.05,4818608
2016-01-19,45.55,46.50,44.35,45.55,2307643
2016-01-20,45.90,46.35,43.10,43.45,4740748
2016-01-21,44.50,45.40,43.10,43.45,5008794
2016-01-22,44.30,47.05,43.95,46.05,14500920
2016-01-25,47.10,48.00,46.65,47.30,1868903
2016-01-27,48.60,51.00,47.75,50.60,2366639
2016-01-28,52.20,52.50,49.55,50.75,3585050
2016-01-29,50.95,53.00,49.50,52.55,3022242
2016-02-01,52.95,57.40,52.00,56.75,4700070
2016-02-02,58.40,58.75,53.75,54.35,4109847
2016-02-03,54.35,54.35,51.20,52.10,4385867
2016-02-04,52.65,54.10,52.65,53.45,1789226
2016-02-05,53.80,55.35,53.60,54.95,8000086
2016-02-08,55.40,56.40,54.00,54.40,1943263
2016-02-09,45.00,54.00,45.00,53.60,2228896
2016-02-10,52.60,54.00,52.50,53.05,2213310
2016-02-11,52.85,53.00,50.40,50.75,2303896
2016-02-12,51.30,52.00,48.50,50.40,7720654
2016-02-15,51.25,54.30,51.20,54.00,1855770
2016-02-16,54.15,55.10,50.00,50.45,1310654
2016-02-17,50.75,51.80,49.80,51.40,917949
2016-02-18,52.90,53.20,50.10,50.70,1242293
2016-02-19,50.60,52.20,50.25,50.80,1429833
2016-02-22,51.00,51.70,49.20,49.55,2208257
2016-02-23,49.85,50.00,48.00,48.05,1628615
2016-02-24,48.05,48.20,46.55,46.75,1957560
