Date,Open,High,Low,Close,Volume
2015-04-09,98.58,110.62,98.58,108.04,151254428
2015-04-10,108.90,111.39,106.83,108.34,19964885
2015-04-13,107.82,109.11,104.39,106.03,6640105
2015-04-15,106.03,114.45,104.12,108.23,19085183
2015-04-16,108.92,120.02,108.90,118.17,22771874
2015-04-17,117.16,121.84,114.92,116.79,14317545
2015-04-20,117.01,117.70,110.08,111.07,5755562
2015-04-21,111.74,113.12,107.60,108.63,4689166
2015-04-22,109.25,110.78,103.10,108.89,4779393
2015-04-23,109.67,112.33,106.98,107.54,3342601
2015-04-24,108.03,108.31,102.28,103.61,3054649
2015-04-27,104.32,106.34,99.22,102.90,4926430
2015-04-28,103.00,107.18,101.73,105.89,2710774
2015-04-29,105.73,105.76,101.78,102.88,4565728
2015-04-30,102.60,105.68,102.56,105.07,2130275
2015-05-04,105.16,107.61,104.25,106.64,1312728
2015-05-05,105.52,106.47,103.35,104.28,863963
2015-05-06,104.14,104.14,98.60,99.80,1572849
2015-05-07,99.07,102.10,98.83,100.09,1492361
2015-05-08,101.04,104.74,101.04,102.95,1449756
2015-05-11,103.01,109.03,103.01,107.11,2119949
2015-05-12,107.45,107.76,103.75,104.38,1298283
2015-05-13,105.73,113.11,105.68,111.43,4858757
2015-05-14,110.65,113.09,109.14,110.88,2569928
2015-05-15,111.10,116.25,110.99,115.12,4528414
2015-05-18,118.89,118.91,109.69,110.58,7837198
2015-05-19,110.09,113.05,109.59,112.48,2004001
2015-05-20,112.38,113.67,106.96,107.99,2125276
2015-05-21,108.19,110.53,105.96,108.81,1907071
2015-05-22,108.81,110.58,107.76,108.50,1254213
2015-05-25,109.18,110.04,107.16,107.46,694567
2015-05-26,107.72,108.68,104.59,105.76,1438703
2015-05-27,105.22,107.94,103.88,107.27,1089200
2015-05-28,107.70,109.26,107.23,108.18,1927538
2015-05-29,108.29,109.20,107.06,107.39,509404
2015-06-01,107.94,108.17,105.04,105.71,487375
2015-06-02,105.96,107.62,103.43,104.26,605489
2015-06-03,104.25,105.31,95.66,103.47,1604231
2015-06-04,103.06,104.00,101.07,103.37,1467971
2015-06-05,103.62,105.21,102.50,103.46,580336
2015-06-08,103.21,103.38,100.67,102.26,410060
2015-06-09,102.72,103.01,100.62,101.01,467273
2015-06-10,102.25,102.52,99.81,100.39,715269
2015-06-11,100.92,101.31,95.02,96.27,827038
2015-06-12,97.10,102.42,95.70,101.08,4059964
2015-06-15,101.51,103.94,99.42,101.87,1327989
2015-06-16,101.25,102.50,101.07,101.52,349454
2015-06-17,102.30,103.01,101.29,101.96,868876
2015-06-18,102.19,105.45,101.91,103.27,1515579
2015-06-19,104.25,106.81,102.52,105.66,2937966
2015-06-22,106.86,108.07,105.01,105.64,971596
2015-06-23,106.54,106.93,104.36,105.07,576108
2015-06-24,104.49,106.86,98.71,101.65,826474
2015-06-25,101.29,105.48,101.29,104.94,716036
2015-06-26,105.25,107.45,104.64,105.63,870418
2015-06-29,101.43,105.52,101.43,104.30,527732
2015-06-30,105.45,106.22,103.75,104.22,459624
2015-07-01,104.49,106.29,104.04,104.90,448888
2015-07-02,108.19,111.14,106.71,107.41,1632420
2015-07-03,106.49,111.89,106.49,109.19,1896655
2015-07-06,107.94,114.72,107.48,114.36,2163285
2015-07-07,115.44,116.40,113.02,114.07,1735420
2015-07-08,112.63,113.78,108.44,109.85,950038
2015-07-09,110.38,113.08,109.67,110.45,686659
2015-07-10,111.15,111.89,109.92,111.38,348257
2015-07-13,110.93,114.84,110.93,114.22,667064
2015-07-14,115.34,115.49,111.64,112.11,566085
2015-07-15,113.01,113.34,110.91,111.69,399258
2015-07-16,112.13,112.38,110.20,110.62,269445
2015-07-17,110.21,112.36,109.68,109.96,594363
2015-07-20,110.54,111.15,109.42,110.26,226276
2015-07-21,110.78,110.91,105.47,106.27,524665
2015-07-22,107.35,108.68,106.22,107.54,695533
2015-07-23,108.18,108.19,105.34,106.08,313260
2015-07-24,106.47,109.35,103.14,104.09,1120091
2015-07-27,104.09,108.44,104.09,107.70,2022695
2015-07-28,108.65,108.66,102.52,102.97,2667332
2015-07-29,103.51,104.25,100.46,102.03,2308618
2015-07-30,102.50,103.75,101.06,101.92,570727
2015-07-31,103.25,103.51,102.03,102.93,924921
2015-08-03,103.53,103.53,101.78,102.16,411796
2015-08-04,103.01,103.01,100.97,101.35,569047
2015-08-05,102.28,103.68,101.54,102.44,629251
2015-08-06,102.52,103.01,101.66,101.98,440160
2015-08-07,102.21,102.48,99.42,100.17,715411
2015-08-10,101.04,101.13,95.37,96.16,1047722
2015-08-11,96.83,100.06,96.00,98.65,710270
2015-08-12,98.58,100.00,96.11,96.46,381790
2015-08-13,96.46,98.09,91.53,92.34,1079035
2015-08-14,93.63,99.58,92.43,98.44,1426781
