Date,Open,High,Low,Close,Volume
2002-07-01,7.25,8.50,7.25,8.50,10646
2002-07-02,10.10,10.20,9.90,10.15,31756
2002-07-03,10.95,11.40,10.25,10.35,19820
2002-07-04,10.05,10.70,9.50,10.05,20305
2002-07-05,10.50,10.70,10.00,10.35,8795
2002-07-08,11.00,11.40,10.80,11.25,15674
2002-07-09,11.00,11.05,10.25,10.45,10470
2002-07-10,10.50,10.50,9.50,9.95,5437
2002-07-11,10.00,10.00,9.25,9.45,3051
2002-07-12,9.15,9.65,8.80,9.65,3500
2002-07-15,9.35,9.60,8.80,8.80,2040
2002-07-16,9.40,9.40,8.00,8.50,5463
2002-07-17,8.15,8.50,8.15,8.50,1800
2002-07-18,8.10,8.10,8.10,8.10,200
2002-07-19,8.85,8.85,8.85,8.85,100
2002-07-22,8.35,8.40,8.20,8.20,550
2002-07-23,7.40,7.50,7.40,7.50,350
2002-07-24,7.25,7.50,6.75,7.15,5350
2002-07-25,7.45,7.45,7.35,7.35,800
2002-07-26,7.75,7.75,7.75,7.75,100
2002-07-29,7.00,7.00,7.00,7.00,500
2002-07-30,7.00,7.00,6.90,6.90,1032
2002-07-31,6.60,6.60,6.60,6.60,300
2002-08-01,6.30,6.30,6.30,6.30,84
2002-08-02,6.75,6.75,6.00,6.00,710
2002-08-05,6.05,6.50,5.70,6.35,9050
2002-08-06,6.10,6.10,6.10,6.10,100
2002-08-08,5.70,6.10,5.70,6.10,201
2002-08-09,5.70,5.70,5.70,5.70,1
2002-08-12,5.25,5.25,5.25,5.25,1
2002-08-14,4.75,5.80,4.75,5.40,77
2002-08-16,5.80,5.80,5.40,5.40,2000
2002-08-19,5.85,5.85,5.05,5.85,4
2002-08-20,5.90,5.95,5.30,5.35,4
2002-08-21,4.90,4.90,4.90,4.90,1
2002-08-22,4.60,5.40,4.60,5.40,2
2002-08-23,5.95,5.95,5.95,5.95,510
2002-08-27,5.50,5.50,5.50,5.50,100
2002-08-28,5.95,5.95,5.50,5.50,230
2002-08-29,5.10,5.80,5.10,5.80,815
2002-09-04,4.70,6.95,4.70,6.25,11
2002-09-11,7.40,7.40,7.40,7.40,2
2002-09-13,6.25,6.25,6.25,6.25,5
2002-09-19,5.00,5.00,5.00,5.00,100
2002-09-23,5.00,5.00,5.00,5.00,100
2002-10-04,4.25,4.25,4.25,4.25,668
2002-10-14,4.00,4.00,4.00,4.00,18
2002-10-30,3.45,3.45,3.45,3.45,35
2002-10-31,3.90,3.90,3.90,3.90,950
2002-11-08,4.20,4.20,4.20,4.20,200
2002-11-13,4.25,4.25,4.25,4.25,490
2002-11-15,5.00,5.00,5.00,5.00,194
2002-11-18,4.00,4.00,4.00,4.00,101
2002-11-20,3.55,4.80,3.55,4.10,944
2002-11-21,3.30,3.30,3.30,3.30,1
2002-11-22,2.65,3.80,2.65,3.80,1501
2002-11-25,4.55,4.55,4.55,4.55,1
2002-11-28,4.05,4.05,4.05,4.05,1
2002-11-29,3.25,3.25,3.25,3.25,1
2002-12-09,4.05,5.00,4.05,5.00,1003
2002-12-11,5.00,5.00,4.75,4.75,290
2002-12-17,4.50,4.75,4.15,4.75,135
2002-12-18,4.30,4.30,4.25,4.25,100
2002-12-19,4.25,4.25,4.25,4.25,234
2002-12-23,4.10,4.75,4.10,4.75,640
2002-12-24,4.30,4.30,4.30,4.30,100
2002-12-30,4.00,4.00,4.00,4.00,240
2003-01-02,4.20,4.20,4.20,4.20,2800
2003-01-03,4.25,4.25,4.25,4.25,3700
2003-01-06,4.25,4.25,4.25,4.25,100
2003-01-08,4.25,4.25,4.25,4.25,2000
2003-01-09,4.05,4.05,4.05,4.05,100
2003-01-15,4.50,4.50,4.50,4.50,200
2003-01-16,4.45,4.45,4.15,4.15,4620
2003-01-17,4.45,4.45,4.15,4.15,172
2003-01-20,4.95,5.00,4.15,4.15,3166
2003-01-21,4.90,4.90,4.50,4.50,3300
2003-01-22,4.75,4.95,4.30,4.30,1255
2003-01-23,5.00,5.00,4.45,4.60,582
2003-01-24,4.60,5.45,4.60,4.70,202
2003-01-27,4.60,4.60,4.50,4.50,2500
2003-01-28,4.50,5.00,4.50,5.00,1000
2003-01-31,4.40,4.40,4.30,4.30,800
2003-02-10,4.00,4.00,4.00,4.00,140
2003-02-11,3.95,4.00,3.95,4.00,155
2003-02-14,3.85,3.85,3.85,3.85,100
2003-02-24,3.50,3.50,3.10,3.10,205
2003-03-17,3.25,3.25,3.25,3.25,970
2003-03-19,2.80,2.80,2.80,2.80,100
2003-03-31,4.25,4.25,4.25,4.25,500
2003-04-03,4.85,4.85,3.50,3.50,2
2003-04-22,3.40,3.40,3.25,3.25,140
2003-04-29,3.90,3.90,3.80,3.80,2
2003-05-13,3.55,3.55,3.50,3.50,51
2003-05-14,3.65,3.65,3.65,3.65,28
2003-05-15,3.70,4.30,3.70,4.30,290
2003-05-16,5.20,5.20,5.20,5.20,10
2003-05-23,4.20,4.20,4.20,4.20,500
2003-05-26,4.00,4.15,4.00,4.15,1080
2003-05-27,4.85,4.85,4.85,4.85,230
2003-05-28,4.75,4.75,4.75,4.75,300
2003-06-04,4.75,4.75,4.75,4.75,150
2003-06-05,4.00,4.00,4.00,4.00,500
2003-06-06,4.70,4.75,4.25,4.75,380
2003-06-09,4.90,5.00,4.90,5.00,1020
2003-06-10,6.00,6.00,6.00,6.00,4500
2003-06-11,5.50,5.50,5.50,5.50,500
2003-06-17,6.00,6.00,5.55,5.70,280
2003-06-18,6.20,6.20,6.00,6.00,1200
2003-06-19,4.80,5.85,4.80,5.85,1120
2003-06-20,5.60,5.75,5.60,5.75,680
2003-06-23,5.75,5.75,5.75,5.75,200
2003-06-24,5.35,6.40,5.35,6.25,3235
2003-06-25,6.20,7.30,6.20,6.90,1714
2003-06-26,7.25,7.75,6.50,6.95,4071
2003-06-27,7.00,7.10,6.80,7.05,950
2003-06-30,7.20,7.95,7.20,7.75,5311
2003-07-01,7.00,7.50,7.00,7.50,4116
