Date,Open,High,Low,Close,Volume
2005-06-21,170.00,345.00,170.00,273.35,2668277
2005-06-22,269.90,269.90,241.00,245.45,849324
2005-06-23,246.00,247.70,233.00,235.55,307067
2005-06-24,234.95,242.00,225.25,229.00,233019
2005-06-27,229.80,233.90,205.10,206.00,117411
2005-06-28,206.80,210.80,178.50,184.75,195731
2005-06-29,147.00,201.90,147.00,190.55,484859
2005-06-30,191.00,197.40,185.60,195.00,210883
2005-07-01,192.50,212.00,188.95,210.00,203921
2005-07-04,216.00,224.00,211.00,215.25,127174
2005-07-05,218.95,219.00,206.40,206.40,35239
2005-07-06,210.00,224.80,208.05,219.00,55145
2005-07-07,221.05,229.00,213.35,219.90,42347
2005-07-08,224.50,224.95,218.00,224.90,37989
2005-07-11,223.00,266.00,223.00,253.75,122408
2005-07-12,256.00,273.00,243.30,247.80,98233
2005-07-13,252.00,254.50,242.55,250.00,23838
2005-07-14,231.10,250.00,221.10,242.70,20343
2005-07-15,235.10,247.35,235.10,238.10,14143
2005-07-18,249.75,249.75,234.05,237.00,14539
2005-07-19,242.00,250.00,234.90,239.00,7491
2005-07-20,241.00,247.00,230.00,231.00,28908
2005-07-21,235.00,242.00,228.00,228.10,10030
2005-07-22,239.00,239.00,223.05,225.00,21384
2005-07-25,228.00,236.00,220.00,221.20,12481
2005-07-26,223.00,224.10,215.00,215.00,8180
2005-07-27,215.15,221.00,215.15,218.30,2278
2005-07-29,220.00,220.60,212.00,212.00,4953
2005-08-01,214.05,214.05,199.90,204.00,9757
2005-08-02,190.60,212.00,190.60,208.00,7442
2005-08-03,207.60,209.40,195.10,196.40,13558
2005-08-04,202.00,207.00,201.00,203.00,9077
2005-08-05,207.40,208.00,200.00,205.25,10313
2005-08-08,211.00,214.50,201.95,205.00,6374
2005-08-09,202.10,206.80,200.00,201.10,3301
2005-08-10,203.00,207.00,201.10,204.00,6110
2005-08-11,208.70,220.00,206.00,214.10,15600
2005-08-12,214.00,214.00,210.00,210.00,4562
2005-08-16,220.00,221.00,212.70,218.00,3642
2005-08-17,214.90,219.00,214.90,216.00,4000
2005-08-18,215.30,219.90,212.20,216.00,6360
2005-08-19,213.25,215.00,208.00,208.00,4141
2005-08-22,214.00,219.70,211.05,214.50,10930
2005-08-23,214.00,216.85,208.05,208.05,5982
2005-08-24,199.00,208.90,199.00,202.60,5789
2005-08-25,205.05,210.00,202.00,206.15,4175
2005-08-26,210.00,210.00,205.35,206.00,2826
2005-08-29,203.05,204.50,201.00,201.50,2299
2005-08-30,207.00,208.50,203.00,205.75,2591
2005-08-31,204.00,208.05,204.00,204.00,1637
2005-09-01,208.00,208.00,201.00,201.70,4907
2005-09-02,203.00,205.00,197.00,198.30,7244
2005-09-05,200.00,207.00,198.05,199.05,69508
2005-09-06,205.00,205.00,197.10,198.00,10642
