Date,Open,High,Low,Close,Volume
2010-02-08,16.00,24.09,16.00,22.91,569633730
2010-02-09,23.05,25.00,22.16,24.42,249305560
2010-02-10,25.20,25.24,23.16,23.50,113958780
2010-02-11,23.50,24.00,22.51,23.09,58579570
2010-02-15,23.36,23.68,22.55,22.91,31902800
2010-02-16,22.91,23.40,22.71,23.02,17302760
2010-02-17,23.10,24.58,21.66,24.11,50648000
2010-02-18,24.00,24.08,22.70,23.09,22579370
2010-02-19,22.50,23.10,22.18,22.69,8848110
2010-02-22,22.81,23.48,22.77,23.04,6895920
2010-02-23,23.00,23.17,21.68,21.99,6327990
2010-02-24,21.54,22.70,21.26,22.19,8971900
2010-02-25,22.05,22.79,21.90,22.49,4917060
2010-02-26,22.49,24.09,22.14,22.98,9397990
2010-03-02,23.09,23.44,22.95,23.34,2630720
2010-03-03,23.34,24.00,22.91,23.04,3438760
2010-03-04,23.10,23.70,23.05,23.66,5066180
2010-03-05,23.79,27.47,23.50,25.82,59782770
2010-03-08,26.00,27.99,25.92,27.65,36025100
2010-03-09,27.84,31.77,27.30,29.97,110266540
2010-03-10,30.00,30.54,28.35,28.59,39414830
2010-03-11,28.59,28.84,27.54,27.69,13017740
2010-03-12,25.00,29.88,25.00,28.65,66478000
2010-03-15,28.48,29.07,27.73,27.95,14169940
2010-03-16,25.00,29.48,25.00,28.89,20005010
2010-03-17,29.23,29.57,28.69,28.84,17636580
2010-03-18,28.82,30.65,28.80,29.46,31850700
2010-03-19,29.60,34.99,29.20,34.45,161539050
2010-03-22,33.74,36.20,33.53,34.10,78814060
2010-03-23,34.39,35.19,32.40,33.06,32720740
2010-03-25,33.00,35.10,32.81,33.85,44612420
2010-03-26,33.90,34.84,33.26,33.86,20063830
2010-03-29,34.80,34.80,30.39,31.65,18669870
2010-03-30,31.92,33.07,31.55,31.85,17876660
2010-03-31,32.30,32.80,30.82,31.36,18820650
2010-04-01,31.60,32.65,31.53,32.09,25911150
2010-04-05,32.15,36.97,32.00,36.17,76822490
2010-04-06,36.17,36.66,35.04,35.59,26567480
2010-04-07,31.60,42.43,31.60,41.61,152225550
2010-04-08,40.18,42.00,38.13,38.83,83939440
2010-04-09,38.95,39.20,35.11,35.77,50362790
2010-04-12,36.00,37.57,35.32,36.09,41336620
2010-04-13,36.50,37.09,35.50,36.29,34928070
2010-04-15,36.58,37.00,35.50,35.71,19649670
2010-04-16,35.74,35.93,33.46,34.43,24571650
2010-04-19,33.51,34.77,32.40,33.60,37417250
2010-04-20,33.51,34.50,33.51,33.95,15658870
2010-04-21,34.30,35.96,34.01,35.16,45382220
2010-04-22,34.00,36.40,33.20,35.74,30766170
2010-04-23,36.00,36.35,34.54,35.17,14919120
2010-04-26,35.80,35.80,34.93,35.25,10375540
2010-04-27,35.25,35.35,34.41,34.73,9002330
2010-04-28,34.00,34.40,33.20,33.46,8307970
2010-04-29,33.49,34.67,33.49,34.14,11241380
2010-04-30,34.32,34.74,33.83,34.00,6101750
2010-05-03,34.00,34.01,32.80,33.30,5350350
2010-05-04,33.40,34.09,32.30,32.55,8233300
2010-05-05,32.00,34.20,31.27,33.58,13043490
2010-05-06,33.70,33.90,32.30,32.46,7119110
2010-05-07,31.98,32.23,31.25,31.54,5600730
2010-05-10,32.10,33.00,31.61,32.80,6269710
2010-05-11,33.30,34.76,32.56,32.75,16512970
2010-05-12,33.10,33.34,31.70,31.90,7455110
2010-05-13,32.20,32.80,31.50,31.73,6351120
2010-05-14,31.50,31.89,29.60,30.01,8406740
2010-05-17,29.40,29.50,28.11,28.60,11732470
2010-05-18,28.59,29.09,26.75,28.03,32787790
2010-05-19,27.90,28.78,26.15,27.13,20470830
2010-05-20,27.20,28.05,25.91,26.10,9211370
2010-05-21,26.10,28.20,25.11,27.85,30073020
2010-05-24,28.45,29.39,27.63,28.11,23000080
2010-05-25,27.55,28.21,26.90,27.21,7642400
2010-05-26,27.73,27.95,26.34,27.16,7391590
2010-05-27,27.50,28.37,26.93,27.98,7690950
2010-05-28,28.44,28.88,27.76,28.52,7335320
2010-05-31,28.40,28.70,27.80,28.09,6213670
2010-06-01,28.24,28.88,27.52,27.69,7071770
2010-06-02,27.94,29.00,27.84,28.82,7675040
2010-06-03,29.10,30.08,28.83,29.21,13890520
2010-06-04,29.25,29.29,28.70,28.85,4849710
2010-06-07,28.28,28.67,27.04,28.36,4974500
2010-06-08,28.40,28.85,27.82,28.00,3808740
2010-06-09,28.00,28.50,27.73,28.01,3431300
2010-06-10,28.18,28.90,28.01,28.69,3432590
2010-06-11,29.00,29.20,28.01,28.21,2911710
2010-06-14,28.30,28.85,28.12,28.27,2884580
2010-06-15,28.49,28.94,28.23,28.55,3067530
2010-06-16,28.77,30.74,28.35,29.98,21894210
2010-06-17,29.98,31.10,29.94,30.66,15286500
2010-06-18,30.75,31.45,30.25,30.46,6636500
2010-06-21,30.76,31.24,30.46,30.65,4147220
2010-06-22,30.45,30.80,30.14,30.29,5011070
2010-06-23,30.30,30.94,29.81,30.64,3274620
2010-06-24,30.79,31.60,30.60,31.07,6938900
2010-06-25,30.90,31.25,30.30,30.50,3217710
2010-06-28,30.58,31.00,30.58,30.73,2334380
2010-06-29,30.75,30.93,30.25,30.46,2035740
2010-06-30,30.45,30.89,30.00,30.49,2670140
2010-07-01,30.18,30.84,30.18,30.27,1805920
2010-07-02,30.30,32.70,30.30,32.19,17016980
2010-07-05,32.05,34.20,31.61,33.08,27511600
2010-07-06,33.20,33.94,32.85,33.19,8668000
2010-07-07,33.15,33.67,32.69,32.85,4354640
2010-07-08,34.00,34.00,33.11,33.37,5882050
2010-07-09,33.65,33.69,32.85,33.17,2818650
2010-07-12,33.36,34.65,33.22,33.57,10085930
2010-07-13,33.60,33.94,33.33,33.74,3890950
2010-07-14,33.94,34.85,33.60,33.71,9112740
2010-07-15,33.80,33.99,33.06,33.40,3854510
2010-07-16,33.56,33.76,33.11,33.41,2955340
2010-07-19,32.50,33.67,31.11,33.23,2207860
2010-07-20,33.43,33.97,33.11,33.35,4165910
2010-07-21,33.49,33.83,33.36,33.69,3425110
2010-07-22,33.69,34.67,33.50,34.25,7941250
2010-07-23,34.44,35.30,34.25,34.41,7460160
2010-07-26,34.60,34.70,31.80,32.82,4688270
2010-07-27,32.82,33.45,32.47,33.28,2071420
2010-07-28,33.40,34.36,33.13,33.70,4690820
2010-07-29,33.88,34.04,33.31,33.61,1505000
2010-07-30,33.60,36.26,33.50,34.86,27836890
2010-08-02,35.45,37.48,34.53,36.96,30626600
