Date,Open,High,Low,Close,Volume
2023-09-27,231.00,247.00,230.95,244.90,33760453
2023-09-28,244.00,255.05,236.00,251.35,5474077
2023-09-29,251.90,258.80,250.00,253.05,1962406
2023-10-03,254.40,257.00,243.50,248.80,1524222
2023-10-04,245.10,246.75,227.50,239.45,2229825
2023-10-05,242.80,242.80,234.45,235.60,1058198
2023-10-06,235.95,246.50,235.95,243.35,1825115
2023-10-09,239.05,243.00,233.00,234.95,914208
2023-10-10,237.80,244.50,236.25,239.75,1171823
2023-10-11,241.70,247.50,239.10,240.80,910216
2023-10-12,242.35,255.45,242.35,247.05,2689691
2023-10-13,248.00,254.00,232.00,243.90,5542901
2023-10-16,239.10,258.45,239.10,253.35,3135536
2023-10-17,253.90,263.60,252.05,257.30,2878989
2023-10-18,256.70,272.55,256.65,263.85,2939646
2023-10-19,264.00,268.25,259.15,264.15,1145485
2023-10-20,263.80,269.65,257.15,261.60,1045684
2023-10-23,262.00,264.80,236.25,241.70,1371746
2023-10-25,244.00,246.00,235.20,239.50,928655
2023-10-26,239.30,242.35,221.85,239.60,1969486
2023-10-27,243.00,247.30,239.85,241.95,605487
2023-10-30,242.00,243.40,237.00,238.10,381715
2023-10-31,238.20,246.10,237.55,238.80,536026
2023-11-01,240.80,243.00,235.25,236.15,387850
2023-11-02,239.75,245.85,239.25,242.55,539597
2023-11-03,244.65,248.60,240.00,241.35,324563
2023-11-06,242.90,251.30,242.50,250.15,693292
2023-11-07,250.55,254.15,248.00,251.05,654390
2023-11-08,252.85,262.70,245.20,258.80,1890142
2023-11-09,254.00,261.90,251.60,259.60,1354656
2023-11-10,259.75,259.75,245.00,247.75,1119846
2023-11-12,251.70,254.00,248.60,253.80,314342
2023-11-13,252.60,256.40,248.90,253.60,657294
2023-11-15,254.55,272.55,254.55,266.70,1808821
2023-11-16,266.70,282.40,265.80,277.90,1636912
2023-11-17,279.65,284.30,273.50,280.20,1146322
2023-11-20,282.30,294.10,279.50,292.70,1319692
2023-11-21,294.95,296.45,281.00,283.05,1136964
2023-11-22,284.00,294.10,282.05,283.95,1035200
2023-11-23,284.85,289.00,281.00,282.95,318447
2023-11-24,285.25,303.00,284.15,298.75,1409023
2023-11-28,301.95,312.00,295.00,296.65,1104707
2023-11-29,301.10,307.00,293.40,295.75,563565
2023-11-30,297.00,298.45,288.00,293.95,359726
2023-12-01,294.05,307.85,294.05,297.85,1209867
2023-12-04,306.00,309.70,299.00,302.55,672737
2023-12-05,302.00,304.30,295.00,297.05,526156
2023-12-06,298.25,298.25,290.05,294.05,413936
2023-12-07,293.50,293.55,284.00,289.60,446999
2023-12-08,290.70,299.65,290.20,295.15,440126
2023-12-11,296.95,297.00,291.65,292.55,196717
2023-12-12,294.45,294.95,285.05,288.05,429984
2023-12-13,291.00,291.00,285.00,288.05,230821
2023-12-14,289.50,290.00,277.15,280.00,576682
2023-12-15,279.85,285.05,278.05,279.40,227603
2023-12-18,280.00,281.45,274.70,279.20,289613
2023-12-19,279.55,280.90,274.00,276.20,308732
2023-12-20,276.20,279.00,260.00,262.45,510376
2023-12-21,258.00,273.00,255.50,266.80,341405
2023-12-22,268.25,278.60,267.40,277.50,598125
2023-12-26,279.25,288.20,273.00,274.90,1294407
2023-12-27,276.70,278.50,264.40,275.10,973845
2023-12-28,275.60,286.00,272.00,278.00,1592452
2023-12-29,279.40,280.60,272.35,275.00,1159861
2024-01-01,275.20,294.40,274.15,287.05,1053348
2024-01-02,289.00,289.15,278.75,281.55,1098116
2024-01-03,282.00,284.50,277.40,280.35,797674
2024-01-04,283.00,284.20,274.50,278.25,603353
2024-01-05,281.40,281.40,269.90,272.55,545532
2024-01-08,275.55,275.80,267.15,268.95,534582
2024-01-09,270.00,273.00,261.10,262.20,531916
2024-01-10,264.45,264.90,260.40,262.80,372357
2024-01-11,265.65,271.50,262.75,267.00,306059
2024-01-12,266.85,271.00,262.95,266.80,279770
2024-01-15,266.00,266.95,255.70,257.00,654663
2024-01-16,260.65,260.65,246.90,248.95,613244
2024-01-17,248.95,255.00,239.00,241.00,898207
2024-01-18,242.00,251.25,239.00,248.85,618204
2024-01-19,252.00,257.10,242.15,244.10,530078
2024-01-20,246.00,251.00,239.40,240.35,315210
2024-01-23,244.80,248.80,233.00,233.75,494451
2024-01-24,236.00,243.50,231.90,240.90,468174
2024-01-25,242.95,247.00,239.65,245.10,221054
2024-01-29,245.10,255.00,245.00,248.85,941859
2024-01-30,250.90,250.90,241.15,243.95,406694
2024-01-31,244.00,245.20,238.50,243.40,321286
2024-02-01,245.00,246.50,234.50,235.80,358141
2024-02-02,242.00,242.00,234.30,236.15,288857
2024-02-05,238.00,238.80,229.55,231.25,403508
2024-02-06,231.00,237.00,230.20,233.20,288456
2024-02-07,234.95,250.50,233.10,246.45,847966
2024-02-08,252.00,253.00,240.95,243.40,332941
2024-02-09,243.40,251.00,233.30,248.70,475929
2024-02-12,234.00,240.60,230.05,236.50,1477353
2024-02-13,240.00,241.95,232.00,240.00,262956
2024-02-14,238.00,242.00,236.75,238.50,370289
2024-02-15,241.80,244.00,237.80,242.00,198959
2024-02-16,245.00,246.80,236.10,237.80,217338
2024-02-19,238.05,240.50,236.30,237.35,135663
2024-02-20,236.25,238.75,233.00,234.55,196835
2024-02-21,235.80,239.55,229.50,230.45,560241
2024-02-22,232.40,238.00,232.00,237.25,256970
2024-02-23,239.00,239.00,234.05,236.50,344115
2024-02-26,236.50,238.95,236.10,238.05,193552
2024-02-27,238.00,239.45,235.00,236.20,267832
2024-02-28,236.15,243.65,234.00,236.05,829992
2024-02-29,235.80,238.25,231.40,233.60,162201
2024-03-01,232.05,235.65,223.65,229.10,243223
2024-03-02,230.05,231.20,224.00,228.65,69305
2024-03-04,229.90,234.95,222.00,224.60,214822
2024-03-05,224.15,224.50,212.45,213.80,409169
2024-03-06,214.00,215.95,203.05,204.75,694460
2024-03-07,207.20,212.40,205.25,210.50,660130
2024-03-11,214.00,214.00,198.35,199.90,891904
2024-03-12,200.50,204.45,189.45,191.90,1071927
2024-03-13,193.15,197.00,175.25,177.40,864874
2024-03-14,177.40,185.35,171.05,173.25,1304325
2024-03-15,174.00,184.30,168.40,180.05,1401448
2024-03-18,179.10,183.20,174.10,178.90,461822
2024-03-19,179.00,187.25,177.60,179.85,1176701
2024-03-20,180.70,184.95,175.40,183.75,637558
2024-03-21,184.45,191.80,181.95,189.70,877286
2024-03-22,189.00,199.00,186.95,195.00,731016
2024-03-26,193.85,201.00,190.00,199.95,595413
2024-03-27,200.85,204.10,195.00,199.45,906361
2024-03-28,196.90,203.95,192.50,200.40,641860
2024-04-01,200.40,206.00,200.40,203.55,229786
2024-04-02,203.95,204.30,198.00,199.05,183904
2024-04-03,199.00,207.55,198.65,205.50,281744
2024-04-04,205.55,207.95,202.00,203.00,156833
2024-04-05,203.90,204.90,201.95,203.25,138397
2024-04-08,204.00,205.20,196.50,201.65,315187
2024-04-09,203.15,204.50,197.85,202.55,352798
2024-04-10,204.05,217.65,204.05,212.20,801061
2024-04-12,212.20,213.30,205.35,208.15,230340
2024-04-15,203.05,215.65,197.70,214.10,775262
2024-04-16,212.05,218.15,209.00,212.85,305761
2024-04-18,214.30,218.05,211.90,213.35,170434
2024-04-19,212.25,216.50,207.90,214.45,201539
2024-04-22,217.85,217.95,208.00,210.40,200433
2024-04-23,211.85,211.85,203.10,204.95,161843
2024-04-24,206.65,212.00,205.05,208.10,225461
