Date,Open,High,Low,Close,Volume
2006-03-23,75.68,88.20,73.12,75.20,1407540
2006-03-24,75.78,80.40,74.60,76.55,663175
2006-03-27,77.00,78.96,76.30,76.52,75190
2006-03-28,78.00,78.90,75.00,75.71,54835
2006-03-29,74.43,76.85,74.40,75.05,89665
2006-03-30,77.53,78.40,73.00,73.82,132655
2006-03-31,74.00,76.40,72.20,73.80,116515
2006-04-03,74.01,77.00,72.00,76.02,67605
2006-04-04,74.60,77.80,74.60,76.94,23590
2006-04-05,78.00,82.88,76.60,80.06,343020
2006-04-07,81.00,81.50,75.60,76.57,95380
2006-04-10,78.21,91.89,78.21,90.67,848325
2006-04-12,92.03,105.40,87.00,97.81,1888935
2006-04-13,99.00,100.60,88.00,94.42,508105
2006-04-17,92.20,104.80,92.20,102.84,1466095
2006-04-18,104.58,104.58,94.80,95.77,1088710
2006-04-19,97.54,97.54,90.40,90.99,293405
2006-04-20,93.16,95.58,91.80,92.98,188240
2006-04-21,94.80,98.20,94.00,94.76,232605
2006-04-24,96.75,99.60,95.00,98.06,259510
2006-04-25,99.20,99.20,95.00,95.69,238790
2006-04-26,97.80,97.80,93.99,94.88,162080
2006-04-27,96.78,96.78,93.00,94.28,40625
2006-04-28,91.40,93.40,82.60,86.78,85100
2006-05-02,92.80,94.00,89.20,90.18,26930
2006-05-03,91.40,92.00,86.00,87.40,74975
2006-05-04,88.40,90.38,86.00,86.66,83195
2006-05-05,87.03,88.96,86.02,87.25,85725
2006-05-08,89.00,89.36,86.62,88.19,95565
2006-05-09,89.00,89.40,80.11,81.76,108695
2006-05-10,82.00,86.98,80.52,81.72,173335
2006-05-11,83.48,83.48,80.00,81.03,90000
2006-05-12,81.96,93.33,81.20,88.07,602350
2006-05-15,88.00,91.80,79.51,81.37,549690
2006-05-16,83.60,89.80,82.00,85.34,1183055
2006-05-17,88.00,90.00,86.40,87.73,314675
2006-05-18,86.80,86.80,79.22,82.85,633830
2006-05-19,87.80,88.00,76.00,76.44,182880
2006-05-22,83.40,83.60,61.24,71.09,92900
2006-05-23,65.40,85.31,65.20,85.02,95280
2006-05-24,82.40,87.80,78.00,79.17,98295
2006-05-25,77.57,79.00,72.20,78.15,53355
2006-05-26,81.60,82.80,78.00,79.29,74230
2006-05-29,79.80,81.39,75.03,75.40,69980
2006-05-30,78.10,78.99,75.80,76.98,61630
2006-05-31,75.00,75.00,71.20,73.34,95590
2006-06-01,76.00,77.80,69.10,70.80,41005
2006-06-02,70.40,76.00,60.11,71.33,104485
2006-06-05,72.00,73.02,68.04,69.88,35125
2006-06-06,65.60,75.00,65.03,69.69,58405
2006-06-07,67.80,72.00,66.00,68.93,224410
