Date,Open,High,Low,Close,Volume
2002-01-01,22.50,25.45,22.50,25.45,751
2002-01-02,23.55,25.90,23.50,25.30,600
2002-01-03,23.70,24.75,23.60,24.75,220
2002-01-04,24.85,24.85,24.85,24.85,10
2002-01-07,25.00,26.50,25.00,25.80,442
2002-01-08,27.50,30.50,24.95,27.65,1724
2002-01-09,31.45,31.45,27.50,27.50,385
2002-01-10,28.75,29.00,28.75,29.00,151
2002-01-11,29.00,29.00,26.75,27.35,359
2002-01-14,29.45,29.50,29.45,29.50,150
2002-01-15,30.90,30.90,30.90,30.90,200
2002-01-16,28.45,29.20,28.45,28.85,800
2002-01-17,29.10,29.10,29.00,29.00,150
2002-01-18,27.40,27.40,27.15,27.25,300
2002-01-21,28.65,28.75,26.30,27.90,150
2002-01-22,28.45,28.45,28.25,28.25,60
2002-01-23,29.90,29.90,29.90,29.90,10
2002-01-24,29.00,29.00,28.50,28.50,107
2002-01-25,28.40,28.40,28.40,28.40,50
2002-01-29,28.90,30.00,28.90,30.00,249
2002-02-08,27.60,27.60,27.60,27.60,30
2002-02-11,25.60,26.95,25.60,26.95,200
2002-02-12,25.25,25.25,25.25,25.25,75
2002-02-13,24.25,24.25,24.25,24.25,50
2002-02-15,24.00,24.00,24.00,24.00,400
2002-02-19,23.10,23.10,23.05,23.05,200
2002-02-20,24.50,24.50,22.25,22.25,450
2002-02-21,22.50,23.25,22.00,23.25,700
2002-02-22,24.40,24.40,22.25,22.25,2
2002-02-25,22.25,22.25,22.25,22.25,25
2002-02-26,24.00,24.00,23.90,24.00,650
2002-02-27,22.60,22.60,22.10,22.10,1300
2002-02-28,20.80,20.80,20.80,20.80,400
2002-03-01,22.50,22.50,22.50,22.50,100
2002-03-04,22.55,24.00,22.50,23.00,450
2002-03-05,22.00,22.95,22.00,22.95,200
2002-03-07,23.50,24.70,23.50,24.70,450
2002-03-08,25.00,25.60,24.00,25.15,11500
2002-03-11,24.20,26.90,24.00,25.75,700
2002-03-12,24.05,27.00,24.00,26.10,9226
2002-03-13,25.50,27.75,25.50,27.60,1856
2002-03-14,28.40,29.85,28.40,29.85,4167
2002-03-15,32.00,32.00,27.55,30.20,13466
2002-03-18,30.50,31.00,29.50,30.95,2236
2002-03-19,30.00,30.00,29.75,29.75,196
2002-03-20,29.00,30.95,28.60,29.30,3125
2002-03-21,28.25,29.00,28.15,28.15,962
2002-03-22,27.75,29.30,27.75,29.30,200
2002-03-26,28.50,28.50,28.15,28.15,201
2002-03-27,27.25,28.85,27.05,27.05,200
2002-03-28,27.45,28.00,26.00,26.05,1425
2002-04-01,26.00,26.00,26.00,26.00,2
2002-04-02,25.50,27.00,25.10,27.00,204
2002-04-03,26.10,26.10,26.10,26.10,151
2002-04-04,25.10,25.10,25.10,25.10,5
2002-04-05,25.00,25.00,24.10,24.10,669
2002-04-08,24.75,25.10,24.75,25.10,1100
2002-04-09,24.50,24.50,24.10,24.20,550
2002-04-10,25.00,25.15,23.65,23.75,532
2002-04-11,24.95,25.00,24.95,25.00,500
2002-04-12,23.80,25.90,23.80,24.25,730
2002-04-15,23.70,23.75,23.25,23.35,1400
2002-04-17,23.10,25.20,23.10,24.65,800
2002-04-18,26.50,26.90,25.05,25.05,200
2002-04-23,23.60,23.60,23.60,23.60,100
2002-04-24,25.30,25.30,25.30,25.30,100
2002-04-26,23.50,23.50,23.45,23.45,100
2002-04-29,24.50,25.50,24.50,25.50,200
2002-04-30,24.95,24.95,24.95,24.95,200
2002-05-02,24.00,24.00,24.00,24.00,250
2002-05-03,23.10,26.35,22.25,24.15,5300
2002-05-06,25.90,25.90,23.20,24.25,652
2002-05-07,24.60,24.60,24.50,24.50,150
2002-05-08,24.50,24.50,24.10,24.10,300
2002-05-09,22.00,24.00,22.00,24.00,221
2002-05-10,24.95,24.95,24.50,24.60,234
2002-05-13,24.00,26.50,24.00,25.90,601
2002-05-14,24.00,28.00,23.50,25.85,1350
2002-05-15,25.30,25.30,23.65,23.70,649
2002-05-16,24.70,25.30,22.50,22.50,2050
2002-05-17,23.25,24.25,22.50,22.60,875
2002-05-20,21.25,24.80,21.00,22.45,2102
2002-05-21,21.70,23.45,21.30,23.45,396
2002-05-22,21.10,22.00,21.10,22.00,300
2002-05-23,22.70,22.70,22.70,22.70,1
2002-05-24,22.50,23.80,20.75,23.45,1102
2002-05-27,23.00,23.00,23.00,23.00,1
2002-05-29,23.70,24.85,23.70,24.30,2075
2002-05-30,22.20,22.90,21.90,21.95,751
2002-05-31,20.30,22.50,20.30,22.50,101
2002-06-03,22.00,24.75,22.00,24.75,1100
2002-06-04,22.45,22.50,22.30,22.30,175
2002-06-05,23.00,23.90,23.00,23.00,925
2002-06-06,23.70,24.25,21.70,21.70,400
