Date,Open,High,Low,Close,Volume
2008-07-28,17.39,17.65,15.26,16.84,166100
2008-07-29,16.50,16.70,15.80,15.90,21110
2008-07-30,16.00,16.70,15.96,16.20,6370
2008-07-31,15.51,16.77,15.50,16.65,2540
2008-08-01,16.79,16.79,16.11,16.55,3410
2008-08-04,16.60,19.79,16.60,17.66,65170
2008-08-05,18.76,18.77,17.55,17.62,27170
2008-08-06,17.33,17.65,16.61,17.02,9800
2008-08-07,17.98,17.99,17.00,17.70,7590
2008-08-08,18.00,18.30,16.81,16.98,12930
2008-08-11,17.99,18.00,16.96,17.02,28610
2008-08-12,17.59,17.59,17.20,17.25,9400
2008-08-13,18.00,18.00,17.40,17.50,9870
2008-08-14,17.94,17.94,17.20,17.48,5700
2008-08-18,17.89,20.00,17.89,20.00,65450
2008-08-19,19.69,20.20,18.65,19.59,149140
2008-08-20,19.21,20.70,19.21,20.17,61450
2008-08-21,20.30,20.30,18.81,19.72,46790
2008-08-22,16.70,21.00,16.70,20.30,223632
2008-08-25,21.00,21.00,18.40,18.80,115961
2008-08-26,18.50,19.55,18.45,19.10,50103
2008-08-27,19.45,19.45,18.10,18.60,33942
2008-08-28,18.95,19.00,18.25,18.75,21722
2008-08-29,18.65,19.50,18.60,19.30,41817
2008-09-01,18.95,18.95,17.80,18.30,17681
2008-09-02,18.50,18.50,17.25,17.40,34380
2008-09-04,18.00,18.00,16.05,16.65,20003
2008-09-05,17.00,19.85,16.05,18.90,120694
2008-09-08,19.00,20.80,18.45,18.80,63123
2008-09-09,20.50,20.50,17.10,17.95,12297
2008-09-10,18.00,18.20,16.30,17.10,35784
2008-09-11,17.20,17.90,16.80,17.05,9678
2008-09-15,17.00,17.00,13.65,15.55,13098
2008-09-16,14.60,16.00,14.60,15.80,7097
2008-09-17,16.90,17.60,15.85,15.90,5480
2008-09-18,15.00,15.35,13.40,14.85,6443
2008-09-19,16.10,16.10,15.25,15.95,3537
2008-09-22,16.00,18.50,15.75,15.95,3826
2008-09-23,15.40,16.70,15.00,15.35,3217
2008-09-24,15.25,15.80,15.10,15.40,4922
2008-09-25,15.05,15.90,15.00,15.30,7523
2008-09-26,15.00,15.25,13.35,14.05,7487
2008-09-29,14.05,14.60,13.45,14.20,4158
2008-09-30,14.15,15.00,13.15,14.25,5596
2008-10-01,14.90,14.90,14.00,14.30,1589
2008-10-03,14.00,14.75,13.50,14.00,5379
2008-10-06,13.55,14.00,12.20,12.50,14183
2008-10-07,12.00,14.50,12.00,13.45,7720
2008-10-08,12.05,13.75,11.30,12.15,6979
2008-10-10,10.10,14.00,10.10,11.90,17008
2008-10-13,13.00,14.25,12.00,13.80,4929
2008-10-14,12.75,15.30,12.75,14.30,4400
2008-10-15,13.70,13.80,12.30,12.80,6889
2008-10-16,12.20,13.55,11.35,12.20,5973
