Date,Open,High,Low,Close,Volume
2006-11-02,180.10,184.50,177.20,178.20,64063
2006-11-03,180.50,181.90,173.00,174.05,120383
2006-11-06,174.00,178.85,171.50,172.90,119664
2006-11-07,175.60,175.60,172.75,173.15,123320
2006-11-08,173.60,174.85,168.50,169.55,60518
2006-11-09,170.50,172.50,169.00,169.75,51744
2006-11-10,172.00,172.00,167.00,168.30,42060
2006-11-13,169.70,174.60,169.00,172.80,98598
2006-11-14,174.70,174.90,168.00,168.40,52290
2006-11-15,172.00,172.80,166.80,167.60,54264
2006-11-16,167.55,167.55,167.55,167.55,77372
2006-11-17,168.00,168.00,164.30,165.65,46753
2006-11-20,164.65,169.00,160.00,166.05,64720
2006-11-21,168.50,174.90,166.00,171.30,113651
2006-11-22,169.25,176.00,169.25,174.20,58506
2006-11-23,175.00,175.45,171.25,173.70,48729
2006-11-24,173.85,174.85,172.15,174.00,31804
2006-11-27,173.00,179.50,171.00,178.00,93822
2006-11-28,178.20,178.20,173.00,174.80,28803
2006-11-29,175.10,186.25,175.10,178.65,286411
2006-11-30,180.50,181.75,177.75,180.00,66821
2006-12-01,180.00,182.80,178.60,179.75,73344
2006-12-04,180.00,184.90,179.55,184.00,94074
2006-12-05,180.60,186.00,180.60,182.45,68061
2006-12-06,183.80,183.80,183.80,183.80,180575
2006-12-07,178.05,178.05,178.05,178.05,23674
2006-12-08,181.00,181.00,175.00,175.65,19844
2006-12-11,178.80,178.80,167.50,168.70,38689
2006-12-12,169.00,170.80,160.70,162.55,47730
2006-12-13,162.50,163.95,157.00,159.45,62887
2006-12-14,164.00,164.00,161.50,163.25,32581
2006-12-15,165.00,168.90,164.60,165.45,22195
2006-12-18,168.60,168.60,163.10,163.70,30871
2006-12-19,162.40,164.95,160.25,161.85,12236
2006-12-20,161.10,166.90,161.10,165.20,34572
2006-12-21,164.00,165.00,160.50,161.45,12031
2006-12-22,161.10,164.40,161.00,163.60,19894
2006-12-26,170.00,170.00,164.05,165.05,15568
2006-12-27,165.25,167.00,164.00,164.75,18329
2006-12-28,164.00,167.90,163.00,166.35,20918
2006-12-29,167.00,171.00,165.25,166.35,47257
2007-01-02,167.95,169.90,165.75,167.50,20353
2007-01-03,169.90,175.00,167.30,172.30,84928
2007-01-04,174.00,176.95,173.00,173.40,76835
2007-01-05,173.50,174.50,168.50,169.05,22769
2007-01-08,170.00,171.80,165.00,166.45,17818
2007-01-09,167.75,172.45,166.10,169.85,32612
2007-01-10,168.90,170.50,165.10,165.85,37641
2007-01-11,164.20,170.00,163.50,168.35,25801
2007-01-12,169.75,172.50,168.10,169.40,46125
2007-01-15,168.50,169.90,166.10,167.35,24876
2007-01-16,170.90,170.90,166.50,167.60,84567
2007-01-17,169.00,170.75,166.25,167.20,56433
2007-01-18,169.30,172.00,165.00,165.55,78803
2007-01-19,162.60,162.60,152.40,157.50,256402
2007-01-22,142.65,160.00,142.65,156.75,91269
2007-01-23,157.65,157.65,155.50,155.95,27409
2007-01-24,157.00,163.00,156.10,160.75,130463
2007-01-25,163.00,165.50,161.35,162.45,131015
2007-01-29,162.20,164.50,157.30,158.15,13608
2007-01-31,161.20,162.00,155.50,157.35,28785
2007-02-01,160.00,161.50,155.15,159.90,50923
2007-02-02,161.05,161.05,158.20,159.95,125368
2007-02-05,163.75,164.20,156.25,160.60,91611
2007-02-06,164.00,164.00,156.60,157.45,20414
2007-02-07,158.50,161.00,156.60,160.05,59709
2007-02-08,160.10,161.50,157.20,160.05,44671
2007-02-09,158.00,160.20,155.25,158.55,51792
2007-02-12,156.00,157.00,148.00,148.50,35710
2007-02-13,146.10,151.75,140.15,142.00,43994
2007-02-14,148.45,148.45,138.00,145.85,18586
2007-02-15,147.50,149.80,147.00,147.85,15206
2007-02-19,153.45,153.50,146.00,147.05,18211
2007-02-20,147.10,149.50,145.10,145.95,13862
2007-02-21,148.00,149.95,144.90,147.15,14787
2007-02-22,146.00,148.50,140.00,143.50,11695
2007-02-23,145.05,146.75,139.00,145.00,34473
2007-02-26,145.00,145.70,140.20,144.05,16858
2007-02-27,146.00,146.55,139.40,143.45,15362
2007-02-28,137.25,145.50,126.00,144.35,49188
2007-03-01,146.80,146.80,141.00,143.60,13924
2007-03-02,142.00,145.95,141.50,141.90,14518
2007-03-05,141.00,141.00,135.00,137.90,20213
2007-03-06,137.50,140.50,130.00,139.70,59856
2007-03-07,140.15,141.50,135.00,138.90,31039
2007-03-08,138.05,141.95,131.20,140.00,89143
2007-03-09,140.00,141.20,135.20,136.80,9724
2007-03-12,136.00,140.50,135.10,139.90,22121
2007-03-13,139.95,141.00,137.50,140.35,59483
2007-03-14,139.65,139.80,135.50,137.95,8573
2007-03-15,138.00,139.95,135.20,136.10,14974
2007-03-16,138.00,138.65,129.35,132.70,18662
2007-03-19,134.75,135.80,130.00,135.05,22377
2007-03-20,136.10,136.40,135.00,135.00,12947
2007-03-21,135.20,136.50,135.00,135.00,33487
2007-03-22,136.00,137.40,133.25,134.85,40665
2007-03-23,134.90,135.90,133.30,135.00,16490
2007-03-26,134.60,135.00,131.15,131.95,15739
2007-03-28,131.00,131.50,128.30,129.70,23431
2007-03-29,130.00,132.80,128.00,128.55,12908
2007-03-30,131.80,131.80,128.50,129.95,41712
2007-04-02,127.20,131.00,124.00,124.40,10881
2007-04-03,123.25,123.25,123.25,123.25,0
2007-04-04,126.00,126.50,122.00,122.25,13918
2007-04-05,123.25,125.00,122.50,123.30,14178
2007-04-09,124.95,127.50,122.60,123.65,42448
2007-04-10,123.30,125.00,123.30,124.95,9063
2007-04-11,125.20,138.80,125.10,131.40,75751
2007-04-12,132.00,133.90,129.15,130.75,15114
2007-04-13,132.30,134.85,129.10,130.50,12094
2007-04-16,136.00,137.00,129.50,130.20,23018
2007-04-17,131.10,132.00,129.75,130.10,25621
2007-04-18,132.00,133.85,130.65,132.25,38784
2007-04-19,132.90,145.00,132.90,141.95,216805
2007-04-20,145.00,145.00,136.50,137.55,69038
2007-04-23,139.00,140.85,135.05,135.85,24856
2007-04-24,134.50,137.00,134.50,136.05,16912
2007-04-25,134.00,137.45,134.00,135.85,31327
2007-04-26,137.40,144.90,136.10,138.85,118052
2007-04-27,142.90,144.00,140.00,140.50,61863
2007-04-30,140.50,140.50,137.00,139.80,14291
2007-05-03,140.00,141.20,138.10,138.75,14168
2007-05-04,138.65,139.00,136.40,136.85,11446
2007-05-07,139.85,149.90,138.00,145.35,251147
2007-05-08,147.00,149.00,141.05,141.80,72339
2007-05-09,140.40,143.00,140.20,142.40,23896
2007-05-10,143.80,144.50,139.10,140.20,20001
2007-05-11,137.50,141.00,135.50,139.55,12719
2007-05-14,143.90,143.90,140.00,141.60,17643
2007-05-15,143.25,143.25,139.15,140.45,16756
2007-05-16,141.00,143.00,140.10,140.75,20261
2007-05-17,143.50,144.00,136.65,138.00,43658
2007-05-18,138.90,142.50,137.10,138.75,49698
2007-05-21,138.00,139.75,131.50,138.45,127828
2007-05-22,138.20,139.80,135.00,138.00,56325
2007-05-23,140.00,140.00,138.00,138.05,24726
2007-05-24,138.10,139.00,138.00,138.05,12284
2007-05-25,136.25,139.40,136.25,138.25,11930
2007-05-28,139.00,144.40,138.00,140.25,79313
2007-05-29,141.90,142.00,139.75,140.35,20660
2007-05-30,140.00,141.35,138.55,140.15,52902
2007-05-31,140.25,145.90,140.25,143.75,105179
2007-06-01,144.90,145.00,141.50,141.90,24814
2007-06-04,142.00,143.00,139.30,141.90,19806
2007-06-05,140.10,142.50,139.70,141.30,21128
2007-06-06,141.25,141.60,136.65,137.35,11903
2007-06-07,140.00,140.00,134.90,135.05,12813
2007-06-08,134.00,135.00,132.00,133.15,8549
2007-06-11,135.40,135.60,131.05,131.20,11688
2007-06-12,131.10,132.50,129.10,131.10,7920
2007-06-13,130.15,133.00,130.15,131.85,8350
2007-06-14,133.00,138.00,131.35,135.10,18901
2007-06-15,135.25,139.00,135.00,135.45,22565
2007-06-18,138.00,140.00,132.15,133.65,23100
2007-06-19,134.50,136.00,133.10,135.90,24676
2007-06-20,138.60,138.90,133.50,137.25,42384
2007-06-21,136.05,140.50,136.05,139.45,27184
2007-06-22,139.90,140.70,137.20,139.75,11790
2007-06-25,138.00,140.50,137.10,139.50,11470
2007-06-26,139.50,139.50,136.10,138.05,6091
2007-06-27,136.20,143.35,136.20,139.45,32922
2007-06-28,140.05,141.45,138.60,139.35,7726
2007-06-29,138.25,141.00,138.15,138.55,6423
2007-07-02,138.10,141.00,137.20,138.95,8803
2007-07-03,141.85,141.85,136.00,138.85,26794
2007-07-04,140.10,140.10,135.10,135.95,22226
2007-07-05,138.00,138.00,134.35,135.35,8255
2007-07-06,135.90,136.25,132.00,133.50,18854
2007-07-09,139.00,139.00,132.20,134.65,27141
2007-07-10,138.85,138.85,132.30,133.85,13627
2007-07-11,132.20,135.50,132.20,135.20,12584
2007-07-12,136.70,143.70,134.00,142.60,0
2007-07-13,144.00,146.00,139.10,140.65,62127
2007-07-16,141.90,146.00,140.15,141.70,24395
2007-07-17,142.00,143.50,136.20,136.85,23091
2007-07-18,137.00,139.80,131.20,133.55,43073
2007-07-19,137.00,137.85,133.65,134.25,15347
2007-07-20,135.90,136.95,133.00,135.45,20030
2007-07-23,139.60,139.60,133.00,133.65,13266
2007-07-24,135.00,135.50,132.50,133.90,10899
2007-07-25,130.10,133.80,130.10,132.65,14445
2007-07-26,133.35,138.50,132.15,133.40,14434
2007-07-27,131.50,133.90,130.10,130.35,14606
2007-07-30,130.05,133.00,129.85,130.55,32202
2007-07-31,130.60,139.40,125.10,136.60,64818
2007-08-01,132.10,133.55,128.00,129.20,35416
2007-08-02,129.55,133.00,129.20,129.60,20618
2007-08-03,130.00,132.50,130.00,130.35,9100
2007-08-06,126.00,128.95,122.05,127.40,10506
2007-08-07,129.00,130.35,127.50,127.95,5521
2007-08-08,129.25,131.50,127.30,130.65,31776
2007-08-09,132.10,132.10,127.00,128.20,12247
2007-08-10,126.00,129.90,125.00,128.05,10395
2007-08-13,131.90,134.50,131.05,132.50,24298
2007-08-14,132.50,134.10,130.25,133.35,18489
2007-08-16,128.00,133.50,127.20,128.40,15887
2007-08-17,129.00,138.00,127.50,130.45,53359
2007-08-20,133.75,139.40,129.00,131.00,18890
2007-08-21,131.20,131.90,126.10,126.95,11125
2007-08-22,128.00,128.50,125.10,125.95,8258
2007-08-23,128.90,129.40,125.00,125.55,12488
2007-08-24,124.10,127.50,124.10,126.10,5274
2007-08-27,123.00,128.80,123.00,127.55,6645
2007-08-28,127.10,129.50,127.05,128.40,9627
2007-08-29,128.00,129.35,126.25,128.20,7806
2007-08-30,129.90,130.00,128.70,129.05,15500
2007-08-31,129.95,130.00,128.50,129.70,4540
2007-09-03,128.05,136.30,128.05,131.55,28026
2007-09-04,132.50,134.35,131.20,132.00,12009
2007-09-05,132.00,132.70,129.15,131.10,17447
2007-09-06,130.00,131.90,129.00,129.80,29930
2007-09-07,130.00,132.00,130.00,131.10,26809
2007-09-10,129.70,141.20,128.10,139.10,73302
2007-09-11,141.00,142.25,136.10,137.30,51396
2007-09-12,138.00,143.45,137.10,140.80,66684
2007-09-13,141.90,161.95,141.80,154.50,591393
2007-09-14,155.00,158.45,146.00,147.80,114726
2007-09-17,148.10,155.30,144.55,148.50,97397
2007-09-18,151.00,157.45,148.00,154.45,164810
2007-09-19,158.00,159.00,151.00,151.75,96708
2007-09-20,154.00,157.95,150.60,152.05,88442
2007-09-21,152.00,159.50,149.10,153.25,111546
2007-09-24,154.10,156.95,150.05,152.40,51827
2007-09-25,153.00,153.00,147.30,148.65,31326
2007-09-26,147.00,154.00,147.00,150.15,55602
2007-09-27,145.50,152.50,145.50,147.50,21815
2007-09-28,149.00,150.10,146.60,147.40,32478
2007-10-01,152.90,155.00,148.45,153.15,93975
2007-10-03,154.00,154.75,144.20,147.55,50789
2007-10-04,146.50,152.00,146.10,147.40,29560
2007-10-05,146.50,150.00,146.50,147.70,36035
2007-10-08,145.05,150.60,140.35,141.40,32565
2007-10-09,138.00,144.20,134.00,144.20,30539
2007-10-10,145.00,147.00,141.00,143.40,22024
2007-10-11,145.00,151.00,142.00,148.20,41207
2007-10-12,143.25,151.00,143.25,144.80,42327
2007-10-15,146.75,159.70,144.50,153.75,196844
2007-10-16,170.00,170.00,149.15,151.10,125658
2007-10-17,144.95,144.95,144.95,144.95,49434
2007-10-18,146.25,150.00,142.00,143.25,36058
2007-10-19,136.90,145.50,135.55,137.15,23327
2007-10-22,135.00,143.85,132.10,138.30,29239
2007-10-23,139.10,142.00,138.20,138.95,23733
2007-10-24,140.00,141.00,136.65,138.00,24832
2007-10-25,138.20,145.80,137.00,138.80,54534
2007-10-26,138.95,145.00,138.00,140.35,69783
2007-10-29,141.50,145.20,140.25,140.95,89727
2007-10-30,141.85,144.00,136.05,137.40,61141
2007-10-31,138.70,140.00,136.25,136.85,21230
2007-11-01,138.80,140.70,134.00,135.85,23813
2007-11-02,134.00,138.10,132.55,136.80,19280
2007-11-05,135.05,137.85,133.50,134.80,45378
