Date,Open,High,Low,Close,Volume
2018-04-04,87.00,91.00,86.05,90.05,16767810
2018-04-05,91.10,93.40,88.50,89.25,2086034
2018-04-06,89.15,90.75,88.25,90.05,2438641
2018-04-09,90.50,90.70,89.40,90.00,497759
2018-04-10,90.30,90.65,89.35,90.10,462114
2018-04-11,90.40,96.70,89.10,91.80,2069628
2018-04-12,91.80,93.70,91.60,93.00,944549
2018-04-13,93.10,111.60,92.60,111.10,10794116
2018-04-16,112.25,133.30,112.05,133.30,12678229
2018-04-17,139.70,146.60,136.30,139.80,12088283
2018-04-18,139.20,153.75,132.20,153.75,11734814
2018-04-19,161.60,169.10,161.60,169.10,5274214
2018-04-20,176.60,177.55,162.10,170.50,7842531
2018-04-23,170.75,175.80,162.00,162.25,2313431
2018-04-24,155.50,163.30,154.15,154.30,2185838
2018-04-25,151.00,162.00,146.65,159.55,4222337
2018-04-26,161.40,162.00,153.05,154.15,806955
2018-04-27,154.30,156.40,146.45,146.45,390946
2018-04-30,142.15,153.75,141.55,153.75,1222958
2018-05-02,156.50,158.80,153.00,155.45,984783
2018-05-03,155.00,158.40,149.50,151.10,392930
2018-05-04,148.20,152.95,143.55,144.15,424240
2018-05-07,144.15,148.65,141.00,142.25,457100
2018-05-08,142.25,144.00,135.25,135.95,346381
2018-05-09,136.10,140.40,134.70,138.10,381762
2018-05-10,139.80,139.95,133.20,137.60,374556
2018-05-11,139.00,141.60,135.10,138.35,298693
2018-05-14,138.00,138.80,131.45,131.45,184521
2018-05-15,129.10,137.70,125.60,135.35,964043
2018-05-16,134.20,142.10,133.00,140.05,559735
2018-05-17,142.50,147.05,142.15,146.40,628222
2018-05-18,146.50,147.50,139.25,140.10,251622
2018-05-21,139.80,143.00,134.25,140.35,252637
2018-05-22,140.00,143.40,138.50,140.80,168898
2018-05-23,138.05,143.00,136.05,136.80,135012
2018-05-24,139.00,140.00,136.00,136.75,117376
2018-05-25,137.00,142.30,135.05,141.20,249246
2018-05-28,140.00,143.00,140.00,140.95,159707
2018-05-29,138.50,142.60,137.30,138.60,93060
2018-05-30,137.10,139.80,136.00,136.40,93235
2018-05-31,143.20,143.20,140.00,143.20,1495972
2018-06-01,147.00,149.00,140.85,143.15,663202
2018-06-04,143.95,144.95,139.00,140.75,313988
2018-06-05,139.95,139.95,133.75,133.75,176075
2018-06-06,128.10,140.40,128.10,140.40,551249
2018-06-07,146.00,154.95,144.75,147.40,2165570
2018-06-08,146.00,147.80,142.00,142.85,295251
2018-06-11,143.80,146.00,139.75,140.40,202804
2018-06-12,140.50,141.50,135.50,137.10,342724
2018-06-13,136.70,140.80,136.70,137.30,174221
2018-06-14,137.15,138.95,134.05,134.85,225398
2018-06-15,135.40,149.90,135.15,141.85,1886245
2018-06-18,140.00,144.85,137.60,138.35,368165
2018-06-19,138.95,145.65,136.60,137.30,721901
2018-06-20,139.00,143.80,137.00,137.70,497318
2018-06-21,138.90,140.70,135.00,135.20,300882
2018-06-22,135.50,136.65,132.00,132.65,315694
2018-06-25,133.25,135.90,133.20,134.25,387456
2018-06-26,135.30,135.30,132.95,134.00,150644
2018-06-27,134.00,134.95,125.00,129.90,378692
2018-06-28,127.10,131.50,126.55,127.55,571119
2018-06-29,127.90,132.60,127.90,129.50,241164
2018-07-02,130.00,130.40,125.50,126.40,148812
2018-07-03,126.85,127.95,123.00,125.10,238473
2018-07-04,124.60,125.10,121.80,122.25,227536
2018-07-05,122.00,123.00,118.00,122.00,327667
2018-07-06,123.00,127.20,120.45,126.05,380431
2018-07-09,128.00,129.45,126.55,128.25,387976
2018-07-10,128.05,152.40,128.05,149.70,3251107
2018-07-11,147.60,151.50,142.60,145.60,1589304
2018-07-12,146.25,160.90,146.00,147.95,3766557
2018-07-13,148.25,152.40,141.35,146.15,804465
2018-07-16,146.00,146.60,138.00,139.05,308015
2018-07-17,140.00,143.85,137.05,139.45,336739
2018-07-18,140.95,142.65,135.00,136.40,287364
2018-07-19,136.20,141.00,130.60,134.60,405774
2018-07-20,135.00,138.50,133.55,135.30,239830
2018-07-23,136.25,139.70,132.00,136.40,282462
2018-07-24,136.90,144.65,135.25,141.50,688195
2018-07-25,142.80,146.65,141.90,142.70,324641
2018-07-26,143.00,148.50,141.40,145.35,466713
2018-07-27,145.55,149.90,140.50,141.05,480510
2018-07-30,141.00,145.95,139.35,143.75,469536
2018-07-31,143.80,146.50,141.00,141.60,323478
2018-08-01,142.05,142.75,138.55,140.00,216740
2018-08-02,140.00,140.90,137.65,138.65,260063
2018-08-03,139.10,146.50,139.10,141.25,487491
2018-08-06,142.60,143.90,138.20,139.80,246056
2018-08-07,140.10,144.15,139.50,140.80,305311
2018-08-08,141.70,143.85,139.55,140.45,297286
2018-08-09,141.30,143.00,138.40,139.45,261626
2018-08-10,140.00,147.50,113.00,135.05,1360577
2018-08-13,135.50,135.50,130.25,131.15,207009
2018-08-14,131.25,133.80,130.00,130.40,148306
2018-08-16,129.00,134.45,129.00,130.70,169839
2018-08-17,131.90,143.65,131.90,138.75,983718
2018-08-20,139.70,153.30,137.05,151.25,1990330
2018-08-21,150.00,152.00,143.40,144.30,662002
