Date,Open,High,Low,Close,Volume
2014-12-19,584.00,632.00,530.00,567.30,5681632
2014-12-22,573.00,601.50,568.50,585.95,1734356
2014-12-23,586.10,593.80,570.00,573.15,533856
2014-12-24,573.55,579.80,561.75,564.10,233855
2014-12-26,567.70,569.35,538.50,543.25,277026
2014-12-29,544.00,545.75,520.55,526.55,483157
2014-12-30,526.00,526.95,501.00,511.40,689614
2014-12-31,509.90,556.95,502.70,539.20,1774138
2015-01-01,535.10,551.25,532.60,541.15,452642
2015-01-02,541.00,553.70,537.00,539.25,245109
2015-01-05,539.90,545.50,523.20,526.35,175944
2015-01-06,521.00,529.40,510.00,512.10,252448
2015-01-07,512.15,517.45,502.60,503.95,143146
2015-01-08,510.10,528.10,509.00,511.35,249766
2015-01-09,516.70,522.30,506.25,508.50,121326
2015-01-12,508.90,513.60,505.40,507.20,115327
2015-01-13,509.80,519.00,502.50,504.80,172043
2015-01-14,505.10,512.00,501.50,502.85,87407
2015-01-15,510.00,511.00,498.55,501.95,97371
2015-01-16,501.50,502.95,482.00,483.50,156207
2015-01-19,487.50,492.85,461.10,476.00,391967
2015-01-20,477.95,492.00,475.05,479.25,150193
2015-01-21,480.00,485.00,472.60,481.25,111609
2015-01-22,481.85,495.90,476.00,487.00,160264
2015-01-23,490.00,494.80,482.45,486.20,86394
2015-01-27,487.10,506.00,486.00,498.05,191144
2015-01-28,498.05,502.65,486.25,488.25,79228
2015-01-29,489.95,497.70,482.10,488.45,72333
2015-01-30,492.40,492.40,478.50,480.45,41614
2015-02-02,480.00,489.25,478.65,479.45,50691
2015-02-03,480.40,493.50,479.05,481.20,66776
2015-02-04,502.00,547.80,502.00,531.60,1153198
2015-02-05,524.00,581.85,521.95,563.90,1169117
2015-02-06,570.00,598.20,561.35,565.30,559150
2015-02-09,561.50,580.95,546.05,552.10,274779
2015-02-10,550.00,562.70,538.10,542.65,77671
2015-02-11,547.20,561.00,542.00,545.25,47072
2015-02-12,549.00,556.60,529.00,532.20,76565
2015-02-13,535.90,541.00,520.05,522.55,58296
2015-02-16,521.50,540.00,521.50,528.45,71283
2015-02-18,529.00,588.00,523.85,567.55,467009
2015-02-19,572.70,581.95,557.40,559.90,108446
2015-02-20,558.25,564.30,540.00,541.70,72800
2015-02-23,542.00,546.55,532.00,534.95,41793
2015-02-24,534.70,542.35,522.60,524.50,37974
2015-02-25,529.20,534.50,518.05,520.75,39850
2015-02-26,523.95,529.00,510.50,511.45,36241
2015-02-27,516.15,528.90,512.25,516.75,64058
2015-02-28,520.80,533.65,517.20,525.55,87371
2015-03-02,525.55,532.00,518.45,521.35,22878
2015-03-03,524.20,531.00,521.95,523.35,44688
2015-03-04,528.60,529.00,512.00,515.10,41489
2015-03-05,516.50,532.00,511.05,521.00,50992
2015-03-09,519.90,532.50,514.80,521.55,50082
2015-03-10,526.70,528.40,514.80,516.85,33094
