Date,Open,High,Low,Close,Volume
2017-11-06,295.90,299.00,278.00,284.40,43029310
2017-11-07,287.70,291.00,282.00,287.80,5980837
2017-11-08,287.00,289.00,284.95,285.30,1885677
2017-11-09,285.90,288.00,285.00,287.20,1476764
2017-11-10,285.15,287.20,281.30,285.20,905132
2017-11-13,283.20,288.00,283.20,287.20,2141637
2017-11-14,288.95,288.95,267.90,273.35,1306130
2017-11-15,271.05,276.50,248.10,253.50,2250713
2017-11-16,255.00,278.60,237.50,272.15,4154606
2017-11-17,274.00,284.00,265.50,279.00,1247735
2017-11-20,278.75,280.90,271.00,278.95,554463
2017-11-21,276.80,280.00,272.00,272.15,366109
2017-11-22,274.90,276.35,267.00,269.80,925427
2017-11-23,274.00,274.00,267.95,271.20,355274
2017-11-24,273.90,273.90,270.10,271.75,301275
2017-11-27,270.00,273.00,267.80,272.15,559725
2017-11-28,270.50,271.90,267.00,268.00,210880
2017-11-29,268.00,269.55,260.00,261.85,398140
2017-11-30,261.90,266.20,252.70,263.50,432489
2017-12-01,261.15,266.85,258.10,259.70,337914
2017-12-04,260.90,262.45,254.20,255.05,1774394
2017-12-05,253.30,262.90,253.30,261.10,1104003
2017-12-06,258.60,260.55,254.60,255.05,669659
2017-12-07,255.90,259.90,252.00,252.30,212652
2017-12-08,252.55,256.35,252.00,252.45,391545
2017-12-11,253.05,254.35,252.00,252.55,1422111
2017-12-12,252.80,255.00,251.95,252.80,771170
2017-12-13,253.00,253.00,250.55,251.60,191972
2017-12-14,252.80,252.90,248.40,250.75,274737
2017-12-15,251.15,253.90,248.00,253.00,497089
2017-12-18,253.90,264.00,251.05,260.10,1628941
2017-12-19,260.85,275.55,257.30,270.20,529940
2017-12-20,270.40,281.75,266.25,274.80,620156
2017-12-21,280.00,287.90,276.30,281.25,1214297
2017-12-22,286.85,289.00,280.65,284.10,1892348
2017-12-26,285.50,290.00,281.25,286.30,792108
2017-12-27,286.90,291.95,284.25,285.20,777311
2017-12-28,284.00,295.00,284.00,288.45,734826
2017-12-29,290.60,304.90,288.10,300.20,1529684
2018-01-01,301.50,311.00,295.25,300.85,1654808
2018-01-02,303.10,305.65,283.60,287.80,440999
2018-01-03,287.60,298.00,284.05,296.80,463883
2018-01-04,295.05,300.25,295.00,297.50,234257
