Date,Open,High,Low,Close,Volume
2023-07-11,136.30,139.50,121.95,125.05,1005875
2023-07-12,126.00,137.30,123.15,124.35,947658
2023-07-13,125.20,129.00,117.40,118.65,524821
2023-07-14,120.00,123.90,119.25,123.40,322765
2023-07-17,124.00,129.70,122.60,127.90,339220
2023-07-18,128.50,130.80,122.35,125.90,240936
2023-07-19,126.50,126.60,124.10,124.70,108903
2023-07-20,125.00,125.80,122.50,123.85,103733
2023-07-21,123.85,128.05,122.60,125.05,360659
2023-07-24,126.95,129.00,124.40,125.10,334858
2023-07-25,125.10,126.90,123.20,124.25,157305
2023-07-26,124.05,127.55,122.50,122.90,268094
2023-07-27,123.75,125.35,121.50,123.75,148284
2023-07-28,124.40,126.00,123.40,125.45,175045
2023-07-31,126.25,129.65,125.60,127.25,349606
2023-08-01,127.05,136.15,126.00,127.60,831779
2023-08-02,128.00,129.95,124.75,126.35,344238
2023-08-03,126.95,128.70,125.10,126.15,211591
2023-08-04,127.50,133.25,126.80,131.90,453017
2023-08-07,133.65,138.35,132.10,134.60,393202
2023-08-08,135.00,137.65,129.05,132.25,274078
2023-08-09,134.75,136.10,131.70,133.15,222272
2023-08-10,133.40,135.15,128.10,131.95,292265
2023-08-11,132.50,136.65,130.60,131.70,168052
2023-08-14,135.10,148.90,131.55,143.80,1490773
2023-08-16,146.45,150.00,144.40,146.85,363868
2023-08-17,152.10,159.60,147.35,154.80,849777
2023-08-18,155.80,159.95,149.65,152.35,430409
2023-08-21,154.40,182.80,154.35,180.75,3064238
2023-08-22,185.20,196.95,183.30,191.05,3343652
2023-08-23,191.05,192.40,180.00,182.00,683675
2023-08-24,183.00,197.65,182.00,187.05,1119078
2023-08-25,186.80,192.50,180.95,182.45,318362
2023-08-28,184.40,186.50,180.20,184.10,246240
2023-08-29,184.10,191.00,180.50,182.15,225021
2023-08-30,183.65,188.45,181.00,183.10,180563
2023-08-31,183.10,185.00,175.00,176.25,247824
2023-09-01,177.45,186.90,176.85,185.05,289030
2023-09-04,187.80,215.00,187.80,206.55,1004172
2023-09-05,208.45,211.90,199.90,205.95,365380
2023-09-06,205.50,209.10,201.00,206.20,338445
2023-09-07,205.50,222.55,202.20,219.45,655512
2023-09-08,221.80,226.40,218.20,220.60,375685
2023-09-11,222.40,222.60,206.50,212.40,404984
2023-09-12,213.00,216.20,181.90,192.20,512501
2023-09-13,190.10,211.95,190.00,208.80,369946
2023-09-14,214.50,215.00,205.35,208.80,134010
2023-09-15,210.65,220.00,207.35,216.45,224258
2023-09-18,222.00,229.50,216.25,221.90,506574
2023-09-20,223.00,227.45,216.15,220.85,215853
2023-09-21,220.80,235.00,218.50,221.80,485827
2023-09-22,227.30,230.20,219.25,228.40,289828
2023-09-25,232.95,243.00,231.50,232.85,354047
2023-09-26,234.75,236.35,223.60,227.60,154826
2023-09-27,227.60,237.35,224.35,229.65,227497
2023-09-28,231.80,244.00,226.00,238.35,477690
2023-09-29,241.00,246.00,235.65,236.80,264479
2023-10-03,238.45,239.80,231.55,237.25,157759
2023-10-04,232.00,235.65,226.55,228.85,242483
2023-10-05,230.85,236.70,228.00,230.15,165437
2023-10-06,232.45,234.00,223.10,224.10,240368
2023-10-09,223.90,226.95,215.00,216.45,437645
2023-10-10,219.90,224.20,216.25,217.10,309488
2023-10-11,219.35,260.50,219.35,260.50,1295926
2023-10-12,266.60,288.00,265.00,273.35,2873751
2023-10-13,267.00,279.00,260.00,261.80,455434
2023-10-16,261.80,264.70,250.50,253.70,399834
2023-10-17,253.00,291.00,248.55,282.75,1754033
2023-10-18,283.00,289.65,270.70,280.10,592503
2023-10-19,273.40,316.40,273.40,306.55,1677593
2023-10-20,309.00,314.85,294.25,303.20,601636
2023-10-23,281.00,285.00,242.60,248.80,1740966
2023-10-25,255.00,270.65,248.55,261.10,853734
2023-10-26,263.90,267.15,247.40,254.05,497954
2023-10-27,256.00,280.95,256.00,268.45,667667
2023-10-30,270.90,273.45,260.00,263.05,195814
2023-10-31,264.00,269.65,253.70,256.50,229821
2023-11-01,256.95,264.50,251.00,252.10,300492
2023-11-02,254.50,257.70,246.90,248.75,220481
2023-11-03,250.90,254.60,245.30,247.50,213990
2023-11-06,250.20,252.20,238.50,243.00,323905
2023-11-07,243.00,245.60,240.10,243.65,172128
2023-11-08,245.50,257.60,244.95,250.50,276984
2023-11-09,250.90,252.70,245.10,247.40,135498
2023-11-10,246.70,250.00,245.35,248.20,103622
2023-11-12,248.65,251.75,248.65,250.90,54057
2023-11-13,248.35,248.55,244.00,246.20,89630
2023-11-15,246.95,249.70,241.75,243.45,101733
2023-11-16,243.45,245.70,236.00,239.80,153663
2023-11-17,237.95,238.85,230.05,232.15,249236
2023-11-20,232.15,243.30,231.05,233.70,190974
2023-11-21,235.00,240.75,232.50,234.20,168280
2023-11-22,234.20,235.75,230.00,230.85,92291
2023-11-23,232.80,245.85,232.80,242.65,262633
2023-11-24,244.75,259.85,238.50,254.85,515767
2023-11-28,258.80,260.00,250.15,253.90,173665
2023-11-29,254.70,257.10,239.15,245.40,249643
2023-11-30,245.40,245.55,239.30,241.20,155091
2023-12-01,250.00,250.00,242.00,242.80,94361
2023-12-04,249.00,261.00,242.00,253.15,401101
2023-12-05,254.50,258.05,246.25,249.45,248765
2023-12-06,249.00,254.50,247.00,247.90,152643
2023-12-07,248.00,249.40,245.00,246.40,148411
2023-12-08,247.55,247.55,240.90,241.85,92644
2023-12-11,242.80,246.70,242.00,243.90,89556
2023-12-12,243.00,245.45,236.25,239.10,118391
2023-12-13,240.85,242.40,237.00,237.90,83153
2023-12-14,238.50,246.90,238.50,244.20,119715
2023-12-15,246.40,250.70,240.05,243.00,102018
2023-12-18,242.75,248.20,240.55,241.35,100180
2023-12-19,241.75,245.25,240.00,241.00,79070
2023-12-20,241.35,243.00,226.00,228.90,298938
2023-12-21,228.00,237.05,227.05,231.05,112691
2023-12-22,232.70,235.95,231.25,232.60,60731
2023-12-26,238.70,238.90,227.00,228.95,130119
2023-12-27,228.95,233.75,219.95,224.00,220205
2023-12-28,225.75,229.90,219.70,220.90,203936
2023-12-29,222.70,226.80,217.75,218.85,222887
2024-01-01,219.80,244.40,217.95,238.70,351287
2024-01-02,241.90,246.85,235.00,242.80,289569
2024-01-03,242.55,244.05,239.10,240.65,90349
2024-01-04,240.65,242.80,237.10,238.55,92861
2024-01-05,238.50,242.00,235.15,235.95,88903
2024-01-08,235.95,239.45,228.75,229.70,121557
2024-01-09,232.50,245.90,231.35,237.95,253924
2024-01-10,239.60,242.00,232.10,235.50,142629
2024-01-11,235.50,244.85,235.50,238.85,139193
2024-01-12,241.20,246.40,233.55,235.85,140970
2024-01-15,250.00,269.65,248.60,256.40,740216
2024-01-16,262.00,265.90,247.00,253.15,307490
2024-01-17,250.00,303.75,246.20,287.00,1654702
2024-01-18,291.00,335.20,281.60,323.35,2146497
2024-01-19,330.00,378.90,328.05,371.25,2192409
2024-01-20,378.05,398.70,374.00,385.60,1096719
2024-01-23,389.50,399.00,347.05,347.05,829369
2024-01-24,326.40,347.00,314.55,337.45,828815
2024-01-25,337.45,369.00,336.10,357.10,518936
2024-01-29,365.00,374.90,355.05,358.65,343622
2024-01-30,361.00,363.00,340.00,346.95,319046
2024-01-31,347.80,367.00,347.00,357.35,367065
2024-02-01,360.00,369.90,356.10,359.20,242230
2024-02-02,361.50,365.15,333.55,344.10,321963
2024-02-05,315.50,318.00,286.55,293.20,1091176
2024-02-06,288.70,299.90,281.10,290.15,503929
2024-02-07,293.00,348.15,292.30,348.15,1901328
2024-02-08,365.00,382.90,339.30,346.00,1062789
2024-02-09,346.00,370.00,324.30,354.50,845049
2024-02-12,357.50,361.00,320.00,326.95,381945
2024-02-13,328.00,355.00,326.90,339.45,412122
2024-02-14,334.50,343.95,331.90,334.70,239294
2024-02-15,336.50,349.30,331.20,336.45,226307
2024-02-16,338.70,363.10,338.00,350.20,530870
2024-02-19,364.00,367.00,351.30,352.90,273712
2024-02-20,355.00,372.65,354.70,357.70,541614
2024-02-21,362.00,364.00,332.20,337.75,422599
2024-02-22,340.00,351.00,333.80,348.25,260785
2024-02-23,350.45,353.40,335.00,337.35,234811
2024-02-26,340.00,344.15,327.35,328.85,171276
2024-02-27,329.80,340.00,322.25,324.10,247497
2024-02-28,325.25,329.00,308.00,316.00,329144
2024-02-29,310.00,321.00,307.60,316.80,168206
2024-03-01,318.70,327.00,317.50,324.45,239683
2024-03-02,324.40,324.40,318.00,320.15,28261
2024-03-04,321.60,327.00,316.00,318.35,157825
2024-03-05,318.90,322.45,311.40,313.75,115511
2024-03-06,313.25,313.25,288.55,299.60,373467
2024-03-07,301.00,307.80,299.60,300.50,109434
2024-03-11,301.40,309.75,288.00,290.25,161426
2024-03-12,291.95,294.00,267.75,271.85,327939
2024-03-13,275.00,283.95,243.55,254.90,418299
2024-03-14,252.00,278.05,250.00,271.60,365592
2024-03-15,274.00,286.80,264.20,283.45,351592
2024-03-18,282.90,290.00,275.45,281.70,132851
2024-03-19,277.70,288.35,270.05,272.35,191825
2024-03-20,273.80,311.95,265.00,301.80,940459
2024-03-21,303.50,318.00,297.60,307.25,372060
2024-03-22,304.00,315.15,298.80,301.30,194660
2024-03-26,299.00,300.80,285.00,286.95,273124
2024-03-27,289.00,306.45,289.00,297.35,432090
2024-03-28,301.40,304.40,286.50,290.10,182663
2024-04-01,296.00,304.00,294.95,301.10,195802
2024-04-02,301.10,310.35,300.40,308.00,157601
2024-04-03,306.90,310.80,303.55,308.35,89497
2024-04-04,311.40,314.00,305.00,307.65,94181
2024-04-05,306.00,309.65,303.05,306.15,98713
2024-04-08,306.50,315.80,295.10,301.65,160680
2024-04-09,303.50,309.00,294.95,300.15,109911
2024-04-10,301.70,304.45,290.00,291.15,129590
2024-04-12,288.00,297.75,287.00,288.55,153912
2024-04-15,281.50,287.00,276.15,281.80,92646
2024-04-16,279.00,303.85,274.35,299.40,256521
2024-04-18,301.00,304.85,295.10,297.15,135155
2024-04-19,291.00,294.95,285.00,289.15,125813
2024-04-22,291.45,297.75,275.00,278.00,264361
2024-04-23,275.00,286.40,273.75,275.25,322879
2024-04-24,277.20,282.60,274.85,278.80,167860
2024-04-25,279.80,282.00,275.00,277.00,141059
2024-04-26,278.70,285.00,274.00,275.25,150928
2024-04-29,277.30,280.65,275.00,277.25,189860
2024-04-30,278.75,283.00,276.90,278.85,102614
