Date,Open,High,Low,Close,Volume
2026-08-17,32.95,35.00,30.05,32.58,5607
2026-08-18,34.80,34.80,29.05,30.17,10208
2026-08-19,30.85,30.90,30.00,30.76,393
2026-08-20,31.40,31.40,29.99,30.53,956
2026-08-21,33.40,33.40,31.50,31.60,1820
2026-08-24,29.11,31.60,29.11,29.70,1821
2026-08-25,31.99,35.64,27.61,30.38,27892
2026-08-26,30.38,33.50,29.81,30.66,2958
2026-08-27,32.00,32.04,30.05,30.31,928
2026-08-28,31.50,31.50,29.85,30.13,2249
2026-08-31,32.00,33.00,30.00,31.16,2002
2026-09-01,30.01,33.00,29.55,31.58,878
2026-09-02,30.70,31.49,29.56,31.39,1386
2026-09-03,28.60,32.50,28.60,29.48,3977
2026-09-04,32.50,32.50,28.52,29.01,5152
2026-09-07,31.90,31.90,29.32,29.68,2251
2026-09-08,30.00,30.80,29.15,29.81,2165
2026-09-09,29.60,30.20,29.06,30.20,2017
2026-09-10,29.61,30.80,29.59,30.15,1802
2026-09-11,29.00,30.15,29.00,29.85,1965
2026-09-15,29.86,29.86,27.50,28.40,4669
2026-09-16,28.40,28.40,27.80,28.10,1778
2026-09-17,28.40,28.94,27.85,28.77,775
2026-09-18,28.91,29.48,28.00,29.00,1414
