Date,Open,High,Low,Close,Volume
2004-04-27,5.00,5.00,5.00,5.00,525
2004-04-30,5.40,5.40,5.40,5.40,250
2004-05-03,5.46,5.46,5.03,5.03,1025
2004-05-04,5.30,5.46,5.15,5.16,14600
2004-05-05,5.38,5.39,5.05,5.25,47240
2004-05-06,5.40,5.40,5.17,5.22,15050
2004-05-07,5.32,5.55,5.06,5.14,47375
2004-05-10,5.18,5.41,5.18,5.39,86140
2004-05-11,5.37,5.40,5.16,5.16,24500
2004-05-12,5.58,5.58,5.18,5.35,32420
2004-05-13,5.40,5.40,5.30,5.33,14750
2004-05-14,5.17,5.17,4.60,5.05,16045
2004-05-17,4.56,4.80,4.56,4.69,12650
2004-05-18,4.22,5.00,4.22,4.56,7100
2004-05-19,4.98,5.00,4.98,4.98,5500
2004-05-20,5.20,5.24,4.90,5.00,7375
2004-05-21,5.00,5.02,4.90,4.90,10650
2004-05-24,5.20,5.20,4.68,4.91,13025
2004-05-25,4.90,4.90,4.85,4.85,1625
2004-05-26,4.75,4.75,4.70,4.71,3500
2004-05-27,5.17,5.17,4.80,4.86,2050
2004-05-28,4.94,4.94,4.60,4.63,2065
2004-05-31,4.06,4.37,4.06,4.13,1230
2004-06-01,4.60,4.60,4.26,4.26,1600
2004-06-02,4.60,4.60,4.60,4.60,50
2004-06-03,4.25,4.25,4.24,4.24,1000
2004-06-04,4.24,4.78,4.20,4.78,4150
2004-06-07,4.43,4.43,4.42,4.42,1500
2004-06-10,4.58,4.58,4.58,4.58,500
2004-06-15,3.80,3.80,3.80,3.80,500
2004-06-16,4.30,4.56,4.30,4.56,720
2004-06-17,5.00,5.00,4.51,4.51,2625
2004-06-21,4.82,4.82,4.16,4.16,10
2004-06-25,4.73,4.76,4.73,4.74,1000
2004-06-29,4.02,4.10,4.02,4.10,1000
2004-07-02,4.42,4.50,4.42,4.50,995
2004-07-05,4.70,4.70,4.26,4.48,20
2004-07-06,4.40,4.40,4.30,4.37,1440
2004-07-07,4.20,4.20,4.12,4.18,9545
2004-07-14,5.01,5.01,3.84,3.84,10
2004-07-15,3.84,4.60,3.84,4.60,19250
2004-07-16,4.40,4.40,4.40,4.40,500
2004-07-20,4.02,4.21,4.02,4.21,1500
2004-07-22,4.60,4.74,4.60,4.74,5100
2004-07-26,5.00,5.00,5.00,5.00,1000
2004-07-27,4.90,5.04,4.81,4.81,12710
2004-07-28,4.80,4.80,4.80,4.80,10615
2004-07-29,4.60,4.80,4.60,4.80,110
2004-07-30,5.38,5.38,4.80,4.80,720
2004-08-03,5.06,5.06,5.06,5.06,500
2004-08-04,4.53,4.53,4.53,4.53,500
2004-08-05,4.40,5.20,4.40,5.20,3940
2004-08-06,5.30,5.36,5.30,5.36,2500
2004-08-10,5.40,5.40,4.98,4.98,700
2004-08-11,4.60,5.00,4.60,5.00,1370
2004-08-12,4.82,4.82,4.80,4.80,15500
2004-08-16,4.80,4.80,4.80,4.80,35
2004-08-17,4.81,4.82,4.80,4.80,75
2004-08-24,4.80,4.80,4.80,4.80,510
2004-08-26,4.80,4.95,4.80,4.95,3000
2004-08-30,4.80,4.80,4.80,4.80,3545
2004-08-31,4.90,5.20,4.90,5.19,1775
2004-09-01,4.81,5.14,4.80,5.14,1215
2004-09-06,4.84,4.84,4.80,4.82,1000
2004-09-08,4.80,4.80,4.80,4.80,2500
2004-09-09,4.80,4.80,4.80,4.80,20
2004-09-10,4.80,4.80,4.80,4.80,500
2004-09-13,4.80,4.90,4.80,4.90,2520
2004-09-14,4.84,5.00,4.84,5.00,4000
2004-09-15,4.80,4.90,4.80,4.90,4500
2004-09-16,5.02,5.28,5.00,5.09,10750
2004-09-17,4.83,4.92,4.83,4.88,6215
2004-09-20,4.81,5.19,4.81,4.92,9610
2004-09-21,5.00,5.00,5.00,5.00,1400
2004-09-22,4.50,5.20,4.50,5.20,55
2004-09-23,5.20,5.20,5.20,5.20,6500
2004-09-24,5.09,5.09,5.00,5.07,600
2004-09-27,5.19,5.58,5.01,5.58,29005
2004-09-28,6.10,6.10,5.70,5.84,19495
2004-09-29,5.86,5.90,5.49,5.59,22010
2004-09-30,5.49,5.60,5.49,5.60,2500
2004-10-01,5.63,5.74,5.56,5.65,18450
2004-10-04,5.73,5.79,5.55,5.60,32035
2004-10-05,5.43,5.64,5.43,5.45,2000
2004-10-06,5.63,5.69,5.63,5.69,5000
2004-10-07,5.60,5.60,5.60,5.60,500
2004-10-08,5.79,6.00,5.52,5.78,23745
2004-10-11,5.50,6.10,5.50,5.87,10500
2004-10-12,6.18,6.18,5.92,5.93,6980
2004-10-14,6.20,6.20,5.50,5.94,32260
2004-10-15,5.97,6.00,5.60,5.66,34230
2004-10-18,5.98,5.98,5.61,5.61,1050
2004-10-19,5.42,5.70,5.42,5.62,23390
2004-10-20,5.60,5.60,5.60,5.60,500
2004-10-21,5.85,5.85,5.65,5.65,5460
2004-10-25,5.67,5.67,5.67,5.67,1000
2004-10-26,5.62,5.76,5.62,5.74,2730
2004-10-28,5.99,5.99,5.64,5.65,4100
2004-10-29,5.71,5.72,5.60,5.60,8475
2004-11-01,5.06,5.80,5.06,5.74,8350
2004-11-02,5.70,5.70,5.70,5.70,2500
2004-11-03,5.77,5.95,5.77,5.87,12875
2004-11-04,5.67,5.99,5.67,5.97,4375
2004-11-05,5.98,6.00,5.90,5.90,7500
2004-11-08,5.80,5.85,5.80,5.85,5640
2004-11-09,5.80,6.00,5.80,5.91,14000
2004-11-10,5.85,6.50,5.85,6.45,44500
2004-11-11,6.69,7.10,6.69,7.10,39275
2004-11-12,7.79,7.81,7.20,7.75,80245
2004-11-16,7.90,7.90,7.08,7.48,35000
2004-11-17,7.30,7.60,7.30,7.60,16380
2004-11-18,7.70,7.98,7.60,7.96,26685
2004-11-19,7.98,8.36,7.92,8.13,29785
2004-11-22,7.99,7.99,7.75,7.82,26680
2004-11-23,8.18,8.18,7.60,7.92,7040
2004-11-24,8.03,8.04,7.55,7.80,7335
2004-11-25,8.14,8.14,7.69,7.73,4780
2004-11-29,7.42,7.72,7.42,7.51,18500
2004-11-30,7.44,7.80,7.33,7.50,3530
2004-12-01,7.58,7.58,7.13,7.13,4000
2004-12-02,6.80,7.40,6.80,7.37,21640
2004-12-03,7.03,7.39,7.03,7.13,5015
2004-12-06,7.10,7.34,6.78,7.03,4230
2004-12-07,6.83,7.30,6.83,7.04,1490
2004-12-08,7.38,7.39,7.38,7.39,6500
2004-12-09,7.50,7.76,7.50,7.76,4465
2004-12-10,8.54,8.54,8.54,8.54,11660
2004-12-13,8.85,9.40,8.85,9.38,13645
2004-12-14,9.69,9.85,9.69,9.85,13450
2004-12-15,10.35,10.35,10.35,10.35,58125
2004-12-16,10.87,10.87,10.60,10.81,95725
2004-12-17,11.00,11.34,10.32,10.98,231590
2004-12-20,11.10,11.53,11.10,11.53,46605
2004-12-21,12.09,12.11,12.07,12.11,29665
2004-12-22,12.72,12.72,11.51,12.16,114235
2004-12-23,12.60,12.60,12.00,12.22,51535
2004-12-24,11.90,12.20,11.61,11.90,46075
2004-12-27,11.88,12.50,11.81,12.01,87630
2004-12-28,12.40,12.61,12.00,12.23,64210
2004-12-29,12.50,12.50,11.62,11.72,18615
2004-12-30,11.89,11.90,11.23,11.23,21720
2004-12-31,11.25,11.60,10.84,11.47,15230
2005-01-03,11.02,11.30,11.02,11.18,35125
2005-01-04,10.82,11.74,10.80,11.62,80585
2005-01-05,12.18,12.20,11.45,12.19,111960
2005-01-06,12.57,12.80,12.50,12.80,97230
2005-01-07,13.42,13.44,12.91,13.39,91275
2005-01-10,13.40,13.60,12.80,13.32,49250
2005-01-11,13.49,13.50,12.66,12.66,15850
2005-01-12,12.60,13.28,12.04,12.08,63565
2005-01-13,11.48,12.40,11.48,12.13,13100
2005-01-14,11.65,12.00,11.60,11.90,49125
2005-01-17,11.70,12.17,11.32,11.57,5125
2005-01-18,11.78,11.78,11.06,11.10,10530
2005-01-19,11.40,11.58,10.83,10.85,16220
2005-01-20,10.40,10.78,10.31,10.31,16005
2005-01-24,10.00,10.00,9.80,10.00,8100
2005-01-25,9.53,10.40,9.50,10.40,22675
2005-01-27,10.90,10.90,9.88,10.30,113965
2005-01-28,9.82,10.40,9.82,9.92,4655
2005-01-31,9.84,10.00,9.59,9.75,10315
2005-02-01,9.30,9.70,9.29,9.59,11420
2005-02-02,9.42,9.76,9.20,9.48,22580
2005-02-03,9.57,9.57,9.10,9.21,17100
2005-02-04,9.58,9.58,8.75,9.32,19450
2005-02-07,9.20,9.48,8.96,9.16,8030
2005-02-08,9.00,9.39,9.00,9.23,20815
2005-02-09,9.40,9.42,9.00,9.29,15920
2005-02-10,9.30,10.22,9.30,10.22,20635
2005-02-11,11.20,11.25,9.30,11.25,1115660
2005-02-14,11.82,11.82,11.82,11.82,18535
2005-02-15,12.42,12.42,12.42,12.42,15795
2005-02-16,13.05,13.05,13.05,13.05,5415
2005-02-17,13.71,13.71,13.60,13.71,493145
2005-02-18,14.40,14.40,14.40,14.40,33725
2005-02-21,15.12,15.12,14.60,14.79,179905
2005-02-22,15.20,15.20,14.05,14.20,81640
2005-02-23,13.49,14.10,13.49,13.60,35755
2005-02-24,13.01,14.28,13.01,14.28,66270
2005-02-25,14.92,14.94,13.58,13.86,19605
2005-02-28,14.00,14.38,13.80,13.93,8150
2005-03-01,13.80,14.00,13.45,13.75,3375
2005-03-02,14.38,14.44,13.09,13.80,15095
2005-03-03,13.60,14.00,13.40,13.95,35035
2005-03-04,14.00,14.40,13.83,14.27,21655
2005-03-07,14.24,14.40,14.24,14.37,6075
2005-03-08,14.40,14.40,13.80,14.40,13780
2005-03-09,14.40,14.40,14.03,14.38,15025
2005-03-10,14.40,14.60,14.20,14.49,87545
2005-03-11,14.60,15.00,14.50,14.61,25335
2005-03-14,14.70,14.93,14.40,14.64,5100
2005-03-15,14.50,14.60,14.40,14.40,12790
2005-03-16,14.60,14.80,14.50,14.80,5540
2005-03-17,14.12,15.20,14.12,14.94,6515
2005-03-18,14.54,14.80,14.40,14.80,10265
2005-03-21,14.40,14.61,14.40,14.42,3435
2005-03-22,14.60,14.90,14.40,14.40,9270
2005-03-23,14.20,14.70,14.00,14.50,8515
2005-03-24,14.30,14.40,14.30,14.40,1750
2005-03-28,14.40,14.50,14.40,14.40,3505
2005-03-29,14.40,14.78,13.70,14.37,45260
2005-03-30,14.30,14.30,14.30,14.30,8000
2005-03-31,14.50,14.50,14.50,14.50,2250
2005-04-01,14.96,15.12,14.60,15.12,3170
2005-04-04,14.60,14.92,14.40,14.78,4320
2005-04-05,14.98,15.00,14.45,14.45,7070
2005-04-06,14.40,14.80,14.40,14.42,4715
2005-04-07,13.75,14.74,13.75,14.51,1460
2005-04-08,14.40,14.40,14.40,14.40,1615
2005-04-11,14.40,14.60,14.40,14.60,2865
2005-04-12,14.42,14.80,14.42,14.80,5480
2005-04-13,14.90,15.70,14.80,15.47,2150
2005-04-15,14.24,15.00,14.19,15.00,5020
2005-04-18,15.20,15.20,14.35,14.62,2685
2005-04-19,14.61,14.61,14.26,14.31,1750
2005-04-20,14.00,14.00,14.00,14.00,10
2005-04-21,15.00,15.00,14.00,14.40,10595
2005-04-22,14.60,14.90,14.40,14.40,29000
2005-04-25,14.96,14.98,14.44,14.48,960
2005-04-26,15.00,15.10,14.44,15.09,5905
2005-04-27,15.00,15.60,15.00,15.12,10440
2005-04-28,15.40,16.40,15.40,15.60,10225
2005-04-29,16.18,16.18,15.26,15.32,10980
