Date,Open,High,Low,Close,Volume
2015-08-26,300.00,331.50,290.00,293.27,7949064
2015-08-27,298.50,328.45,297.55,317.93,2580006
2015-08-28,320.95,325.68,309.55,311.80,549966
2015-08-31,309.57,312.50,304.25,307.35,293122
2015-09-01,303.00,309.38,291.80,293.90,229810
2015-09-02,299.40,307.50,280.15,304.20,172114
2015-09-03,307.00,309.48,301.50,305.30,88272
2015-09-04,309.90,309.90,295.50,300.52,178352
2015-09-07,301.50,304.00,290.88,293.15,42946
2015-09-08,297.50,299.50,291.18,294.90,63632
2015-09-09,298.95,299.00,290.75,292.40,52080
2015-09-10,290.00,292.20,287.00,290.25,35854
2015-09-11,292.55,293.70,287.05,289.23,42102
2015-09-14,291.00,296.25,286.00,293.48,80092
2015-09-15,290.52,294.45,290.50,292.38,27336
2015-09-16,296.40,296.40,284.80,285.43,59784
2015-09-18,286.00,288.80,282.55,284.35,29938
2015-09-21,284.05,294.98,282.50,290.00,114954
2015-09-22,291.00,294.40,286.75,287.57,44996
2015-09-23,287.50,294.50,284.02,292.40,27152
2015-09-24,290.05,295.73,288.85,290.05,18718
2015-09-28,289.50,290.73,286.50,287.38,23322
2015-09-29,286.02,288.50,283.82,287.80,34374
2015-09-30,288.50,289.98,287.85,288.57,12676
2015-10-01,290.00,312.50,287.35,300.75,239880
2015-10-05,301.55,310.00,298.32,302.57,72904
2015-10-06,302.45,305.00,301.00,302.60,29558
2015-10-07,300.15,307.90,300.05,306.20,54620
2015-10-08,303.05,303.80,295.50,296.68,22686
2015-10-09,296.10,299.50,290.62,292.00,31980
2015-10-12,292.10,299.00,290.00,295.23,15720
2015-10-13,292.52,303.93,291.12,299.30,105986
2015-10-14,300.00,309.10,297.55,305.35,280152
2015-10-15,302.57,311.43,301.10,304.15,51988
2015-10-16,304.98,311.00,304.18,309.25,80950
2015-10-19,309.23,311.38,305.57,308.07,50300
2015-10-20,310.12,315.50,300.00,301.40,132052
2015-10-21,304.82,311.20,303.52,305.68,84260
2015-10-23,308.85,314.20,305.60,311.48,92622
2015-10-26,310.43,312.00,303.50,305.52,15936
2015-10-27,305.02,309.98,301.00,307.15,40096
2015-10-28,307.18,309.73,305.00,306.50,11350
2015-10-29,306.95,307.25,302.00,303.07,32342
2015-10-30,303.12,306.00,291.98,295.68,17282
2015-11-02,294.38,299.25,293.50,296.73,13440
2015-11-03,296.52,304.38,295.38,303.27,29084
2015-11-04,302.52,308.57,302.50,302.98,20138
2015-11-05,304.23,305.88,300.00,301.80,24494
2015-11-06,297.82,303.73,296.00,299.48,14058
2015-11-09,293.00,301.50,290.65,300.10,23850
2015-11-10,298.00,314.95,298.00,308.98,85898
2015-11-11,309.85,313.00,307.10,309.55,6526
2015-11-13,309.50,309.50,301.95,304.62,6696
2015-11-16,305.00,307.50,300.50,302.15,48162
2015-11-17,304.00,314.45,298.55,311.18,60736
2015-11-18,308.07,311.55,305.05,307.52,22628
2015-11-19,305.27,308.50,303.50,304.07,21616
2015-11-20,306.52,307.50,304.52,306.43,11970
2015-11-23,304.65,307.50,303.05,305.18,104322
2015-11-24,303.02,322.50,303.02,311.07,106626
2015-11-26,311.25,320.00,311.25,317.38,58804
2015-11-27,313.60,317.95,311.02,314.20,32328
2015-11-30,310.50,314.00,305.02,305.68,16026
2015-12-01,306.62,312.00,306.50,307.27,15094
2015-12-02,308.15,308.77,305.05,305.98,5978
2015-12-03,305.00,309.00,303.00,303.43,8412
2015-12-04,305.00,305.00,297.50,300.02,74192
2015-12-07,300.00,305.95,300.00,305.32,18912
2015-12-08,302.50,309.85,302.50,306.73,22258
2015-12-09,305.00,305.60,300.50,303.85,32568
2015-12-10,302.52,308.15,302.07,307.00,7374
2015-12-11,310.75,310.75,302.50,304.38,7182
2015-12-14,303.02,306.95,303.00,306.30,9428
2015-12-15,302.50,308.00,302.50,307.50,14692
2015-12-16,306.75,310.88,300.50,309.98,41958
2015-12-17,309.98,317.00,308.48,312.48,107820
2015-12-18,308.80,319.95,308.80,315.18,39934
2015-12-21,315.00,317.43,314.00,315.40,9546
2015-12-22,316.38,319.25,315.00,316.57,19270
2015-12-23,318.32,318.32,315.50,317.25,26954
2015-12-24,308.00,322.48,308.00,318.40,28134
2015-12-28,316.00,320.00,314.00,319.32,93078
2015-12-29,319.50,332.50,318.00,328.85,119422
2015-12-30,330.02,334.20,325.40,328.15,44820
2015-12-31,327.02,331.45,325.00,329.98,100946
2016-01-01,327.80,334.98,327.18,330.02,26468
2016-01-04,321.25,329.95,320.00,327.35,29052
2016-01-05,329.23,333.30,325.00,330.12,27536
2016-01-06,328.77,338.50,328.25,330.07,29486
2016-01-07,327.52,331.00,325.55,330.10,30658
2016-01-08,334.50,334.50,330.00,331.15,12932
2016-01-11,327.00,347.50,326.00,343.30,63510
2016-01-12,341.00,351.10,335.00,338.00,53068
2016-01-13,341.88,344.00,299.45,333.68,186242
2016-01-14,329.35,329.98,319.50,324.93,58442
2016-01-15,327.50,331.48,313.52,323.43,45738
2016-01-18,306.55,314.55,289.50,291.05,32420
2016-01-19,280.07,302.00,280.07,298.77,5646
2016-01-20,287.50,298.48,286.00,287.40,14400
2016-01-21,299.50,302.50,294.98,301.02,10758
2016-01-22,303.00,315.00,301.00,308.23,9762
2016-01-25,313.95,319.00,304.00,305.18,11168
2016-01-27,311.00,311.00,303.27,304.12,4532
2016-01-28,302.00,307.50,297.50,298.35,1800
2016-01-29,300.68,302.50,294.00,295.45,24764
2016-02-01,300.00,303.25,298.50,299.70,6896
2016-02-02,302.50,303.50,291.60,294.90,7158
2016-02-03,291.07,296.50,289.95,291.38,2508
2016-02-04,295.77,297.43,290.50,292.57,2758
2016-02-05,293.00,295.02,288.00,293.73,5344
2016-02-08,291.77,299.23,290.00,292.12,6298
2016-02-09,290.62,293.98,290.55,291.77,960
2016-02-10,290.68,290.68,288.50,288.80,3392
2016-02-11,290.00,310.40,272.50,288.52,9192
2016-02-12,282.52,282.52,274.00,277.12,4668
2016-02-15,292.50,294.00,279.00,280.60,17792
2016-02-16,283.00,319.50,273.05,275.23,11800
2016-02-17,282.48,284.00,271.50,274.40,14266
2016-02-18,272.05,287.50,272.05,286.02,9870
2016-02-19,285.00,291.23,282.23,287.43,4832
2016-02-22,279.68,286.55,279.68,285.93,1840
2016-02-23,280.62,289.25,278.50,280.00,14166
2016-02-24,287.00,287.00,276.50,281.77,20796
2016-02-25,274.07,282.52,274.07,282.45,956
2016-02-26,282.50,287.52,280.00,286.27,4306
2016-02-29,280.57,288.43,280.00,287.50,3680
2016-03-01,284.50,288.30,275.07,286.88,153222
2016-03-02,291.00,291.25,281.50,285.00,221974
2016-03-03,283.55,287.00,283.55,285.38,1916
2016-03-04,288.38,292.00,283.02,285.30,4472
2016-03-08,286.27,286.32,283.00,283.27,5348
2016-03-09,277.50,285.00,277.50,280.27,2592
2016-03-10,281.07,289.00,281.00,288.45,5424
2016-03-11,283.48,289.40,283.48,288.65,104876
2016-03-14,286.82,287.50,281.00,281.75,51786
2016-03-15,282.80,285.00,280.55,282.15,11992
2016-03-16,279.50,284.38,279.50,282.65,16090
2016-03-17,282.50,287.50,280.00,280.80,2634
2016-03-18,285.00,285.00,280.50,283.30,2592
2016-03-21,282.27,285.00,282.25,284.02,7392
2016-03-22,282.57,285.50,281.88,283.40,2544
2016-03-23,282.73,283.88,279.98,280.80,4470
2016-03-28,281.02,295.00,273.50,283.25,22294
2016-03-29,283.77,283.77,275.25,276.90,5892
2016-03-30,276.50,288.25,276.50,284.43,8792
2016-03-31,279.23,283.50,279.00,279.55,3280
2016-04-01,283.48,289.95,281.12,289.30,7244
2016-04-04,289.93,297.43,289.02,296.48,1986
2016-04-05,295.88,299.48,287.50,288.00,8858
2016-04-06,288.52,291.23,288.05,288.77,1260
2016-04-07,289.82,290.20,287.50,287.95,1254
2016-04-08,289.93,291.00,285.82,288.20,766
2016-04-11,286.05,294.00,286.02,292.18,1408
2016-04-12,297.52,299.48,287.52,294.95,31400
2016-04-13,295.43,307.50,294.98,303.00,9598
2016-04-18,297.48,302.07,295.00,296.05,1266
2016-04-20,296.98,296.98,292.50,292.73,18980
2016-04-21,295.05,307.50,288.98,297.48,42394
2016-04-22,300.00,302.50,292.48,298.88,26570
2016-04-25,299.98,301.50,291.00,298.98,7528
2016-04-26,297.32,304.50,293.00,301.05,6234
2016-04-27,300.48,304.50,300.00,302.48,5606
2016-04-28,304.15,304.15,293.50,294.00,2250
2016-04-29,294.02,299.50,291.60,294.95,3598
2016-05-02,291.68,295.02,290.00,294.48,19634
2016-05-03,290.00,301.00,290.00,294.20,7374
2016-05-04,295.48,295.48,290.50,291.75,1158
2016-05-05,292.52,304.50,292.50,301.93,4450
2016-05-06,297.38,304.50,292.80,302.48,4422
2016-05-09,296.38,300.48,292.73,297.38,8762
2016-05-10,297.55,297.55,287.50,289.07,6550
2016-05-11,288.98,292.00,285.50,286.57,165254
2016-05-12,289.93,302.00,287.50,298.80,14630
2016-05-13,298.32,301.10,290.00,299.57,9810
2016-05-16,295.52,300.00,292.23,299.43,7034
2016-05-17,299.48,304.50,290.25,303.20,26270
2016-05-18,295.02,300.02,293.05,295.02,3194
2016-05-19,297.23,304.50,294.00,303.20,7978
2016-05-20,299.52,303.30,296.60,302.30,3272
2016-05-23,300.27,305.48,296.05,304.12,8070
2016-05-24,302.40,302.77,296.50,297.62,1024
2016-05-25,301.00,302.75,292.50,293.95,15246
2016-05-26,296.50,300.50,290.50,296.82,11964
2016-05-27,291.57,302.00,291.57,299.85,7948
2016-05-30,293.50,300.00,293.50,298.65,2108
2016-05-31,300.00,301.00,292.48,299.57,13764
2016-06-01,294.27,300.50,293.50,294.43,11842
2016-06-02,294.43,295.00,292.00,292.82,2370
2016-06-03,294.00,299.50,290.55,296.52,18308
2016-06-06,296.50,299.50,287.55,291.85,18988
2016-06-07,295.02,295.02,291.50,293.25,2242
2016-06-08,295.00,297.50,289.25,289.85,24812
2016-06-09,289.00,291.98,276.00,280.60,51636
2016-06-10,284.95,287.00,282.65,284.40,4086
2016-06-13,285.00,290.00,271.00,288.88,3518
2016-06-14,289.50,292.00,285.35,290.27,4084
2016-06-15,288.02,292.27,282.50,283.73,14644
2016-06-16,284.02,285.00,279.50,280.85,2130
2016-06-17,280.00,282.75,277.50,279.68,10946
2016-06-20,279.00,282.45,270.00,272.02,48546
2016-06-21,274.98,276.00,270.00,272.65,8150
2016-06-22,273.75,275.00,270.60,271.95,2860
2016-06-23,272.02,274.95,267.50,269.82,3344
2016-06-24,267.50,288.00,257.98,270.25,13096
2016-06-27,266.00,277.95,266.00,270.62,10234
2016-06-28,268.30,273.57,264.85,265.38,14842
2016-06-29,265.52,276.98,265.52,272.90,17770
2016-06-30,271.00,279.60,269.00,271.55,5100
2016-07-01,271.57,276.00,270.00,273.75,16216
2016-07-04,273.75,277.00,270.62,275.05,9372
2016-07-05,273.00,278.00,271.00,277.00,8244
2016-07-07,277.32,288.25,272.75,285.73,54756
2016-07-08,284.90,285.45,278.50,279.62,10312
2016-07-11,279.45,287.00,279.45,279.70,2918
2016-07-12,280.00,284.50,278.50,280.43,4366
2016-07-13,282.50,282.50,276.00,280.15,5226
2016-07-14,277.55,280.02,276.00,278.73,4950
2016-07-15,275.05,281.00,275.05,280.57,8372
