Date,Open,High,Low,Close,Volume
2024-09-03,990.00,994.55,802.10,839.90,58922092
2024-09-04,816.60,872.65,803.05,841.90,11523876
2024-09-05,856.10,1010.25,852.20,1004.80,36818046
2024-09-06,1010.00,1188.90,982.00,1096.05,44767796
2024-09-09,1120.00,1235.00,1105.00,1208.65,28659020
2024-09-10,1240.00,1267.95,1111.90,1173.70,22676122
2024-09-11,1154.20,1167.95,1082.65,1098.10,8804576
2024-09-12,1111.00,1157.70,1085.00,1132.50,8259315
2024-09-13,1142.90,1144.00,1096.45,1112.15,3507316
2024-09-16,1110.00,1124.00,1045.00,1109.85,5561217
2024-09-17,1104.50,1128.70,1082.65,1113.30,3828734
2024-09-18,1122.90,1148.60,1090.00,1134.85,3803064
2024-09-19,1145.00,1157.35,1075.00,1099.10,3699807
2024-09-20,1140.00,1140.00,1100.20,1109.20,1730908
2024-09-23,1116.00,1120.00,1080.00,1090.90,1625670
2024-09-24,1083.90,1087.85,1062.35,1077.10,1541568
2024-09-25,1070.30,1073.00,1024.00,1036.35,2041656
2024-09-26,1029.00,1086.35,1017.00,1049.35,3779481
2024-09-27,1035.10,1077.00,1032.00,1051.65,1876970
2024-09-30,1045.00,1091.00,1012.05,1082.90,4677852
2024-10-01,1080.00,1122.00,1068.15,1109.35,3881983
2024-10-03,1084.00,1093.65,1056.05,1080.45,3090856
2024-10-04,1066.00,1103.90,1030.30,1047.40,2277332
2024-10-07,1045.75,1059.20,977.70,997.20,2917540
2024-10-08,990.00,1022.00,973.00,1014.30,2846197
2024-10-09,1030.90,1087.80,1021.35,1079.05,4106614
2024-10-10,1085.00,1119.30,1069.00,1105.70,2442587
2024-10-11,1101.30,1119.00,1090.05,1107.40,1518596
2024-10-14,1120.00,1216.80,1120.00,1133.60,8088647
2024-10-15,1143.00,1166.60,1118.30,1148.25,2089567
2024-10-16,1135.00,1150.95,1125.70,1135.35,1369581
2024-10-17,1144.70,1144.70,1078.80,1084.10,1842194
2024-10-18,1076.00,1111.95,1055.10,1094.65,1676203
2024-10-21,1100.00,1106.00,1035.10,1042.30,1225626
2024-10-22,1048.90,1050.45,991.00,997.65,1319705
2024-10-23,1000.00,1034.80,991.75,998.85,1831265
2024-10-24,1014.95,1018.50,975.05,978.35,941634
2024-10-25,985.00,992.45,925.10,945.05,2223957
2024-10-28,952.85,982.00,922.85,960.25,2051338
2024-10-29,964.85,968.00,945.90,952.75,800779
2024-10-30,950.00,1019.70,948.15,1001.65,2344186
2024-10-31,1000.40,1034.40,998.05,1021.20,1803848
2024-11-01,1033.80,1090.00,1032.55,1075.95,1301411
2024-11-04,1103.35,1119.65,1045.00,1075.65,3707097
2024-11-05,1073.65,1185.00,1061.35,1168.15,7614525
2024-11-06,1200.00,1245.00,1170.00,1189.10,7807522
2024-11-07,1165.00,1176.95,1085.00,1093.10,3856973
2024-11-08,1101.65,1143.00,1083.05,1127.95,3522594
2024-11-11,1100.00,1100.00,1001.00,1040.60,7238299
2024-11-12,1045.80,1086.30,1024.70,1028.65,3596126
2024-11-13,1029.00,1049.95,975.05,982.70,2890543
2024-11-14,990.00,1009.20,957.10,968.95,2200387
2024-11-18,985.00,1097.90,969.45,1085.10,6860406
2024-11-19,1064.05,1137.90,1050.00,1093.80,5523677
2024-11-21,1081.00,1123.00,1067.65,1085.45,3480938
2024-11-22,1093.00,1109.90,1050.00,1061.40,2134800
2024-11-25,1087.00,1104.85,1052.20,1095.90,2663046
2024-11-26,1129.00,1137.00,1097.00,1100.85,2939791
2024-11-27,1111.00,1149.00,1093.10,1111.00,2506692
2024-11-28,1102.05,1168.80,1102.05,1137.45,5990868
2024-11-29,1142.75,1242.00,1125.00,1222.95,6446974
2024-12-02,1235.00,1278.00,1182.10,1243.70,7664138
2024-12-03,1246.00,1251.70,1195.00,1214.80,4478213
2024-12-04,1214.00,1296.00,1202.05,1284.60,6995299
2024-12-05,1302.00,1329.00,1259.00,1273.40,6023408
2024-12-06,1272.95,1304.10,1256.05,1263.75,3061584
2024-12-09,1267.60,1325.00,1265.05,1291.60,3827579
2024-12-10,1300.00,1334.85,1251.40,1281.30,4235642
2024-12-11,1290.00,1344.50,1290.00,1329.15,5097261
2024-12-12,1336.10,1348.90,1295.00,1307.35,3193266
2024-12-13,1307.00,1316.75,1264.00,1294.85,3163298
2024-12-16,1299.75,1381.00,1295.75,1373.50,5096000
2024-12-17,1373.00,1388.00,1320.00,1323.95,2517300
2024-12-18,1327.60,1333.30,1278.00,1290.50,2050792
2024-12-19,1259.00,1317.35,1252.10,1295.40,2151769
2024-12-20,1320.90,1355.05,1289.00,1296.40,3591672
2024-12-23,1312.40,1339.00,1284.80,1321.65,1909099
2024-12-24,1322.45,1338.50,1307.70,1320.20,1395348
2024-12-26,1328.80,1335.00,1274.80,1285.95,1910072
2024-12-27,1285.00,1324.80,1281.75,1310.35,1703857
2024-12-30,1310.50,1364.80,1297.50,1334.60,2341595
2024-12-31,1330.00,1360.05,1300.00,1353.10,1810356
2025-01-01,1357.00,1384.00,1325.00,1332.60,1609505
2025-01-02,1331.65,1341.60,1309.70,1327.80,1264813
2025-01-03,1336.00,1379.00,1317.30,1324.70,2433129
2025-01-06,1334.00,1339.00,1263.55,1274.75,1770229
2025-01-07,1280.00,1311.00,1271.25,1305.15,1112019
2025-01-08,1295.00,1304.90,1220.25,1255.65,1908335
2025-01-09,1252.00,1252.00,1201.15,1212.00,1242117
2025-01-10,1200.00,1209.80,1116.00,1127.10,2187068
2025-01-13,1115.00,1170.95,1090.55,1095.90,2321556
2025-01-14,1122.00,1137.30,1086.10,1116.00,1977483
2025-01-15,1166.10,1179.00,1126.65,1147.00,2772232
2025-01-16,1160.00,1183.50,1156.85,1170.45,1200386
2025-01-17,1169.10,1169.10,1134.25,1140.90,655244
2025-01-20,1148.00,1199.00,1145.05,1193.95,1358542
2025-01-21,1192.75,1212.00,1170.00,1176.05,1158878
2025-01-22,1180.00,1180.00,1023.10,1038.80,3153329
2025-01-23,1030.00,1056.35,1011.00,1036.45,3033184
2025-01-24,1042.00,1062.20,971.15,999.35,2155689
2025-01-27,971.10,991.30,925.80,932.40,2520932
2025-01-28,932.90,941.90,818.00,880.10,5966126
2025-01-29,890.25,945.75,880.35,939.20,4790205
2025-01-30,944.00,966.90,918.00,949.50,2235479
2025-01-31,997.95,1049.00,976.55,1032.05,5257280
2025-02-01,1040.00,1118.10,1039.00,1092.95,3756879
