Date,Open,High,Low,Close,Volume
2022-03-02,69.05,69.05,69.05,69.05,100
2022-03-03,72.50,72.50,72.50,72.50,3200
2022-03-04,76.10,76.10,75.10,76.10,22481
2022-03-07,78.90,78.90,72.30,73.30,20193
2022-03-08,76.95,76.95,70.80,72.35,25311
2022-03-09,75.90,75.90,70.25,75.40,5279
2022-03-10,79.15,79.15,73.55,78.40,23106
2022-03-11,82.30,82.30,75.40,78.05,7481
2022-03-14,81.90,81.90,75.30,78.00,15845
2022-03-15,81.80,81.80,77.00,77.80,9492
2022-03-16,78.00,80.70,75.50,76.85,7026
2022-03-17,76.85,79.80,75.30,77.15,11338
2022-03-21,80.00,80.00,74.75,77.05,106008
2022-03-22,79.95,80.00,75.75,77.50,178124
2022-03-23,79.00,79.00,74.15,74.65,60878
2022-03-24,75.55,76.40,72.85,75.15,114999
2022-03-25,77.70,77.70,71.40,71.60,59426
2022-03-28,71.90,71.90,68.05,68.05,18883
2022-03-29,65.75,68.00,64.65,65.40,22747
2022-03-30,68.60,68.65,62.15,64.40,21171
2022-03-31,63.00,66.60,62.25,63.20,18421
2022-04-01,66.30,66.30,63.05,66.30,3800
2022-04-04,69.60,69.60,64.30,69.60,10039
2022-04-05,69.60,72.25,66.30,71.50,6557
2022-04-06,72.90,72.90,68.50,68.95,7827
2022-04-07,70.00,71.90,65.05,70.00,2519
2022-04-08,75.00,75.00,66.50,67.55,7988
2022-04-11,67.00,72.10,64.00,66.20,17789
2022-04-12,65.95,69.55,65.95,67.35,4369
2022-04-13,67.00,69.00,66.60,67.95,16698
2022-04-18,62.95,70.55,62.95,67.25,1780
2022-04-19,73.00,73.95,67.95,72.55,132144
2022-04-20,76.95,78.50,73.55,77.00,95051
2022-04-21,78.90,79.00,76.20,78.80,55625
2022-04-22,80.80,80.80,76.35,78.20,18894
2022-04-25,77.00,79.00,72.45,73.90,18193
2022-04-26,76.70,76.85,68.00,71.35,12989
2022-04-27,67.50,73.65,67.50,72.55,8203
2022-04-28,76.70,76.70,69.65,74.45,9359
2022-04-29,74.40,76.85,73.90,74.50,16271
2022-05-02,75.05,75.05,72.80,74.05,3886
2022-05-04,74.05,74.30,68.05,72.80,38078
2022-05-05,72.75,72.75,69.45,70.25,2844
2022-05-06,68.60,72.10,66.25,72.10,2652
2022-05-09,74.00,74.00,65.25,66.95,9988
2022-05-10,71.95,71.95,64.30,66.55,6441
2022-05-11,65.35,68.90,64.40,65.95,5963
2022-05-12,65.00,67.50,61.85,62.65,5253
2022-05-13,66.55,66.80,63.90,64.45,20826
2022-05-16,67.00,67.05,65.00,66.10,8915
2022-05-17,67.45,72.70,66.10,72.25,37403
2022-05-18,73.85,78.90,73.75,75.45,56746
2022-05-19,72.50,77.50,70.90,76.70,23955
2022-05-20,76.65,84.00,74.20,83.45,68155
2022-05-23,87.50,87.60,85.90,87.60,67170
2022-05-24,91.95,91.95,84.20,86.00,74593
2022-05-25,82.05,87.35,81.70,81.70,18538
2022-05-26,77.70,79.95,77.65,77.95,56497
2022-05-27,79.85,79.85,74.10,74.10,15184
2022-05-30,76.00,76.35,71.10,71.80,23223
2022-05-31,75.35,75.35,70.05,74.85,22472
2022-06-01,76.35,78.55,76.35,78.55,51026
2022-06-02,82.45,82.45,80.20,82.45,26477
2022-06-03,86.55,86.55,82.00,84.75,65518
2022-06-06,88.95,88.95,86.45,88.95,59065
2022-06-07,91.80,95.00,89.00,92.90,65562
2022-06-08,95.00,97.15,85.15,91.65,44322
2022-06-09,94.00,94.00,88.10,90.25,37563
2022-06-10,88.20,90.90,85.60,88.45,30293
2022-06-13,85.50,87.40,83.30,84.05,30350
2022-06-14,81.60,92.45,81.60,92.45,81343
