Date,Open,High,Low,Close,Volume
2024-03-19,289.20,289.20,262.40,276.15,4518261
2024-03-20,274.85,289.20,272.00,284.75,1436097
2024-03-21,284.75,296.55,284.00,289.25,929477
2024-03-22,289.20,289.20,278.00,280.30,325177
2024-03-26,274.70,275.00,265.00,266.75,548007
2024-03-27,266.75,269.10,250.55,252.30,642494
2024-03-28,249.10,257.70,236.40,249.50,829618
2024-04-01,245.10,267.00,245.05,260.85,397069
2024-04-02,263.90,264.00,254.40,257.95,233541
2024-04-03,257.95,270.00,257.95,268.55,372232
2024-04-04,271.95,273.55,262.20,264.20,188437
2024-04-05,261.55,265.10,261.00,263.20,150861
2024-04-08,263.45,272.00,255.25,267.55,723166
2024-04-09,274.90,274.95,263.30,265.85,357000
2024-04-10,265.85,266.70,261.70,262.60,106269
2024-04-12,260.60,264.15,257.40,259.90,139721
2024-04-15,254.70,254.70,245.65,247.95,854607
2024-04-16,247.85,251.70,244.05,249.00,124334
2024-04-18,245.00,253.00,241.00,243.15,186453
2024-04-19,243.00,246.70,235.00,241.40,144665
2024-04-22,245.00,252.20,240.00,240.85,119395
2024-04-23,244.90,244.90,238.15,238.85,95096
2024-04-24,238.90,243.20,235.15,237.10,206399
2024-04-25,236.00,242.00,236.00,236.50,129429
2024-04-26,237.95,241.00,233.05,235.15,217517
2024-04-29,237.00,239.45,232.00,233.50,163083
2024-04-30,233.15,233.55,231.00,231.85,329780
2024-05-02,231.80,237.90,230.55,232.65,122729
2024-05-03,232.65,235.45,232.00,233.85,91876
2024-05-06,233.30,233.85,227.50,228.40,222181
2024-05-07,228.35,229.40,223.00,224.25,118288
2024-05-08,224.05,227.00,221.00,222.70,94508
2024-05-09,220.45,221.50,217.10,219.10,93294
2024-05-10,219.05,219.05,212.25,214.35,120544
2024-05-13,214.35,216.25,208.00,211.90,111590
2024-05-14,210.00,218.00,207.80,216.45,79772
2024-05-15,216.45,222.00,212.20,212.80,106494
2024-05-16,212.80,218.00,210.35,215.95,91421
2024-05-17,215.95,221.90,213.40,220.25,93306
