Date,Open,High,Low,Close,Volume
2012-03-15,24.50,25.75,23.40,25.60,62456
2012-03-16,26.00,26.85,26.00,26.85,41181
2012-03-19,27.85,28.15,26.35,28.10,59458
2012-03-20,28.20,28.70,27.40,27.85,68930
2012-03-21,28.10,28.10,27.10,27.15,17192
2012-03-22,26.90,27.00,25.85,26.15,23211
2012-03-23,26.75,26.80,25.80,26.55,18774
2012-03-26,26.90,27.25,26.50,26.90,39970
2012-03-27,26.95,26.95,25.75,26.80,3399
2012-03-28,26.05,27.00,23.80,25.00,36510
2012-03-29,25.00,25.95,25.00,25.10,40451
2012-03-30,25.95,26.50,25.65,26.00,12830
2012-04-02,24.55,26.80,24.55,25.60,20090
2012-04-03,25.55,26.05,25.45,25.45,16017
2012-04-04,23.50,25.25,23.50,24.95,12305
2012-04-09,24.00,24.85,24.00,24.15,20148
2012-04-10,24.05,24.25,23.60,24.05,141705
2012-04-11,23.80,24.45,23.80,24.45,3258
2012-04-12,24.50,24.50,24.00,24.00,14584
2012-04-13,23.30,24.00,22.85,23.20,54734
2012-04-16,23.00,23.90,23.00,23.30,31065
2012-04-17,25.55,26.50,23.05,25.80,64532
2012-04-18,26.00,28.00,26.00,27.55,69878
2012-04-19,28.10,33.05,26.85,32.90,463632
2012-04-20,33.25,36.00,31.05,32.80,641183
2012-04-23,32.95,34.20,31.20,33.15,101786
2012-04-24,30.50,34.65,30.50,32.90,49651
2012-04-25,32.35,32.75,29.65,31.30,54601
2012-04-26,31.40,32.50,30.60,31.45,52193
2012-04-27,31.00,32.80,30.60,32.50,78710
2012-04-30,32.05,34.20,32.00,33.70,71472
2012-05-02,33.00,35.90,33.00,34.75,212939
2012-05-03,34.30,35.00,34.00,34.45,75842
2012-05-04,33.00,34.55,32.55,32.95,121812
2012-05-07,36.20,36.20,33.65,34.10,749327
2012-05-08,33.25,34.90,32.85,34.50,115386
2012-05-09,35.15,36.15,33.75,34.40,86486
2012-05-10,34.05,35.80,34.00,35.00,100880
2012-05-11,35.50,35.55,34.70,35.05,35595
2012-05-14,35.60,35.60,34.30,34.85,59301
2012-05-15,34.15,34.70,34.00,34.05,11032
2012-05-16,34.00,34.95,33.55,33.95,15341
2012-05-17,33.75,34.40,33.00,33.00,70941
2012-05-18,32.30,33.50,32.30,32.90,67353
2012-05-21,33.90,34.10,32.35,32.45,18793
2012-05-22,32.15,33.40,32.15,32.80,27018
2012-05-23,33.25,33.25,32.00,32.30,75726
2012-05-24,32.50,32.55,32.00,32.00,71190
2012-05-25,32.00,32.00,31.50,31.75,35001
2012-05-28,33.50,33.60,32.25,33.40,51792
2012-05-29,33.55,33.60,32.55,32.55,18591
2012-05-30,32.00,32.50,31.00,31.30,22655
2012-05-31,31.05,32.70,31.00,31.30,17283
2012-06-01,33.70,33.70,31.00,32.20,56347
2012-06-04,30.70,34.00,30.70,33.55,87775
2012-06-05,33.00,33.90,32.40,32.65,22352
2012-06-06,33.00,34.50,32.60,33.40,37682
2012-06-07,33.75,33.75,32.00,33.50,56031
2012-06-08,36.00,36.40,33.00,36.00,108848
2012-06-11,36.10,38.30,36.10,37.55,153037
2012-06-12,36.50,38.40,36.50,38.00,82542
2012-06-13,36.50,37.75,36.50,36.75,17373
2012-06-14,38.00,38.40,36.80,38.00,110829
2012-06-15,37.50,38.45,37.50,38.10,66695
2012-06-18,38.60,38.60,37.75,38.25,23979
2012-06-19,38.95,39.50,37.55,39.00,72501
2012-06-20,40.00,40.00,37.80,38.00,209913
2012-06-21,38.00,39.00,37.60,38.35,49414
2012-06-22,36.50,38.55,36.00,37.90,33302
2012-06-25,37.65,37.90,36.75,36.95,17256
2012-06-26,36.65,37.30,36.65,37.05,10000
2012-06-27,38.70,38.70,36.45,37.00,12934
2012-06-28,37.25,37.25,36.75,36.80,23987
2012-06-29,37.00,37.45,36.60,36.70,14702
2012-07-02,35.85,37.35,35.70,35.95,52837
2012-07-03,35.60,35.90,34.00,34.60,96153
2012-07-04,33.75,34.40,32.70,33.80,131774
2012-07-05,33.05,34.50,33.05,34.25,30351
2012-07-06,34.15,36.20,34.10,35.00,62702
2012-07-09,33.00,34.00,32.20,32.55,116877
2012-07-10,33.00,35.05,32.55,33.00,186380
2012-07-11,32.75,33.50,32.60,32.80,22103
2012-07-12,32.40,33.25,32.40,32.80,26373
2012-07-13,33.00,33.00,32.35,32.60,29657
2012-07-16,32.50,32.85,32.05,32.45,19730
2012-07-17,31.60,33.50,31.60,31.65,31305
2012-07-18,32.70,32.70,31.50,32.00,7185
2012-07-19,32.40,32.40,31.70,31.70,43407
2012-07-20,32.00,32.15,31.70,31.95,33980
2012-07-23,31.90,32.00,31.25,31.25,2922
2012-07-24,31.15,32.00,31.10,31.30,8107
2012-07-25,31.10,31.75,30.65,31.05,9733
2012-07-26,31.95,31.95,30.25,31.35,42187
2012-07-27,32.65,32.65,31.00,31.00,5977
2012-07-30,31.00,31.50,29.50,30.95,56113
2012-07-31,29.25,30.05,29.00,30.00,30389
2012-08-01,29.30,31.90,29.30,30.95,11629
2012-08-02,30.00,31.60,30.00,31.60,4527
2012-08-03,31.45,31.90,30.10,31.00,8259
2012-08-06,30.75,32.15,30.75,31.70,24516
2012-08-07,30.65,31.00,30.60,30.60,5050
2012-08-08,32.45,32.45,30.50,31.25,16740
2012-08-09,30.30,30.45,30.05,30.45,5819
2012-08-10,30.15,30.25,30.05,30.25,8005
2012-08-13,30.05,30.75,30.00,30.50,16000
2012-08-14,30.50,30.50,30.00,30.00,14437
2012-08-16,30.10,30.15,30.00,30.15,15224
2012-08-17,30.10,30.75,30.00,30.00,10760
2012-08-21,30.00,30.05,30.00,30.00,1114
2012-08-22,30.00,30.30,30.00,30.00,15700
2012-08-23,30.00,30.50,29.05,29.05,5096
2012-08-24,29.15,30.95,28.70,30.35,36578
2012-08-27,29.40,30.50,29.35,30.50,31524
2012-08-28,29.80,30.00,29.70,30.00,6028
2012-08-29,31.30,31.30,29.45,29.95,9704
2012-08-30,32.90,32.90,29.00,29.50,18198
2012-08-31,29.60,29.90,29.50,29.50,1900
2012-09-03,29.55,29.60,29.10,29.35,4750
2012-09-04,29.95,30.00,28.75,28.75,6350
2012-09-05,28.40,29.05,28.35,29.05,10060
2012-09-06,28.05,29.00,28.05,28.75,15768
2012-09-07,32.95,32.95,28.10,28.55,7084
2012-09-10,28.35,29.45,28.35,28.40,7216
2012-09-11,28.05,28.95,28.05,28.35,4235
2012-09-12,29.00,30.80,27.80,29.00,8378
2012-09-13,29.00,33.90,29.00,32.05,171487
2012-09-14,32.50,33.00,29.80,29.85,79962
2012-09-17,30.50,30.50,29.25,29.25,19057
2012-09-18,30.00,30.50,29.15,29.15,80008
2012-09-20,28.55,30.00,28.55,29.00,25548
2012-09-21,28.85,29.25,28.75,29.20,31345
2012-09-24,28.75,29.70,28.75,29.20,22956
2012-09-25,29.05,29.45,29.00,29.25,5957
2012-09-26,29.50,30.75,29.25,29.30,7370
2012-09-27,29.55,30.00,29.15,29.50,8987
2012-09-28,30.45,30.45,29.00,29.45,38375
2012-10-01,31.45,31.45,29.35,29.75,2960
2012-10-03,31.20,31.20,29.30,29.50,11621
2012-10-04,29.50,31.00,29.35,29.90,54815
2012-10-05,31.45,33.90,29.55,29.65,47417
2012-10-08,30.90,31.20,29.90,30.50,64694
2012-10-09,30.95,31.45,30.55,30.80,55210
2012-10-10,31.20,31.20,30.00,30.20,98883
2012-10-11,30.40,30.95,29.25,29.75,57940
2012-10-12,30.45,33.70,29.95,33.70,175275
