Date,Open,High,Low,Close,Volume
2020-03-30,13.10,13.10,13.10,13.10,1924
2020-03-31,13.75,13.75,13.75,13.75,1917
2020-04-01,14.40,14.40,14.40,14.40,1312
2020-04-03,15.10,15.10,15.10,15.10,387
2020-04-07,15.85,15.85,15.85,15.85,77
2020-04-08,16.60,16.60,16.60,16.60,317
2020-04-09,17.40,17.40,17.40,17.40,45
2020-04-13,18.25,18.25,18.25,18.25,100
2020-04-15,19.15,19.15,19.15,19.15,110
2020-04-16,21.05,21.05,21.05,21.05,631
2020-04-17,23.15,23.15,23.15,23.15,1920
2020-04-20,25.45,25.45,25.45,25.45,15
2020-04-21,26.70,26.70,26.70,26.70,793
2020-04-22,28.00,28.00,28.00,28.00,237
2020-04-23,29.40,29.40,29.40,29.40,2063
2020-04-24,30.85,30.85,30.80,30.85,3257
2020-04-27,32.35,32.35,32.35,32.35,877
2020-04-28,33.95,33.95,33.95,33.95,2092
2020-04-29,35.60,35.60,32.30,32.30,19724
2020-04-30,30.70,30.70,30.70,30.70,936
2020-05-04,29.20,29.20,29.20,29.20,687
2020-05-05,27.75,27.75,27.75,27.75,341
2020-05-06,26.40,26.40,26.40,26.40,518
2020-05-07,25.10,25.10,25.10,25.10,3162
2020-05-08,23.85,23.85,23.85,23.85,896
2020-05-11,22.70,22.70,22.70,22.70,180
2020-05-12,21.60,21.60,21.60,21.60,2312
2020-05-13,20.55,20.55,20.55,20.55,353
2020-05-14,19.55,19.55,19.55,19.55,2012
2020-05-15,18.60,18.60,18.60,18.60,1261
2020-05-18,17.70,17.70,17.70,17.70,1635
2020-05-19,16.85,16.85,16.85,16.85,293
2020-05-20,16.05,16.05,16.05,16.05,761
2020-05-21,15.25,15.25,15.25,15.25,1616
2020-05-22,14.50,14.50,14.50,14.50,1571
2020-05-26,13.80,15.20,13.80,15.20,8285
2020-05-27,15.95,15.95,15.90,15.95,6465
2020-05-28,16.70,16.70,16.70,16.70,4600
2020-05-29,17.50,17.50,17.45,17.50,6681
2020-06-01,18.35,18.35,16.65,17.95,5468
2020-06-02,18.75,18.75,17.10,18.20,6251
2020-06-03,18.90,18.90,17.60,17.80,4487
2020-06-04,17.00,18.65,16.95,18.25,2231
2020-06-05,19.15,19.15,17.70,17.90,5408
2020-06-08,17.10,18.70,17.10,18.50,4587
2020-06-09,18.50,18.50,17.60,18.35,2665
2020-06-10,17.50,18.50,17.45,18.15,2845
2020-06-11,19.05,19.05,17.25,17.30,1873
2020-06-12,17.00,17.40,16.50,17.40,2350
2020-06-15,16.65,18.10,16.55,16.55,3644
2020-06-16,15.80,17.00,15.75,16.30,1562
2020-06-17,16.00,17.00,16.00,16.50,1048
2020-06-18,15.70,16.95,15.70,16.00,1014
2020-06-19,16.80,16.80,16.00,16.45,2161
2020-06-22,16.50,16.55,15.65,16.25,3378
2020-06-23,15.55,16.45,15.50,16.15,1368
2020-06-24,16.90,16.90,15.50,16.75,3192
2020-06-25,16.70,16.70,16.00,16.00,1670
2020-06-26,16.45,16.45,15.50,16.35,808
2020-06-29,17.00,17.00,15.55,16.50,3280
2020-06-30,16.10,16.20,15.75,15.75,1730
2020-07-01,15.75,16.25,15.00,15.00,2484
2020-07-02,14.25,15.75,14.25,15.10,5719
2020-07-03,14.35,15.85,14.35,15.85,4139
2020-07-06,16.50,16.50,15.25,15.50,888
2020-07-07,15.30,15.30,14.75,15.20,3743
2020-07-08,15.75,15.75,14.45,14.45,3408
2020-07-09,14.35,15.15,13.75,14.30,5613
2020-07-10,13.60,15.00,13.60,15.00,4034
2020-07-13,15.75,15.75,14.90,15.70,4888
2020-07-14,15.75,15.75,14.95,15.00,2072
2020-07-15,14.25,15.60,14.25,15.60,4891
2020-07-16,15.10,15.60,14.85,15.00,1098
2020-07-17,14.65,15.50,14.30,15.50,645
2020-07-20,16.20,16.20,14.90,15.10,3335
2020-07-21,14.35,15.80,14.35,15.75,287
2020-07-22,15.00,15.75,15.00,15.00,1681
2020-07-23,14.30,15.75,14.25,15.70,3788
2020-07-24,16.20,16.20,14.95,15.90,1242
2020-07-27,16.30,16.30,15.15,15.15,99
2020-07-28,15.05,15.90,14.40,15.80,2394
2020-07-29,15.05,15.05,15.05,15.05,130
2020-07-30,14.35,14.35,14.30,14.30,2016
2020-07-31,14.30,14.30,13.75,13.80,323
2020-08-03,13.75,13.75,13.25,13.25,28
2020-08-04,13.25,13.25,13.25,13.25,489
2020-08-05,13.90,13.90,13.90,13.90,200
2020-08-06,14.50,14.55,14.20,14.55,504
2020-08-07,15.00,15.00,14.75,15.00,420
