Date,Open,High,Low,Close,Volume
2013-07-23,258.66,258.66,245.73,257.68,788168
2013-07-24,254.20,254.20,241.72,241.72,217242
2013-07-25,236.36,236.36,229.63,229.63,39336
2013-07-26,218.17,218.17,218.17,218.17,62943
2013-07-29,207.82,208.85,207.29,207.29,444016
2013-07-30,196.94,196.94,196.94,196.94,16304
2013-07-31,187.13,187.13,187.13,187.13,43916
2013-08-01,172.72,190.83,172.72,180.26,1652576
2013-08-02,179.28,186.68,173.44,183.07,475941
2013-08-05,189.09,189.09,177.50,184.63,271958
2013-08-06,181.96,181.96,165.99,180.62,443552
2013-08-07,176.60,182.54,170.14,174.55,876817
2013-08-08,172.23,177.41,172.23,174.87,989954
2013-08-12,181.51,181.51,170.36,170.36,411826
2013-08-13,172.41,175.71,167.77,169.87,1042303
2013-08-14,169.65,184.63,167.69,180.71,677594
2013-08-16,181.96,181.96,164.25,169.91,525845
2013-08-19,162.51,172.68,162.51,170.58,199105
2013-08-20,169.42,171.88,161.00,171.16,813773
2013-08-21,170.36,175.44,166.17,171.25,150608
2013-08-22,169.91,174.82,166.12,173.93,209335
2013-08-23,175.62,190.61,171.48,187.80,308931
2013-08-26,181.06,189.89,179.46,180.17,234412
2013-08-27,181.96,181.96,166.17,168.58,575183
2013-08-28,170.23,170.23,158.01,163.94,648854
2013-08-29,166.79,175.71,157.87,171.34,606432
2013-08-30,169.47,182.76,163.40,177.50,954741
2013-09-02,175.71,179.41,169.87,171.48,165067
2013-09-03,172.59,179.10,163.23,170.09,508472
2013-09-04,167.95,172.59,164.16,169.47,100981
2013-09-05,176.56,182.58,170.36,180.98,239099
2013-09-06,179.90,189.00,178.83,183.74,167341
2013-09-10,182.45,195.20,182.45,190.43,254664
2013-09-11,193.11,193.11,187.53,190.25,102800
2013-09-12,193.55,193.55,183.12,183.70,114525
2013-09-13,185.35,188.16,178.75,186.68,174348
2013-09-16,188.20,189.14,181.15,188.91,134406
2013-09-17,182.18,187.31,182.18,184.63,35622
2013-09-18,187.08,188.07,178.61,180.13,160372
