Date,Open,High,Low,Close,Volume
2024-03-19,46.70,46.70,44.40,44.40,1746582
2024-03-20,42.20,42.20,42.20,42.20,694857
2024-03-21,40.10,40.10,40.10,40.10,588654
2024-03-22,38.10,38.10,38.10,38.10,808838
2024-03-26,36.20,36.20,36.20,36.20,963027
2024-03-27,36.00,38.00,36.00,38.00,9146555
2024-03-28,39.90,39.90,39.90,39.90,511075
2024-04-01,41.85,41.85,41.85,41.85,213164
2024-04-02,43.90,43.90,43.90,43.90,304383
2024-04-03,46.05,46.05,46.05,46.05,279117
2024-04-04,49.00,55.25,48.35,55.25,23536387
2024-04-05,60.00,66.30,60.00,65.65,37768092
2024-04-08,65.45,69.40,63.25,65.45,11799548
2024-04-09,66.60,67.25,59.65,62.15,5680775
2024-04-10,61.95,64.00,57.35,59.05,4354890
2024-04-12,59.60,63.00,59.50,61.60,4048574
2024-04-15,59.00,62.60,55.70,60.20,3448266
2024-04-16,59.10,62.00,59.00,60.60,2525006
2024-04-18,60.95,62.25,58.50,59.65,2200804
2024-04-19,58.50,60.20,57.70,59.65,2013964
2024-04-22,60.80,61.20,59.40,60.50,1709006
2024-04-23,61.45,61.65,59.40,59.70,2048250
2024-04-24,59.85,65.65,59.10,65.65,7523798
2024-04-25,66.40,72.20,66.00,72.20,9553306
2024-04-26,74.80,77.85,73.20,75.05,11840800
2024-04-29,76.45,77.00,70.15,72.75,6124503
2024-04-30,70.05,72.40,67.30,68.45,6573157
2024-05-02,69.40,70.45,67.25,68.20,2920993
2024-05-03,70.90,70.95,68.25,69.20,2045445
2024-05-06,69.70,70.20,64.60,66.05,2329164
2024-05-07,66.00,66.30,63.15,64.00,2349005
2024-05-08,63.95,67.15,62.50,65.35,2276797
2024-05-09,65.60,66.45,62.10,62.80,1515568
2024-05-10,63.00,63.70,60.50,62.85,1243427
2024-05-13,63.60,63.75,60.00,61.50,1513603
2024-05-14,63.00,67.65,62.30,67.65,3232936
2024-05-15,69.05,71.20,67.85,68.60,4502003
2024-05-16,69.40,69.60,67.85,68.90,1608625
2024-05-17,69.05,73.35,68.30,69.90,4020570
2024-05-18,71.30,71.95,70.05,70.25,421458
2024-05-21,70.30,70.80,68.60,68.95,1827962
2024-05-22,69.00,69.70,66.85,68.30,1383020
2024-05-23,68.70,72.80,68.05,69.30,3735014
2024-05-24,69.15,71.25,69.00,69.30,2430686
2024-05-27,69.90,75.80,69.30,70.25,7969890
2024-05-28,70.40,70.90,68.10,68.70,2467403
2024-05-29,68.05,70.20,67.15,68.15,1861103
2024-05-30,68.05,68.75,65.00,66.20,2425247
2024-05-31,67.00,67.25,64.60,66.70,2180475
2024-06-03,73.00,73.35,69.15,69.75,3637464
2024-06-04,69.80,69.80,62.80,62.80,4648739
2024-06-05,59.80,65.20,56.75,63.85,3364211
2024-06-06,66.00,66.75,64.65,65.20,1130914
2024-06-07,66.20,70.60,65.70,68.35,2793398
2024-06-10,69.29,69.40,66.00,66.44,1662667
2024-06-11,66.98,69.00,66.70,67.78,2190657
2024-06-12,71.95,74.50,69.61,70.15,5701108
2024-06-13,71.00,71.49,69.51,69.68,1888728
2024-06-14,69.68,70.95,69.12,69.87,4993894
2024-06-18,70.00,82.90,68.75,77.49,33675667
2024-06-19,78.33,78.45,74.50,74.93,6087701
2024-06-20,75.50,80.55,74.05,79.26,12070391
2024-06-21,81.00,88.90,80.80,82.19,18061911
2024-06-24,82.50,84.85,79.19,81.79,7218326
2024-06-25,82.30,85.65,81.12,81.93,5307030
2024-06-26,82.35,83.85,80.81,82.28,3996924
2024-06-27,82.45,86.20,80.32,81.61,5860756
2024-06-28,82.08,82.45,79.41,81.21,2979289
2024-07-01,81.45,83.90,80.42,82.67,4461918
2024-07-02,83.22,85.25,82.55,83.07,7450620
2024-07-03,83.60,85.98,83.36,83.98,4099621
2024-07-04,84.70,85.36,83.11,83.40,2421629
2024-07-05,83.65,90.00,82.80,86.10,16648100
2024-07-08,86.87,92.00,86.87,89.05,9196674
2024-07-09,90.79,91.39,87.14,88.42,3661676
2024-07-10,88.69,88.94,84.02,85.86,4596545
2024-07-11,86.70,102.47,86.50,98.69,41943820
2024-07-12,100.00,108.55,100.00,101.26,24429628
2024-07-15,103.50,104.99,96.62,101.19,8462621
2024-07-16,101.21,104.30,100.55,101.88,5745309
2024-07-18,101.99,102.10,98.05,98.51,4350134
2024-07-19,98.60,98.98,92.50,93.23,6066301
2024-07-22,92.39,101.00,91.17,100.05,9006728
2024-07-23,101.29,101.80,91.19,96.40,8686964
2024-07-24,96.30,100.20,96.01,98.12,3545136
2024-07-25,96.02,106.50,96.00,100.27,10700021
2024-07-26,101.00,103.10,99.42,100.91,3578803
2024-07-29,101.89,104.67,99.80,101.16,5546151
2024-07-30,101.25,107.50,100.80,103.26,10575846
2024-07-31,103.99,104.80,101.65,102.70,2948468
2024-08-01,103.69,103.89,98.24,99.11,3300749
2024-08-02,97.00,100.70,96.50,98.93,3465253
2024-08-05,93.99,95.79,90.71,92.02,5150165
2024-08-06,93.49,95.99,89.25,90.09,3804131
2024-08-07,93.00,93.90,90.48,93.19,2208819
2024-08-08,93.67,93.69,91.00,91.22,1722131
2024-08-09,92.99,93.39,91.00,92.41,1482696
2024-08-12,92.54,96.95,91.12,94.22,4709653
2024-08-13,95.40,95.40,91.70,92.60,1697256
2024-08-14,92.60,93.20,90.10,90.58,1419706
2024-08-16,92.70,92.71,90.76,91.19,1004291
2024-08-19,91.50,93.22,89.60,89.91,1368867
2024-08-20,90.50,91.58,87.01,87.83,1924033
2024-08-21,88.19,91.50,87.85,90.53,2314190
2024-08-22,90.53,91.07,89.10,89.36,992402
2024-08-23,89.59,90.00,87.81,88.31,1859266
2024-08-26,88.86,90.70,88.01,88.45,1308642
2024-08-27,88.00,89.50,87.77,88.74,1276232
2024-08-28,89.70,89.70,87.80,88.03,1006767
2024-08-29,88.03,88.25,86.02,86.43,1247031
2024-08-30,86.30,87.79,85.42,85.94,1028673
2024-09-02,86.00,87.24,84.51,84.92,1204833
2024-09-03,85.00,88.09,84.30,84.60,1874328
2024-09-04,83.95,83.95,81.10,81.72,2125094
2024-09-05,82.14,83.59,82.00,82.23,775505
2024-09-06,81.52,82.16,79.32,79.60,1328018
2024-09-09,79.51,79.60,77.35,78.36,1385525
