Date,Open,High,Low,Close,Volume
2025-01-13,172.00,182.00,161.00,163.28,45302299
2025-01-14,167.50,173.30,157.15,166.02,15156194
2025-01-15,167.50,199.22,161.50,199.22,40725167
2025-01-16,208.17,213.80,194.65,199.45,32836850
2025-01-17,197.00,202.80,188.10,190.41,12398644
2025-01-20,190.00,193.42,175.65,177.18,9294054
2025-01-21,177.70,185.10,172.16,174.57,7001953
2025-01-22,175.71,176.69,163.01,170.86,5673369
2025-01-23,171.01,174.24,168.50,170.63,3359018
2025-01-24,170.80,171.19,161.50,164.60,3121943
2025-01-27,161.00,167.60,156.61,166.11,3876208
2025-01-28,166.96,167.95,160.00,164.25,2427170
2025-01-29,163.60,177.73,162.30,172.81,4527849
2025-01-30,173.00,175.90,168.25,169.64,1485986
2025-01-31,170.00,172.92,166.96,168.52,1202981
2025-02-01,169.00,170.55,153.70,160.76,1920071
2025-02-03,156.60,160.00,154.61,158.19,846575
2025-02-04,160.00,165.99,159.99,160.95,1681349
2025-02-05,163.25,166.80,162.09,163.64,1119678
2025-02-06,164.00,175.97,164.00,173.68,3743372
2025-02-07,173.05,179.88,169.40,172.79,2646999
2025-02-10,165.26,172.19,163.12,168.13,1738193
2025-02-11,169.00,169.00,158.25,160.29,1460626
2025-02-12,161.59,161.91,153.19,157.15,2097432
2025-02-13,158.00,160.18,151.00,151.48,1360948
2025-02-14,153.16,153.64,142.53,143.41,1965314
2025-02-17,142.70,145.90,135.25,136.27,1529835
2025-02-18,139.00,139.54,131.15,132.30,1147099
2025-02-19,132.46,137.40,129.61,134.48,1201546
2025-02-20,135.03,137.31,132.71,135.99,1064460
2025-02-21,136.20,140.77,134.31,135.08,841421
2025-02-24,134.00,136.33,130.10,135.37,589693
2025-02-25,136.72,137.48,132.01,132.74,470124
2025-02-27,136.25,136.59,130.00,131.23,651183
2025-02-28,130.02,131.23,126.75,130.10,638075
2025-03-03,131.90,131.90,124.10,126.97,1431379
2025-03-04,124.00,128.01,124.00,126.32,435270
2025-03-05,127.15,129.51,125.50,126.03,798542
2025-03-06,128.00,137.70,126.00,135.00,2060901
2025-03-07,136.40,140.02,135.07,136.11,959145
2025-03-10,135.50,152.00,135.50,144.98,4368428
2025-03-11,142.10,144.97,138.39,140.24,1111318
2025-03-12,143.00,149.40,141.64,147.61,2287865
2025-03-13,148.84,151.00,137.66,138.70,1816196
2025-03-17,139.70,144.50,137.85,142.50,1392038
2025-03-18,144.00,146.40,142.62,145.43,765000
2025-03-19,147.60,155.50,147.09,152.58,2121802
2025-03-20,154.50,156.05,150.51,152.85,1265365
2025-03-21,154.69,158.78,153.30,155.19,1248415
2025-03-24,155.90,157.79,151.41,153.56,837227
2025-03-25,153.99,155.09,143.70,145.35,1111203
2025-03-26,145.98,148.19,141.15,143.68,892234
2025-03-27,143.10,150.99,142.00,150.11,1402848
2025-03-28,152.00,152.38,143.99,146.82,598699
2025-04-01,144.90,154.61,144.02,151.48,593565
2025-04-02,151.48,154.00,148.60,152.97,433943
2025-04-03,150.10,162.69,150.10,157.53,2222358
2025-04-04,157.00,157.05,148.15,153.19,1287112
2025-04-07,135.00,145.02,135.00,143.74,1014641
2025-04-08,150.00,150.00,144.86,147.70,607826
2025-04-09,145.16,145.89,133.51,134.46,3450301
2025-04-11,139.50,139.80,134.60,136.13,1058137
2025-04-15,138.05,142.16,138.05,140.88,1285572
2025-04-16,141.40,145.30,139.91,142.23,955048
2025-04-17,142.00,144.57,140.92,141.62,451290
2025-04-21,142.09,148.20,142.09,147.77,1095206
2025-04-22,145.00,149.80,145.00,147.72,725465
2025-04-23,148.48,150.00,145.00,148.40,674570
2025-04-24,148.99,151.00,146.50,147.82,548698
2025-04-25,148.90,148.90,140.48,142.45,853766
2025-04-28,142.90,143.70,140.00,142.72,353567
2025-04-29,142.20,144.74,142.00,142.61,434509
2025-04-30,142.61,143.77,136.60,138.48,525404
2025-05-02,139.80,139.80,136.01,136.85,312065
2025-05-05,136.99,139.38,135.65,138.17,278966
2025-05-06,138.07,139.18,130.30,133.73,578959
2025-05-07,131.00,134.29,130.30,132.69,345267
2025-05-08,132.99,136.07,131.00,133.17,399924
2025-05-09,128.00,132.94,128.00,131.25,307806
2025-05-12,135.90,149.50,135.89,148.63,1902508
2025-05-13,147.00,154.20,145.01,152.64,1226910
2025-05-14,155.00,162.66,154.94,159.96,1896982
2025-05-15,164.01,164.85,159.96,162.46,962516
2025-05-16,164.51,169.90,162.00,166.88,1230619
2025-05-19,168.44,180.90,168.44,176.88,2753706
2025-05-20,177.38,181.00,173.47,174.81,1937485
2025-05-21,172.00,175.96,170.01,170.76,593991
2025-05-22,170.89,174.11,168.08,171.06,479426
2025-05-23,172.22,174.01,167.00,169.16,576714
2025-05-26,162.00,183.69,162.00,179.01,3067905
2025-05-27,180.24,183.80,177.00,178.33,1200646
2025-05-28,179.97,183.95,176.51,177.65,902158
2025-05-29,179.00,193.00,177.97,191.04,5140994
2025-05-30,191.04,191.66,182.10,184.01,1050383
2025-06-02,184.01,184.61,175.65,176.55,899005
2025-06-03,177.10,193.95,176.47,190.24,4111075
2025-06-04,191.00,192.00,184.00,189.21,2683353
2025-06-05,190.90,194.50,186.00,189.23,2213214
2025-06-06,189.95,190.70,185.40,186.53,678126
2025-06-09,188.90,198.44,187.99,195.19,4499756
2025-06-10,195.51,197.84,188.01,189.44,1650453
2025-06-11,190.19,192.01,177.98,180.24,2246044
2025-06-12,180.20,182.00,175.00,176.25,786090
2025-06-13,170.00,175.55,169.10,171.36,991933
2025-06-16,172.21,173.87,166.00,170.81,698780
2025-06-17,169.00,172.90,167.05,167.64,159299
2025-06-18,168.00,171.20,165.00,168.83,170154
2025-06-19,168.90,169.85,164.00,164.55,218835
2025-06-20,165.10,170.50,164.00,169.55,156696
2025-06-23,168.70,169.00,163.10,167.63,94271
2025-06-24,169.20,174.00,168.00,169.14,179289
2025-06-25,171.14,175.00,169.14,174.15,191606
2025-06-26,173.28,174.13,170.05,170.39,81871
2025-06-27,173.00,174.80,170.39,171.05,124950
2025-06-30,171.80,172.90,168.00,169.02,104500
2025-07-01,172.00,172.00,168.10,169.09,99062
2025-07-02,169.50,173.60,167.50,170.65,175976
2025-07-03,172.45,172.45,169.10,169.86,75625
2025-07-04,171.85,171.85,164.00,169.66,107305
2025-07-07,168.01,170.05,167.05,167.57,65453
2025-07-08,168.40,169.80,165.05,167.90,79188
2025-07-09,167.00,173.50,167.00,172.49,115861
2025-07-10,172.48,173.21,171.00,172.42,95047
2025-07-11,173.25,181.04,171.00,180.69,372203
2025-07-14,185.00,185.99,180.00,185.22,361604
2025-07-15,187.50,187.90,181.50,185.22,216402
2025-07-16,185.20,187.00,181.65,184.37,213020
2025-07-17,185.00,188.00,181.00,185.40,133674
2025-07-18,185.40,188.00,181.00,184.02,130050
2025-07-21,184.94,187.50,174.81,182.82,196486
2025-07-22,179.45,182.80,178.00,178.52,136240
2025-07-23,181.00,185.00,175.00,179.58,202297
2025-07-24,181.48,182.00,175.00,177.91,110220
2025-07-25,180.39,180.39,174.00,174.52,79721
2025-07-28,172.99,181.00,167.00,176.76,229318
2025-07-29,173.00,185.59,173.00,184.87,282719
2025-07-30,185.90,189.90,185.00,186.93,270298
2025-07-31,177.60,188.00,177.60,185.38,130537
2025-08-01,185.38,187.90,180.00,185.16,234826
2025-08-04,186.00,192.00,180.10,187.25,411644
2025-08-05,187.00,187.49,178.20,180.04,202625
2025-08-06,172.11,178.00,172.00,172.36,194154
2025-08-07,172.91,175.00,165.00,166.30,263558
2025-08-08,167.00,171.90,162.50,164.09,221938
2025-08-11,171.80,172.20,164.00,165.85,184891
2025-08-12,166.00,169.70,157.55,162.98,304565
2025-08-13,162.29,164.11,160.60,161.67,425198
2025-08-14,162.44,167.00,160.85,162.02,204294
2025-08-18,165.50,169.00,163.00,167.57,118690
2025-08-19,169.60,175.65,167.57,175.36,279722
2025-08-20,177.00,184.00,177.00,182.81,307831
2025-08-21,186.50,187.00,182.81,185.55,295426
2025-08-22,185.75,185.75,180.00,181.06,183282
2025-08-25,182.10,185.00,180.01,182.48,120639
2025-08-26,181.57,182.99,178.00,179.01,63778
2025-08-28,175.50,185.00,175.50,182.21,181661
2025-08-29,181.49,182.90,178.00,178.60,55866
2025-09-01,178.75,181.70,177.00,178.82,97235
2025-09-02,180.55,185.25,177.00,182.35,128832
2025-09-03,182.35,185.44,182.00,183.57,130560
2025-09-04,186.30,190.00,185.00,185.26,126617
2025-09-05,185.10,186.02,182.00,184.62,102623
2025-09-08,185.00,189.99,185.00,188.88,317925
2025-09-09,190.00,191.00,180.10,184.20,315585
2025-09-10,184.00,192.00,184.00,187.37,426020
2025-09-11,188.70,189.55,185.00,187.63,197458
2025-09-12,188.39,188.39,182.20,183.15,221850
2025-09-15,186.48,191.50,184.31,188.24,260928
2025-09-16,190.89,197.65,187.60,195.44,1464393
2025-09-17,199.00,203.95,194.40,197.14,1167426
2025-09-18,197.83,199.21,192.00,193.08,431224
2025-09-19,193.98,199.70,192.21,194.22,346975
2025-09-22,194.97,199.16,191.00,192.37,338023
2025-09-23,193.00,193.57,188.00,188.54,293908
2025-09-24,189.50,189.50,184.00,184.69,276949
2025-09-25,184.00,185.75,180.00,181.17,201121
2025-09-26,180.00,181.40,175.50,176.50,266016
2025-09-29,180.49,181.98,173.41,176.33,267191
2025-09-30,177.30,177.42,171.00,172.88,404893
2025-10-01,172.88,181.52,172.88,181.19,329595
2025-10-03,181.52,187.10,180.37,185.93,286207
2025-10-06,185.99,187.75,181.00,183.38,232015
2025-10-07,183.97,185.00,175.00,177.69,695219
2025-10-08,181.48,182.76,178.88,180.97,243188
2025-10-09,183.70,183.70,177.45,178.60,141938
2025-10-10,177.80,180.07,177.48,178.00,140476
2025-10-13,178.00,180.88,174.25,178.55,336676
2025-10-14,178.60,179.85,175.05,176.50,246938
2025-10-15,176.02,177.75,174.80,177.05,209156
2025-10-16,179.90,182.50,177.00,178.01,225080
2025-10-17,179.00,179.00,173.00,174.34,170963
2025-10-20,174.95,178.49,173.61,176.49,155338
2025-10-21,177.95,182.49,177.94,181.73,103307
2025-10-23,183.80,183.80,178.40,179.50,185823
2025-10-24,181.94,181.94,178.50,179.30,111325
2025-10-27,180.30,182.65,178.10,178.91,139352
2025-10-28,180.00,180.50,177.75,178.38,131646
2025-10-29,180.00,184.16,177.15,183.29,197162
2025-10-30,183.49,189.00,181.51,184.56,302211
2025-10-31,185.84,186.98,180.11,182.16,161447
2025-11-03,184.00,185.36,181.05,182.38,204804
2025-11-04,183.00,184.99,176.50,178.16,193129
2025-11-06,178.16,178.97,167.41,168.81,679921
2025-11-07,172.80,172.80,165.87,169.82,299433
2025-11-10,170.66,172.70,162.60,163.78,356484
2025-11-11,166.34,169.90,163.58,167.32,186545
2025-11-12,169.88,171.80,167.03,170.41,189822
2025-11-13,170.90,172.03,166.00,167.33,186589
2025-11-14,167.33,170.38,166.86,168.82,148834
2025-11-17,168.00,171.00,158.70,167.04,409215
2025-11-18,166.97,167.95,165.00,166.08,108470
2025-11-19,166.08,168.50,163.00,166.41,145686
2025-11-20,164.15,170.00,164.05,164.81,189663
2025-11-21,165.63,167.01,161.21,162.13,175039
2025-11-24,162.60,162.78,158.00,158.86,162013
2025-11-25,160.00,162.00,158.45,159.07,95965
2025-11-26,159.95,163.79,158.73,161.57,116216
2025-11-27,161.57,163.72,160.81,162.00,67850
2025-11-28,162.00,163.88,159.31,160.37,91175
2025-12-01,160.40,162.99,155.10,157.57,195634
2025-12-02,159.80,159.80,155.00,157.61,180486
2025-12-03,156.06,157.59,154.51,155.44,114245
2025-12-04,156.90,156.90,152.35,152.58,84445
2025-12-05,153.35,156.00,152.00,154.84,110049
2025-12-08,154.84,155.48,147.26,149.74,215557
2025-12-09,150.85,154.90,143.99,151.87,241620
2025-12-10,151.21,154.97,150.00,151.28,86415
2025-12-11,151.28,157.00,148.81,153.11,337679
2025-12-12,154.33,157.48,153.75,156.68,130341
2025-12-15,156.48,159.46,154.13,155.34,199397
2025-12-16,157.65,157.65,153.00,153.37,145578
2025-12-17,154.10,155.74,149.50,151.43,202806
2025-12-18,152.00,153.43,148.00,148.40,242259
2025-12-19,148.49,150.99,145.00,146.83,315397
2025-12-22,148.01,150.97,146.50,149.18,376454
2025-12-23,149.20,155.50,149.18,153.72,238467
2025-12-24,154.48,155.20,147.50,148.63,271296
2025-12-26,149.80,151.98,148.00,149.26,176275
2025-12-29,150.00,150.93,142.50,145.07,503025
2025-12-30,144.05,149.97,144.05,148.70,315635
2025-12-31,147.50,152.88,146.99,150.29,223950
2026-01-01,152.00,152.75,149.00,149.87,143984
2026-01-02,149.87,151.60,147.50,149.83,244646
2026-01-05,151.00,152.08,143.05,144.67,469036
2026-01-06,145.05,145.88,140.45,141.26,361263
2026-01-07,141.95,144.90,139.75,143.39,227006
2026-01-08,144.00,144.02,138.50,139.77,204658
2026-01-09,139.00,140.04,137.11,138.16,228903
2026-01-12,137.35,140.67,134.00,139.44,259302
2026-01-13,139.98,141.24,136.31,138.39,120861
2026-01-14,138.50,140.87,135.78,135.98,164090
2026-01-16,135.98,138.66,135.78,137.32,114262
2026-01-19,135.20,137.00,134.20,134.76,109296
2026-01-20,134.00,135.01,127.00,130.03,330712
2026-01-21,125.60,129.10,120.35,122.50,596978
2026-01-22,125.00,127.00,122.42,125.36,221715
2026-01-23,125.40,126.89,120.80,121.48,183881
2026-01-27,123.50,124.20,111.00,112.21,849002
2026-01-28,113.00,119.13,113.00,117.28,641054
2026-01-29,116.98,119.53,113.00,114.83,364636
2026-01-30,114.50,117.14,110.81,115.53,654572
2026-02-01,115.00,119.68,113.22,117.12,171048
2026-02-02,117.46,117.54,110.17,113.44,376897
2026-02-03,118.00,124.23,116.96,122.26,514366
2026-02-04,124.00,127.60,122.14,126.57,205983
2026-02-05,127.00,129.00,118.11,119.56,415664
2026-02-06,122.00,127.71,120.50,123.08,549951
2026-02-09,124.56,134.50,121.50,133.79,614231
2026-02-10,134.35,141.75,134.00,138.50,397871
2026-02-11,137.85,140.15,133.51,134.89,328552
2026-02-12,134.10,134.49,132.02,133.20,147984
2026-02-13,133.00,134.19,129.51,131.41,185070
2026-02-16,131.41,132.67,126.25,129.37,140230
2026-02-17,127.95,132.22,127.70,130.92,152316
2026-02-18,131.45,133.99,130.50,132.13,135800
2026-02-19,130.83,132.60,125.35,127.22,1228692
2026-02-20,125.44,128.08,125.44,127.04,124170
2026-02-23,127.31,129.37,124.74,126.19,149030
2026-02-24,125.20,126.12,122.51,124.05,143318
2026-02-25,124.04,126.53,121.26,122.43,110372
2026-02-26,122.15,125.37,121.62,122.74,120140
2026-02-27,123.00,125.97,121.70,124.75,146613
2026-03-02,116.92,127.00,116.00,122.50,322275
2026-03-04,119.00,122.00,117.11,119.14,160644
2026-03-05,119.05,121.00,116.41,118.87,185530
2026-03-06,120.70,125.19,119.03,121.59,472118
2026-03-09,119.00,119.00,116.50,118.08,186781
2026-03-10,118.66,124.60,118.18,123.17,522201
2026-03-11,124.40,127.88,121.99,122.71,214392
2026-03-12,122.59,125.02,119.70,121.86,114212
2026-03-13,120.03,121.86,115.00,116.11,249383
2026-03-16,116.11,118.45,112.51,114.98,218240
2026-03-17,115.94,118.26,114.21,115.89,159081
2026-03-18,116.50,121.00,116.50,118.75,229639
2026-03-19,116.10,119.07,115.00,116.06,295610
2026-03-20,116.06,120.51,116.06,116.81,222573
2026-03-23,116.81,116.81,110.00,110.45,273753
2026-03-24,115.64,121.00,112.42,116.29,370287
2026-03-25,116.50,120.25,114.15,115.85,275527
2026-03-27,115.84,115.84,109.00,110.04,639033
2026-03-30,110.00,110.93,104.56,105.65,2477008
2026-04-01,109.80,123.00,107.00,121.40,650642
2026-04-02,118.21,128.69,115.51,126.84,384143
2026-04-06,128.74,128.74,123.00,126.15,213562
2026-04-07,126.00,128.19,124.00,126.67,141852
2026-04-08,143.12,143.12,131.30,134.08,372932
2026-04-09,134.75,135.59,131.71,132.50,182760
2026-04-10,133.50,135.00,131.61,132.98,197058
2026-04-13,130.00,133.47,126.99,131.98,150500
2026-04-15,136.00,136.00,133.37,134.29,138947
2026-04-16,134.49,136.89,133.52,135.09,107832
2026-04-17,135.95,138.24,134.55,135.53,238189
2026-04-20,136.00,138.00,133.33,137.07,160373
2026-04-21,136.12,139.00,136.00,137.33,188736
2026-04-22,137.30,138.88,135.62,137.76,125611
2026-04-23,138.32,140.99,136.50,137.29,212777
2026-04-24,139.00,140.19,135.12,138.20,131977
2026-04-27,140.00,140.00,136.43,137.03,148745
2026-04-28,137.03,144.00,137.00,141.72,252435
