Date,Open,High,Low,Close,Volume
2020-10-07,84.70,84.70,82.55,83.05,11121
2020-10-08,81.35,81.35,78.90,78.90,85736
2020-10-09,82.55,82.55,79.00,79.95,7489
2020-10-12,80.00,80.00,79.00,79.00,12502
2020-10-13,79.00,79.60,79.00,79.00,525
2020-10-14,79.95,79.95,79.00,79.00,1904
2020-10-15,79.00,79.00,78.00,78.00,4500
2020-10-16,80.00,80.00,78.00,78.05,3050
2020-10-19,78.00,78.50,78.00,78.50,5008
2020-10-20,78.00,79.50,78.00,78.05,3768
2020-10-21,78.05,78.05,78.00,78.05,7615
2020-10-22,78.50,78.95,78.00,78.90,4511
2020-10-23,78.00,78.00,78.00,78.00,2005
2020-10-26,79.95,79.95,78.00,78.50,4607
2020-10-27,78.00,78.75,78.00,78.00,791
2020-10-28,78.00,78.00,78.00,78.00,2001
2020-10-29,81.55,81.55,78.00,78.00,21
2020-10-30,78.00,78.00,78.00,78.00,4052
2020-11-02,78.00,78.00,77.00,77.00,4003
2020-11-03,77.00,78.00,76.00,78.00,6001
2020-11-04,79.50,79.50,79.50,79.50,1
2020-11-05,78.00,78.00,77.00,77.00,4670
2020-11-06,79.50,79.50,77.00,77.00,2411
2020-11-09,78.00,78.00,78.00,78.00,808
2020-11-10,79.95,79.95,77.00,77.30,7635
2020-11-11,77.00,80.00,77.00,77.00,2712
2020-11-12,77.90,79.95,77.00,79.95,2102
2020-11-13,77.00,81.00,77.00,79.50,109
2020-11-14,79.95,79.95,77.00,78.05,155
2020-11-17,77.00,80.95,77.00,78.05,3142
2020-11-18,79.95,79.95,77.00,79.00,2121
2020-11-19,78.25,78.25,77.00,77.10,4059
2020-11-20,77.00,79.40,77.00,78.00,537
2020-11-23,77.00,78.95,77.00,77.00,4050
2020-11-24,77.00,79.50,76.90,76.90,4351
2020-11-25,77.00,77.00,75.00,75.00,8272
2020-11-26,75.00,75.00,71.30,72.05,15447
2020-11-27,72.00,75.45,70.00,70.95,23337
2020-12-01,70.00,74.40,70.00,73.00,5038
2020-12-02,73.00,76.65,73.00,74.00,1822
2020-12-03,77.70,77.70,72.00,72.15,6597
2020-12-04,74.00,75.60,73.00,74.65,11532
2020-12-07,75.55,76.00,73.50,76.00,1335
2020-12-08,79.80,79.80,73.55,74.05,3487
2020-12-09,77.70,77.70,74.00,75.95,5236
2020-12-10,77.00,77.50,72.20,76.00,3586
2020-12-11,78.70,78.70,76.00,76.00,4925
2020-12-14,76.00,77.45,74.00,74.00,7750
2020-12-15,75.00,76.00,74.00,74.70,12137
2020-12-16,76.00,77.00,68.00,76.90,5848
2020-12-17,76.90,80.00,75.05,79.00,15083
2020-12-18,76.60,84.00,76.50,81.00,3679
2020-12-21,85.25,88.00,77.15,77.50,3128
2020-12-22,83.25,83.25,78.00,78.20,2864
2020-12-23,78.05,80.85,72.30,78.50,10000
2020-12-24,83.00,83.00,77.00,80.95,3792
2020-12-28,84.25,84.25,79.10,80.50,5917
2020-12-29,83.40,83.40,78.20,79.45,4231
2020-12-30,78.30,81.00,78.25,79.10,7180
2020-12-31,81.40,81.90,78.35,79.75,1133
2021-01-01,78.30,81.90,78.00,79.90,728
2021-01-04,78.05,82.70,78.00,78.20,5350
2021-01-05,82.50,82.50,78.15,78.95,1096
2021-01-06,82.40,82.40,78.00,81.50,11887
2021-01-07,81.50,81.50,78.00,78.10,2664
2021-01-08,83.00,83.00,78.10,79.20,1026
2021-01-11,81.55,81.90,78.30,78.75,331
2021-01-12,80.35,81.15,78.00,78.05,13137
2021-01-13,78.45,85.85,78.00,83.20,35713
2021-01-14,86.80,86.80,78.20,81.10,8852
2021-01-15,81.00,84.00,78.50,79.20,2058
2021-01-18,82.80,82.80,78.00,78.05,3185
2021-01-19,80.40,80.70,78.55,79.95,1248
2021-01-20,81.00,81.65,79.00,80.00,3009
2021-01-21,79.05,81.55,78.00,78.05,1923
2021-01-22,78.95,82.95,78.65,82.00,2494
2021-01-25,78.10,85.00,78.10,82.70,8851
2021-01-27,84.95,84.95,78.50,79.70,366
2021-01-28,78.50,83.00,78.50,82.25,1880
2021-01-29,79.80,84.25,79.80,83.85,9081
2021-02-01,85.50,85.50,82.40,84.70,1144
2021-02-02,87.55,91.75,82.25,90.05,48482
2021-02-03,89.60,93.40,88.30,91.10,11446
2021-02-04,87.30,93.35,87.30,89.90,10166
2021-02-05,89.95,94.05,88.00,90.10,11034
2021-02-08,93.60,93.75,89.20,89.50,10950
2021-02-09,95.00,95.00,89.15,89.25,5619
2021-02-10,90.65,91.85,89.00,89.00,4005
2021-02-11,91.30,91.80,89.00,90.45,9506
2021-02-12,90.00,90.45,90.00,90.30,1589
2021-02-15,90.40,94.90,89.00,89.85,4701
2021-02-16,90.00,99.45,90.00,90.15,8333
2021-02-17,90.50,98.00,90.40,91.55,3439
2021-02-18,91.15,94.50,91.00,91.00,5252
2021-02-19,99.00,99.00,91.00,93.15,6092
2021-02-22,93.40,93.70,91.00,91.00,5315
2021-02-23,91.50,94.50,91.00,91.00,533
2021-02-24,91.50,94.40,90.00,90.10,4084
2021-02-25,91.10,93.90,90.00,90.00,4295
2021-02-26,91.25,93.70,89.00,89.35,4365
2021-03-01,90.15,92.40,88.25,89.65,6872
2021-03-02,91.15,95.10,88.25,88.40,10898
2021-03-03,99.00,99.00,87.00,88.90,6998
2021-03-04,88.05,93.60,87.00,87.00,6607
2021-03-05,87.45,93.00,87.00,89.00,14239
2021-03-08,89.00,98.95,89.00,89.00,2561
2021-03-09,88.40,92.55,88.00,88.00,3407
2021-03-10,87.50,91.00,87.50,88.20,1401
2021-03-12,89.30,93.70,88.10,88.80,1172
2021-03-15,94.50,94.50,88.00,88.85,629
2021-03-16,88.00,90.30,87.15,87.50,466
2021-03-17,88.05,91.05,85.15,87.00,2739
2021-03-18,93.35,93.35,87.00,87.00,1217
2021-03-19,92.30,92.95,83.45,87.00,2242
2021-03-22,86.95,91.30,86.00,86.00,425
2021-03-23,85.50,90.00,85.50,88.90,1299
2021-03-24,85.00,89.30,84.75,86.40,1621
2021-03-25,84.70,86.55,82.05,82.05,332
2021-03-26,80.15,97.20,76.65,83.80,43321
2021-03-30,88.40,88.40,75.00,80.00,2667
2021-03-31,80.25,83.40,77.40,80.00,4061
2021-04-01,78.00,95.90,78.00,83.50,33276
2021-04-05,88.30,88.30,78.25,80.00,19221
2021-04-06,81.25,88.00,80.00,82.10,2361
2021-04-07,83.05,84.00,77.15,80.85,2782
2021-04-08,77.30,84.00,77.30,81.00,502
2021-04-09,80.60,83.70,79.10,83.55,5281
2021-04-12,79.30,82.60,74.70,77.35,900
2021-04-13,75.55,83.40,75.55,77.60,1480
2021-04-15,77.95,83.55,77.95,80.00,21670
2021-04-16,79.50,83.00,65.65,72.05,43719
2021-04-19,74.00,78.90,74.00,77.95,5498
2021-04-20,91.00,91.00,78.00,79.50,49635
2021-04-22,82.00,82.95,78.10,79.45,6950
2021-04-23,78.50,81.60,77.65,79.10,2871
2021-04-26,81.35,82.55,76.10,76.20,1940
2021-04-27,78.25,78.80,76.20,76.70,2819
