Date,Open,High,Low,Close,Volume
2022-12-22,361.00,363.30,328.30,331.20,8073301
2022-12-23,332.00,347.95,307.00,310.75,3349650
2022-12-26,314.95,344.90,305.35,333.95,1879896
2022-12-27,336.00,342.65,327.05,333.90,750441
2022-12-28,330.00,336.50,328.10,330.35,482005
2022-12-29,327.25,332.00,322.05,323.15,454189
2022-12-30,327.00,334.45,323.55,331.65,556587
2023-01-02,335.70,336.80,328.00,328.80,210331
2023-01-03,329.00,332.00,324.30,325.15,173290
2023-01-04,326.40,328.00,322.05,323.05,153944
2023-01-05,324.85,326.00,316.60,318.65,190479
2023-01-06,318.65,323.95,317.00,322.05,246791
2023-01-09,323.95,328.80,320.50,326.30,235361
2023-01-10,326.50,332.00,324.10,330.10,362755
2023-01-11,331.00,335.90,328.20,331.30,258605
2023-01-12,331.85,333.00,323.30,324.90,89635
2023-01-13,324.90,328.55,323.10,325.40,95235
2023-01-16,340.00,388.00,336.10,373.20,12024012
2023-01-17,380.05,394.00,372.35,379.40,8085176
2023-01-18,378.50,429.90,367.40,404.95,8343309
2023-01-19,407.40,429.00,407.00,420.40,7559249
2023-01-20,420.00,431.90,413.25,423.35,3458187
2023-01-23,424.00,432.40,411.00,426.25,1590153
2023-01-24,426.25,427.20,397.00,399.10,1056324
2023-01-25,399.85,400.75,382.00,394.15,843692
2023-01-27,394.15,401.50,372.00,379.15,881831
2023-01-30,379.10,389.80,370.00,377.80,343035
2023-01-31,382.95,385.05,373.50,378.15,226275
2023-02-01,382.00,383.85,360.15,363.80,432835
2023-02-02,362.10,375.00,356.10,358.65,314065
2023-02-03,362.10,369.40,351.20,364.10,319926
2023-02-06,365.00,373.00,357.00,366.90,290484
2023-02-07,368.00,374.25,357.00,359.10,316618
2023-02-08,359.00,382.50,356.20,377.65,948262
2023-02-09,379.85,406.50,377.00,398.20,1484851
2023-02-10,409.40,428.40,402.80,410.00,3469074
2023-02-13,412.95,412.95,382.65,388.00,765434
2023-02-14,388.00,398.95,382.35,385.50,562626
2023-02-15,386.00,397.45,381.50,394.90,593123
2023-02-16,395.95,402.70,385.00,389.15,382864
2023-02-17,388.00,394.20,383.00,386.50,247711
2023-02-20,385.05,392.00,382.00,383.85,251765
2023-02-21,385.00,387.45,367.00,369.25,327369
2023-02-22,368.90,372.95,352.05,354.80,509225
2023-02-23,355.00,363.20,354.80,359.30,313466
2023-02-24,360.00,365.05,352.00,353.50,222963
2023-02-27,353.50,354.65,340.50,343.20,260134
2023-02-28,344.00,354.25,343.50,351.50,289807
2023-03-01,350.00,361.25,349.20,356.35,189466
2023-03-02,356.40,357.90,352.20,353.50,112887
2023-03-03,354.05,363.20,354.05,361.20,187605
2023-03-06,363.50,379.80,363.00,366.00,498836
2023-03-08,362.95,365.00,358.00,361.05,217282
2023-03-09,360.00,368.00,356.50,358.70,207759
2023-03-10,355.50,359.80,345.00,353.70,266631
2023-03-13,349.00,352.00,343.10,344.90,225899
2023-03-14,346.60,350.00,341.20,344.40,139500
2023-03-15,350.00,351.95,341.50,344.05,98406
2023-03-16,344.00,344.05,334.00,340.65,154088
2023-03-17,344.00,352.85,343.00,349.85,253116
2023-03-20,353.95,357.00,326.35,330.35,986260
2023-03-21,332.00,343.70,328.20,339.60,448157
2023-03-22,350.00,371.15,348.35,354.10,3087300
2023-03-23,351.00,362.00,349.05,358.35,895100
2023-03-24,358.00,361.40,351.20,359.25,386483
2023-03-27,362.80,362.80,346.05,355.70,404635
2023-03-28,355.70,360.95,348.35,358.60,418605
2023-03-29,359.70,365.75,356.20,361.75,410562
2023-03-31,363.35,368.30,359.10,366.65,371050
2023-04-03,367.00,376.25,362.10,373.65,481523
2023-04-05,373.05,373.60,362.20,363.40,291006
2023-04-06,363.90,365.20,358.00,358.60,188559
2023-04-10,359.40,364.45,356.25,360.65,174677
2023-04-11,360.00,360.80,350.65,352.20,356270
2023-04-12,375.05,394.30,366.50,384.50,7547397
2023-04-13,384.60,396.75,372.85,389.75,2022220
2023-04-17,385.00,388.70,380.30,382.30,479884
2023-04-18,382.95,385.35,371.50,374.90,338892
2023-04-19,375.75,386.40,374.20,383.35,561215
2023-04-20,386.95,409.00,383.60,387.00,2567561
2023-04-21,389.70,393.80,377.00,382.35,527601
2023-04-24,382.90,386.90,376.45,381.00,372638
2023-04-25,381.15,389.90,376.10,378.70,440704
2023-04-26,378.80,385.70,376.50,384.00,330492
2023-04-27,385.00,387.75,378.85,379.75,246106
2023-04-28,380.95,386.50,380.95,384.95,304166
2023-05-02,388.95,404.95,386.50,388.60,927152
2023-05-03,391.90,406.00,390.55,399.45,1261582
2023-05-04,402.00,414.90,388.55,390.15,2401523
2023-05-05,393.50,413.70,391.25,393.30,1574072
2023-05-08,396.45,403.95,395.20,401.25,517728
2023-05-09,406.40,439.45,403.00,433.30,3992534
2023-05-10,436.90,438.95,420.75,430.50,1604182
2023-05-11,433.00,446.45,427.50,438.20,1695267
2023-05-12,438.20,449.00,433.00,442.25,1034082
2023-05-15,437.75,456.80,431.10,433.30,1408158
2023-05-16,433.90,444.00,425.00,428.20,860515
2023-05-17,427.70,432.95,421.60,426.35,430779
2023-05-18,428.50,433.95,411.25,416.25,467238
2023-05-19,413.05,424.20,410.30,412.20,588627
2023-05-22,413.80,417.15,407.80,409.00,581020
2023-05-23,410.40,413.40,403.95,408.40,350266
2023-05-24,406.50,412.45,395.10,397.30,597811
2023-05-25,397.30,410.25,397.25,407.55,472891
2023-05-26,408.40,411.85,403.45,408.60,315065
2023-05-29,409.90,410.55,402.05,403.80,239894
2023-05-30,405.00,421.05,402.15,418.90,794349
2023-05-31,418.90,425.60,415.70,423.35,575311
2023-06-01,423.00,444.00,422.40,441.30,1720205
2023-06-02,443.50,448.40,430.30,431.75,718410
2023-06-05,434.00,438.90,426.00,427.35,502078
2023-06-06,422.30,429.15,421.20,423.95,263459
2023-06-07,426.25,433.45,424.30,429.15,307564
2023-06-08,431.50,441.40,425.00,432.95,520145
2023-06-09,434.50,474.90,432.05,458.40,4913525
2023-06-12,460.00,463.00,446.00,450.75,918651
2023-06-13,450.20,453.90,444.00,449.25,723601
2023-06-14,449.75,466.35,449.75,460.15,918043
2023-06-15,460.15,481.80,455.50,468.15,1943087
2023-06-16,470.80,475.00,462.40,464.30,526328
2023-06-19,463.00,467.05,453.30,456.50,487212
2023-06-20,461.10,471.00,458.50,468.80,534827
2023-06-21,470.85,479.40,466.50,469.60,661476
2023-06-22,473.80,490.00,462.05,469.40,1517795
2023-06-23,471.00,475.85,461.00,466.30,562571
2023-06-26,469.00,470.60,460.60,462.95,265856
2023-06-27,465.55,466.50,460.00,460.70,229316
2023-06-28,463.10,464.35,455.60,459.30,224145
2023-06-30,459.95,463.70,450.10,457.50,234302
2023-07-03,461.95,468.25,442.55,446.10,654354
2023-07-04,445.00,450.40,439.05,444.20,558741
2023-07-05,446.20,446.35,437.00,438.30,485790
2023-07-06,438.00,454.45,435.55,449.05,635749
2023-07-07,450.00,450.85,439.05,445.00,641207
2023-07-10,463.00,472.80,452.00,463.25,1624898
2023-07-11,467.00,484.90,466.00,481.05,1333997
2023-07-12,483.60,498.25,474.05,491.90,866101
2023-07-13,493.95,497.50,474.00,480.50,511717
2023-07-14,483.00,486.85,475.00,479.65,306501
2023-07-17,480.00,486.20,476.00,477.90,229567
2023-07-18,481.00,487.00,474.05,475.85,290599
2023-07-19,475.85,479.50,471.05,475.60,246709
2023-07-20,477.00,481.75,472.20,472.90,217824
2023-07-21,471.55,492.70,470.65,481.90,741661
2023-07-24,485.00,488.95,481.00,482.60,294434
2023-07-25,484.90,487.30,478.00,481.10,186283
2023-07-26,482.15,485.45,478.85,481.60,180574
2023-07-27,481.60,484.40,477.00,480.55,181017
2023-07-28,484.50,508.80,474.05,491.75,1011703
2023-07-31,493.95,527.00,488.15,521.75,1840555
2023-08-01,525.00,535.00,512.55,516.35,697497
2023-08-02,495.00,497.90,472.55,475.30,2188027
2023-08-03,470.00,479.35,464.10,475.50,782711
2023-08-04,478.00,483.00,472.60,479.55,486001
2023-08-07,484.95,493.95,482.70,485.20,494088
2023-08-08,487.80,493.10,482.05,488.05,303454
2023-08-09,489.10,496.40,489.10,494.55,416701
2023-08-10,497.95,508.90,488.00,490.75,810661
2023-08-11,492.00,508.70,490.25,499.95,835256
2023-08-14,499.65,499.65,490.20,491.85,231367
2023-08-16,493.00,496.60,488.05,493.15,150961
2023-08-17,494.00,498.25,486.95,489.05,210412
2023-08-18,505.00,509.90,492.00,494.95,927378
2023-08-21,497.95,498.40,489.25,494.65,662020
2023-08-22,495.70,508.40,489.00,507.25,731582
2023-08-23,502.00,516.65,495.05,510.40,615305
2023-08-24,514.00,515.95,505.50,513.00,435768
2023-08-25,510.00,521.65,505.90,507.70,524211
2023-08-28,509.45,513.10,503.55,506.45,208970
2023-08-29,506.00,513.00,504.35,511.95,304035
2023-08-30,511.95,514.40,507.00,508.70,245207
2023-08-31,490.00,498.90,484.00,489.50,15157494
2023-09-01,498.70,498.70,490.00,491.85,773600
2023-09-04,490.00,493.00,482.20,484.20,1705438
2023-09-05,485.45,489.40,482.00,484.50,894465
2023-09-06,485.50,488.70,484.00,486.20,502781
2023-09-07,489.80,489.80,476.40,477.75,942756
2023-09-08,480.00,480.00,466.25,468.85,1156064
2023-09-11,469.00,485.95,469.00,483.50,726359
2023-09-12,485.00,485.90,465.65,476.70,548124
2023-09-13,482.95,482.95,470.00,472.50,207461
2023-09-14,477.25,479.00,472.30,476.20,293244
2023-09-15,479.85,485.80,476.20,484.85,490133
2023-09-18,485.00,486.90,477.85,478.65,168162
2023-09-20,479.40,484.25,475.00,479.90,203164
2023-09-21,477.00,486.00,473.50,475.25,307767
2023-09-22,477.35,480.25,471.05,473.90,259155
2023-09-25,474.15,478.65,465.00,465.95,193410
2023-09-26,466.95,470.90,465.95,468.90,116575
2023-09-27,470.50,472.00,464.30,465.25,118500
2023-09-28,465.25,473.55,464.00,465.10,240319
2023-09-29,466.00,469.45,460.00,464.45,268041
2023-10-03,464.95,483.70,463.60,481.05,427969
2023-10-04,481.05,481.70,469.20,472.40,171998
2023-10-05,475.25,477.55,470.00,474.20,170146
2023-10-06,476.95,476.95,464.40,467.85,605645
2023-10-09,465.35,467.70,459.00,464.15,298111
2023-10-10,468.00,472.50,462.65,466.00,151784
2023-10-11,468.65,473.40,465.05,466.55,767752
2023-10-12,477.80,485.00,471.00,477.45,933435
2023-10-13,478.50,482.45,474.35,477.80,230625
2023-10-16,477.80,482.50,473.20,475.00,167777
2023-10-17,477.00,479.65,475.35,476.80,104875
2023-10-18,478.95,492.30,472.15,485.85,529285
2023-10-19,484.00,490.00,478.00,489.05,391081
2023-10-20,489.05,490.95,477.50,479.95,283202
2023-10-23,480.00,481.10,461.30,463.85,257845
2023-10-25,465.00,479.35,458.00,466.25,323036
2023-10-26,465.00,465.00,447.00,457.35,265277
2023-10-27,461.75,471.00,461.05,469.15,146145
2023-10-30,471.00,472.20,463.25,469.15,107820
2023-10-31,471.30,475.00,465.05,467.35,92545
2023-11-01,467.35,471.90,465.00,467.40,107460
2023-11-02,469.90,474.70,465.15,469.15,103915
2023-11-03,471.50,478.05,468.00,474.45,146289
2023-11-06,477.95,481.00,474.45,477.20,95490
2023-11-07,480.50,481.50,473.90,475.85,142686
2023-11-08,476.00,488.20,472.05,483.80,301049
2023-11-09,485.00,488.05,480.05,482.55,171822
2023-11-10,488.00,494.00,482.00,484.00,365601
2023-11-12,489.65,490.00,485.90,488.25,106961
2023-11-13,488.00,488.85,483.95,485.70,117543
2023-11-15,490.00,491.55,486.00,487.95,187346
2023-11-16,489.95,493.95,475.10,478.45,291570
2023-11-17,479.00,487.00,478.40,484.60,164871
2023-11-20,486.95,492.00,482.30,484.55,263273
2023-11-21,487.75,487.75,481.80,484.05,157413
2023-11-22,485.00,485.50,477.80,481.20,157843
2023-11-23,483.65,485.00,479.00,481.45,124990
2023-11-24,480.50,485.00,479.00,480.20,126662
2023-11-28,480.20,483.50,459.00,460.75,965148
2023-11-29,467.00,468.40,454.65,460.25,825194
2023-11-30,463.65,466.50,462.05,464.30,342037
2023-12-01,468.00,472.50,463.55,470.50,272330
2023-12-04,475.00,477.40,469.05,470.50,310156
2023-12-05,471.00,475.00,469.45,472.35,222032
2023-12-06,471.10,475.00,469.75,470.20,178305
2023-12-07,470.20,473.85,467.30,470.75,220864
2023-12-08,472.00,475.00,464.00,464.45,350616
2023-12-11,466.00,471.55,465.95,467.10,218758
2023-12-12,469.00,474.00,466.00,467.70,230605
2023-12-13,471.40,471.40,466.80,469.55,211959
2023-12-14,472.00,472.90,461.35,465.50,253854
2023-12-15,467.75,480.00,466.45,474.50,477464
2023-12-18,479.90,480.00,470.60,475.50,281737
2023-12-19,477.00,477.00,471.50,472.55,132267
2023-12-20,476.90,476.90,457.60,459.35,246409
2023-12-21,459.00,472.30,452.55,470.30,390562
2023-12-22,470.00,474.55,467.00,470.60,155871
2023-12-26,469.50,482.00,469.00,479.80,409830
2023-12-27,480.00,481.05,469.75,475.55,390176
2023-12-28,485.05,512.00,478.80,497.90,3890662
2023-12-29,501.95,512.90,492.00,498.50,1300042
2024-01-01,500.40,508.70,493.75,496.00,609500
2024-01-02,500.00,501.60,485.25,490.60,620488
2024-01-03,490.45,502.00,489.20,497.70,404773
2024-01-04,498.75,503.95,495.60,497.75,396446
2024-01-05,502.00,567.95,502.00,554.40,8604945
2024-01-08,585.00,665.25,583.20,662.05,16339597
2024-01-09,673.00,699.00,632.50,670.85,10695026
2024-01-10,661.55,681.00,641.55,648.60,1583170
2024-01-11,652.00,653.45,633.00,635.90,953546
2024-01-12,637.95,660.00,630.00,632.60,847147
2024-01-15,633.90,639.80,609.55,613.85,704800
2024-01-16,612.60,648.75,612.60,630.25,938744
2024-01-17,622.00,635.30,614.00,617.45,401708
2024-01-18,617.00,649.00,602.00,637.30,1309301
2024-01-19,640.70,645.00,630.00,633.30,340905
2024-01-20,633.90,633.90,622.00,623.05,225323
2024-01-23,626.80,657.85,626.75,635.50,1157792
2024-01-24,636.65,673.50,627.85,665.10,1488492
2024-01-25,668.45,676.30,650.00,656.90,831614
2024-01-29,660.20,670.45,649.95,655.70,707321
2024-01-30,661.35,674.50,646.05,648.60,509442
2024-01-31,648.00,692.00,648.00,663.30,1541588
2024-02-01,663.90,673.45,640.35,646.50,587173
2024-02-02,649.75,654.60,638.00,640.40,362026
2024-02-05,643.40,654.90,634.00,637.35,450720
2024-02-06,639.65,659.00,631.05,648.30,788334
2024-02-07,651.65,655.00,637.35,641.75,354898
2024-02-08,644.80,644.80,621.90,624.60,465935
2024-02-09,627.05,628.90,611.25,612.40,411842
2024-02-12,616.00,636.00,555.55,584.80,752719
2024-02-13,584.90,623.55,575.30,613.30,717368
2024-02-14,601.00,612.50,591.20,600.00,503207
2024-02-15,608.05,609.95,593.15,596.45,344558
2024-02-16,603.00,639.95,602.20,617.55,1376082
2024-02-19,586.00,590.05,565.55,569.10,23186843
2024-02-20,576.00,582.75,569.10,578.15,2839522
2024-02-21,575.85,576.00,552.25,554.90,2253211
2024-02-22,565.00,571.55,552.55,562.15,3150167
2024-02-23,564.95,566.40,557.75,559.80,695257
2024-02-26,560.75,566.80,555.55,557.05,578878
2024-02-27,556.80,562.65,547.00,549.10,600655
2024-02-28,549.10,554.60,531.00,533.35,767254
2024-02-29,527.10,533.00,520.50,526.10,655942
2024-03-01,528.00,559.40,528.00,557.15,1356610
2024-03-02,558.80,560.90,550.10,557.00,98825
2024-03-04,558.95,572.60,548.60,564.70,1604361
2024-03-05,563.75,564.60,553.95,557.80,507270
2024-03-06,556.00,556.95,533.60,547.10,644261
2024-03-07,543.70,555.00,543.70,546.35,256358
2024-03-11,547.95,554.00,517.05,519.75,976177
2024-03-12,520.85,535.95,510.75,528.45,1114383
2024-03-13,528.45,536.00,503.00,506.30,993411
2024-03-14,505.00,524.40,499.30,521.90,762133
2024-03-15,518.60,531.40,515.10,523.10,442794
2024-03-18,528.00,544.75,528.00,538.35,1077609
2024-03-19,535.10,537.80,520.20,524.05,305201
2024-03-20,525.00,529.00,517.20,520.95,265434
2024-03-21,529.70,538.90,523.30,537.00,505472
2024-03-22,537.00,555.00,534.30,548.90,752848
2024-03-26,551.00,554.00,535.50,539.00,624381
2024-03-27,542.00,553.30,539.65,544.50,695659
2024-03-28,537.45,552.85,537.45,551.40,533752
2024-04-01,554.40,567.40,553.00,559.20,485414
2024-04-02,559.40,565.00,559.00,561.15,270725
2024-04-03,561.00,566.85,559.15,562.05,226347
2024-04-04,565.10,569.50,552.00,553.15,357199
2024-04-05,554.40,565.00,554.00,560.30,397590
2024-04-08,564.70,565.95,553.50,555.55,287302
2024-04-09,575.00,584.00,552.00,556.50,1955233
2024-04-10,557.80,566.80,550.10,559.75,532334
2024-04-12,570.30,582.50,569.60,570.70,2057734
2024-04-15,562.95,572.45,555.50,564.85,786319
2024-04-16,561.00,579.05,558.05,559.90,669310
2024-04-18,563.90,571.90,557.40,559.45,370981
2024-04-19,552.05,559.00,545.30,553.85,307999
2024-04-22,555.95,562.75,555.95,559.40,212248
2024-04-23,560.95,566.00,560.30,561.50,223950
2024-04-24,563.45,566.00,554.00,554.80,425722
2024-04-25,559.50,559.50,553.30,553.95,204484
2024-04-26,557.00,558.00,544.00,546.40,398238
2024-04-29,550.00,555.50,550.00,552.10,203439
2024-04-30,551.00,554.25,545.00,546.15,430182
2024-05-02,548.00,553.40,545.50,552.25,194753
2024-05-03,555.00,555.00,545.05,548.10,257570
2024-05-06,550.10,554.50,542.00,544.05,289573
2024-05-07,545.25,549.40,535.00,536.65,283245
2024-05-08,537.30,550.00,533.05,541.95,393435
2024-05-09,525.00,525.90,493.10,496.75,2249525
2024-05-10,505.40,506.40,473.15,476.50,1576951
2024-05-13,477.15,488.80,476.70,482.30,708401
2024-05-14,484.70,501.85,484.70,499.80,454593
2024-05-15,499.80,504.80,489.15,491.80,584028
2024-05-16,495.00,498.85,493.25,496.50,207164
2024-05-17,498.65,506.80,496.50,504.65,234453
