Date,Open,High,Low,Close,Volume
2004-09-09,5.95,6.13,5.55,5.55,298404
2004-09-10,5.47,5.75,5.47,5.64,256738
2004-09-13,5.79,5.82,5.55,5.60,327474
2004-09-14,5.59,5.61,5.32,5.35,612146
2004-09-15,5.36,5.62,5.35,5.60,424662
2004-09-16,5.67,5.88,5.55,5.76,1150938
2004-09-17,5.72,6.03,5.59,5.98,1294632
2004-09-20,6.15,6.26,5.97,6.03,888025
2004-09-21,6.16,6.24,6.04,6.17,1142318
2004-09-22,6.26,6.48,6.19,6.37,1281765
2004-09-23,6.47,6.51,6.17,6.24,847002
2004-09-24,6.19,6.55,6.08,6.55,882493
2004-09-27,6.83,6.87,6.61,6.87,3499790
2004-09-28,7.00,7.20,6.92,6.98,2000829
2004-09-29,7.08,7.09,6.64,6.68,1077189
2004-09-30,6.72,7.02,6.68,6.90,865451
2004-10-01,6.92,6.92,6.56,6.59,720053
2004-10-04,6.52,6.54,6.28,6.35,960465
2004-10-05,6.43,6.66,6.28,6.66,1240247
2004-10-06,6.68,6.88,6.56,6.79,1043377
2004-10-07,6.83,7.13,6.83,7.13,423847
2004-10-08,7.13,7.13,7.13,7.13,0
2004-10-11,7.98,8.25,7.46,7.50,751049
2004-10-12,7.57,7.67,7.18,7.56,438838
2004-10-14,7.69,7.69,7.27,7.43,166639
2004-10-15,7.43,7.43,7.43,7.43,0
2004-10-18,7.49,7.57,7.17,7.33,563466
2004-10-19,7.41,7.41,6.97,7.04,197388
2004-10-20,6.94,7.09,6.91,6.99,367979
2004-10-21,7.06,7.26,6.93,7.01,332093
2004-10-25,6.96,6.96,6.66,6.76,244068
2004-10-26,6.76,6.84,6.72,6.77,72119
2004-10-27,6.76,6.94,6.68,6.84,189831
2004-10-28,6.88,7.09,6.86,6.92,192325
2004-10-29,6.92,6.92,6.92,6.92,0
2004-11-01,7.02,7.31,7.02,7.31,749048
2004-11-02,7.49,7.67,7.41,7.52,973111
2004-11-03,7.59,7.69,7.17,7.58,687525
2004-11-04,7.57,7.57,7.36,7.45,397098
2004-11-05,7.33,7.45,7.27,7.38,202180
2004-11-08,7.66,7.67,7.27,7.30,231398
2004-11-09,7.29,7.49,7.23,7.42,284623
2004-11-10,7.31,7.49,7.31,7.42,237918
2004-11-11,7.41,7.41,7.25,7.29,49619
2004-11-12,7.33,7.37,7.23,7.25,71773
2004-11-16,7.13,7.31,7.05,7.17,87061
2004-11-17,7.25,7.29,6.97,7.03,165231
2004-11-18,7.04,7.05,6.80,7.00,264568
2004-11-19,7.00,7.00,7.00,7.00,0
2004-11-22,7.09,7.22,6.94,7.08,152141
2004-11-23,7.06,7.08,6.84,6.89,170245
2004-11-24,7.09,7.23,6.94,7.22,624125
2004-11-25,7.25,7.25,6.92,6.97,221148
2004-11-29,6.93,7.15,6.93,6.96,189757
2004-11-30,7.05,7.13,6.89,6.95,316582
2004-12-01,6.97,7.05,6.89,7.05,127789
2004-12-02,7.09,7.09,6.89,6.94,82196
2004-12-03,6.96,7.09,6.93,7.08,355087
2004-12-06,7.43,7.43,7.05,7.43,722300
2004-12-07,7.49,7.80,7.49,7.73,2153292
2004-12-08,7.81,7.81,7.41,7.49,693650
2004-12-09,7.57,7.79,7.42,7.72,628422
