Date,Open,High,Low,Close,Volume
2025-06-02,406.00,438.90,405.00,435.55,13347851
2025-06-03,431.20,436.85,415.30,435.20,2669763
2025-06-04,435.90,439.90,428.80,435.15,1352157
2025-06-05,433.10,436.50,430.10,431.65,618715
2025-06-06,431.60,434.45,425.65,432.45,653521
2025-06-09,430.00,435.50,427.25,434.75,885336
2025-06-10,435.00,435.40,422.10,424.30,521610
2025-06-11,428.90,428.90,413.10,417.05,638756
2025-06-12,417.75,418.35,410.00,412.55,246864
2025-06-13,400.00,408.40,393.45,402.35,450851
2025-06-16,402.00,403.00,388.80,400.05,351660
2025-06-17,399.90,411.30,398.10,409.75,446213
2025-06-18,409.75,409.75,392.30,397.65,267496
2025-06-19,397.65,398.00,382.50,390.20,568653
2025-06-20,390.10,395.00,388.50,393.50,387484
2025-06-23,387.00,390.40,384.00,389.35,244936
2025-06-24,389.35,403.00,389.35,400.95,264767
2025-06-25,400.95,406.00,397.95,405.05,284019
2025-06-26,405.95,406.05,399.55,402.60,159147
2025-06-27,404.70,411.65,398.50,410.15,234441
2025-06-30,406.00,408.90,396.55,405.15,928189
2025-07-01,405.45,408.20,401.00,405.15,345252
2025-07-02,404.95,410.00,401.60,408.75,272324
2025-07-03,405.00,412.50,404.00,408.70,493471
2025-07-04,409.10,409.50,400.00,401.60,77098
2025-07-07,398.00,409.00,398.00,406.55,224799
2025-07-08,412.50,430.00,406.55,427.80,1715672
2025-07-09,432.05,434.00,421.00,432.05,640994
2025-07-10,434.00,443.00,429.15,438.80,1558879
2025-07-11,439.15,443.30,431.95,434.85,537148
2025-07-14,436.95,439.40,430.00,436.15,394487
2025-07-15,432.00,441.90,431.80,435.30,520869
2025-07-16,434.85,454.00,433.95,452.00,1620138
2025-07-17,452.05,458.90,446.65,451.60,1334429
2025-07-18,450.00,463.00,444.55,461.00,1105101
2025-07-21,460.00,460.50,452.05,458.95,697027
2025-07-22,456.20,463.95,434.45,449.60,2430147
2025-07-23,454.50,474.40,453.05,465.40,2574898
2025-07-24,470.00,474.00,446.00,447.30,572167
2025-07-25,448.00,454.00,438.80,445.05,519556
2025-07-28,445.00,448.60,425.00,427.25,323017
2025-07-29,422.00,430.85,413.05,418.40,283827
2025-07-30,419.95,426.75,417.65,422.70,106559
2025-07-31,418.00,423.95,410.40,413.80,154822
2025-08-01,413.10,421.55,410.10,413.45,135456
2025-08-04,417.90,428.50,413.10,425.35,155337
2025-08-05,424.00,428.65,420.75,426.25,241718
2025-08-06,426.00,427.50,415.00,420.55,513593
2025-08-07,416.00,429.95,416.00,429.20,136289
2025-08-08,428.90,442.30,424.00,434.65,327627
2025-08-11,430.65,432.80,425.70,427.60,144988
2025-08-12,427.90,441.00,427.90,432.25,276326
2025-08-13,430.30,439.80,430.30,437.40,158442
2025-08-14,436.95,441.00,434.80,439.20,144649
2025-08-18,438.05,446.00,438.05,442.50,246506
2025-08-19,442.00,448.75,440.10,441.90,253021
2025-08-20,440.05,449.50,432.00,434.25,216018
2025-08-21,434.25,436.40,425.15,426.00,236847
2025-08-22,424.90,425.00,418.00,420.65,252774
2025-08-25,421.00,423.60,413.30,417.50,178667
2025-08-26,417.50,418.00,405.65,409.55,128707
2025-08-28,405.50,406.00,395.15,396.65,460425
2025-08-29,400.00,407.25,392.60,399.45,431294
2025-09-01,399.00,410.15,392.00,405.30,542011
2025-09-02,411.00,421.30,405.30,419.20,348490
2025-09-03,419.20,420.00,411.45,412.60,87302
2025-09-04,412.00,422.35,410.00,411.15,109551
2025-09-05,410.00,417.95,404.05,410.80,84959
2025-09-08,411.95,414.00,403.15,404.20,84973
2025-09-09,405.95,408.05,399.00,400.50,73253
2025-09-10,404.95,419.00,400.00,416.55,330700
2025-09-11,416.80,424.70,409.10,410.95,145773
2025-09-12,411.95,432.50,410.50,419.60,390762
2025-09-15,418.95,424.65,409.00,419.65,1931404
2025-09-16,421.90,421.90,409.55,413.00,887586
2025-09-17,413.00,428.90,411.40,428.00,1648107
2025-09-18,428.00,434.75,420.05,423.25,394188
2025-09-19,428.70,431.00,418.35,419.75,185567
2025-09-22,421.45,434.80,412.45,432.00,1208690
2025-09-23,431.05,445.85,425.05,437.45,783363
2025-09-24,439.00,439.55,428.25,430.40,250572
2025-09-25,430.00,439.10,430.00,431.05,226868
2025-09-26,428.25,431.80,417.50,419.45,149704
2025-09-29,424.80,424.80,403.65,414.90,1143573
2025-09-30,414.90,419.40,404.00,413.00,357523
2025-10-01,417.95,434.60,413.70,431.80,404508
2025-10-03,431.95,434.00,423.00,431.55,666275
2025-10-06,435.00,439.00,424.35,425.65,292304
2025-10-07,430.00,430.00,417.15,419.90,212543
2025-10-08,419.90,432.00,418.95,430.10,168958
2025-10-09,433.00,449.00,426.50,446.05,738679
2025-10-10,448.50,457.00,443.90,452.85,1116213
2025-10-13,449.90,472.00,446.25,465.40,1685998
2025-10-14,469.00,473.95,427.45,438.95,4111860
2025-10-15,446.75,448.65,430.70,440.65,1649792
2025-10-16,440.95,456.80,437.00,438.80,994268
2025-10-17,439.60,449.80,438.40,441.65,288308
2025-10-20,441.65,442.05,434.25,437.90,284301
2025-10-21,441.70,442.85,437.75,440.30,65836
2025-10-23,440.70,446.55,433.20,435.25,314904
2025-10-24,438.00,438.80,427.50,428.70,314217
2025-10-27,429.45,436.05,426.35,432.55,262502
2025-10-28,435.20,435.90,425.95,428.65,216634
2025-10-29,428.65,433.45,422.30,428.70,1037776
2025-10-30,429.15,441.15,419.85,436.25,904269
2025-10-31,430.10,445.00,430.10,433.70,459389
2025-11-03,431.30,441.70,429.00,435.95,180487
2025-11-04,439.00,443.70,435.75,440.25,442445
2025-11-06,437.00,437.80,416.00,421.90,450031
2025-11-07,415.05,439.90,413.55,436.60,400791
2025-11-10,436.25,442.00,425.15,438.70,265694
2025-11-11,431.05,437.85,427.10,431.50,178993
2025-11-12,431.00,435.10,428.05,432.30,729884
2025-11-13,433.00,440.55,432.80,435.70,573794
2025-11-14,438.70,438.70,426.10,428.40,110719
2025-11-17,435.00,440.00,431.40,437.90,237384
2025-11-18,438.95,448.00,427.35,430.80,340462
2025-11-19,430.00,430.50,422.00,426.80,244835
2025-11-20,426.80,431.65,425.00,427.30,149056
2025-11-21,427.40,427.45,415.60,417.00,336387
2025-11-24,418.85,421.00,394.75,402.60,2643462
2025-11-25,396.00,414.15,396.00,409.55,359661
2025-11-26,413.70,416.80,404.55,414.25,231642
2025-11-27,417.95,419.35,409.60,416.25,129513
2025-11-28,415.20,415.20,406.50,411.75,252806
2025-12-01,412.05,419.00,410.55,416.75,68123
2025-12-02,419.50,419.50,410.50,415.15,106028
2025-12-03,412.55,418.00,403.20,404.65,207555
2025-12-04,404.65,409.20,401.40,404.25,39747
2025-12-05,404.25,404.30,395.20,397.75,82731
2025-12-08,398.90,399.05,387.60,389.65,132247
2025-12-09,389.65,399.00,384.50,391.95,93298
2025-12-10,389.00,404.35,389.00,390.50,219899
2025-12-11,390.95,393.00,386.50,391.45,51484
2025-12-12,394.00,402.35,390.60,397.65,344260
2025-12-15,394.60,398.00,393.25,395.20,85222
2025-12-16,398.70,417.00,394.05,414.00,403671
2025-12-17,414.05,414.50,406.05,410.15,116798
2025-12-18,416.60,420.40,406.25,413.15,150783
2025-12-19,407.95,418.50,407.95,411.80,317102
2025-12-22,412.00,416.50,406.60,413.35,158640
2025-12-23,413.35,420.90,411.25,418.75,110443
2025-12-24,417.90,423.65,415.00,420.95,105299
2025-12-26,424.00,442.30,419.20,434.70,543010
2025-12-29,436.35,438.55,422.15,424.70,135946
2025-12-30,423.00,438.10,415.80,433.55,284942
2025-12-31,433.55,437.00,427.15,433.55,120894
2026-01-01,433.30,435.40,430.85,434.65,32712
2026-01-02,434.65,451.00,433.95,445.15,477180
2026-01-05,445.15,452.95,430.15,433.15,375482
2026-01-06,431.00,431.00,417.05,419.95,651187
2026-01-07,419.95,424.00,418.55,420.95,170546
2026-01-08,422.00,429.70,418.00,418.55,107400
2026-01-09,419.00,434.80,415.25,428.90,287618
2026-01-12,421.00,436.30,416.20,432.80,248693
2026-01-13,433.30,446.95,433.30,439.60,342464
2026-01-14,439.00,454.00,435.65,452.25,522823
2026-01-16,452.00,471.00,438.00,441.10,2480190
2026-01-19,444.55,445.85,423.00,439.45,459916
2026-01-20,436.95,436.95,410.80,418.85,731741
2026-01-21,418.85,427.55,401.50,409.55,651561
2026-01-22,410.00,413.40,402.15,405.40,152265
2026-01-23,413.85,413.85,402.25,408.05,123819
2026-01-27,407.00,414.20,396.00,409.50,350572
2026-01-28,409.50,414.05,405.30,406.45,145816
2026-01-29,406.45,407.70,397.85,401.50,1385204
2026-01-30,399.00,424.00,398.80,421.00,2561815
2026-02-01,415.00,433.55,413.40,425.45,124854
2026-02-02,430.95,433.00,415.00,429.95,138200
2026-02-03,432.75,449.90,428.80,447.70,365956
2026-02-04,444.95,450.55,437.75,444.05,307701
2026-02-05,435.70,446.40,434.00,435.85,135225
2026-02-06,430.20,435.50,423.50,433.70,129707
2026-02-09,434.05,444.00,428.80,442.80,113922
2026-02-10,442.80,450.95,432.60,443.70,269768
2026-02-11,448.10,453.75,441.00,452.70,401289
2026-02-12,452.70,453.60,436.05,447.30,210576
2026-02-13,440.20,452.00,436.10,445.25,231036
2026-02-16,445.25,447.90,432.05,437.75,89761
2026-02-17,437.75,443.00,434.15,441.30,49379
2026-02-18,444.00,445.60,436.00,442.00,92045
2026-02-19,438.80,442.40,432.50,434.85,88033
2026-02-20,434.85,440.25,430.00,435.45,78820
2026-02-23,434.00,438.60,432.05,437.25,46123
2026-02-24,430.00,440.30,430.00,437.80,70834
2026-02-25,441.00,442.95,436.30,439.90,52629
2026-02-26,442.00,445.45,438.60,441.00,71675
2026-02-27,450.00,465.60,430.20,453.55,340643
2026-03-02,433.10,453.55,430.00,442.45,339353
2026-03-04,436.05,446.85,430.00,437.70,243577
2026-03-05,438.00,440.05,430.75,433.00,217202
2026-03-06,425.00,435.00,425.00,433.85,90462
2026-03-09,426.45,442.00,414.00,432.25,185745
2026-03-10,438.40,438.40,423.10,427.55,236926
2026-03-11,432.00,440.95,421.25,436.30,380728
2026-03-12,429.75,440.00,415.30,435.45,216740
2026-03-13,423.00,434.90,421.05,432.20,194669
2026-03-16,427.00,432.05,413.45,415.90,275535
2026-03-17,415.95,419.60,403.25,407.85,375020
2026-03-18,415.00,415.00,405.85,410.90,363468
2026-03-19,410.90,419.05,404.60,407.40,261820
2026-03-20,414.40,414.40,395.10,399.30,182898
2026-03-23,390.00,402.95,385.10,393.75,202434
2026-03-24,415.00,415.00,392.55,405.15,398606
2026-03-25,399.80,417.00,398.45,414.75,840887
2026-03-27,413.95,418.90,399.85,406.20,227612
2026-03-30,400.00,412.45,390.00,409.60,163778
2026-04-01,409.80,419.75,409.80,417.15,156086
2026-04-02,411.05,417.90,407.00,415.90,72436
2026-04-06,406.80,418.00,406.80,414.40,76111
2026-04-07,410.00,424.00,410.00,414.10,276417
2026-04-08,430.00,441.80,423.00,428.85,740682
2026-04-09,415.00,431.95,415.00,424.95,82764
2026-04-10,425.70,433.95,424.55,429.60,476525
2026-04-13,420.00,433.95,420.00,429.80,130980
2026-04-15,435.00,438.00,426.50,429.85,242910
2026-04-16,432.00,432.00,426.05,427.95,94227
2026-04-17,424.00,430.05,423.90,426.90,54469
2026-04-20,423.00,432.00,421.30,429.65,55945
2026-04-21,434.95,438.00,429.40,434.85,81728
2026-04-22,440.00,442.75,429.45,432.55,173548
2026-04-23,433.50,436.70,426.70,434.95,215485
2026-04-24,439.00,439.00,422.50,429.05,198689
2026-04-27,429.95,431.15,422.25,426.90,137269
2026-04-28,426.00,430.00,405.00,419.80,1841533
2026-04-29,425.00,439.90,423.55,426.65,742278
2026-04-30,426.65,430.50,417.00,428.25,373531
2026-05-04,428.25,433.45,420.80,430.65,575955
2026-05-05,433.00,433.00,416.75,419.80,297492
2026-05-06,420.00,429.40,415.00,425.50,501993
2026-05-07,421.50,428.50,415.60,420.75,744010
2026-05-08,420.75,425.00,416.95,423.45,244186
2026-05-11,421.15,422.00,410.30,413.95,115402
2026-05-12,414.00,422.00,406.05,411.20,751882
2026-05-13,410.60,416.45,406.50,413.65,109665
2026-05-14,419.90,419.90,409.05,409.95,135077
2026-05-15,417.05,421.85,407.55,414.15,717073
2026-05-18,412.00,417.60,406.60,413.35,176179
2026-05-19,411.00,413.30,403.80,407.15,264847
2026-05-20,402.55,409.65,402.55,406.90,81075
2026-05-21,412.00,412.00,403.30,406.80,81101
2026-05-22,406.80,418.00,403.10,415.75,245998
2026-05-25,418.00,424.95,411.50,414.35,312468
2026-05-26,412.10,426.90,412.10,419.75,245928
2026-05-27,421.00,421.00,412.50,414.45,48765
2026-05-29,415.00,416.50,406.55,413.40,217614
2026-06-01,413.40,413.60,408.00,409.80,46912
2026-06-02,405.10,411.00,400.10,409.45,98703
2026-06-03,409.45,429.45,403.05,424.20,412203
2026-06-04,420.85,423.55,416.20,417.90,523656
2026-06-05,411.00,421.90,410.75,419.35,92844
2026-06-08,410.00,418.00,406.30,409.20,82690
2026-06-09,409.30,416.45,405.70,412.85,100884
2026-06-10,413.00,415.00,406.70,409.95,219795
2026-06-11,402.10,410.00,402.10,406.65,456763
2026-06-12,413.55,431.45,409.30,429.80,303851
2026-06-15,435.00,472.75,433.00,458.20,1861102
2026-06-16,461.95,469.90,452.20,457.90,852819
2026-06-17,459.90,468.95,452.40,455.80,721487
2026-06-18,455.80,468.30,454.60,457.60,224958
2026-06-19,457.60,502.00,450.40,494.20,3439293
2026-06-22,502.40,511.00,491.50,495.40,945801
2026-06-23,496.45,498.95,483.05,485.15,296030
2026-06-24,485.05,492.45,476.60,488.50,514428
2026-06-25,497.95,497.95,475.10,483.90,306446
2026-06-29,489.80,491.05,478.00,479.45,209314
2026-06-30,487.00,487.85,474.05,475.45,614919
2026-07-01,484.00,490.00,475.00,479.90,193292
2026-07-02,480.10,485.95,473.65,476.25,133929
2026-07-03,476.55,481.30,468.35,475.70,234769
2026-07-06,481.50,507.90,478.65,502.20,1519467
2026-07-07,505.50,505.80,485.15,487.65,271029
2026-07-08,490.00,499.60,473.70,480.60,401942
2026-07-09,483.05,504.35,481.40,500.60,398405
2026-07-10,509.00,509.00,496.30,501.00,325049
2026-07-13,495.50,509.40,495.50,501.20,396751
2026-07-14,500.00,500.95,488.05,493.60,192342
2026-07-15,497.85,499.45,482.00,485.85,329881
2026-07-16,485.90,492.35,477.85,485.25,225293
2026-07-17,490.00,490.05,474.95,485.65,151693
2026-07-20,481.30,494.80,481.30,492.55,166420
2026-07-21,490.00,495.30,482.20,487.65,136835
2026-07-22,489.95,498.00,484.90,491.05,411094
2026-07-23,493.45,493.95,471.20,475.95,220856
2026-07-24,468.00,478.10,461.05,474.70,153341
2026-07-27,478.95,489.50,470.85,475.60,227395
2026-07-28,478.00,479.60,473.65,475.60,80082
2026-07-29,473.00,483.00,469.15,471.65,227091
2026-07-30,470.10,474.00,463.10,468.10,148857
2026-07-31,468.10,504.90,468.00,494.60,2200893
2026-08-03,505.00,517.95,498.00,501.80,2192952
2026-08-04,500.00,508.95,491.40,500.10,573188
2026-08-05,502.10,507.00,497.05,502.25,834987
2026-08-06,500.00,523.50,498.30,511.00,1027540
2026-08-07,513.00,527.00,509.10,518.00,495564
2026-08-10,520.05,524.50,503.40,507.00,263638
2026-08-11,505.50,515.30,500.50,512.25,268991
2026-08-12,513.70,523.70,494.40,499.75,312729
2026-08-13,501.15,514.00,501.15,508.45,370862
2026-08-14,508.45,511.65,504.60,510.05,209132
2026-08-17,513.15,520.00,498.10,503.00,797105
2026-08-18,508.95,521.95,503.30,519.15,412429
2026-08-19,519.70,541.80,519.65,532.80,1462202
2026-08-20,540.35,544.35,528.15,539.70,1415946
2026-08-21,539.50,564.00,532.45,561.70,1049377
