Date,Open,High,Low,Close,Volume
2018-03-27,305.70,305.70,290.46,290.46,952
2018-03-28,275.97,275.97,275.97,275.97,1134
2018-04-02,262.20,262.20,262.20,262.20,1307
2018-04-03,249.09,249.09,249.09,249.09,3124
2018-04-04,236.64,236.64,236.64,236.64,1044
2018-04-05,224.82,224.82,224.82,224.82,1202
2018-04-06,213.62,213.62,213.62,213.62,2933
2018-04-09,202.96,202.96,202.96,202.96,3854
2018-04-10,192.82,192.82,192.82,192.82,1317
2018-04-11,183.23,183.23,183.23,183.23,3709
2018-04-12,174.07,174.07,174.07,174.07,2803
2018-04-13,165.41,165.41,165.41,165.41,3393
2018-04-16,157.14,157.14,157.14,157.14,2334
2018-04-17,151.10,151.10,149.32,149.32,6692
2018-04-18,141.85,141.85,141.85,141.85,5438
2018-04-19,134.79,141.32,134.79,134.79,4946554
2018-04-20,128.08,137.59,128.08,133.90,1965557
2018-04-23,131.99,133.32,128.21,130.52,604937
2018-04-24,132.30,132.30,129.41,129.81,388987
2018-04-25,130.61,130.65,126.83,127.72,259345
2018-04-26,129.68,129.68,126.70,128.39,340737
2018-04-27,129.05,129.76,122.74,124.83,150147
2018-04-30,124.52,131.05,124.43,131.05,324387
2018-05-02,137.59,137.59,133.81,137.45,666352
2018-05-03,142.21,142.21,133.59,134.65,175675
2018-05-04,137.50,137.50,131.10,135.68,119124
2018-05-07,136.65,140.39,132.43,133.01,93996
2018-05-08,133.32,134.21,131.54,132.92,100372
2018-05-09,135.45,138.21,132.88,136.74,137860
2018-05-10,137.76,138.65,131.63,133.54,234939
2018-05-11,136.83,137.72,132.70,136.74,86378
2018-05-14,138.65,138.65,134.39,134.92,169726
2018-05-15,133.32,137.50,133.32,136.52,67713
2018-05-16,133.45,136.83,133.45,133.85,35647
2018-05-17,135.10,136.87,132.56,133.05,71755
2018-05-18,132.43,135.10,131.99,132.88,82564
2018-05-21,132.88,135.76,127.99,128.43,85550
2018-05-22,128.88,131.54,127.99,128.79,23424
2018-05-23,128.83,133.28,123.59,124.43,57393
2018-05-24,129.54,129.99,123.63,124.17,33401
2018-05-25,129.32,130.21,123.77,124.34,83844
2018-05-28,125.76,128.88,123.54,124.39,41693
2018-05-29,124.43,124.43,118.21,118.21,123878
2018-05-30,113.77,124.12,112.30,121.72,148651
2018-05-31,122.65,122.65,116.43,118.79,35864
2018-06-01,117.32,123.72,117.32,121.14,12991
2018-06-04,121.77,123.99,118.21,118.39,16720
2018-06-05,120.39,120.39,112.66,114.70,32115
2018-06-06,116.43,119.01,114.65,115.10,17257
2018-06-07,115.54,119.72,113.86,115.63,24015
2018-06-08,119.01,119.01,114.57,115.45,19557
2018-06-11,115.63,118.17,114.61,114.70,45831
2018-06-12,114.65,114.65,111.99,112.43,56637
2018-06-13,114.65,114.65,111.10,112.88,636338
2018-06-14,112.88,112.88,110.26,111.10,46435
2018-06-15,110.48,111.10,106.66,107.46,342704
2018-06-18,112.79,112.79,107.10,107.46,33648
2018-06-19,107.54,110.92,106.70,108.26,12132
2018-06-20,109.41,111.10,108.61,109.59,22632
2018-06-21,111.99,111.99,105.01,106.08,50908
2018-06-22,106.66,109.68,104.43,105.23,49597
2018-06-25,105.77,108.39,100.92,102.08,51147
2018-06-26,106.66,106.66,101.32,102.61,14656
2018-06-27,101.32,104.88,100.43,101.95,38305
