Date,Open,High,Low,Close,Volume
2001-12-31,32.92,32.92,31.00,31.70,11530
2002-01-01,31.75,33.00,31.25,31.75,6070
2002-01-02,31.95,32.00,31.00,31.33,3892
2002-01-03,31.75,34.22,31.50,33.30,11922
2002-01-04,34.00,34.15,32.50,32.85,6434
2002-01-07,34.85,35.00,32.75,32.85,4950
2002-01-08,32.50,32.50,32.00,32.08,2480
2002-01-09,30.92,32.00,30.52,30.98,5250
2002-01-10,30.67,31.65,30.38,30.80,13258
2002-01-11,31.00,32.22,30.50,30.65,7490
2002-01-14,32.03,34.10,32.03,33.38,20428
2002-01-15,33.00,33.67,32.03,32.55,7160
2002-01-16,33.22,33.25,32.55,33.03,4048
2002-01-17,33.25,36.22,33.25,34.97,28480
2002-01-18,35.75,37.97,34.60,35.45,30114
2002-01-21,36.00,36.30,35.28,36.03,11940
2002-01-22,37.20,41.62,37.00,39.62,49876
2002-01-23,39.50,42.00,39.15,39.58,50272
2002-01-24,39.95,40.22,37.35,37.70,15074
2002-01-25,38.00,39.12,37.25,37.67,12822
2002-01-28,37.50,37.62,36.60,36.83,7460
2002-01-29,36.47,36.75,36.25,36.33,9330
2002-01-30,35.62,37.95,35.58,37.80,12320
2002-01-31,37.50,38.50,37.30,37.45,11660
2002-02-01,37.58,39.00,36.60,36.88,21970
2002-02-04,36.65,37.10,36.45,36.53,3194
2002-02-05,36.10,36.95,36.08,36.20,3132
2002-02-06,36.95,37.00,36.12,36.80,11374
2002-02-07,36.75,37.47,36.65,37.20,13418
2002-02-08,37.00,38.00,37.00,37.67,13716
2002-02-11,38.50,41.90,37.97,40.33,44418
2002-02-12,40.55,41.95,39.15,39.42,32776
2002-02-13,38.50,40.47,38.50,39.67,10380
2002-02-14,40.50,40.50,38.55,38.60,4540
2002-02-15,39.00,39.72,38.75,39.08,8072
2002-02-18,39.50,39.83,39.50,39.50,15906
2002-02-19,39.50,40.25,38.15,38.53,8120
2002-02-20,38.05,38.45,37.53,37.97,6230
2002-02-21,36.25,38.25,36.25,37.83,8270
2002-02-22,37.62,38.28,36.53,37.08,11034
2002-02-25,37.12,37.92,36.58,37.22,5900
2002-02-26,37.50,37.75,36.75,36.85,10380
2002-02-27,36.80,37.30,36.75,36.75,7060
2002-02-28,36.50,37.40,35.75,35.95,6920
2002-03-01,35.97,36.00,34.05,35.35,15580
2002-03-04,35.95,37.35,35.70,35.78,8000
2002-03-05,36.25,37.97,35.92,36.30,11952
2002-03-06,35.62,36.50,35.62,36.00,18042
2002-03-07,35.33,36.88,35.30,36.65,8330
2002-03-08,36.85,36.85,36.25,36.42,2240
2002-03-11,35.08,35.80,34.80,35.00,7954
2002-03-12,34.88,35.05,34.53,34.83,3274
2002-03-13,35.00,35.00,34.55,34.88,2290
2002-03-14,34.95,34.95,34.25,34.80,3240
2002-03-15,34.90,35.25,34.80,35.17,2492
2002-03-18,36.25,36.25,34.75,35.58,10904
2002-03-19,35.88,36.75,35.35,35.65,9376
2002-03-20,35.08,36.00,35.00,35.58,22014
2002-03-21,35.08,35.65,35.08,35.40,5370
2002-03-22,35.15,35.70,34.25,35.33,3566
2002-03-26,34.97,35.00,34.78,35.00,4934
2002-03-27,35.00,35.50,34.50,35.05,18328
2002-03-28,34.75,35.72,34.75,35.00,5330
2002-04-01,36.47,37.00,35.03,36.53,6136
2002-04-02,36.15,37.00,35.75,36.58,5204
2002-04-03,36.95,36.95,35.53,35.92,3988
2002-04-04,36.28,36.88,34.53,35.15,12916
2002-04-05,35.95,38.65,35.75,37.72,21596
2002-04-08,38.00,42.50,38.00,41.50,51562
2002-04-09,42.25,47.00,41.75,44.30,99268
2002-04-10,45.00,45.75,43.75,44.10,37876
2002-04-11,45.00,45.25,42.25,42.78,28706
2002-04-12,42.55,43.50,42.25,42.58,19266
2002-04-15,44.00,44.50,42.10,42.53,30152
2002-04-16,42.50,42.88,41.50,41.95,13232
2002-04-17,42.95,42.97,42.00,42.10,13480
2002-04-18,42.55,42.55,41.25,41.88,12314
2002-04-19,42.00,43.00,40.05,40.55,12052
2002-04-22,40.50,41.50,38.62,40.58,8742
2002-04-23,41.25,42.47,41.08,42.17,5250
2002-04-24,42.25,43.50,42.25,42.53,26852
2002-04-25,43.25,49.50,43.25,46.00,75484
2002-04-26,47.47,49.50,45.03,45.72,68384
2002-04-29,47.25,48.00,44.75,45.17,32994
2002-04-30,45.50,46.50,45.03,45.90,9584
2002-05-02,46.47,46.95,46.03,46.72,9760
2002-05-03,47.30,48.95,47.00,47.35,33638
2002-05-06,48.45,51.50,47.75,50.90,59856
2002-05-07,51.45,53.25,50.00,50.55,42864
2002-05-08,51.00,51.25,48.55,48.80,23150
2002-05-09,48.50,49.35,48.03,48.33,9818
2002-05-10,47.53,49.47,47.53,48.33,12830
2002-05-13,48.30,50.50,48.30,49.83,32704
2002-05-14,50.80,51.75,49.75,50.48,28472
2002-05-15,47.67,54.95,47.67,50.80,117306
2002-05-16,51.38,51.95,48.00,48.88,34554
2002-05-17,47.10,49.25,47.00,47.72,19520
2002-05-20,45.25,45.25,42.55,42.80,24216
2002-05-21,40.03,42.50,40.03,40.58,17756
2002-05-22,38.50,43.00,38.50,41.22,13070
2002-05-23,41.35,42.83,41.35,41.97,6104
2002-05-24,42.45,45.50,42.45,45.12,21358
2002-05-27,44.00,47.00,43.55,44.20,9480
2002-05-28,44.50,44.50,42.00,43.22,7010
2002-05-29,43.05,43.25,41.38,42.85,10130
2002-05-30,44.25,44.25,42.85,42.95,2720
2002-05-31,44.25,44.45,42.25,43.47,5440
2002-06-03,43.53,43.53,42.25,42.88,5684
2002-06-04,43.45,44.25,43.03,43.90,6082
2002-06-05,44.22,45.45,43.50,44.10,10090
2002-06-06,44.55,45.35,43.50,44.62,11200
2002-06-07,45.25,45.25,43.10,43.30,4214
2002-06-10,44.08,46.25,43.00,45.55,6264
2002-06-11,46.25,47.95,46.05,47.67,17070
2002-06-12,47.50,49.42,47.50,48.72,16668
2002-06-13,49.75,49.75,47.28,47.88,6562
2002-06-14,49.22,50.42,48.50,49.90,12942
2002-06-17,50.38,53.25,49.75,52.60,46498
2002-06-18,53.50,56.45,52.65,54.17,89604
2002-06-19,55.00,55.00,50.50,51.98,19646
2002-06-20,51.90,56.12,51.50,53.98,44384
2002-06-21,55.60,55.60,52.52,53.62,23866
2002-06-24,55.92,55.92,52.08,53.05,14878
