Date,Open,High,Low,Close,Volume
2009-07-28,15.00,15.98,14.61,15.20,195910
2009-07-29,15.33,17.00,14.71,16.23,134860
2009-07-30,16.18,16.50,15.51,15.80,9580
2009-07-31,15.82,16.17,15.51,15.51,16560
2009-08-03,15.29,16.00,15.25,15.30,8730
2009-08-04,15.10,15.40,15.00,15.00,3830
2009-08-05,15.70,15.70,15.15,15.15,1050
2009-08-06,15.70,16.02,15.70,16.00,16100
2009-08-07,15.50,15.72,15.01,15.10,19820
2009-08-10,15.40,15.40,14.77,15.40,1160
2009-08-11,15.40,16.48,14.95,15.64,19370
2009-08-12,15.30,15.80,15.20,15.50,530
2009-08-13,15.35,15.70,15.35,15.50,17010
2009-08-14,15.87,15.87,15.50,15.54,7850
2009-08-17,15.88,15.88,15.40,15.60,1040
2009-08-18,15.88,16.04,15.55,15.61,1400
2009-08-19,15.51,15.90,15.50,15.84,5300
2009-08-20,15.50,15.75,15.30,15.53,14270
2009-08-21,15.39,15.70,15.39,15.70,1590
2009-08-24,15.60,15.95,15.60,15.62,16800
2009-08-25,15.85,17.00,15.10,16.48,48290
2009-08-26,17.09,18.00,16.82,17.26,42450
2009-08-27,19.80,20.72,18.00,19.25,920830
2009-08-28,19.31,19.95,18.42,19.02,187660
2009-08-31,18.70,20.10,18.51,19.79,249550
2009-09-01,20.09,20.40,17.22,19.04,193370
2009-09-02,19.27,19.79,19.12,19.34,43150
2009-09-03,20.48,20.50,19.00,19.00,19110
2009-09-04,18.85,19.70,18.60,19.00,19150
2009-09-07,19.45,22.80,19.45,20.79,0
2009-09-08,20.80,22.00,20.70,21.04,170870
2009-09-09,21.26,21.49,19.40,20.09,228460
2009-09-10,20.47,20.67,19.61,19.81,139220
2009-09-11,19.99,20.19,17.83,19.29,162310
2009-09-14,19.05,19.56,18.64,18.93,65360
2009-09-15,18.92,19.99,18.92,19.34,65510
2009-09-16,18.90,19.90,18.90,19.36,26880
2009-09-17,19.86,23.18,19.86,21.09,856150
2009-09-18,21.30,21.40,19.90,20.51,139850
2009-09-22,20.30,22.08,20.15,21.36,234430
2009-09-23,21.01,21.70,19.51,20.15,746140
2009-09-24,19.71,20.69,19.60,20.31,75160
2009-09-25,20.49,20.50,20.11,20.20,54740
2009-09-29,20.40,20.58,19.80,19.96,53880
2009-09-30,20.18,20.58,20.18,20.36,66000
2009-10-01,19.93,21.10,19.91,20.24,42440
2009-10-05,19.81,20.99,19.81,19.95,50720
2009-10-06,19.93,20.09,19.63,19.94,13280
2009-10-07,20.28,20.79,19.70,19.84,25990
2009-10-08,19.70,19.95,19.62,19.72,32380
2009-10-09,19.60,19.99,19.03,19.34,40820
2009-10-12,20.20,21.00,19.60,19.89,59050
2009-10-14,20.58,21.60,20.30,21.09,203360
2009-10-15,21.59,22.60,20.60,22.23,161670
2009-10-16,22.00,24.90,22.00,23.98,606510
2009-10-20,25.18,26.00,24.39,25.38,282730
2009-10-21,25.90,29.00,25.90,27.15,1590040
2009-10-22,27.44,28.98,27.30,27.96,1330120
2009-10-23,28.50,28.64,27.70,27.85,248680
2009-10-26,27.99,28.77,27.51,28.27,433060
2009-10-27,28.45,29.01,27.50,27.90,561040
2009-10-28,28.05,28.30,25.67,27.25,528050
2009-10-29,26.82,27.30,26.40,26.56,0
2009-10-30,27.35,29.70,27.35,28.90,152306
2009-11-03,28.98,30.00,27.75,28.08,61800
2009-11-04,27.83,28.75,25.75,26.98,48730
2009-11-05,26.98,27.00,26.02,26.85,51998
2009-11-06,27.50,28.00,27.05,27.38,76648
2009-11-09,27.98,28.30,27.25,27.92,68140
2009-11-10,28.50,28.50,26.60,27.38,79878
